"","tokenlabel","cluster"
"身份/Na/CNA_CMN_20030722_wpr/3234","身份/Na/CNA_CMN_20030722_wpr/3234",1
"身份/Na/CNA_CMN_20001107_wpr/160990","身份/Na/CNA_CMN_20001107_wpr/160990",1
"身份/Na/CNA_CMN_20001230_wpr/38968","身份/Na/CNA_CMN_20001230_wpr/38968",1
"身份/Na/CNA_CMN_20001119_wpr/76148","身份/Na/CNA_CMN_20001119_wpr/76148",1
"身份/Na/ZBN_CMN_20001204_wpr/20424","身份/Na/ZBN_CMN_20001204_wpr/20424",1
"身份/Na/CNA_CMN_20001218_wpr/58878","身份/Na/CNA_CMN_20001218_wpr/58878",1
"身份/Na/ZBN_CMN_20030915_wpr/62691","身份/Na/ZBN_CMN_20030915_wpr/62691",1
"身份/Na/ZBN_CMN_20030725_wpr/86548","身份/Na/ZBN_CMN_20030725_wpr/86548",1
"身份/Na/CNA_CMN_20001127_wpr/11985","身份/Na/CNA_CMN_20001127_wpr/11985",1
"身份/Na/CNA_CMN_20001116_wpr/65320","身份/Na/CNA_CMN_20001116_wpr/65320",1
"地位/Na/CNA_CMN_20030718_wpr/6905","地位/Na/CNA_CMN_20030718_wpr/6905",2
"身份/Na/CNA_CMN_20030519_wpr/848","身份/Na/CNA_CMN_20030519_wpr/848",2
"地位/Na/CNA_CMN_20030522_wpr/3559","地位/Na/CNA_CMN_20030522_wpr/3559",2
"身份/Na/XIN_CMN_20030515_wpr/30705","身份/Na/XIN_CMN_20030515_wpr/30705",2
"身份/Na/XIN_CMN_20030908_wpr/71488","身份/Na/XIN_CMN_20030908_wpr/71488",2
"身份/Na/XIN_CMN_20030409_wpr/70229","身份/Na/XIN_CMN_20030409_wpr/70229",2
"身份/Na/CNA_CMN_20001113_wpr/40200","身份/Na/CNA_CMN_20001113_wpr/40200",2
"身份/Na/ZBN_CMN_20001003_wpr/6411","身份/Na/ZBN_CMN_20001003_wpr/6411",2
"身份/Na/XIN_CMN_20030919_wpr/11341","身份/Na/XIN_CMN_20030919_wpr/11341",2
"身份/Na/ZBN_CMN_20030624_wpr/31994","身份/Na/ZBN_CMN_20030624_wpr/31994",2
"身份/Na/XIN_CMN_20001108_wpr/54811","身份/Na/XIN_CMN_20001108_wpr/54811",2
"身份/Na/CNA_CMN_20001114_wpr/143127","身份/Na/CNA_CMN_20001114_wpr/143127",2
"身份/Na/XIN_CMN_20030411_wpr/63339","身份/Na/XIN_CMN_20030411_wpr/63339",2
"身份/Na/ZBN_CMN_20030413_wpr/26105","身份/Na/ZBN_CMN_20030413_wpr/26105",2
"身份/Na/ZBN_CMN_20030414_wpr/62704","身份/Na/ZBN_CMN_20030414_wpr/62704",2
"身份/Na/CNA_CMN_20001213_wpr/35150","身份/Na/CNA_CMN_20001213_wpr/35150",2
"身份/Na/ZBN_CMN_20030408_wpr/92714","身份/Na/ZBN_CMN_20030408_wpr/92714",2
"身份/Na/CNA_CMN_20010111_wpr/47581","身份/Na/CNA_CMN_20010111_wpr/47581",2
"身份/Na/ZBN_CMN_20030725_wpr/24883","身份/Na/ZBN_CMN_20030725_wpr/24883",2
"身份/Na/ZBN_CMN_20030523_wpr/106401","身份/Na/ZBN_CMN_20030523_wpr/106401",2
"身份/Na/ZBN_CMN_20030813_wpr/47206","身份/Na/ZBN_CMN_20030813_wpr/47206",2
"身份/Na/XIN_CMN_20030426_wpr/9730","身份/Na/XIN_CMN_20030426_wpr/9730",2
"身份/Na/CNA_CMN_20001010_wpr/73965","身份/Na/CNA_CMN_20001010_wpr/73965",2
"身份/Na/ZBN_CMN_20030701_wpr/13219","身份/Na/ZBN_CMN_20030701_wpr/13219",2
"身份/Na/CNA_CMN_20030425_wpr/3785","身份/Na/CNA_CMN_20030425_wpr/3785",2
"身份/Na/ZBN_CMN_20030823_wpr/54958","身份/Na/ZBN_CMN_20030823_wpr/54958",2
"身份/Na/XIN_CMN_20001022_wpr/12985","身份/Na/XIN_CMN_20001022_wpr/12985",2
"身份/Na/CNA_CMN_20010105_wpr/106862","身份/Na/CNA_CMN_20010105_wpr/106862",2
"身份/Na/ZBN_CMN_20001013_wpr/7658","身份/Na/ZBN_CMN_20001013_wpr/7658",2
"身份/Na/CNA_CMN_20001019_wpr/88053","身份/Na/CNA_CMN_20001019_wpr/88053",2
"身份/Na/CNA_CMN_20001006_wpr/69829","身份/Na/CNA_CMN_20001006_wpr/69829",2
"身份/Na/ZBN_CMN_20030730_wpr/58009","身份/Na/ZBN_CMN_20030730_wpr/58009",2
"身份/Na/XIN_CMN_20030411_wpr/9212","身份/Na/XIN_CMN_20030411_wpr/9212",2
"身份/Na/XIN_CMN_20001214_wpr/79665","身份/Na/XIN_CMN_20001214_wpr/79665",2
"身份/Na/ZBN_CMN_20030731_wpr/43326","身份/Na/ZBN_CMN_20030731_wpr/43326",2
"身份/Na/XIN_CMN_20030801_wpr/31513","身份/Na/XIN_CMN_20030801_wpr/31513",2
"身份/Na/ZBN_CMN_20030724_wpr/59227","身份/Na/ZBN_CMN_20030724_wpr/59227",2
"身份/Na/CNA_CMN_20010105_wpr/119318","身份/Na/CNA_CMN_20010105_wpr/119318",2
"身份/Na/ZBN_CMN_20030627_wpr/56640","身份/Na/ZBN_CMN_20030627_wpr/56640",2
"身份/Na/ZBN_CMN_20030412_wpr/84756","身份/Na/ZBN_CMN_20030412_wpr/84756",2
"身份/Na/CNA_CMN_20001218_wpr/109310","身份/Na/CNA_CMN_20001218_wpr/109310",2
"身份/Na/XIN_CMN_20010110_wpr/21434","身份/Na/XIN_CMN_20010110_wpr/21434",2
"身份/Na/ZBN_CMN_20030528_wpr/49913","身份/Na/ZBN_CMN_20030528_wpr/49913",2
"身份/Na/CNA_CMN_20001113_wpr/40129","身份/Na/CNA_CMN_20001113_wpr/40129",2
"身份/Na/XIN_CMN_20001204_wpr/45092","身份/Na/XIN_CMN_20001204_wpr/45092",2
"身份/Na/XIN_CMN_20030603_wpr/28238","身份/Na/XIN_CMN_20030603_wpr/28238",2
"身份/Na/CNA_CMN_20010130_wpr/118648","身份/Na/CNA_CMN_20010130_wpr/118648",2
"身份/Na/CNA_CMN_20001122_wpr/106122","身份/Na/CNA_CMN_20001122_wpr/106122",2
"身份/Na/ZBN_CMN_20030812_wpr/50637","身份/Na/ZBN_CMN_20030812_wpr/50637",2
"身份/Na/CNA_CMN_20001015_wpr/23552","身份/Na/CNA_CMN_20001015_wpr/23552",2
"身份/Na/CNA_CMN_20030722_wpr/10631","身份/Na/CNA_CMN_20030722_wpr/10631",2
"身份/Na/CNA_CMN_20001125_wpr/88490","身份/Na/CNA_CMN_20001125_wpr/88490",2
"身份/Na/CNA_CMN_20030720_wpr/854","身份/Na/CNA_CMN_20030720_wpr/854",2
"身份/Na/CNA_CMN_20001127_wpr/44257","身份/Na/CNA_CMN_20001127_wpr/44257",2
"身份/Na/ZBN_CMN_20001024_wpr/37712","身份/Na/ZBN_CMN_20001024_wpr/37712",2
"身份/Na/CNA_CMN_20030910_wpr/3018","身份/Na/CNA_CMN_20030910_wpr/3018",2
"身份/Na/ZBN_CMN_20030923_wpr/16554","身份/Na/ZBN_CMN_20030923_wpr/16554",2
"身份/Na/XIN_CMN_20030910_wpr/74456","身份/Na/XIN_CMN_20030910_wpr/74456",2
"身份/Na/ZBN_CMN_20001028_wpr/32736","身份/Na/ZBN_CMN_20001028_wpr/32736",2
"身份/Na/CNA_CMN_20010109_wpr/128247","身份/Na/CNA_CMN_20010109_wpr/128247",2
"身份/Na/CNA_CMN_20001104_wpr/22776","身份/Na/CNA_CMN_20001104_wpr/22776",2
"身份/Na/XIN_CMN_20030804_wpr/69666","身份/Na/XIN_CMN_20030804_wpr/69666",2
"身份/Na/CNA_CMN_20001009_wpr/50280","身份/Na/CNA_CMN_20001009_wpr/50280",2
"身份/Na/CNA_CMN_20030603_wpr/11951","身份/Na/CNA_CMN_20030603_wpr/11951",2
