"","tokenlabel","cluster"
"立场/Na/XIN_CMN_20030825_wpr/4546","立场/Na/XIN_CMN_20030825_wpr/4546",1
"立场/Na/XIN_CMN_20030418_wpr/22513","立场/Na/XIN_CMN_20030418_wpr/22513",1
"立场/Na/XIN_CMN_20030408_wpr/87935","立场/Na/XIN_CMN_20030408_wpr/87935",1
"立场/Na/XIN_CMN_20030410_wpr/66483","立场/Na/XIN_CMN_20030410_wpr/66483",1
"立场/Na/XIN_CMN_20001021_wpr/44817","立场/Na/XIN_CMN_20001021_wpr/44817",1
"立场/Na/ZBN_CMN_20030711_wpr/53032","立场/Na/ZBN_CMN_20030711_wpr/53032",1
"立场/Na/ZBN_CMN_20001115_wpr/8073","立场/Na/ZBN_CMN_20001115_wpr/8073",1
"立场/Na/XIN_CMN_20001218_wpr/87883","立场/Na/XIN_CMN_20001218_wpr/87883",1
"立场/Na/CNA_CMN_20001002_wpr/131593","立场/Na/CNA_CMN_20001002_wpr/131593",1
"立场/Na/XIN_CMN_20030911_wpr/43034","立场/Na/XIN_CMN_20030911_wpr/43034",1
"立场/Na/CNA_CMN_20001011_wpr/37681","立场/Na/CNA_CMN_20001011_wpr/37681",1
"立场/Na/CNA_CMN_20001206_wpr/50925","立场/Na/CNA_CMN_20001206_wpr/50925",1
"立场/Na/ZBN_CMN_20030907_wpr/37640","立场/Na/ZBN_CMN_20030907_wpr/37640",1
"态度/Na/CNA_CMN_20001207_wpr/33552","态度/Na/CNA_CMN_20001207_wpr/33552",1
"立场/Na/CNA_CMN_20001003_wpr/18962","立场/Na/CNA_CMN_20001003_wpr/18962",1
"立场/Na/CNA_CMN_20030528_wpr/2610","立场/Na/CNA_CMN_20030528_wpr/2610",1
"立场/Na/XIN_CMN_20030619_wpr/42925","立场/Na/XIN_CMN_20030619_wpr/42925",1
"立场/Na/CNA_CMN_20001015_wpr/35509","立场/Na/CNA_CMN_20001015_wpr/35509",1
"立场/Na/ZBN_CMN_20030603_wpr/89426","立场/Na/ZBN_CMN_20030603_wpr/89426",1
"立场/Na/ZBN_CMN_20030422_wpr/49825","立场/Na/ZBN_CMN_20030422_wpr/49825",1
"立场/Na/CNA_CMN_20001011_wpr/29962","立场/Na/CNA_CMN_20001011_wpr/29962",1
"立场/Na/XIN_CMN_20030824_wpr/51440","立场/Na/XIN_CMN_20030824_wpr/51440",1
"立场/Na/CNA_CMN_20010119_wpr/55190","立场/Na/CNA_CMN_20010119_wpr/55190",1
"立场/Na/CNA_CMN_20001122_wpr/85877","立场/Na/CNA_CMN_20001122_wpr/85877",1
