"","tokenlabel","cluster"
"潜力/Na/XIN_CMN_20030813_wpr/71909","潜力/Na/XIN_CMN_20030813_wpr/71909",1
"潜力/Na/XIN_CMN_20030415_wpr/3594","潜力/Na/XIN_CMN_20030415_wpr/3594",1
"潜力/Na/XIN_CMN_20030415_wpr/3529","潜力/Na/XIN_CMN_20030415_wpr/3529",1
"潜力/Na/XIN_CMN_20030415_wpr/3548","潜力/Na/XIN_CMN_20030415_wpr/3548",1
"潜力/Na/XIN_CMN_20030708_wpr/29840","潜力/Na/XIN_CMN_20030708_wpr/29840",1
"潜力/Na/XIN_CMN_20010117_wpr/75852","潜力/Na/XIN_CMN_20010117_wpr/75852",1
"潜力/Na/XIN_CMN_20030908_wpr/3757","潜力/Na/XIN_CMN_20030908_wpr/3757",1
"潜力/Na/XIN_CMN_20030416_wpr/33704","潜力/Na/XIN_CMN_20030416_wpr/33704",1
"潜力/Na/XIN_CMN_20030808_wpr/29105","潜力/Na/XIN_CMN_20030808_wpr/29105",1
"潜力/Na/XIN_CMN_20001229_wpr/39259","潜力/Na/XIN_CMN_20001229_wpr/39259",1
"潜力/Na/XIN_CMN_20030905_wpr/40353","潜力/Na/XIN_CMN_20030905_wpr/40353",1
"潜力/Na/XIN_CMN_20030610_wpr/41354","潜力/Na/XIN_CMN_20030610_wpr/41354",1
"潜力/Na/XIN_CMN_20030918_wpr/55505","潜力/Na/XIN_CMN_20030918_wpr/55505",1
"潜力/Na/XIN_CMN_20030821_wpr/27278","潜力/Na/XIN_CMN_20030821_wpr/27278",1
"潜力/Na/XIN_CMN_20030409_wpr/43015","潜力/Na/XIN_CMN_20030409_wpr/43015",1
"潜力/Na/XIN_CMN_20030731_wpr/25239","潜力/Na/XIN_CMN_20030731_wpr/25239",1
"潜力/Na/XIN_CMN_20001129_wpr/9254","潜力/Na/XIN_CMN_20001129_wpr/9254",1
"潜力/Na/XIN_CMN_20001128_wpr/46965","潜力/Na/XIN_CMN_20001128_wpr/46965",1
"潜力/Na/XIN_CMN_20030930_wpr/3186","潜力/Na/XIN_CMN_20030930_wpr/3186",1
"潜力/Na/XIN_CMN_20030520_wpr/5276","潜力/Na/XIN_CMN_20030520_wpr/5276",1
"潜力/Na/XIN_CMN_20001030_wpr/2093","潜力/Na/XIN_CMN_20001030_wpr/2093",1
"潜力/Na/XIN_CMN_20030605_wpr/74093","潜力/Na/XIN_CMN_20030605_wpr/74093",1
"潜力/Na/XIN_CMN_20001113_wpr/38529","潜力/Na/XIN_CMN_20001113_wpr/38529",1
"潜力/Na/XIN_CMN_20030502_wpr/64441","潜力/Na/XIN_CMN_20030502_wpr/64441",1
"潜力/Na/XIN_CMN_20030908_wpr/30401","潜力/Na/XIN_CMN_20030908_wpr/30401",1
"潜力/Na/XIN_CMN_20030520_wpr/14855","潜力/Na/XIN_CMN_20030520_wpr/14855",1
"潜力/Na/XIN_CMN_20001205_wpr/67348","潜力/Na/XIN_CMN_20001205_wpr/67348",1
"潜能/Na/ZBN_CMN_20001028_wpr/25285","潜能/Na/ZBN_CMN_20001028_wpr/25285",1
"潜力/Na/XIN_CMN_20030728_wpr/6714","潜力/Na/XIN_CMN_20030728_wpr/6714",1
"潜力/Na/XIN_CMN_20001027_wpr/37813","潜力/Na/XIN_CMN_20001027_wpr/37813",1
"潜力/Na/XIN_CMN_20030427_wpr/15611","潜力/Na/XIN_CMN_20030427_wpr/15611",1
"潜能/Na/ZBN_CMN_20030607_wpr/29369","潜能/Na/ZBN_CMN_20030607_wpr/29369",1
"潜力/Na/XIN_CMN_20030703_wpr/30280","潜力/Na/XIN_CMN_20030703_wpr/30280",1
"潜力/Na/XIN_CMN_20001120_wpr/49168","潜力/Na/XIN_CMN_20001120_wpr/49168",1
"潜力/Na/XIN_CMN_20001011_wpr/29265","潜力/Na/XIN_CMN_20001011_wpr/29265",1
"潜力/Na/XIN_CMN_20030904_wpr/1207","潜力/Na/XIN_CMN_20030904_wpr/1207",1
"潜力/Na/XIN_CMN_20030414_wpr/62863","潜力/Na/XIN_CMN_20030414_wpr/62863",1
"潜力/Na/XIN_CMN_20010104_wpr/71447","潜力/Na/XIN_CMN_20010104_wpr/71447",1
"潜力/Na/XIN_CMN_20010117_wpr/70080","潜力/Na/XIN_CMN_20010117_wpr/70080",1
"潜力/Na/XIN_CMN_20001211_wpr/19782","潜力/Na/XIN_CMN_20001211_wpr/19782",1
"潜力/Na/XIN_CMN_20030923_wpr/39694","潜力/Na/XIN_CMN_20030923_wpr/39694",1
"潜力/Na/XIN_CMN_20030626_wpr/41802","潜力/Na/XIN_CMN_20030626_wpr/41802",1
"潜力/Na/XIN_CMN_20030804_wpr/2312","潜力/Na/XIN_CMN_20030804_wpr/2312",1
"潜力/Na/XIN_CMN_20030925_wpr/54768","潜力/Na/XIN_CMN_20030925_wpr/54768",1
"潜力/Na/XIN_CMN_20030918_wpr/32931","潜力/Na/XIN_CMN_20030918_wpr/32931",1
"潜力/Na/XIN_CMN_20030716_wpr/7180","潜力/Na/XIN_CMN_20030716_wpr/7180",1
"潜力/Na/XIN_CMN_20030925_wpr/26075","潜力/Na/XIN_CMN_20030925_wpr/26075",1
"潜力/Na/XIN_CMN_20030705_wpr/4859","潜力/Na/XIN_CMN_20030705_wpr/4859",1
"潜力/Na/ZBN_CMN_20010101_wpr/33484","潜力/Na/ZBN_CMN_20010101_wpr/33484",1
"潜力/Na/XIN_CMN_20001031_wpr/13946","潜力/Na/XIN_CMN_20001031_wpr/13946",1
"潜能/Na/ZBN_CMN_20030811_wpr/41431","潜能/Na/ZBN_CMN_20030811_wpr/41431",1
"潜能/Na/ZBN_CMN_20030626_wpr/33610","潜能/Na/ZBN_CMN_20030626_wpr/33610",1
"潜力/Na/XIN_CMN_20010126_wpr/4094","潜力/Na/XIN_CMN_20010126_wpr/4094",1
"潜力/Na/XIN_CMN_20030729_wpr/8732","潜力/Na/XIN_CMN_20030729_wpr/8732",1
"潜力/Na/XIN_CMN_20001120_wpr/26057","潜力/Na/XIN_CMN_20001120_wpr/26057",1
"潜力/Na/CNA_CMN_20001109_wpr/79985","潜力/Na/CNA_CMN_20001109_wpr/79985",1
"潜力/Na/XIN_CMN_20010116_wpr/14465","潜力/Na/XIN_CMN_20010116_wpr/14465",1
"潜力/Na/XIN_CMN_20030825_wpr/69779","潜力/Na/XIN_CMN_20030825_wpr/69779",1
"潜力/Na/XIN_CMN_20030720_wpr/53286","潜力/Na/XIN_CMN_20030720_wpr/53286",1
"潜力/Na/XIN_CMN_20001125_wpr/26421","潜力/Na/XIN_CMN_20001125_wpr/26421",1
"潜力/Na/XIN_CMN_20010108_wpr/7688","潜力/Na/XIN_CMN_20010108_wpr/7688",1
"潜力/Na/XIN_CMN_20030909_wpr/1835","潜力/Na/XIN_CMN_20030909_wpr/1835",1
