"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"SumAbsDev"	"LargestDev"
"－"	0	0	0	0	1	0	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	-0.113	-0.069	-0.021	0.717	-0.179	1.119	"5"
"‘"	0	1	0	0	0	0	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	0.641	-0.069	-0.021	-0.093	-0.179	1.023	"2"
"’"	0	1	0	0	0	0	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	0.641	-0.069	-0.021	-0.093	-0.179	1.023	"2"
"146"	0	0	1	0	0	0	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	-0.113	0.831	-0.021	-0.093	-0.179	1.257	"3"
"1989年"	0	1	0	0	0	0	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	0.641	-0.069	-0.021	-0.093	-0.179	1.023	"2"
"2000年度"	0	0	1	0	0	0	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	-0.113	0.831	-0.021	-0.093	-0.179	1.257	"3"
"50多"	0	0	0	0	1	0	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	-0.113	-0.069	-0.021	0.717	-0.179	1.119	"5"
"60年代"	0	0	1	0	0	0	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	-0.113	0.831	-0.021	-0.093	-0.179	1.257	"3"
"891105"	0	0	0	0	0	1	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	-0.113	-0.069	-0.021	-0.093	0.472	0.788	"6"
"891113"	0	0	0	0	0	1	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	-0.113	-0.069	-0.021	-0.093	0.472	0.788	"6"
"ERA"	0	0	1	0	0	0	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	-0.113	0.831	-0.021	-0.093	-0.179	1.257	"3"
"Linux"	0	0	0	0	0	1	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	-0.113	-0.069	-0.021	-0.093	0.472	0.788	"6"
"ST"	0	0	0	0	0	2	0.092	0.457	0.295	0.096	0.384	0.675	-0.041	-0.226	-0.139	-0.043	-0.185	0.943	1.577	"6"
"一些"	0	0	0	0	2	0	0.092	0.457	0.295	0.096	0.384	0.675	-0.041	-0.226	-0.139	-0.043	1.434	-0.358	2.241	"5"
"一再"	0	1	0	0	0	0	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	0.641	-0.069	-0.021	-0.093	-0.179	1.023	"2"
"一切"	0	0	0	2	0	9	0.504	2.516	1.623	0.531	2.112	3.714	-0.224	-1.241	-0.763	1.019	-1.018	2.817	7.082	"6"
"一方面"	0	0	0	0	0	1	0.046	0.229	0.148	0.048	0.192	0.338	-0.02	-0.113	-0.069	-0.021	-0.093	0.472	0.788	"6"
