"cluster"	"sigcol"
"6"	"派"
"6"	"内部"
"2"	"重要"
"2"	"甚于"
"4"	"舞台"
"4"	"大中华"
"4"	"合起"
"1"	"运用"
"1"	"一切"
"1"	"敌对"
"1"	"息"
"4"	"维护"
"4"	"党派"
"4"	"尽"
"4"	"游说"
"4"	"争取"
"4"	"有心"
"4"	"侨胞"
"4"	"就是"
"2"	"积极"
"2"	"社会"
"2"	"重要"
"2"	"见证"
"2"	"连战"
"2"	"支持"
"2"	"暗"
"6"	"个人"
"6"	"私利"
"6"	"在野"
"6"	"制衡"
"6"	"展现"
"4"	"才能"
"4"	"显现"
"4"	"伟大"
"2"	"国民党"
"2"	"结合"
"2"	"结合"
"2"	"合"
"2"	"人民"
"2"	"力量"
"2"	"国民党"
"2"	"结合"
"2"	"全力"
"2"	"投入"
"2"	"救灾"
"2"	"罢"
"4"	"证券市"
"4"	"稳定"
"4"	"891101"
"4"	"公告"
"6"	"在野党"
"6"	"凝聚"
"6"	"破坏性"
"6"	"国民党"
"4"	"建军"
"4"	"备战"
"4"	"新生"
"2"	"发挥"
"2"	"安定"
"2"	"社会"
"2"	"深信"
"2"	"华人"
"2"	"透过"
"2"	"凝聚"
"2"	"在野党"
"2"	"结合"
"2"	"在野"
"1"	"强"
"1"	"组织"
"1"	"雄厚"
"1"	"亿万"
"1"	"戴克辛"
"6"	"执政"
"6"	"有种"
"6"	"制衡"
"6"	"知所"
"2"	"力量"
"2"	"联合"
"2"	"形成"
"2"	"真正"
"2"	"稳定"
"2"	"连带"
"2"	"凝聚"
"3"	"形成"
"3"	"股"
"3"	"重要"
"2"	"发挥"
"2"	"社会"
"2"	"向"
"2"	"提升"
"2"	"台湾国"
"2"	"再一次"
"2"	"发挥"
"2"	"社会"
"2"	"大众"
"2"	"国防"
"2"	"社会"
"2"	"安定"
"2"	"稳定"
"2"	"国防"
"2"	"重要"
"2"	"积极"
"2"	"主要"
"2"	"民间"
"2"	"结合"
"7"	"军事"
"4"	"柔"
"4"	"无穷"
"4"	"动员"
"4"	"办好"
"4"	"二00四年"
"1"	"台海"
"1"	"国防"
"1"	"方面"
"3"	"股"
"3"	"怪"
"3"	"社会"
"3"	"才能"
"4"	"真正"
"4"	"挂勾"
"4"	"消长"
"4"	"显而易见"
"4"	"借"
"4"	"给予"
"2"	"股"
"2"	"民间"
"2"	"自发"
"2"	"背后"
"2"	"人心"
"4"	"社会"
"4"	"单"
"4"	"凭"
"4"	"推动"
"4"	"够"
"2"	"携手"
"2"	"才能"
"2"	"发挥"
"2"	"民间"
"2"	"自醒"
"2"	"自觉"
"2"	"自动自发"
"2"	"发挥"
"2"	"人际"
"2"	"感化"
"2"	"就是"
"2"	"妇女"
"2"	"结盟"
"2"	"展现"
"2"	"妇女"
"2"	"智慧"
"2"	"结合"
"2"	"支持"
"2"	"联合"
"2"	"政党"
"2"	"会期"
"1"	"份"
"1"	"白皮书"
"1"	"国防"
"1"	"支援"
"2"	"民间"
"2"	"社会"
"2"	"力量"
"2"	"跨出"
"4"	"有限"
"4"	"民力"
"4"	"无穷"
"4"	"透过"
"4"	"集体"
"2"	"----"
"2"	"凝聚"
"2"	"中道"
"2"	"理性"
"2"	"务实"
"2"	"监督"
"2"	"----"
"3"	"股"
"3"	"理性"
"3"	"尝试"
"3"	"透过"
"3"	"集"
"3"	"结"
"6"	"党派"
"6"	"私利"
"6"	"中道"
"6"	"社会"
"6"	"乱源"
"6"	"超党派"
"6"	"联盟"
"2"	"凝聚"
"5"	"在野"
"5"	"联盟"
"5"	"股"
"5"	"强大"
"2"	"民间"
"2"	"监督"
"2"	"成长"
"2"	"茁壮"
"2"	"共同"
"2"	"抗拒"
"7"	"长程"
"7"	"战略"
"7"	"部署"
"7"	"强有力"
"7"	"军事"
"7"	"遏阻"
"7"	"侵略"
"2"	"编组"
"2"	"团结"
"2"	"分部"
"2"	"党员"
"4"	"统合"
"2"	"一切"
"2"	"大家"
"2"	"团结"
"2"	"团结"
"4"	"单纯"
"4"	"对比"
"2"	"全民健保"
"2"	"赋予"
"2"	"加强"
"2"	"民间"
"2"	"监督"
"2"	"侨胞"
"2"	"祖国"
"2"	"团结"
"2"	"举办"
"2"	"升旗"
"2"	"侨团"
"2"	"借由"
"4"	"帮助"
"2"	"安定"
"6"	"在野"
"6"	"联盟"
"6"	"监督"
"6"	"在野"
"6"	"联盟"
"1"	"装备"
"1"	"动员"
"1"	"海空"
"1"	"加勒比海"
"6"	"才能"
"6"	"聚集"
"6"	"党"
"6"	"整体"
"6"	"胜选"
"6"	"党"
"6"	"政局"
"6"	"稳"
"6"	"OO"
"2"	"主流"
"4"	"个人"
"4"	"匪谍"
"2"	"结合"
"2"	"自力"
"5"	"死硬"
"5"	"强大"
"4"	"导体业"
"4"	"驱动"
"4"	"力量"
"4"	"个人电脑"
"4"	"驱动"
"2"	"治安"
"2"	"单"
"2"	"靠"
"2"	"下"
"2"	"重要"
"2"	"透过"
"2"	"民间"
"2"	"下"
"2"	"志工"
"2"	"运用"
"2"	"民间"
"2"	"协助"
"2"	"社会"
"2"	"研"
"2"	"各界"
"2"	"推动"
"4"	"个人"
"4"	"透过"
"4"	"团队"
"4"	"积极"
"4"	"着眼"
"5"	"军事"
"5"	"强大"
"5"	"杀伤力"
"4"	"部落"
"4"	"象征"
"4"	"部落"
"4"	"重获"
"4"	"神秘"
"4"	"空中"
"4"	"巡"
"4"	"统合"
"4"	"运用"
"3"	"形成"
"3"	"政局"
"3"	"稳定"
"3"	"股"
"3"	"中道"
"7"	"核心"
"7"	"军事"
"7"	"夺回"
"4"	"靠"
"4"	"发挥"
"4"	"全民"
"4"	"对抗"
"4"	"贡献"
"4"	"份"
"5"	"支持"
"5"	"声音"
"5"	"愈来愈"
"5"	"强大"
"2"	"结合"
"2"	"各界"
"2"	"组织"
"4"	"防卫"
"2"	"发挥"
"4"	"强"
"4"	"防卫"
