"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"SumAbsDev"	"LargestDev"
"----"	0	2	0	0	0	0	0	0	0.174	0.476	0.044	0.502	0.035	0.616	0.055	0.098	-0.079	1.246	-0.019	-0.251	-0.015	-0.32	-0.024	-0.044	1.998	"2"
"‘"	0	0	0	1	0	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	0.601	-0.008	-0.16	-0.012	-0.022	0.971	"4"
"’"	0	0	0	1	0	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	0.601	-0.008	-0.16	-0.012	-0.022	0.971	"4"
"『"	0	0	0	0	0	1	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	-0.125	-0.008	0.512	-0.012	-0.022	0.847	"6"
"』"	0	0	0	0	0	1	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	-0.125	-0.008	0.512	-0.012	-0.022	0.847	"6"
"1999"	0	0	0	0	0	0	0	1	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	-0.125	-0.008	-0.16	-0.012	1.309	1.782	"8"
"70年代"	0	0	0	0	0	0	1	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	-0.125	-0.008	-0.16	1.559	-0.022	2.042	"7"
"891101"	0	0	0	1	0	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	0.601	-0.008	-0.16	-0.012	-0.022	0.971	"4"
"ABC"	0	0	0	0	0	1	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	-0.125	-0.008	0.512	-0.012	-0.022	0.847	"6"
"ispower"	0	1	0	0	0	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	0.623	-0.01	-0.125	-0.008	-0.16	-0.012	-0.022	1	"2"
"Knowledge"	0	1	0	0	0	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	0.623	-0.01	-0.125	-0.008	-0.16	-0.012	-0.022	1	"2"
"OO"	0	0	0	0	0	1	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	-0.125	-0.008	0.512	-0.012	-0.022	0.847	"6"
"一些"	0	0	0	0	0	3	0	0	0.261	0.715	0.066	0.752	0.052	0.924	0.083	0.147	-0.119	-0.354	-0.029	-0.376	-0.023	1.535	-0.036	-0.066	2.538	"6"
"一值"	0	0	0	0	0	1	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	-0.125	-0.008	0.512	-0.012	-0.022	0.847	"6"
"一切"	9	1	0	0	0	0	0	0	0.87	2.382	0.22	2.508	0.173	3.079	0.276	0.491	8.578	-0.566	-0.097	-1.254	-0.076	-1.598	-0.122	-0.219	12.51	"1"
"一旦"	0	0	0	0	0	1	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	-0.125	-0.008	0.512	-0.012	-0.022	0.847	"6"
"一百九十"	0	0	0	0	0	1	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	-0.125	-0.008	0.512	-0.012	-0.022	0.847	"6"
"一部分"	1	0	0	0	0	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	1.06	-0.118	-0.01	-0.125	-0.008	-0.16	-0.012	-0.022	1.515	"1"
"上书"	0	0	0	1	0	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	0.601	-0.008	-0.16	-0.012	-0.022	0.971	"4"
"上台"	0	0	0	1	0	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	0.601	-0.008	-0.16	-0.012	-0.022	0.971	"4"
"上肢"	1	0	0	0	0	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	1.06	-0.118	-0.01	-0.125	-0.008	-0.16	-0.012	-0.022	1.515	"1"
"上路"	1	0	0	0	0	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	1.06	-0.118	-0.01	-0.125	-0.008	-0.16	-0.012	-0.022	1.515	"1"
"下"	0	3	0	1	0	0	0	0	0.348	0.953	0.088	1.003	0.069	1.232	0.11	0.197	-0.158	1.353	-0.039	-0.133	-0.03	-0.639	-0.049	-0.088	2.489	"2"
"下岗女"	0	1	0	0	0	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	0.623	-0.01	-0.125	-0.008	-0.16	-0.012	-0.022	1	"2"
"不信任案"	0	0	0	0	0	1	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	-0.125	-0.008	0.512	-0.012	-0.022	0.847	"6"
"不可"	0	0	0	1	0	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	0.601	-0.008	-0.16	-0.012	-0.022	0.971	"4"
"不和"	0	0	0	1	0	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	0.601	-0.008	-0.16	-0.012	-0.022	0.971	"4"
"不张"	0	0	0	1	0	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	0.601	-0.008	-0.16	-0.012	-0.022	0.971	"4"
"不彰"	0	0	0	1	0	0	0	0	0.087	0.238	0.022	0.251	0.017	0.308	0.028	0.049	-0.04	-0.118	-0.01	0.601	-0.008	-0.16	-0.012	-0.022	0.971	"4"
"不断"	0	0	0	1	0	3	0	0	0.348	0.953	0.088	1.003	0.069	1.232	0.11	0.197	-0.158	-0.473	-0.039	-0.133	-0.03	1.047	-0.049	-0.088	2.017	"6"
