"cluster"	"sigcol"
"2"	"申"
"2"	"许可"
"2"	"或者"
"2"	"履行"
"2"	"备案"
"2"	"前"
"2"	"应当"
"2"	"依法"
"2"	"有关"
"2"	"部门"
"2"	"完成"
"2"	"出货"
"2"	"通关"
"2"	"891005"
"2"	"乐成宫"
"3"	"保"
"3"	"列名"
"3"	"承保"
"3"	"投保"
"3"	"简便"
"3"	"承保"
"2"	"入境"
"2"	"简化"
"2"	"证明"
"2"	"放宽"
"2"	"申请"
"2"	"条件"
"2"	"农业用"
"2"	"兴建"
"2"	"关"
"2"	"办理"
"2"	"报停"
"2"	"报废"
"2"	"并"
"2"	"检具"
"2"	"监理"
"2"	"机关"
"2"	"证明"
"2"	"文件"
"2"	"发给"
"2"	"特赦"
"2"	"证明书"
"2"	"办"
"2"	"理"
"2"	"开释"
"2"	"全部"
"2"	"完成"
"2"	"出监"
"2"	"手续"
"2"	"十三"
"3"	"赶办"
"3"	"不及"
"3"	"元旦"
"2"	"码头"
"2"	"实地"
"2"	"通关"
"2"	"后"
"2"	"办"
"2"	"妥"
"2"	"登记"
"2"	"登记"
"2"	"作业"
"2"	"八日"
"3"	"卖淫"
"3"	"领养"
"3"	"不全"
"3"	"小孩"
"3"	"后"
"3"	"初选"
"3"	"领表"
"3"	"放暑假"
"3"	"转学"
"3"	"延"
"3"	"延"
"3"	"巡回"
"2"	"应当"
"2"	"许可证"
"2"	"或者"
"2"	"履行"
"2"	"备"
"2"	"互联网"
"2"	"信息服务"
"2"	"提供者"
"2"	"第十一"
"2"	"条"
"2"	"互联网"
"2"	"信息服务"
"3"	"房屋"
"3"	"上市"
"3"	"交易"
"3"	"提供"
"3"	"调剂"
"3"	"贷"
"3"	"款"
"3"	"担保"
"2"	"擅自"
"2"	"未"
"2"	"办"
"2"	"环保"
"2"	"炉窑"
"2"	"按"
"2"	"规定"
"2"	"简化"
"2"	"贷"
"2"	"款"
"2"	"审批"
"2"	"表"
"2"	"得到"
"2"	"进一步"
"2"	"规范"
"2"	"简便"
"2"	"供电"
"2"	"办理"
"2"	"征地"
"2"	"过程"
"2"	"收受"
"2"	"简化"
"2"	"贷款"
"2"	"贷款"
"2"	"珠江三角洲"
"2"	"旅游"
"2"	"提供"
"2"	"入境"
"2"	"便利"
"2"	"实行"
"2"	"简化"
"2"	"内地"
"2"	"港澳"
"2"	"劳动"
"2"	"部门"
"2"	"办理"
"2"	"企业"
"2"	"职工"
"2"	"录用"
"2"	"企业"
"2"	"劳动"
"2"	"工"
"2"	"按"
"2"	"家属"
"2"	"办理"
"2"	"善"
"2"	"后"
"2"	"有关"
"2"	"部门"
"2"	"不予"
"2"	"办理"
"2"	"许可"
"2"	"第二十四"
"2"	"条"
"2"	"军用机场"
"2"	"应当"
"2"	"办理"
"2"	"兑取"
"2"	"转存"
"2"	"过境"
"2"	"常规"
"2"	"办理"
"2"	"入境"
"2"	"签证"
"2"	"简化"
"2"	"办理"
"2"	"境"
"2"	"手续"
"2"	"必须"
"2"	"简化"
"2"	"一切"
"2"	"及时"
"2"	"就诊"
"2"	"环节"
"2"	"确保"
"2"	"相关"
"2"	"物资"
"2"	"妥当"
"2"	"办"
"2"	"前"
"2"	"重新"
"2"	"办理"
"2"	"审批"
"2"	"重新"
"2"	"核实"
"2"	"收费"
"2"	"期限"
"2"	"收费"
"2"	"完成"
"2"	"审批"
"2"	"正在"
"2"	"寻址"
"2"	"企业"
"2"	"过境"
"2"	"苏丹"
"2"	"不当"
"2"	"为由"
"2"	"扣留"
"2"	"前"
"2"	"办理"
"2"	"登机"
"2"	"前"
"2"	"服务性"
"2"	"简化"
"2"	"减免"
"2"	"收费"
"2"	"履行"
"2"	"结婚"
"2"	"登记"
"2"	"做"
"2"	"法律"
"2"	"户口"
"2"	"落户"
"2"	"才能"
"2"	"办理"
"2"	"户口"
"2"	"迁移"
"2"	"公安"
"2"	"机关"
"2"	"部门"
"2"	"批"
"2"	"海关"
"2"	"办理"
"2"	"出区"
"2"	"海关"
"2"	"予以"
"2"	"免"
"2"	"进口"
"2"	"许可证"
"2"	"免税"
"2"	"家属"
"2"	"家属"
"2"	"办理"
"2"	"认领"
"2"	"领回"
"2"	"认领"
"2"	"旅行社"
"2"	"正在"
"2"	"办理"
"2"	"退款"
"2"	"办理"
"2"	"责任"
"2"	"交付"
"2"	"新航"
"2"	"机师"
"2"	"待"
"2"	"办理"
"2"	"文件"
"2"	"马会赛"
"2"	"ortgagee"
"2"	"办理"
"2"	"贷款"
"2"	"简化"
"2"	"跨"
"2"	"境"
"2"	"并"
"2"	"确保"
"2"	"婚姻"
"2"	"登记"
"2"	"登记"
"2"	"申请"
"2"	"办理"
"2"	"出境"
"2"	"律"
"2"	"行政法"
"2"	"规定"
"2"	"商品房"
"2"	"不须"
"2"	"办理"
"2"	"审批"
"2"	"不再"
"2"	"缴纳"
"2"	"手续费"
"3"	"HDB"
"3"	"职员"
"3"	"转让"
"3"	"付"
"2"	"后"
"2"	"乘客"
"2"	"不必"
"2"	"登机"
"2"	"前"
"2"	"保安"
"2"	"检查"
"2"	"行李"
"2"	"关税"
"2"	"简化"
"2"	"相关"
"2"	"入口"
"2"	"相应"
"2"	"完成"
"2"	"重新"
"2"	"登记"
"2"	"新旧"
"2"	"计"
"2"	"并"
"2"	"急于"
"2"	"办理"
"2"	"退还"
"2"	"易通卡"
"2"	"退还"
"3"	"怎么办"
"3"	"交给"
"2"	"打主意"
"2"	"办"
"2"	"签证"
"2"	"麻烦"
"2"	"市中心"
"2"	"旅舍"
"2"	"昂贵"
"2"	"熟悉"
"3"	"正式"
"3"	"官样"
"2"	"必须"
"2"	"县府"
"2"	"完成"
"2"	"地主"
"2"	"价购"
"2"	"土地"
"2"	"价购"
"2"	"县府"
"2"	"需"
"2"	"依循"
"2"	"司法"
"2"	"法院"
"2"	"命令"
"2"	"法院"
"2"	"简化"
"2"	"开户"
"2"	"作业"
"2"	"完成"
"2"	"审"
"2"	"查"
"2"	"九十年度"
"2"	"总预算案"
"2"	"委员"
"2"	"游家章"
"2"	"时程"
"2"	"须"
"2"	"立法院"
"2"	"何时"
"2"	"完成"
"2"	"立法"
"2"	"定"
"2"	"行政院"
"2"	"动议"
"2"	"拖延"
"2"	"审查"
"2"	"总预算案"
"2"	"是否"
"2"	"核四案"
"2"	"要件"
"2"	"行政院"
"2"	"院会"
"2"	"首长"
"2"	"通过"
"2"	"收购"
"2"	"未"
"2"	"县府"
"2"	"依"
"2"	"申请"
"2"	"征收"
"2"	"计画"
"2"	"内政部"
"2"	"立法院"
"2"	"委员会"
"2"	"讨论"
"2"	"是否"
"2"	"农渔会法"
"2"	"修正"
"2"	"草案"
"2"	"立法院"
"2"	"报告"
"2"	"事项"
"2"	"经"
"2"	"立法院"
"2"	"委员会"
"2"	"讨论"
"2"	"报告"
"2"	"事项"
"2"	"完成"
"2"	"办理"
"2"	"公告"
"2"	"完成"
"2"	"法定"
"2"	"地政局"
"2"	"郑文宪"
"2"	"案"
"2"	"决策"
"2"	"经过"
"2"	"合法"
"2"	"考量"
"2"	"需"
"2"	"启动"
"2"	"机长"
"2"	"随即"
"2"	"根据"
"2"	"运作"
"2"	"採取"
"2"	"适当"
"2"	"飞行"
"3"	"经过"
"3"	"征询"
"3"	"891025"
"2"	"遵守"
"2"	"行政"
"2"	"具体"
"2"	"须"
"2"	"报请"
"2"	"国科会"
"2"	"制定"
"2"	"违"
"2"	"处理"
"2"	"经过"
"2"	"覆议"
"2"	"宪政"
"2"	"宪法"
"2"	"预算"
"2"	"拟定"
"2"	"内容"
"2"	"依"
"2"	"一定"
"2"	"法定"
"2"	"编列"
"2"	"算"
"2"	"案"
"2"	"立法院"
"2"	"审议"
"2"	"经"
"2"	"行政"
"2"	"乃"
"2"	"必要"
"2"	"恶"
"2"	"经"
"2"	"政"
"2"	"申请"
"2"	"办法"
"2"	"条件"
"2"	"需"
"2"	"经"
"2"	"一定"
"2"	"考用"
"2"	"建请"
"2"	"修订"
"2"	"工务"
"2"	"透过"
"2"	"採行"
"2"	"採购"
"2"	"知识型"
"2"	"鑑价"
"2"	"制度"
"2"	"是否"
"2"	"委员会"
"2"	"罢免"
"2"	"连署案"
"2"	"週五"
"2"	"院会"
"2"	"送进"
"2"	"程序"
"2"	"委员会"
"2"	"开会"
"2"	"委员会"
"2"	"才能"
"2"	"处理"
"2"	"修法"
"2"	"过关"
"2"	"取得"
"2"	"立法院"
"2"	"罢免"
"2"	"法源"
"2"	"依据"
"2"	"罢免案"
"2"	"提案"
"2"	"完成"
"2"	"总预算案"
"2"	"审查"
"2"	"三读"
"2"	"政"
"2"	"依"
"2"	"一定"
"2"	"修正"
"2"	"罢免"
"2"	"副总统"
"2"	"法律"
"2"	"完备"
"2"	"立院"
"2"	"党团"
"2"	"众院"
"2"	"加速"
