"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"SumAbsDev"	"LargestDev"
";"	0	0	0	1	1	0	0.54	0.069	0.427	0.115	0.51	0.34	-0.273	-0.03	-0.208	0.952	0.352	-0.162	1.977	"4"
"."	0	0	0	0	0	1	0.27	0.034	0.213	0.058	0.255	0.17	-0.137	-0.015	-0.104	-0.026	-0.128	0.77	1.18	"6"
"│"	0	0	0	0	0	1	0.27	0.034	0.213	0.058	0.255	0.17	-0.137	-0.015	-0.104	-0.026	-0.128	0.77	1.18	"6"
"１"	1	0	1	0	0	0	0.54	0.069	0.427	0.115	0.51	0.34	0.331	-0.03	0.419	-0.051	-0.256	-0.162	1.249	"3"
"168"	0	0	1	0	0	0	0.27	0.034	0.213	0.058	0.255	0.17	-0.137	-0.015	0.671	-0.026	-0.128	-0.081	1.058	"3"
"2008年"	0	0	0	0	2	0	0.54	0.069	0.427	0.115	0.51	0.34	-0.273	-0.03	-0.208	-0.051	1.187	-0.162	1.911	"5"
"8273"	0	0	0	1	0	0	0.27	0.034	0.213	0.058	0.255	0.17	-0.137	-0.015	-0.104	1.24	-0.128	-0.081	1.705	"4"
"891210"	0	0	0	1	0	0	0.27	0.034	0.213	0.058	0.255	0.17	-0.137	-0.015	-0.104	1.24	-0.128	-0.081	1.705	"4"
"891213"	0	0	0	0	0	1	0.27	0.034	0.213	0.058	0.255	0.17	-0.137	-0.015	-0.104	-0.026	-0.128	0.77	1.18	"6"
"891215"	0	0	0	0	1	0	0.27	0.034	0.213	0.058	0.255	0.17	-0.137	-0.015	-0.104	-0.026	0.593	-0.081	0.956	"5"
"e"	0	0	1	0	0	0	0.27	0.034	0.213	0.058	0.255	0.17	-0.137	-0.015	0.671	-0.026	-0.128	-0.081	1.058	"3"
"FDA"	1	0	0	0	0	0	0.27	0.034	0.213	0.058	0.255	0.17	0.569	-0.015	-0.104	-0.026	-0.128	-0.081	0.923	"1"
"llIn"	1	0	0	0	0	0	0.27	0.034	0.213	0.058	0.255	0.17	0.569	-0.015	-0.104	-0.026	-0.128	-0.081	0.923	"1"
"programbuying"	0	0	1	0	0	0	0.27	0.034	0.213	0.058	0.255	0.17	-0.137	-0.015	0.671	-0.026	-0.128	-0.081	1.058	"3"
"Stratus"	0	0	1	0	0	0	0.27	0.034	0.213	0.058	0.255	0.17	-0.137	-0.015	0.671	-0.026	-0.128	-0.081	1.058	"3"
"一切"	0	0	0	0	1	0	0.27	0.034	0.213	0.058	0.255	0.17	-0.137	-0.015	-0.104	-0.026	0.593	-0.081	0.956	"5"
"一定"	0	0	0	0	1	0	0.27	0.034	0.213	0.058	0.255	0.17	-0.137	-0.015	-0.104	-0.026	0.593	-0.081	0.956	"5"
"一旦"	0	0	1	0	0	0	0.27	0.034	0.213	0.058	0.255	0.17	-0.137	-0.015	0.671	-0.026	-0.128	-0.081	1.058	"3"
"一暴十寒"	1	0	0	0	0	0	0.27	0.034	0.213	0.058	0.255	0.17	0.569	-0.015	-0.104	-0.026	-0.128	-0.081	0.923	"1"
"一般"	0	0	1	0	1	0	0.54	0.069	0.427	0.115	0.51	0.34	-0.273	-0.03	0.419	-0.051	0.352	-0.162	1.287	"3"
"万物"	0	0	0	0	1	0	0.27	0.034	0.213	0.058	0.255	0.17	-0.137	-0.015	-0.104	-0.026	0.593	-0.081	0.956	"5"
"三国"	0	0	0	1	0	0	0.27	0.034	0.213	0.058	0.255	0.17	-0.137	-0.015	-0.104	1.24	-0.128	-0.081	1.705	"4"
"三崃"	0	0	0	0	0	1	0.27	0.034	0.213	0.058	0.255	0.17	-0.137	-0.015	-0.104	-0.026	-0.128	0.77	1.18	"6"
"三读"	0	0	0	0	0	1	0.27	0.034	0.213	0.058	0.255	0.17	-0.137	-0.015	-0.104	-0.026	-0.128	0.77	1.18	"6"
