"cluster"	"sigcol"
"2"	"乡村"
"2"	"教师"
"3"	"工人"
"2"	"会"
"2"	"校长"
"2"	"遴聘"
"2"	"学校"
"2"	"行政"
"2"	"家长会"
"3"	"巴美"
"3"	"日报"
"3"	"审计部"
"3"	"退休"
"2"	"校院"
"2"	"专"
"2"	"教师"
"2"	"比照"
"2"	"大学"
"2"	"分级"
"2"	"分为"
"2"	"教授级"
"2"	"教师"
"2"	"体系"
"2"	"学术"
"2"	"分流"
"2"	"尊重"
"2"	"专业"
"2"	"教育部"
"2"	"教师"
"2"	"证照"
"2"	"制度"
"2"	"教师"
"2"	"分级制度"
"2"	"评鑑"
"2"	"制度"
"2"	"激励"
"2"	"教师"
"2"	"士气"
"2"	"国中组"
"2"	"教学"
"2"	"如何"
"2"	"教学"
"2"	"节数"
"2"	"师资"
"2"	"培训"
"2"	"负责"
"2"	"学力"
"2"	"测验"
"2"	"全国"
"2"	"教师"
"2"	"会"
"2"	"学校"
"2"	"学校"
"2"	"学校"
"2"	"不得"
"2"	"双重"
"2"	"国籍"
"2"	"教师"
"2"	"引导"
"2"	"学生"
"5"	"烹饪"
"5"	"教授"
"1"	"承担"
"1"	"辅导"
"1"	"协会"
"1"	"赵荣德"
"1"	"家长"
"1"	"培养"
"2"	"秀山"
"2"	"国小"
"2"	"进修"
"2"	"学校"
"2"	"教学"
"2"	"大专院校"
"2"	"美术"
"2"	"科系"
"2"	"师生"
"2"	"学校"
"2"	"报名"
"2"	"甲"
"2"	"国中"
"2"	"学生"
"2"	"不得"
"2"	"到校"
"2"	"会"
"2"	"表扬"
"2"	"位"
"2"	"优良"
"2"	"位"
"2"	"教学"
"2"	"优良"
"2"	"教师"
"2"	"培训"
"2"	"四百"
"2"	"位"
"2"	"种子"
"2"	"所"
"2"	"中小学"
"2"	"集体"
"2"	"罢教"
"2"	"所"
"2"	"小学"
"2"	"一百五十多"
"2"	"名"
"2"	"无力"
"2"	"人本"
"2"	"教育"
"2"	"中华民国"
"2"	"全国"
"2"	"会"
"2"	"全国"
"2"	"教改"
"2"	"协会"
"2"	"教育"
"2"	"团体"
"2"	"补习班"
"2"	"叶姓"
"2"	"涉嫌"
"2"	"加害"
"2"	"招生"
"2"	"梯次"
"2"	"候用"
"2"	"甄选"
"2"	"硕士"
"2"	"学位"
"2"	"具有"
"2"	"很少"
"2"	"专任"
"2"	"教师"
"2"	"须"
"2"	"兼任"
"2"	"行政"
"2"	"科系"
"1"	"自我"
"1"	"不能够"
"1"	"开课"
"2"	"教育部"
"2"	"鼓励"
"2"	"高中职"
"2"	"互动"
"2"	"教学"
"2"	"协助"
"2"	"学生"
"2"	"吴兴国"
"2"	"教师"
"2"	"简馨莹"
"2"	"潭美"
"2"	"国小"
"2"	"柯凯珮"
"2"	"师范"
"2"	"学院"
"2"	"蒐集"
"2"	"整理出"
"2"	"学校"
"2"	"学术"
"2"	"学生"
"2"	"学术"
"2"	"教育部"
"2"	"学者"
"2"	"办理"
"2"	"体育"
"2"	"学生家"
"2"	"学校"
"2"	"护理"
"2"	"教育部长"
"2"	"曾志朗"
"2"	"颁奖给"
"2"	"八十九年度"
"2"	"综合高"
"2"	"中"
"2"	"自编"
"2"	"教材"
"2"	"教"
"2"	"师"
"2"	"期勉"
"2"	"全体"
"2"	"891224"
"2"	"北县"
"2"	"开办"
"2"	"英语"
"2"	"研习"
"2"	"国小"
"2"	"英文"
"2"	"师资"
"2"	"不足"
"1"	"应对"
"1"	"日常"
"2"	"办理"
"2"	"教师"
"2"	"资讯"
"2"	"素养"
"2"	"检定"
"2"	"要求"
"2"	"学会"
"2"	"电子邮件"
"2"	"表扬"
"2"	"县市"
"2"	"全国"
"2"	"会"
"2"	"评鑑"
"1"	"门"
"1"	"课"
"1"	"学生"
"2"	"薪资"
"2"	"免税"
"2"	"私校"
"2"	"公立"
"2"	"学校"
"2"	"教师"
"2"	"资遣"
"2"	"抚卹"
"2"	"中文"
"2"	"学校"
"2"	"联合会"
"2"	"研习"
"2"	"座谈"
"2"	"问卷"
"2"	"大部分"
"2"	"教材"
"2"	"衔接"
"2"	"不得"
"2"	"聘请"
"2"	"补习班"
"2"	"兼课"
"2"	"中等"
"2"	"学校"
"2"	"教职员"
"2"	"担任"
"2"	"学生"
"2"	"导师"
"2"	"静坐"
"2"	"抗议"
"2"	"七十多"
"2"	"位"
"2"	"北上"
"2"	"教育部"
"2"	"陈情"
"2"	"教师"
"2"	"全国"
"2"	"会"
"2"	"培养"
"2"	"开学"
"2"	"高中职"
"2"	"国中小"
"2"	"代理"
"2"	"甄选"
"2"	"报名"
"2"	"作业"
"2"	"学校"
"2"	"名"
"2"	"校"
"2"	"提昇"
"2"	"师资"
"2"	"专业"
"2"	"提供"
"2"	"进修"
"2"	"遴选"
"2"	"丰富"
"3"	"德州"
"3"	"音乐"
"3"	"学会"
"3"	"州级"
"3"	"音乐"
"3"	"新进"
"3"	"新进"
"3"	"年资"
"3"	"退休"
"2"	"鼓励"
"2"	"学生"
"2"	"一同"
"2"	"聘请"
"2"	"专业"
"2"	"指导"
"2"	"排练"
"2"	"提高"
"2"	"位"
"2"	"小学"
"2"	"路费"
"2"	"课程"
"2"	"作业"
"2"	"吃同"
"2"	"负担"
"2"	"学生"
"2"	"岁"
"2"	"南通聋"
"2"	"校"
"2"	"法定"
"2"	"教师"
"2"	"资格"
"2"	"认定"
"2"	"获得"
"2"	"资格"
"2"	"教师"
"2"	"资格"
"2"	"制度"
"2"	"教师"
"2"	"普通"
"2"	"高校"
"2"	"从事"
"2"	"科研"
"2"	"科研"
"2"	"推广"
"3"	"主持人"
"3"	"影视"
"3"	"话剧"
"3"	"普通话"
"2"	"考生"
"2"	"教育部门"
"2"	"教师"
"2"	"教学"
"2"	"取长补短"
"2"	"提高"
"2"	"本地"
"2"	"海安"
"2"	"教师"
"2"	"教育"
"2"	"教龄"
"2"	"资格"
"2"	"认定"
"2"	"专业"
"2"	"职"
"2"	"任职"
"2"	"资格"
"2"	"评审"
"2"	"素质"
"2"	"学校"
"2"	"管理人员"
"2"	"队伍"
"2"	"整体"
"2"	"素质"
"2"	"资助"
"2"	"培训"
"2"	"中小学"
"2"	"教育"
"2"	"9日电"
"2"	"教师"
"2"	"超员"
"2"	"边远"
"2"	"山区"
"2"	"学校"
"2"	"教师"
"2"	"短缺"
"2"	"素质"
"2"	"学历"
"2"	"合格率"
"2"	"9%"
"3"	"干部"
"3"	"具有"
"3"	"中级"
"3"	"职称"
"3"	"旁听"
"3"	"笔试"
"3"	"名"
"2"	"10余"
"2"	"所"
"2"	"学校"
"2"	"中小学"
"3"	"万亿"
"3"	"里拉"
"3"	"工资"
"2"	"名"
"2"	"湖南省"
"2"	"希望小学"
"2"	"汇集"
"2"	"希望工程"
"2"	"师资"
"2"	"培训"
"2"	"教师"
"2"	"教育"
"2"	"颁发"
"2"	"资格证"
"2"	"正规"
"2"	"院校"
"2"	"名"
"2"	"英语"
"2"	"杨木水"
"2"	"名"
"2"	"教师"
"2"	"资格"
"2"	"条例"
"2"	"实施"
"2"	"资格"
"2"	"制度"
"2"	"体系"
"2"	"教育部"
"2"	"鼓励"
"2"	"富余"
"2"	"教师"
"2"	"转岗"
"2"	"还可以"
"2"	"兴办"
"2"	"学前"
"2"	"教育"
"2"	"中小学"
"2"	"公办"
"2"	"教师"
"2"	"乡镇"
"2"	"工资"
"2"	"发放"
"2"	"代发"
"2"	"乡镇"
"2"	"教师"
"2"	"工资"
"2"	"面向"
"2"	"学生"
"2"	"中小学"
"2"	"信息技术课"
"2"	"教育"
"2"	"侮辱"
"2"	"学生"
"2"	"坚决"
"2"	"教师"
"2"	"资格"
"2"	"教师"
"2"	"丰富"
"2"	"队伍"
"2"	"全国"
"2"	"所"
"2"	"学"
"2"	"物理"
"2"	"专业"
"2"	"教师"
"2"	"语言"
"2"	"英语"
"2"	"教师"
"2"	"日语"
"2"	"义务教育"
"2"	"精简"
"2"	"队伍"
"2"	"教育"
"2"	"提高"
"2"	"教"
"2"	"学"
"2"	"教育"
"2"	"农村"
"2"	"中小学"
"2"	"队伍"
"3"	"铁饭碗"
"2"	"教师"
"2"	"园丁奖"
"2"	"全国"
"2"	"700多"
"2"	"名"
"2"	"获奖"
"2"	"设立"
"2"	"外语"
"1"	"家长"
"1"	"提高"
"1"	"孩子"
"1"	"能力"
"2"	"队伍"
"2"	"具有"
"2"	"中小学"
"2"	"学历"
"2"	"专业"
"2"	"农村"
"2"	"教师"
"2"	"编制"
"2"	"培训"
"2"	"经费"
"2"	"短缺"
"2"	"农村"
"2"	"培"
"2"	"训"
"2"	"困难重重"
"2"	"农村"
"2"	"教育"
"2"	"引导"
"2"	"提高"
"2"	"教学"
"2"	"位"
"2"	"获奖"
"2"	"62"
"2"	"名"
"2"	"教育部"
"2"	"高等"
"2"	"学校"
"2"	"教师法"
"2"	"队伍"
"2"	"陈至立"
"2"	"前列"
"2"	"具有"
"2"	"职业"
"2"	"全国"
"2"	"农村"
"2"	"中小学"
"2"	"优秀"
