"","tokenlabel","cluster"
"节目/Na/CNA_CMN_20001011_wpr/53300","节目/Na/CNA_CMN_20001011_wpr/53300",1
"广播/Na/XIN_CMN_20001124_wpr/35129","广播/Na/XIN_CMN_20001124_wpr/35129",1
"节目/Na/XIN_CMN_20030512_wpr/42347","节目/Na/XIN_CMN_20030512_wpr/42347",1
"广播/Na/ZBN_CMN_20030727_wpr/30254","广播/Na/ZBN_CMN_20030727_wpr/30254",1
"节目/Na/ZBN_CMN_20030827_wpr/68865","节目/Na/ZBN_CMN_20030827_wpr/68865",1
"广播/Na/CNA_CMN_20030402_wpr/6739","广播/Na/CNA_CMN_20030402_wpr/6739",1
"广播/Na/CNA_CMN_20001205_wpr/51153","广播/Na/CNA_CMN_20001205_wpr/51153",1
"广播/Na/XIN_CMN_20030506_wpr/33574","广播/Na/XIN_CMN_20030506_wpr/33574",1
"广播/Na/XIN_CMN_20030828_wpr/14563","广播/Na/XIN_CMN_20030828_wpr/14563",1
"广播/Na/XIN_CMN_20001017_wpr/20789","广播/Na/XIN_CMN_20001017_wpr/20789",1
"广播/Na/XIN_CMN_20001227_wpr/26436","广播/Na/XIN_CMN_20001227_wpr/26436",1
"广播/Na/XIN_CMN_20001014_wpr/12134","广播/Na/XIN_CMN_20001014_wpr/12134",1
"广播/Na/CNA_CMN_20001115_wpr/73192","广播/Na/CNA_CMN_20001115_wpr/73192",1
"广播/Na/ZBN_CMN_20010106_wpr/10671","广播/Na/ZBN_CMN_20010106_wpr/10671",1
"广播/Na/CNA_CMN_20001107_wpr/160605","广播/Na/CNA_CMN_20001107_wpr/160605",1
"广播/Na/CNA_CMN_20001107_wpr/93789","广播/Na/CNA_CMN_20001107_wpr/93789",1
"广播/Na/CNA_CMN_20010119_wpr/118016","广播/Na/CNA_CMN_20010119_wpr/118016",1
"广播/Na/CNA_CMN_20001121_wpr/48927","广播/Na/CNA_CMN_20001121_wpr/48927",1
"广播/Na/XIN_CMN_20030830_wpr/13073","广播/Na/XIN_CMN_20030830_wpr/13073",1
"广播/Na/ZBN_CMN_20030817_wpr/17632","广播/Na/ZBN_CMN_20030817_wpr/17632",1
