"Coll_Word"	"1"	"2"	"3"	"4"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"SumAbsDev"	"LargestDev"
"－－"	0	0	0	2	0.566	0.161	0.244	1.029	-0.289	-0.073	-0.113	0.577	1.052	"4"
"“"	1	0	0	26	7.642	2.175	3.292	13.891	-2.835	-0.985	-1.525	6.37	11.715	"4"
"”"	0	0	1	24	7.076	2.014	3.049	12.862	-3.613	-0.912	-0.761	5.825	11.111	"4"
"10多"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"11.3"	0	0	1	0	0.283	0.081	0.122	0.514	-0.145	-0.036	0.914	-0.314	1.409	"3"
"124"	0	1	0	0	0.283	0.081	0.122	0.514	-0.145	1.094	-0.056	-0.314	1.609	"2"
"1339"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"1400"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"2001年"	0	0	0	3	0.849	0.242	0.366	1.543	-0.434	-0.109	-0.169	0.866	1.578	"4"
"2004年"	0	0	0	2	0.566	0.161	0.244	1.029	-0.289	-0.073	-0.113	0.577	1.052	"4"
"2005年"	0	0	0	3	0.849	0.242	0.366	1.543	-0.434	-0.109	-0.169	0.866	1.578	"4"
"2007年"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"2008年"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"2010年"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"240万"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"2亿"	0	0	1	0	0.283	0.081	0.122	0.514	-0.145	-0.036	0.914	-0.314	1.409	"3"
"3000万"	0	0	1	0	0.283	0.081	0.122	0.514	-0.145	-0.036	0.914	-0.314	1.409	"3"
"400多"	0	0	1	0	0.283	0.081	0.122	0.514	-0.145	-0.036	0.914	-0.314	1.409	"3"
"44.29"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"48亿"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"4亿"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"5.18"	0	0	1	0	0.283	0.081	0.122	0.514	-0.145	-0.036	0.914	-0.314	1.409	"3"
"500万"	0	0	1	0	0.283	0.081	0.122	0.514	-0.145	-0.036	0.914	-0.314	1.409	"3"
"540万"	0	0	1	0	0.283	0.081	0.122	0.514	-0.145	-0.036	0.914	-0.314	1.409	"3"
"566"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"5年"	0	0	1	0	0.283	0.081	0.122	0.514	-0.145	-0.036	0.914	-0.314	1.409	"3"
"78026"	0	0	1	0	0.283	0.081	0.122	0.514	-0.145	-0.036	0.914	-0.314	1.409	"3"
"8"	0	2	1	0	0.849	0.242	0.366	1.543	-0.434	1.735	0.491	-0.941	3.601	"2"
"891114"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"EMBA"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"Esmart"	0	0	0	2	0.566	0.161	0.244	1.029	-0.289	-0.073	-0.113	0.577	1.052	"4"
"ontactless"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"programme"	0	0	1	0	0.283	0.081	0.122	0.514	-0.145	-0.036	0.914	-0.314	1.409	"3"
"TOP"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"WAP"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"ww.firstindependent.com.sg"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"一些"	0	0	2	0	0.566	0.161	0.244	1.029	-0.289	-0.073	1.828	-0.628	2.818	"3"
"一体"	0	0	1	1	0.566	0.161	0.244	1.029	-0.289	-0.073	0.64	-0.134	1.136	"3"
"一切"	1	0	0	1	0.566	0.161	0.244	1.029	0.313	-0.073	-0.113	-0.134	0.633	"1"
"一年"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"一手"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"一般"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"一部分"	0	1	0	0	0.283	0.081	0.122	0.514	-0.145	1.094	-0.056	-0.314	1.609	"2"
"三位一体"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"上市"	0	0	0	3	0.849	0.242	0.366	1.543	-0.434	-0.109	-0.169	0.866	1.578	"4"
"上海市"	0	0	1	1	0.566	0.161	0.244	1.029	-0.289	-0.073	0.64	-0.134	1.136	"3"
"上等"	0	1	0	0	0.283	0.081	0.122	0.514	-0.145	1.094	-0.056	-0.314	1.609	"2"
"下"	0	0	0	6	1.698	0.483	0.732	3.087	-0.867	-0.219	-0.339	1.732	3.157	"4"
"下移"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"不懈"	2	0	0	0	0.566	0.161	0.244	1.029	1.096	-0.073	-0.113	-0.628	1.91	"1"
"专家组"	0	0	0	3	0.849	0.242	0.366	1.543	-0.434	-0.109	-0.169	0.866	1.578	"4"
"专递"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"专项"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"世纪"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"东道主"	0	1	0	0	0.283	0.081	0.122	0.514	-0.145	1.094	-0.056	-0.314	1.609	"2"
"两基"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"严格"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"个"	0	13	9	0	6.227	1.772	2.683	11.318	-3.179	8.828	3.179	-6.903	22.089	"2"
"个人化"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"个性化"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"中东"	0	0	0	4	1.132	0.322	0.488	2.058	-0.578	-0.146	-0.226	1.155	2.105	"4"
"中国"	2	0	1	2	1.415	0.403	0.61	2.572	0.36	-0.182	0.321	-0.325	1.188	"1"
"中小型"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"中心"	0	0	1	1	0.566	0.161	0.244	1.029	-0.289	-0.073	0.64	-0.134	1.136	"3"
"中期"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"中石化"	0	0	1	0	0.283	0.081	0.122	0.514	-0.145	-0.036	0.914	-0.314	1.409	"3"
"中资"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"临界"	0	0	1	0	0.283	0.081	0.122	0.514	-0.145	-0.036	0.914	-0.314	1.409	"3"
"主义"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"主动"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"主打"	0	1	0	0	0.283	0.081	0.122	0.514	-0.145	1.094	-0.056	-0.314	1.609	"2"
"主要"	0	1	0	7	2.264	0.644	0.976	4.116	-1.156	0.31	-0.452	1.377	3.295	"4"
"主计"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"举步维艰"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"义务教育"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"义警"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"乏善可陈"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"乒乓球界"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"乡镇"	1	0	0	1	0.566	0.161	0.244	1.029	0.313	-0.073	-0.113	-0.134	0.633	"1"
"了事"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"争光"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"争夺"	0	1	0	0	0.283	0.081	0.122	0.514	-0.145	1.094	-0.056	-0.314	1.609	"2"
"争议"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"事业"	0	0	0	3	0.849	0.242	0.366	1.543	-0.434	-0.109	-0.169	0.866	1.578	"4"
"事业性"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"事业部"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"事故"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"五"	0	0	0	2	0.566	0.161	0.244	1.029	-0.289	-0.073	-0.113	0.577	1.052	"4"
"交流"	0	0	1	0	0.283	0.081	0.122	0.514	-0.145	-0.036	0.914	-0.314	1.409	"3"
"交通"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"产业"	0	0	2	0	0.566	0.161	0.244	1.029	-0.289	-0.073	1.828	-0.628	2.818	"3"
"产物"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"京剧"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"人事"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"人口"	0	0	1	0	0.283	0.081	0.122	0.514	-0.145	-0.036	0.914	-0.314	1.409	"3"
"人员"	1	0	0	13	3.963	1.128	1.707	7.202	-1.208	-0.511	-0.791	2.888	5.398	"4"
"人大"	2	0	0	0	0.566	0.161	0.244	1.029	1.096	-0.073	-0.113	-0.628	1.91	"1"
"人居"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"人才"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"人民币"	0	0	2	0	0.566	0.161	0.244	1.029	-0.289	-0.073	1.828	-0.628	2.818	"3"
"人道"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"亿"	0	0	3	1	1.132	0.322	0.488	2.058	-0.578	-0.146	2.181	-0.536	3.441	"3"
"亿兆"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"今后"	1	0	1	0	0.566	0.161	0.244	1.029	0.313	-0.073	0.64	-0.628	1.654	"3"
"介绍"	1	0	0	4	1.415	0.403	0.61	2.572	-0.249	-0.182	-0.282	0.686	1.399	"4"
"仍然"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"从事"	0	0	0	5	1.415	0.403	0.61	2.572	-0.723	-0.182	-0.282	1.443	2.63	"4"
"付款"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"付诸"	0	0	1	1	0.566	0.161	0.244	1.029	-0.289	-0.073	0.64	-0.134	1.136	"3"
"以上"	0	1	1	0	0.566	0.161	0.244	1.029	-0.289	0.811	0.64	-0.628	2.368	"2"
"以外"	0	0	1	0	0.283	0.081	0.122	0.514	-0.145	-0.036	0.914	-0.314	1.409	"3"
"任免"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"任务"	2	0	0	1	0.849	0.242	0.366	1.543	0.71	-0.109	-0.169	-0.32	1.308	"1"
"任期"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"伊"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"休假"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"休闲"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"优先"	0	0	3	0	0.849	0.242	0.366	1.543	-0.434	-0.109	2.742	-0.941	4.226	"3"
"优劣"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"优势"	0	2	0	0	0.566	0.161	0.244	1.029	-0.289	2.188	-0.113	-0.628	3.218	"2"
"优异"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"伙伴"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"伟大"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"传染性"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"传染源"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"传染病"	2	0	0	0	0.566	0.161	0.244	1.029	1.096	-0.073	-0.113	-0.628	1.91	"1"
"传统"	0	1	0	0	0.283	0.081	0.122	0.514	-0.145	1.094	-0.056	-0.314	1.609	"2"
"佐级"	0	0	0	2	0.566	0.161	0.244	1.029	-0.289	-0.073	-0.113	0.577	1.052	"4"
"体会"	0	0	0	1	0.283	0.081	0.122	0.514	-0.145	-0.036	-0.056	0.289	0.526	"4"
"体制"	1	0	0	0	0.283	0.081	0.122	0.514	0.548	-0.036	-0.056	-0.314	0.954	"1"
"体操"	0	1	0	0	0.283	0.081	0.122	0.514	-0.145	1.094	-0.056	-0.314	1.609	"2"
"体育"	0	2	0	0	0.566	0.161	0.244	1.029	-0.289	2.188	-0.113	-0.628	3.218	"2"
