"","tokenlabel","cluster"
"工作/Na/XIN_CMN_20030421_wpr/34662","工作/Na/XIN_CMN_20030421_wpr/34662",1
"工作/Na/XIN_CMN_20030422_wpr/15329","工作/Na/XIN_CMN_20030422_wpr/15329",1
"工作/Na/XIN_CMN_20030422_wpr/21282","工作/Na/XIN_CMN_20030422_wpr/21282",1
"工作/Na/XIN_CMN_20030430_wpr/102","工作/Na/XIN_CMN_20030430_wpr/102",1
"工作/Na/XIN_CMN_20030419_wpr/12586","工作/Na/XIN_CMN_20030419_wpr/12586",1
"工作/Na/XIN_CMN_20030520_wpr/34927","工作/Na/XIN_CMN_20030520_wpr/34927",1
"工作/Na/XIN_CMN_20030512_wpr/46258","工作/Na/XIN_CMN_20030512_wpr/46258",1
"工作/Na/XIN_CMN_20030603_wpr/61774","工作/Na/XIN_CMN_20030603_wpr/61774",1
"工作/Na/XIN_CMN_20030430_wpr/33729","工作/Na/XIN_CMN_20030430_wpr/33729",1
"工作/Na/XIN_CMN_20030503_wpr/10733","工作/Na/XIN_CMN_20030503_wpr/10733",1
"工作/Na/XIN_CMN_20030427_wpr/23170","工作/Na/XIN_CMN_20030427_wpr/23170",1
"工作/Na/XIN_CMN_20030403_wpr/57883","工作/Na/XIN_CMN_20030403_wpr/57883",1
"工作/Na/XIN_CMN_20030417_wpr/37486","工作/Na/XIN_CMN_20030417_wpr/37486",1
"任务/Na/CNA_CMN_20030515_wpr/5195","任务/Na/CNA_CMN_20030515_wpr/5195",1
"工作/Na/XIN_CMN_20030517_wpr/8730","工作/Na/XIN_CMN_20030517_wpr/8730",1
"工作/Na/XIN_CMN_20030517_wpr/13944","工作/Na/XIN_CMN_20030517_wpr/13944",1
"工作/Na/XIN_CMN_20030614_wpr/13197","工作/Na/XIN_CMN_20030614_wpr/13197",1
"工作/Na/XIN_CMN_20030612_wpr/15925","工作/Na/XIN_CMN_20030612_wpr/15925",1
"工作/Na/XIN_CMN_20030418_wpr/39164","工作/Na/XIN_CMN_20030418_wpr/39164",1
"工作/Na/XIN_CMN_20030423_wpr/42062","工作/Na/XIN_CMN_20030423_wpr/42062",1
"工作/Na/XIN_CMN_20030716_wpr/4207","工作/Na/XIN_CMN_20030716_wpr/4207",1
"工作/Na/XIN_CMN_20030426_wpr/36084","工作/Na/XIN_CMN_20030426_wpr/36084",1
"工作/Na/XIN_CMN_20030625_wpr/28306","工作/Na/XIN_CMN_20030625_wpr/28306",1
"工作/Na/XIN_CMN_20030430_wpr/35029","工作/Na/XIN_CMN_20030430_wpr/35029",1
"工作/Na/XIN_CMN_20030425_wpr/27132","工作/Na/XIN_CMN_20030425_wpr/27132",1
"工作/Na/XIN_CMN_20030417_wpr/31850","工作/Na/XIN_CMN_20030417_wpr/31850",1
"工作/Na/XIN_CMN_20030624_wpr/59439","工作/Na/XIN_CMN_20030624_wpr/59439",1
"工作/Na/XIN_CMN_20030418_wpr/45929","工作/Na/XIN_CMN_20030418_wpr/45929",1
"工作/Na/XIN_CMN_20030825_wpr/6903","工作/Na/XIN_CMN_20030825_wpr/6903",1
"工作/Na/XIN_CMN_20030627_wpr/41249","工作/Na/XIN_CMN_20030627_wpr/41249",1
"工作/Na/XIN_CMN_20030624_wpr/29384","工作/Na/XIN_CMN_20030624_wpr/29384",1
"工作/Na/XIN_CMN_20030604_wpr/53315","工作/Na/XIN_CMN_20030604_wpr/53315",1
"工作/Na/XIN_CMN_20030423_wpr/51367","工作/Na/XIN_CMN_20030423_wpr/51367",1
"工作/Na/XIN_CMN_20030426_wpr/17649","工作/Na/XIN_CMN_20030426_wpr/17649",1
"工作/Na/XIN_CMN_20030602_wpr/12827","工作/Na/XIN_CMN_20030602_wpr/12827",1
"工作/Na/XIN_CMN_20030530_wpr/40879","工作/Na/XIN_CMN_20030530_wpr/40879",1
"工作/Na/XIN_CMN_20030503_wpr/13143","工作/Na/XIN_CMN_20030503_wpr/13143",1
"工作/Na/XIN_CMN_20030506_wpr/83071","工作/Na/XIN_CMN_20030506_wpr/83071",1
"工作/Na/XIN_CMN_20030502_wpr/16066","工作/Na/XIN_CMN_20030502_wpr/16066",1
"工作/Na/XIN_CMN_20030422_wpr/12073","工作/Na/XIN_CMN_20030422_wpr/12073",1
"工作/Na/XIN_CMN_20030423_wpr/61680","工作/Na/XIN_CMN_20030423_wpr/61680",1
"工作/Na/XIN_CMN_20030430_wpr/33800","工作/Na/XIN_CMN_20030430_wpr/33800",1
"工作/Na/XIN_CMN_20030419_wpr/46822","工作/Na/XIN_CMN_20030419_wpr/46822",2
"工作/Na/XIN_CMN_20001119_wpr/11051","工作/Na/XIN_CMN_20001119_wpr/11051",2
"工作/Na/XIN_CMN_20030610_wpr/14038","工作/Na/XIN_CMN_20030610_wpr/14038",2
"任务/Na/XIN_CMN_20001201_wpr/19430","任务/Na/XIN_CMN_20001201_wpr/19430",2
"任务/Na/XIN_CMN_20030508_wpr/58091","任务/Na/XIN_CMN_20030508_wpr/58091",2
"任务/Na/XIN_CMN_20001230_wpr/34063","任务/Na/XIN_CMN_20001230_wpr/34063",2
"任务/Na/ZBN_CMN_20001217_wpr/24160","任务/Na/ZBN_CMN_20001217_wpr/24160",2
"工作/Na/XIN_CMN_20030929_wpr/31534","工作/Na/XIN_CMN_20030929_wpr/31534",2
"任务/Na/CNA_CMN_20001109_wpr/156286","任务/Na/CNA_CMN_20001109_wpr/156286",2
"任务/Na/XIN_CMN_20030706_wpr/22870","任务/Na/XIN_CMN_20030706_wpr/22870",2
"工作/Na/XIN_CMN_20030511_wpr/48525","工作/Na/XIN_CMN_20030511_wpr/48525",2
"工作/Na/XIN_CMN_20030720_wpr/19328","工作/Na/XIN_CMN_20030720_wpr/19328",2
"工作/Na/XIN_CMN_20030606_wpr/24564","工作/Na/XIN_CMN_20030606_wpr/24564",2
"工作/Na/XIN_CMN_20030709_wpr/54067","工作/Na/XIN_CMN_20030709_wpr/54067",2
"工作/Na/XIN_CMN_20030524_wpr/6378","工作/Na/XIN_CMN_20030524_wpr/6378",2
"工作/Na/XIN_CMN_20001016_wpr/54466","工作/Na/XIN_CMN_20001016_wpr/54466",2
"工作/Na/XIN_CMN_20030714_wpr/23586","工作/Na/XIN_CMN_20030714_wpr/23586",2
"工作/Na/XIN_CMN_20030508_wpr/40949","工作/Na/XIN_CMN_20030508_wpr/40949",2
"工作/Na/XIN_CMN_20001122_wpr/29518","工作/Na/XIN_CMN_20001122_wpr/29518",2
"工作/Na/XIN_CMN_20001117_wpr/10256","工作/Na/XIN_CMN_20001117_wpr/10256",2
"工作/Na/XIN_CMN_20010115_wpr/27394","工作/Na/XIN_CMN_20010115_wpr/27394",2
"工作/Na/XIN_CMN_20030906_wpr/8526","工作/Na/XIN_CMN_20030906_wpr/8526",2
"工作/Na/XIN_CMN_20001029_wpr/3916","工作/Na/XIN_CMN_20001029_wpr/3916",2
"工作/Na/XIN_CMN_20030519_wpr/35880","工作/Na/XIN_CMN_20030519_wpr/35880",2
"工作/Na/XIN_CMN_20030410_wpr/108066","工作/Na/XIN_CMN_20030410_wpr/108066",2
"工作/Na/XIN_CMN_20030529_wpr/12300","工作/Na/XIN_CMN_20030529_wpr/12300",2
"工作/Na/XIN_CMN_20001027_wpr/30368","工作/Na/XIN_CMN_20001027_wpr/30368",2
"工作/Na/XIN_CMN_20001106_wpr/70854","工作/Na/XIN_CMN_20001106_wpr/70854",2
"工作/Na/XIN_CMN_20001121_wpr/49788","工作/Na/XIN_CMN_20001121_wpr/49788",2
"工作/Na/XIN_CMN_20010112_wpr/36798","工作/Na/XIN_CMN_20010112_wpr/36798",2
"工作/Na/XIN_CMN_20030405_wpr/58141","工作/Na/XIN_CMN_20030405_wpr/58141",2
"工作/Na/XIN_CMN_20030728_wpr/59195","工作/Na/XIN_CMN_20030728_wpr/59195",2
"工作/Na/XIN_CMN_20001110_wpr/8037","工作/Na/XIN_CMN_20001110_wpr/8037",2
"工作/Na/XIN_CMN_20001121_wpr/2865","工作/Na/XIN_CMN_20001121_wpr/2865",2
"工作/Na/XIN_CMN_20030722_wpr/76462","工作/Na/XIN_CMN_20030722_wpr/76462",2
"工作/Na/XIN_CMN_20001218_wpr/1465","工作/Na/XIN_CMN_20001218_wpr/1465",2
"工作/Na/XIN_CMN_20001218_wpr/1462","工作/Na/XIN_CMN_20001218_wpr/1462",2
"工作/Na/XIN_CMN_20001120_wpr/17520","工作/Na/XIN_CMN_20001120_wpr/17520",2
"工作/Na/XIN_CMN_20001213_wpr/16117","工作/Na/XIN_CMN_20001213_wpr/16117",2
"工作/Na/XIN_CMN_20030915_wpr/12668","工作/Na/XIN_CMN_20030915_wpr/12668",2
"工作/Na/XIN_CMN_20001119_wpr/34741","工作/Na/XIN_CMN_20001119_wpr/34741",2
"工作/Na/XIN_CMN_20001117_wpr/2270","工作/Na/XIN_CMN_20001117_wpr/2270",2
"工作/Na/XIN_CMN_20030925_wpr/61017","工作/Na/XIN_CMN_20030925_wpr/61017",2
"工作/Na/XIN_CMN_20030827_wpr/35914","工作/Na/XIN_CMN_20030827_wpr/35914",2
"工作/Na/XIN_CMN_20030530_wpr/25915","工作/Na/XIN_CMN_20030530_wpr/25915",2
"工作/Na/XIN_CMN_20001103_wpr/83264","工作/Na/XIN_CMN_20001103_wpr/83264",2
"工作/Na/XIN_CMN_20001117_wpr/1912","工作/Na/XIN_CMN_20001117_wpr/1912",2
"工作/Na/XIN_CMN_20001114_wpr/21698","工作/Na/XIN_CMN_20001114_wpr/21698",2
"工作/Na/XIN_CMN_20030626_wpr/20363","工作/Na/XIN_CMN_20030626_wpr/20363",2
"工作/Na/XIN_CMN_20030530_wpr/62957","工作/Na/XIN_CMN_20030530_wpr/62957",2
"工作/Na/XIN_CMN_20010104_wpr/52212","工作/Na/XIN_CMN_20010104_wpr/52212",2
"工作/Na/XIN_CMN_20030806_wpr/38760","工作/Na/XIN_CMN_20030806_wpr/38760",2
"任务/Na/XIN_CMN_20001218_wpr/48201","任务/Na/XIN_CMN_20001218_wpr/48201",2
"工作/Na/XIN_CMN_20001220_wpr/96000","工作/Na/XIN_CMN_20001220_wpr/96000",2
"工作/Na/XIN_CMN_20030426_wpr/35469","工作/Na/XIN_CMN_20030426_wpr/35469",2
"工作/Na/XIN_CMN_20001220_wpr/43735","工作/Na/XIN_CMN_20001220_wpr/43735",2
"工作/Na/XIN_CMN_20001219_wpr/70880","工作/Na/XIN_CMN_20001219_wpr/70880",2
"工作/Na/ZBN_CMN_20030402_wpr/42191","工作/Na/ZBN_CMN_20030402_wpr/42191",2
"工作/Na/XIN_CMN_20010123_wpr/65229","工作/Na/XIN_CMN_20010123_wpr/65229",2
"工作/Na/XIN_CMN_20030608_wpr/41678","工作/Na/XIN_CMN_20030608_wpr/41678",2
"工作/Na/XIN_CMN_20001210_wpr/9720","工作/Na/XIN_CMN_20001210_wpr/9720",2
"工作/Na/XIN_CMN_20030626_wpr/33485","工作/Na/XIN_CMN_20030626_wpr/33485",2
"工作/Na/XIN_CMN_20030729_wpr/35522","工作/Na/XIN_CMN_20030729_wpr/35522",2
"工作/Na/XIN_CMN_20001107_wpr/18973","工作/Na/XIN_CMN_20001107_wpr/18973",2
"工作/Na/XIN_CMN_20001103_wpr/41557","工作/Na/XIN_CMN_20001103_wpr/41557",2
"工作/Na/XIN_CMN_20001226_wpr/45453","工作/Na/XIN_CMN_20001226_wpr/45453",2
