"cluster"	"sigcol"
"1"	"收看"
"1"	"较"
"1"	"高"
"1"	"有线电视"
"1"	"节目"
"4"	"891002"
"4"	"微波"
"4"	"改善"
"4"	"后山"
"4"	"通信"
"4"	"新竹县"
"4"	"改善"
"4"	"新竹县"
"1"	"及"
"1"	"提供"
"1"	"高"
"1"	"CPU"
"1"	"处理器"
"1"	"与"
"1"	"网路"
"1"	"及"
"4"	"不一定"
"4"	"提昇"
"4"	"医疗"
"4"	"病患"
"5"	"提升"
"5"	"教育"
"5"	"带动"
"5"	"教育"
"5"	"曾志朗"
"3"	"社区"
"3"	"理念"
"3"	"督工队"
"3"	"要求"
"3"	"督工队"
"3"	"要求"
"6"	"民众"
"6"	"更"
"6"	"精致"
"6"	"高"
"6"	"医疗"
"6"	"服务"
"4"	"891005"
"4"	"颁奖"
"4"	"孙运璇"
"4"	"热诚"
"4"	"感人"
"4"	"周慧盈"
"4"	"影响"
"4"	"精虫"
"4"	"差"
"4"	"精虫"
"4"	"秉持"
"4"	"大众"
"4"	"国际级"
"4"	"旅游"
"4"	"环境"
"4"	"维持"
"4"	"园区"
"4"	"环境"
"5"	"构"
"5"	"协助"
"5"	"改善"
"5"	"教养"
"5"	"环境"
"5"	"提升"
"5"	"教养"
"5"	"计画"
"6"	"行销"
"6"	"服务"
"6"	"与"
"6"	"重视"
"6"	"待"
"6"	"展现"
"6"	"服务"
"6"	"客户"
"6"	"与"
"6"	"改善"
"6"	"服务"
"6"	"决心"
"5"	"下降"
"5"	"提升"
"5"	"资产"
"5"	"紧缩"
"5"	"银根"
"6"	"公共"
"6"	"服务"
"6"	"较"
"6"	"高"
"5"	"有效"
"5"	"提升"
"5"	"基层"
"5"	"工程"
"5"	"市府"
"5"	"工务局"
"5"	"社区"
"3"	"监督"
"3"	"施工"
"4"	"提高"
"4"	"国宅"
"4"	"居住"
"4"	"新竹市"
"4"	"待"
"4"	"国宅"
"4"	"社区"
"4"	"促销"
"3"	"朝向"
"3"	"提昇"
"3"	"国宅"
"3"	"社区"
"3"	"生活"
"3"	"环境"
"3"	"核定"
"4"	"持续"
"4"	"上涨"
"4"	"环境"
"4"	"低落"
"4"	"县市"
"4"	"供应"
"4"	"供应量"
"4"	"与"
"4"	"卫生"
"5"	"教学"
"5"	"改进"
"5"	"教学"
"5"	"提升"
"5"	"整体"
"5"	"教学"
"5"	"教育局"
"5"	"侨委会"
"5"	"提升"
"5"	"服务"
"5"	"庆"
"5"	"祝大会"
"5"	"文教"
"3"	"量"
"3"	"维护"
"3"	"免"
"3"	"室内"
"3"	"确保"
"3"	"公共"
"3"	"安全"
"1"	"高"
"1"	"廉价"
"1"	"廉价"
"4"	"观光局"
"4"	"专员"
"4"	"施小文"
"4"	"解析"
"4"	"旅游"
"4"	"提昇"
"4"	"与"
"4"	"政"
"4"	"提昇"
"4"	"节目"
"4"	"公共"
"3"	"提昇"
"3"	"执"
"3"	"务"
"3"	"与"
"3"	"效率"
"3"	"金融"
"3"	"资讯"
"4"	"提供"
"4"	"改善"
"4"	"空气"
"4"	"污染"
"4"	"技术"
"4"	"二○○○"
"4"	"空气"
"4"	"管理"
