"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"SumAbsDev"	"LargestDev"
"◎"	1	0	0	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	0.976	-0.119	-0.123	-0.144	-0.021	-0.035	1.418	"1"
"0.02"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"1987年"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"300多万"	0	0	1	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	0.608	-0.144	-0.021	-0.035	0.975	"3"
"50千"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"891002"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"891005"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"891117"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"891213"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"891219"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"9001"	0	0	0	2	0	0	0.211	0.481	0.493	0.563	0.095	0.156	-0.097	-0.239	-0.246	1.101	-0.042	-0.071	1.796	"4"
"900102"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"900111"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"CCSQ"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"CPU"	1	0	0	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	0.976	-0.119	-0.123	-0.144	-0.021	-0.035	1.418	"1"
"IC"	0	0	0	0	2	0	0.211	0.481	0.493	0.563	0.095	0.156	-0.097	-0.239	-0.246	-0.287	2.644	-0.071	3.584	"5"
"ISO"	0	0	0	3	0	0	0.317	0.721	0.739	0.845	0.143	0.235	-0.145	-0.358	-0.369	1.651	-0.064	-0.106	2.693	"4"
"ISP"	0	0	0	0	0	1	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	-0.144	-0.021	1.107	1.562	"6"
"Natti"	1	0	0	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	0.976	-0.119	-0.123	-0.144	-0.021	-0.035	1.418	"1"
"QAR"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"Rosecrance"	0	0	0	0	1	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	-0.144	1.322	-0.035	1.791	"5"
"Slim"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"一代"	0	2	0	0	0	0	0.211	0.481	0.493	0.563	0.095	0.156	-0.097	1.238	-0.246	-0.287	-0.042	-0.071	1.981	"2"
"一方面"	0	0	0	2	0	0	0.211	0.481	0.493	0.563	0.095	0.156	-0.097	-0.239	-0.246	1.101	-0.042	-0.071	1.796	"4"
"一流"	0	0	1	1	0	0	0.211	0.481	0.493	0.563	0.095	0.156	-0.097	-0.239	0.364	0.315	-0.042	-0.071	1.128	"3"
"三通"	0	2	0	0	0	0	0.211	0.481	0.493	0.563	0.095	0.156	-0.097	1.238	-0.246	-0.287	-0.042	-0.071	1.981	"2"
"上来"	0	1	0	1	0	0	0.211	0.481	0.493	0.563	0.095	0.156	-0.097	0.374	-0.246	0.315	-0.042	-0.071	1.145	"2"
"上涨"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"下乡"	0	1	0	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	0.619	-0.123	-0.144	-0.021	-0.035	0.99	"2"
"下降"	0	0	0	1	1	0	0.211	0.481	0.493	0.563	0.095	0.156	-0.097	-0.239	-0.246	0.315	1.031	-0.071	1.999	"5"
"不一定"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"不亚于"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"不佳"	0	0	0	12	0	0	1.267	2.885	2.957	3.38	0.572	0.939	-0.582	-1.433	-1.475	6.603	-0.254	-0.425	10.772	"4"
"不及"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"不变"	0	0	0	2	0	0	0.211	0.481	0.493	0.563	0.095	0.156	-0.097	-0.239	-0.246	1.101	-0.042	-0.071	1.796	"4"
"不合格率"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"不外"	0	0	0	0	0	1	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	-0.144	-0.021	1.107	1.562	"6"
"不断"	1	10	1	0	0	2	1.479	3.366	3.45	3.943	0.667	1.095	-0.255	3.617	-0.974	-2.011	-0.297	0.522	7.676	"2"
"不甘"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"不足"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"与"	4	0	8	10	0	4	2.746	6.25	6.408	7.323	1.239	2.034	0.534	-3.105	0.523	0.769	-0.551	0.849	6.331	"2"
"专上"	1	0	0	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	0.976	-0.119	-0.123	-0.144	-0.021	-0.035	1.418	"1"
"专业"	2	1	2	1	1	0	0.739	1.683	1.725	1.972	0.334	0.548	0.786	-0.329	0.263	-0.432	0.538	-0.248	2.596	"1"
"专业人"	1	0	0	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	0.976	-0.119	-0.123	-0.144	-0.021	-0.035	1.418	"1"
"专员"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"且"	0	0	1	1	1	0	0.317	0.721	0.739	0.845	0.143	0.235	-0.145	-0.358	0.243	0.201	0.866	-0.106	1.919	"5"
"世人"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"世界级"	0	0	0	0	0	1	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	-0.144	-0.021	1.107	1.562	"6"
"业"	0	1	1	0	0	0	0.211	0.481	0.493	0.563	0.095	0.156	-0.097	0.374	0.364	-0.287	-0.042	-0.071	1.235	"2"
"业务"	0	5	1	0	0	0	0.634	1.442	1.479	1.69	0.286	0.469	-0.291	2.414	-0.266	-0.862	-0.127	-0.212	4.172	"2"
"业者"	1	0	1	5	0	0	0.739	1.683	1.725	1.972	0.334	0.548	0.266	-0.836	-0.343	1.66	-0.148	-0.248	3.501	"4"
"严格"	0	1	5	0	0	0	0.634	1.442	1.479	1.69	0.286	0.469	-0.291	-0.254	2.363	-0.862	-0.127	-0.212	4.109	"3"
"个人"	0	0	0	1	0	1	0.211	0.481	0.493	0.563	0.095	0.156	-0.097	-0.239	-0.246	0.315	-0.042	0.823	1.762	"6"
"个别"	1	0	0	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	0.976	-0.119	-0.123	-0.144	-0.021	-0.035	1.418	"1"
"中华民国"	0	0	1	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	0.608	-0.144	-0.021	-0.035	0.975	"3"
"中小企业"	1	0	0	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	0.976	-0.119	-0.123	-0.144	-0.021	-0.035	1.418	"1"
"中药"	0	0	2	0	0	0	0.211	0.481	0.493	0.563	0.095	0.156	-0.097	-0.239	1.217	-0.287	-0.042	-0.071	1.953	"3"
"中药材"	0	0	1	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	0.608	-0.144	-0.021	-0.035	0.975	"3"
"丰原"	0	0	0	2	0	0	0.211	0.481	0.493	0.563	0.095	0.156	-0.097	-0.239	-0.246	1.101	-0.042	-0.071	1.796	"4"
"临场"	0	0	2	0	0	0	0.211	0.481	0.493	0.563	0.095	0.156	-0.097	-0.239	1.217	-0.287	-0.042	-0.071	1.953	"3"
"主持人"	0	1	0	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	0.619	-0.123	-0.144	-0.021	-0.035	0.99	"2"
"主理"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"之外"	0	0	1	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	0.608	-0.144	-0.021	-0.035	0.975	"3"
"乍暖还寒"	0	0	1	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	0.608	-0.144	-0.021	-0.035	0.975	"3"
"乘车"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"九亿"	0	1	0	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	0.619	-0.123	-0.144	-0.021	-0.035	0.99	"2"
"九十年"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"买到"	0	0	0	2	0	0	0.211	0.481	0.493	0.563	0.095	0.156	-0.097	-0.239	-0.246	1.101	-0.042	-0.071	1.796	"4"
"予"	0	0	0	0	1	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	-0.144	1.322	-0.035	1.791	"5"
"二○○○"	0	0	0	2	0	0	0.211	0.481	0.493	0.563	0.095	0.156	-0.097	-0.239	-0.246	1.101	-0.042	-0.071	1.796	"4"
"二○○八年"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"二十五"	0	0	0	1	0	1	0.211	0.481	0.493	0.563	0.095	0.156	-0.097	-0.239	-0.246	0.315	-0.042	0.823	1.762	"6"
"二零零一"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"亟待"	1	0	0	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	0.976	-0.119	-0.123	-0.144	-0.021	-0.035	1.418	"1"
"产"	0	0	0	3	0	0	0.317	0.721	0.739	0.845	0.143	0.235	-0.145	-0.358	-0.369	1.651	-0.064	-0.106	2.693	"4"
"产品"	1	0	0	9	1	7	1.901	4.327	4.436	5.07	0.858	1.408	-0.378	-2.149	-2.212	1.388	0.233	3.58	9.94	"6"
"产地"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"产量"	1	0	0	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	0.976	-0.119	-0.123	-0.144	-0.021	-0.035	1.418	"1"
"享受"	1	0	0	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	0.976	-0.119	-0.123	-0.144	-0.021	-0.035	1.418	"1"
"享受到"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"人力"	1	0	0	0	0	1	0.211	0.481	0.493	0.563	0.095	0.156	0.699	-0.239	-0.246	-0.287	-0.042	0.823	2.336	"6"
"人口"	6	9	2	0	0	0	1.796	4.087	4.19	4.788	0.81	1.33	2.213	2.023	-0.765	-2.442	-0.36	-0.601	8.404	"4"
"人员"	1	4	6	0	0	1	1.267	2.885	2.957	3.38	0.572	0.939	-0.198	0.493	1.292	-1.724	-0.254	0.205	4.166	"4"
"人性"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"人才"	12	3	1	0	0	0	1.69	3.846	3.943	4.506	0.762	1.252	8.633	-0.356	-1.171	-2.299	-0.339	-0.566	13.364	"1"
"人民"	0	2	2	1	0	0	0.528	1.202	1.232	1.408	0.238	0.391	-0.242	0.46	0.444	-0.247	-0.106	-0.177	1.676	"2"
"今人"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"介乎"	0	0	1	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	0.608	-0.144	-0.021	-0.035	0.975	"3"
"从业"	0	1	0	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	0.619	-0.123	-0.144	-0.021	-0.035	0.99	"2"
"从业者"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"代理商"	0	0	1	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	0.608	-0.144	-0.021	-0.035	0.975	"3"
"代表处"	0	0	0	0	0	1	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	-0.144	-0.021	1.107	1.562	"6"
"以免"	0	0	0	2	0	0	0.211	0.481	0.493	0.563	0.095	0.156	-0.097	-0.239	-0.246	1.101	-0.042	-0.071	1.796	"4"
"以后"	0	0	1	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	0.608	-0.144	-0.021	-0.035	0.975	"3"
"以往"	0	0	0	0	0	1	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	-0.144	-0.021	1.107	1.562	"6"
"价差"	0	0	0	1	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	-0.123	0.55	-0.021	-0.035	0.896	"4"
"价格"	1	0	0	5	1	1	0.845	1.923	1.972	2.253	0.381	0.626	0.229	-0.955	-0.983	1.348	0.49	0.32	4.325	"4"
"企业家"	0	0	1	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	-0.048	-0.119	0.608	-0.144	-0.021	-0.035	0.975	"3"
"伍"	1	0	0	0	0	0	0.106	0.24	0.246	0.282	0.048	0.078	0.976	-0.119	-0.123	-0.144	-0.021	-0.035	1.418	"1"
