"","tokenlabel","cluster"
"共和国/Na/CNA_CMN_20030422_wpr/1037","共和国/Na/CNA_CMN_20030422_wpr/1037",1
"共和国/Na/XIN_CMN_20001220_wpr/53105","共和国/Na/XIN_CMN_20001220_wpr/53105",1
"共和国/Na/XIN_CMN_20001219_wpr/29284","共和国/Na/XIN_CMN_20001219_wpr/29284",1
"共和国/Na/XIN_CMN_20030504_wpr/49990","共和国/Na/XIN_CMN_20030504_wpr/49990",1
"共和国/Na/XIN_CMN_20001103_wpr/31408","共和国/Na/XIN_CMN_20001103_wpr/31408",1
"共和国/Na/XIN_CMN_20030924_wpr/50835","共和国/Na/XIN_CMN_20030924_wpr/50835",1
"共和国/Na/ZBN_CMN_20030417_wpr/53407","共和国/Na/ZBN_CMN_20030417_wpr/53407",1
"共和国/Na/CNA_CMN_20030711_wpr/2303","共和国/Na/CNA_CMN_20030711_wpr/2303",1
"共和国/Na/XIN_CMN_20001001_wpr/31732","共和国/Na/XIN_CMN_20001001_wpr/31732",1
"共和国/Na/XIN_CMN_20001001_wpr/35951","共和国/Na/XIN_CMN_20001001_wpr/35951",1
"共和国/Na/XIN_CMN_20001003_wpr/13717","共和国/Na/XIN_CMN_20001003_wpr/13717",1
"共和国/Na/XIN_CMN_20001005_wpr/27951","共和国/Na/XIN_CMN_20001005_wpr/27951",1
"共和国/Na/XIN_CMN_20001101_wpr/26183","共和国/Na/XIN_CMN_20001101_wpr/26183",1
"共和国/Na/XIN_CMN_20030611_wpr/41805","共和国/Na/XIN_CMN_20030611_wpr/41805",1
"共和国/Na/XIN_CMN_20001218_wpr/68706","共和国/Na/XIN_CMN_20001218_wpr/68706",1
"共和国/Na/XIN_CMN_20030903_wpr/66640","共和国/Na/XIN_CMN_20030903_wpr/66640",1
"共和国/Na/ZBN_CMN_20001204_wpr/14841","共和国/Na/ZBN_CMN_20001204_wpr/14841",1
"共和国/Na/CNA_CMN_20001127_wpr/80795","共和国/Na/CNA_CMN_20001127_wpr/80795",1
"共和国/Na/ZBN_CMN_20030907_wpr/37926","共和国/Na/ZBN_CMN_20030907_wpr/37926",1
"共和国/Na/XIN_CMN_20030506_wpr/12310","共和国/Na/XIN_CMN_20030506_wpr/12310",1
"共和国/Na/XIN_CMN_20001220_wpr/60653","共和国/Na/XIN_CMN_20001220_wpr/60653",1
