"","tokenlabel","cluster"
"典礼/Na/CNA_CMN_20001115_wpr/114308","典礼/Na/CNA_CMN_20001115_wpr/114308",1
"典礼/Na/CNA_CMN_20001204_wpr/108341","典礼/Na/CNA_CMN_20001204_wpr/108341",1
"典礼/Na/CNA_CMN_20010105_wpr/84554","典礼/Na/CNA_CMN_20010105_wpr/84554",1
"典礼/Na/CNA_CMN_20001204_wpr/90800","典礼/Na/CNA_CMN_20001204_wpr/90800",1
"典礼/Na/CNA_CMN_20030723_wpr/2434","典礼/Na/CNA_CMN_20030723_wpr/2434",1
"典礼/Na/ZBN_CMN_20030415_wpr/14057","典礼/Na/ZBN_CMN_20030415_wpr/14057",1
"典礼/Na/ZBN_CMN_20030524_wpr/62337","典礼/Na/ZBN_CMN_20030524_wpr/62337",1
"典礼/Na/ZBN_CMN_20030908_wpr/15682","典礼/Na/ZBN_CMN_20030908_wpr/15682",1
"典礼/Na/CNA_CMN_20001020_wpr/7625","典礼/Na/CNA_CMN_20001020_wpr/7625",1
"典礼/Na/CNA_CMN_20001208_wpr/55559","典礼/Na/CNA_CMN_20001208_wpr/55559",1
"典礼/Na/ZBN_CMN_20030924_wpr/83493","典礼/Na/ZBN_CMN_20030924_wpr/83493",1
"典礼/Na/ZBN_CMN_20030804_wpr/19890","典礼/Na/ZBN_CMN_20030804_wpr/19890",1
"仪式/Na/XIN_CMN_20001219_wpr/57008","仪式/Na/XIN_CMN_20001219_wpr/57008",1
"仪式/Na/ZBN_CMN_20001029_wpr/7173","仪式/Na/ZBN_CMN_20001029_wpr/7173",1
"仪式/Na/ZBN_CMN_20030621_wpr/62756","仪式/Na/ZBN_CMN_20030621_wpr/62756",1
"典礼/Na/CNA_CMN_20001101_wpr/145171","典礼/Na/CNA_CMN_20001101_wpr/145171",1
"典礼/Na/CNA_CMN_20001109_wpr/118933","典礼/Na/CNA_CMN_20001109_wpr/118933",1
"典礼/Na/CNA_CMN_20001211_wpr/2361","典礼/Na/CNA_CMN_20001211_wpr/2361",1
"典礼/Na/CNA_CMN_20001003_wpr/141686","典礼/Na/CNA_CMN_20001003_wpr/141686",1
"典礼/Na/CNA_CMN_20010109_wpr/54095","典礼/Na/CNA_CMN_20010109_wpr/54095",1
"典礼/Na/CNA_CMN_20010122_wpr/28951","典礼/Na/CNA_CMN_20010122_wpr/28951",1
"典礼/Na/CNA_CMN_20001015_wpr/529","典礼/Na/CNA_CMN_20001015_wpr/529",1
"典礼/Na/CNA_CMN_20010122_wpr/37898","典礼/Na/CNA_CMN_20010122_wpr/37898",1
"典礼/Na/CNA_CMN_20010122_wpr/11701","典礼/Na/CNA_CMN_20010122_wpr/11701",1
"典礼/Na/CNA_CMN_20001216_wpr/108601","典礼/Na/CNA_CMN_20001216_wpr/108601",1
"典礼/Na/CNA_CMN_20010128_wpr/14809","典礼/Na/CNA_CMN_20010128_wpr/14809",1
"典礼/Na/CNA_CMN_20010102_wpr/104297","典礼/Na/CNA_CMN_20010102_wpr/104297",1
"典礼/Na/CNA_CMN_20001226_wpr/27395","典礼/Na/CNA_CMN_20001226_wpr/27395",1
"典礼/Na/CNA_CMN_20001012_wpr/146161","典礼/Na/CNA_CMN_20001012_wpr/146161",1
"典礼/Na/CNA_CMN_20001030_wpr/3834","典礼/Na/CNA_CMN_20001030_wpr/3834",1
"典礼/Na/CNA_CMN_20001130_wpr/162299","典礼/Na/CNA_CMN_20001130_wpr/162299",1
"典礼/Na/CNA_CMN_20001219_wpr/4357","典礼/Na/CNA_CMN_20001219_wpr/4357",1
"典礼/Na/CNA_CMN_20010110_wpr/5149","典礼/Na/CNA_CMN_20010110_wpr/5149",1
"典礼/Na/CNA_CMN_20010109_wpr/141326","典礼/Na/CNA_CMN_20010109_wpr/141326",1
"典礼/Na/CNA_CMN_20001018_wpr/4036","典礼/Na/CNA_CMN_20001018_wpr/4036",1
"典礼/Na/CNA_CMN_20001228_wpr/4754","典礼/Na/CNA_CMN_20001228_wpr/4754",1
"典礼/Na/CNA_CMN_20010103_wpr/24145","典礼/Na/CNA_CMN_20010103_wpr/24145",1
"典礼/Na/CNA_CMN_20001116_wpr/144640","典礼/Na/CNA_CMN_20001116_wpr/144640",1
"典礼/Na/CNA_CMN_20001220_wpr/79204","典礼/Na/CNA_CMN_20001220_wpr/79204",1
"典礼/Na/CNA_CMN_20001116_wpr/105816","典礼/Na/CNA_CMN_20001116_wpr/105816",1
"典礼/Na/ZBN_CMN_20030423_wpr/8983","典礼/Na/ZBN_CMN_20030423_wpr/8983",1
"典礼/Na/CNA_CMN_20001215_wpr/155013","典礼/Na/CNA_CMN_20001215_wpr/155013",1
"典礼/Na/CNA_CMN_20030514_wpr/3637","典礼/Na/CNA_CMN_20030514_wpr/3637",1
"典礼/Na/CNA_CMN_20030607_wpr/6840","典礼/Na/CNA_CMN_20030607_wpr/6840",1
"典礼/Na/CNA_CMN_20001206_wpr/129325","典礼/Na/CNA_CMN_20001206_wpr/129325",1
"典礼/Na/CNA_CMN_20001210_wpr/68903","典礼/Na/CNA_CMN_20001210_wpr/68903",1
"典礼/Na/CNA_CMN_20001015_wpr/62696","典礼/Na/CNA_CMN_20001015_wpr/62696",1
"典礼/Na/CNA_CMN_20010116_wpr/150783","典礼/Na/CNA_CMN_20010116_wpr/150783",1
"典礼/Na/XIN_CMN_20001218_wpr/21101","典礼/Na/XIN_CMN_20001218_wpr/21101",1
"典礼/Na/CNA_CMN_20001209_wpr/91868","典礼/Na/CNA_CMN_20001209_wpr/91868",1
"仪式/Na/ZBN_CMN_20001126_wpr/5683","仪式/Na/ZBN_CMN_20001126_wpr/5683",1
"典礼/Na/CNA_CMN_20001024_wpr/94892","典礼/Na/CNA_CMN_20001024_wpr/94892",1
"仪式/Na/XIN_CMN_20030602_wpr/34754","仪式/Na/XIN_CMN_20030602_wpr/34754",1
"仪式/Na/XIN_CMN_20001117_wpr/11317","仪式/Na/XIN_CMN_20001117_wpr/11317",1
"仪式/Na/XIN_CMN_20030918_wpr/63866","仪式/Na/XIN_CMN_20030918_wpr/63866",1
"典礼/Na/XIN_CMN_20001215_wpr/13549","典礼/Na/XIN_CMN_20001215_wpr/13549",1
"典礼/Na/XIN_CMN_20001020_wpr/14315","典礼/Na/XIN_CMN_20001020_wpr/14315",1
"典礼/Na/CNA_CMN_20001219_wpr/17209","典礼/Na/CNA_CMN_20001219_wpr/17209",1
"典礼/Na/CNA_CMN_20001202_wpr/118536","典礼/Na/CNA_CMN_20001202_wpr/118536",1
"典礼/Na/CNA_CMN_20001202_wpr/117038","典礼/Na/CNA_CMN_20001202_wpr/117038",1
"典礼/Na/CNA_CMN_20001122_wpr/122484","典礼/Na/CNA_CMN_20001122_wpr/122484",1
"典礼/Na/CNA_CMN_20001002_wpr/91342","典礼/Na/CNA_CMN_20001002_wpr/91342",1
"典礼/Na/CNA_CMN_20001006_wpr/152048","典礼/Na/CNA_CMN_20001006_wpr/152048",1
"典礼/Na/CNA_CMN_20001201_wpr/96297","典礼/Na/CNA_CMN_20001201_wpr/96297",1
"典礼/Na/CNA_CMN_20001204_wpr/11562","典礼/Na/CNA_CMN_20001204_wpr/11562",1
"典礼/Na/CNA_CMN_20001123_wpr/12154","典礼/Na/CNA_CMN_20001123_wpr/12154",1
"典礼/Na/CNA_CMN_20001202_wpr/96386","典礼/Na/CNA_CMN_20001202_wpr/96386",1
"典礼/Na/CNA_CMN_20001202_wpr/128945","典礼/Na/CNA_CMN_20001202_wpr/128945",1
"仪式/Na/ZBN_CMN_20001209_wpr/30030","仪式/Na/ZBN_CMN_20001209_wpr/30030",2
"仪式/Na/ZBN_CMN_20030519_wpr/24941","仪式/Na/ZBN_CMN_20030519_wpr/24941",2
"仪式/Na/ZBN_CMN_20030528_wpr/27757","仪式/Na/ZBN_CMN_20030528_wpr/27757",2
"仪式/Na/ZBN_CMN_20001209_wpr/17005","仪式/Na/ZBN_CMN_20001209_wpr/17005",2
"仪式/Na/ZBN_CMN_20001222_wpr/10704","仪式/Na/ZBN_CMN_20001222_wpr/10704",2
"仪式/Na/CNA_CMN_20010127_wpr/45048","仪式/Na/CNA_CMN_20010127_wpr/45048",2
"仪式/Na/CNA_CMN_20001005_wpr/112376","仪式/Na/CNA_CMN_20001005_wpr/112376",2
"仪式/Na/ZBN_CMN_20001001_wpr/5036","仪式/Na/ZBN_CMN_20001001_wpr/5036",2
"仪式/Na/ZBN_CMN_20030929_wpr/48631","仪式/Na/ZBN_CMN_20030929_wpr/48631",2
"仪式/Na/ZBN_CMN_20030518_wpr/61239","仪式/Na/ZBN_CMN_20030518_wpr/61239",2
"仪式/Na/ZBN_CMN_20030414_wpr/45068","仪式/Na/ZBN_CMN_20030414_wpr/45068",2
"仪式/Na/ZBN_CMN_20030916_wpr/46592","仪式/Na/ZBN_CMN_20030916_wpr/46592",2
"仪式/Na/ZBN_CMN_20030712_wpr/18690","仪式/Na/ZBN_CMN_20030712_wpr/18690",2
"仪式/Na/XIN_CMN_20030803_wpr/27384","仪式/Na/XIN_CMN_20030803_wpr/27384",2
"仪式/Na/ZBN_CMN_20010103_wpr/37857","仪式/Na/ZBN_CMN_20010103_wpr/37857",2
"仪式/Na/ZBN_CMN_20001113_wpr/25671","仪式/Na/ZBN_CMN_20001113_wpr/25671",2
"典礼/Na/ZBN_CMN_20001026_wpr/24519","典礼/Na/ZBN_CMN_20001026_wpr/24519",2
"仪式/Na/ZBN_CMN_20030813_wpr/59685","仪式/Na/ZBN_CMN_20030813_wpr/59685",2
"典礼/Na/CNA_CMN_20001225_wpr/53631","典礼/Na/CNA_CMN_20001225_wpr/53631",2
"仪式/Na/ZBN_CMN_20010101_wpr/41901","仪式/Na/ZBN_CMN_20010101_wpr/41901",2
"仪式/Na/ZBN_CMN_20030828_wpr/51987","仪式/Na/ZBN_CMN_20030828_wpr/51987",2
"仪式/Na/ZBN_CMN_20001021_wpr/40976","仪式/Na/ZBN_CMN_20001021_wpr/40976",2
"仪式/Na/ZBN_CMN_20030508_wpr/4639","仪式/Na/ZBN_CMN_20030508_wpr/4639",2
"仪式/Na/ZBN_CMN_20030609_wpr/8494","仪式/Na/ZBN_CMN_20030609_wpr/8494",2
"仪式/Na/CNA_CMN_20010107_wpr/41364","仪式/Na/CNA_CMN_20010107_wpr/41364",2
"仪式/Na/ZBN_CMN_20030713_wpr/24704","仪式/Na/ZBN_CMN_20030713_wpr/24704",2
"仪式/Na/ZBN_CMN_20030907_wpr/84266","仪式/Na/ZBN_CMN_20030907_wpr/84266",2
"仪式/Na/ZBN_CMN_20030602_wpr/58472","仪式/Na/ZBN_CMN_20030602_wpr/58472",2
"仪式/Na/CNA_CMN_20010115_wpr/171480","仪式/Na/CNA_CMN_20010115_wpr/171480",2
"仪式/Na/ZBN_CMN_20030707_wpr/68080","仪式/Na/ZBN_CMN_20030707_wpr/68080",2
"仪式/Na/ZBN_CMN_20001030_wpr/39596","仪式/Na/ZBN_CMN_20001030_wpr/39596",2
"仪式/Na/CNA_CMN_20010130_wpr/78023","仪式/Na/CNA_CMN_20010130_wpr/78023",2
"仪式/Na/ZBN_CMN_20001229_wpr/17266","仪式/Na/ZBN_CMN_20001229_wpr/17266",2
"仪式/Na/ZBN_CMN_20001229_wpr/31753","仪式/Na/ZBN_CMN_20001229_wpr/31753",2
"仪式/Na/ZBN_CMN_20030701_wpr/40670","仪式/Na/ZBN_CMN_20030701_wpr/40670",2
"仪式/Na/ZBN_CMN_20030802_wpr/54217","仪式/Na/ZBN_CMN_20030802_wpr/54217",2
"典礼/Na/CNA_CMN_20001212_wpr/138369","典礼/Na/CNA_CMN_20001212_wpr/138369",2
"典礼/Na/CNA_CMN_20001213_wpr/68010","典礼/Na/CNA_CMN_20001213_wpr/68010",2
"典礼/Na/CNA_CMN_20001029_wpr/41135","典礼/Na/CNA_CMN_20001029_wpr/41135",2
"仪式/Na/CNA_CMN_20010114_wpr/47015","仪式/Na/CNA_CMN_20010114_wpr/47015",2
"典礼/Na/ZBN_CMN_20030702_wpr/41210","典礼/Na/ZBN_CMN_20030702_wpr/41210",2
"典礼/Na/CNA_CMN_20010122_wpr/17248","典礼/Na/CNA_CMN_20010122_wpr/17248",2
"仪式/Na/ZBN_CMN_20010123_wpr/13028","仪式/Na/ZBN_CMN_20010123_wpr/13028",2
"仪式/Na/CNA_CMN_20010110_wpr/137917","仪式/Na/CNA_CMN_20010110_wpr/137917",2
"仪式/Na/CNA_CMN_20001009_wpr/23483","仪式/Na/CNA_CMN_20001009_wpr/23483",2
"仪式/Na/CNA_CMN_20001006_wpr/6940","仪式/Na/CNA_CMN_20001006_wpr/6940",2
"仪式/Na/CNA_CMN_20001005_wpr/155567","仪式/Na/CNA_CMN_20001005_wpr/155567",2
