"cluster"	"sigcol"
"6"	"嘉宾"
"6"	"与会"
"6"	"举行"
"6"	"在场"
"6"	"观礼"
"4"	"奥运会"
"4"	"圣火"
"4"	"熄灭"
"4"	"闭幕"
"4"	"交接"
"4"	"891001"
"4"	"平埔族"
"4"	"夜祭"
"4"	"今天"
"4"	"交接"
"4"	"上午"
"4"	"校友会馆"
"4"	"举行"
"3"	"当天"
"3"	"主持人"
"3"	"教徒"
"3"	"当天"
"2"	"项"
"2"	"主持"
"2"	"索罗门"
"2"	"驻华"
"2"	"大使馆"
"2"	"开幕"
"2"	"参加"
"2"	"国庆"
"2"	"庆典"
"2"	"主持"
"2"	"成立"
"2"	"十五週年"
"2"	"建军节"
"2"	"校阅"
"2"	"庆典"
"2"	"仪式"
"4"	"启用"
"4"	"上午"
"4"	"三十分"
"4"	"举行"
"2"	"大礼堂"
"2"	"交接"
"2"	"仪式"
"2"	"由"
"2"	"总统府"
"2"	"主持"
"3"	"项"
"3"	"简单"
"3"	"签"
"3"	"署"
"3"	"让位"
"3"	"后"
"3"	"正式"
"4"	"市府"
"4"	"升旗"
"4"	"安排"
"4"	"项"
"3"	"祈福"
"3"	"煞"
"3"	"傀儡戏"
"2"	"总统"
"2"	"主持"
"2"	"烟火"
"2"	"倒数"
"2"	"正式"
"2"	"点燃"
"2"	"国庆"
"2"	"烟火"
"4"	"白宫"
"4"	"签署"
"4"	"上"
"4"	"出席"
"3"	"校董会"
"3"	"竹科"
"3"	"参加"
"3"	"签约"
"4"	"运动会"
"4"	"高潮"
"4"	"今晚"
"4"	"圣火点"
"4"	"燃"
"4"	"由"
"4"	"主委"
"3"	"回教徒"
"3"	"伊兹贝戈维奇"
"3"	"正式"
"4"	"吴作栋"
"4"	"昨天"
"4"	"裕廊岛"
"4"	"开幕"
"4"	"上"
"3"	"加油"
"3"	"抽奖"
"3"	"台视"
"3"	"十楼"
"3"	"市政"
"6"	"前行政院长"
"6"	"俞国华"
"6"	"公祭"
"6"	"今天"
"6"	"上午"
"6"	"殡仪馆"
"6"	"举行"
"6"	"由"
"4"	"参加"
"4"	"启用"
"4"	"今天"
"4"	"举办"
"4"	"竞赛"
"6"	"天主教"
"6"	"举行"
"6"	"庆祝"
"6"	"封圣"
"6"	"舒振辉"
"3"	"行"
"3"	"今晚"
"3"	"誓师"
"3"	"出发"
"3"	"上"
"3"	"贝蒂"
"4"	"昨日"
"4"	"下午"
"4"	"上"
"4"	"举行"
"4"	"交接"
"4"	"船名"
"4"	"订"
"3"	"大使"
"3"	"项"
"3"	"捐款"
"3"	"上"
"4"	"服务团"
"4"	"团务"
"4"	"暨"
"4"	"授旗"
