"","tokenlabel","cluster"
"公路/Na/XIN_CMN_20001219_wpr/36524","公路/Na/XIN_CMN_20001219_wpr/36524",1
"公路/Na/ZBN_CMN_20030623_wpr/76743","公路/Na/ZBN_CMN_20030623_wpr/76743",1
"公路/Na/ZBN_CMN_20030929_wpr/64946","公路/Na/ZBN_CMN_20030929_wpr/64946",1
"公路/Na/XIN_CMN_20001221_wpr/20551","公路/Na/XIN_CMN_20001221_wpr/20551",1
"公路/Na/ZBN_CMN_20001021_wpr/13026","公路/Na/ZBN_CMN_20001021_wpr/13026",1
"公路/Na/ZBN_CMN_20030529_wpr/25884","公路/Na/ZBN_CMN_20030529_wpr/25884",1
"公路/Na/ZBN_CMN_20030421_wpr/61722","公路/Na/ZBN_CMN_20030421_wpr/61722",1
"公路/Na/ZBN_CMN_20030422_wpr/53741","公路/Na/ZBN_CMN_20030422_wpr/53741",1
"公路/Na/ZBN_CMN_20030910_wpr/73156","公路/Na/ZBN_CMN_20030910_wpr/73156",1
"公路/Na/ZBN_CMN_20001026_wpr/10683","公路/Na/ZBN_CMN_20001026_wpr/10683",1
"公路/Na/XIN_CMN_20030406_wpr/46095","公路/Na/XIN_CMN_20030406_wpr/46095",1
"公路/Na/XIN_CMN_20030728_wpr/67342","公路/Na/XIN_CMN_20030728_wpr/67342",1
"公路/Na/CNA_CMN_20001205_wpr/123099","公路/Na/CNA_CMN_20001205_wpr/123099",1
"公路/Na/XIN_CMN_20001220_wpr/47716","公路/Na/XIN_CMN_20001220_wpr/47716",1
"公路/Na/CNA_CMN_20001214_wpr/18135","公路/Na/CNA_CMN_20001214_wpr/18135",1
"公路/Na/XIN_CMN_20030712_wpr/63840","公路/Na/XIN_CMN_20030712_wpr/63840",1
"公路/Na/XIN_CMN_20001220_wpr/47387","公路/Na/XIN_CMN_20001220_wpr/47387",1
"公路/Na/XIN_CMN_20030512_wpr/75946","公路/Na/XIN_CMN_20030512_wpr/75946",1
"公路/Na/ZBN_CMN_20030710_wpr/18092","公路/Na/ZBN_CMN_20030710_wpr/18092",1
"公路/Na/XIN_CMN_20030409_wpr/87696","公路/Na/XIN_CMN_20030409_wpr/87696",1
"公路/Na/ZBN_CMN_20030601_wpr/9773","公路/Na/ZBN_CMN_20030601_wpr/9773",1
"公路/Na/XIN_CMN_20001129_wpr/6023","公路/Na/XIN_CMN_20001129_wpr/6023",1
"公路/Na/XIN_CMN_20001222_wpr/53642","公路/Na/XIN_CMN_20001222_wpr/53642",1
"公路/Na/ZBN_CMN_20030620_wpr/74231","公路/Na/ZBN_CMN_20030620_wpr/74231",1
"公路/Na/XIN_CMN_20030801_wpr/11988","公路/Na/XIN_CMN_20030801_wpr/11988",1
"公路/Na/XIN_CMN_20001218_wpr/15922","公路/Na/XIN_CMN_20001218_wpr/15922",1
"公路/Na/XIN_CMN_20001218_wpr/50300","公路/Na/XIN_CMN_20001218_wpr/50300",1
"公路/Na/XIN_CMN_20001219_wpr/34566","公路/Na/XIN_CMN_20001219_wpr/34566",1
"公路/Na/XIN_CMN_20001222_wpr/53251","公路/Na/XIN_CMN_20001222_wpr/53251",1
"公路/Na/XIN_CMN_20001220_wpr/27139","公路/Na/XIN_CMN_20001220_wpr/27139",1
"公路/Na/XIN_CMN_20001220_wpr/6279","公路/Na/XIN_CMN_20001220_wpr/6279",1
"公路/Na/XIN_CMN_20001218_wpr/16025","公路/Na/XIN_CMN_20001218_wpr/16025",1
"公路/Na/XIN_CMN_20001013_wpr/77471","公路/Na/XIN_CMN_20001013_wpr/77471",1
"公路/Na/XIN_CMN_20030514_wpr/418","公路/Na/XIN_CMN_20030514_wpr/418",1
"公路/Na/XIN_CMN_20001104_wpr/43541","公路/Na/XIN_CMN_20001104_wpr/43541",1
"公路/Na/XIN_CMN_20001125_wpr/13481","公路/Na/XIN_CMN_20001125_wpr/13481",1
"公路/Na/XIN_CMN_20001116_wpr/354","公路/Na/XIN_CMN_20001116_wpr/354",1
"公路/Na/XIN_CMN_20001021_wpr/53058","公路/Na/XIN_CMN_20001021_wpr/53058",1
"公路/Na/XIN_CMN_20030910_wpr/71700","公路/Na/XIN_CMN_20030910_wpr/71700",1
"公路/Na/XIN_CMN_20030630_wpr/4499","公路/Na/XIN_CMN_20030630_wpr/4499",1
"公路/Na/XIN_CMN_20030514_wpr/75238","公路/Na/XIN_CMN_20030514_wpr/75238",1
"公路/Na/XIN_CMN_20001229_wpr/57578","公路/Na/XIN_CMN_20001229_wpr/57578",1
"公路/Na/XIN_CMN_20010102_wpr/24026","公路/Na/XIN_CMN_20010102_wpr/24026",1
"公路/Na/XIN_CMN_20030425_wpr/4751","公路/Na/XIN_CMN_20030425_wpr/4751",1
"公路/Na/XIN_CMN_20030928_wpr/12463","公路/Na/XIN_CMN_20030928_wpr/12463",1
"公路/Na/XIN_CMN_20001226_wpr/47830","公路/Na/XIN_CMN_20001226_wpr/47830",1
"公路/Na/XIN_CMN_20001219_wpr/34625","公路/Na/XIN_CMN_20001219_wpr/34625",1
"公路/Na/XIN_CMN_20001219_wpr/34613","公路/Na/XIN_CMN_20001219_wpr/34613",1
"公路/Na/CNA_CMN_20001107_wpr/29469","公路/Na/CNA_CMN_20001107_wpr/29469",1
"公路/Na/XIN_CMN_20001114_wpr/55860","公路/Na/XIN_CMN_20001114_wpr/55860",1
"公路/Na/XIN_CMN_20030829_wpr/59058","公路/Na/XIN_CMN_20030829_wpr/59058",1
"公路/Na/ZBN_CMN_20001011_wpr/8212","公路/Na/ZBN_CMN_20001011_wpr/8212",1
