"","tokenlabel","cluster"
"方案/Na/XIN_CMN_20030504_wpr/56842","方案/Na/XIN_CMN_20030504_wpr/56842",1
"方案/Na/XIN_CMN_20030411_wpr/84495","方案/Na/XIN_CMN_20030411_wpr/84495",1
"方案/Na/XIN_CMN_20001215_wpr/21871","方案/Na/XIN_CMN_20001215_wpr/21871",1
"方案/Na/CNA_CMN_20001227_wpr/144329","方案/Na/CNA_CMN_20001227_wpr/144329",1
"方案/Na/CNA_CMN_20030701_wpr/1090","方案/Na/CNA_CMN_20030701_wpr/1090",1
"方案/Na/ZBN_CMN_20030704_wpr/59134","方案/Na/ZBN_CMN_20030704_wpr/59134",1
"方案/Na/XIN_CMN_20030604_wpr/52112","方案/Na/XIN_CMN_20030604_wpr/52112",1
"方案/Na/ZBN_CMN_20030621_wpr/52681","方案/Na/ZBN_CMN_20030621_wpr/52681",1
"方案/Na/CNA_CMN_20001116_wpr/58550","方案/Na/CNA_CMN_20001116_wpr/58550",1
"标准/Na/XIN_CMN_20010124_wpr/6395","标准/Na/XIN_CMN_20010124_wpr/6395",1
"方案/Na/ZBN_CMN_20030829_wpr/42646","方案/Na/ZBN_CMN_20030829_wpr/42646",1
"方案/Na/XIN_CMN_20030711_wpr/3426","方案/Na/XIN_CMN_20030711_wpr/3426",1
"方案/Na/XIN_CMN_20030521_wpr/62444","方案/Na/XIN_CMN_20030521_wpr/62444",1
"方案/Na/ZBN_CMN_20030425_wpr/40229","方案/Na/ZBN_CMN_20030425_wpr/40229",1
"方案/Na/XIN_CMN_20001227_wpr/68349","方案/Na/XIN_CMN_20001227_wpr/68349",1
"方案/Na/XIN_CMN_20030716_wpr/40523","方案/Na/XIN_CMN_20030716_wpr/40523",1
"方案/Na/XIN_CMN_20001019_wpr/49936","方案/Na/XIN_CMN_20001019_wpr/49936",1
"规范/Na/XIN_CMN_20010117_wpr/38990","规范/Na/XIN_CMN_20010117_wpr/38990",1
"规范/Na/XIN_CMN_20030530_wpr/29041","规范/Na/XIN_CMN_20030530_wpr/29041",1
"规范/Na/XIN_CMN_20030625_wpr/39920","规范/Na/XIN_CMN_20030625_wpr/39920",1
"规范/Na/XIN_CMN_20030626_wpr/36025","规范/Na/XIN_CMN_20030626_wpr/36025",1
"规范/Na/ZBN_CMN_20030529_wpr/8978","规范/Na/ZBN_CMN_20030529_wpr/8978",1
"规范/Na/XIN_CMN_20001206_wpr/15619","规范/Na/XIN_CMN_20001206_wpr/15619",1
"方案/Na/CNA_CMN_20001102_wpr/91125","方案/Na/CNA_CMN_20001102_wpr/91125",1
"规范/Na/XIN_CMN_20030619_wpr/44021","规范/Na/XIN_CMN_20030619_wpr/44021",1
"规范/Na/XIN_CMN_20030722_wpr/39112","规范/Na/XIN_CMN_20030722_wpr/39112",1
"规范/Na/XIN_CMN_20001130_wpr/44625","规范/Na/XIN_CMN_20001130_wpr/44625",1
"规范/Na/CNA_CMN_20001011_wpr/150038","规范/Na/CNA_CMN_20001011_wpr/150038",1
"规范/Na/XIN_CMN_20030605_wpr/78955","规范/Na/XIN_CMN_20030605_wpr/78955",1
"规范/Na/XIN_CMN_20001106_wpr/38871","规范/Na/XIN_CMN_20001106_wpr/38871",1
"规范/Na/XIN_CMN_20001209_wpr/50856","规范/Na/XIN_CMN_20001209_wpr/50856",1
"规范/Na/CNA_CMN_20001027_wpr/108629","规范/Na/CNA_CMN_20001027_wpr/108629",1
"规范/Na/XIN_CMN_20030731_wpr/62094","规范/Na/XIN_CMN_20030731_wpr/62094",1
"标准/Na/XIN_CMN_20030618_wpr/12506","标准/Na/XIN_CMN_20030618_wpr/12506",1
"规范/Na/XIN_CMN_20001226_wpr/62334","规范/Na/XIN_CMN_20001226_wpr/62334",1
"标准/Na/XIN_CMN_20030509_wpr/49885","标准/Na/XIN_CMN_20030509_wpr/49885",1
"方案/Na/XIN_CMN_20001018_wpr/40048","方案/Na/XIN_CMN_20001018_wpr/40048",1
"方案/Na/XIN_CMN_20030905_wpr/34842","方案/Na/XIN_CMN_20030905_wpr/34842",1
"规范/Na/XIN_CMN_20010113_wpr/16401","规范/Na/XIN_CMN_20010113_wpr/16401",1
"规范/Na/XIN_CMN_20030624_wpr/32482","规范/Na/XIN_CMN_20030624_wpr/32482",1
"规范/Na/XIN_CMN_20030512_wpr/29859","规范/Na/XIN_CMN_20030512_wpr/29859",1
"规范/Na/XIN_CMN_20030829_wpr/32346","规范/Na/XIN_CMN_20030829_wpr/32346",1
