"","tokenlabel","cluster"
"情形/Na/CNA_CMN_20001103_wpr/135128","情形/Na/CNA_CMN_20001103_wpr/135128",1
"情况/Na/ZBN_CMN_20030613_wpr/11400","情况/Na/ZBN_CMN_20030613_wpr/11400",1
"情况/Na/XIN_CMN_20030811_wpr/50110","情况/Na/XIN_CMN_20030811_wpr/50110",1
"情况/Na/ZBN_CMN_20010127_wpr/35318","情况/Na/ZBN_CMN_20010127_wpr/35318",1
"情况/Na/XIN_CMN_20030622_wpr/18861","情况/Na/XIN_CMN_20030622_wpr/18861",1
"形势/Na/XIN_CMN_20010117_wpr/36694","形势/Na/XIN_CMN_20010117_wpr/36694",1
"情况/Na/XIN_CMN_20030915_wpr/21761","情况/Na/XIN_CMN_20030915_wpr/21761",1
"情况/Na/ZBN_CMN_20030720_wpr/6076","情况/Na/ZBN_CMN_20030720_wpr/6076",1
"情况/Na/ZBN_CMN_20001029_wpr/27112","情况/Na/ZBN_CMN_20001029_wpr/27112",1
"情况/Na/XIN_CMN_20001007_wpr/14377","情况/Na/XIN_CMN_20001007_wpr/14377",1
"情况/Na/ZBN_CMN_20030418_wpr/73289","情况/Na/ZBN_CMN_20030418_wpr/73289",1
"情况/Na/ZBN_CMN_20030807_wpr/38607","情况/Na/ZBN_CMN_20030807_wpr/38607",1
"情况/Na/CNA_CMN_20001110_wpr/95742","情况/Na/CNA_CMN_20001110_wpr/95742",1
"情况/Na/XIN_CMN_20030404_wpr/32632","情况/Na/XIN_CMN_20030404_wpr/32632",1
"情况/Na/ZBN_CMN_20030614_wpr/33268","情况/Na/ZBN_CMN_20030614_wpr/33268",1
"情况/Na/XIN_CMN_20030424_wpr/38305","情况/Na/XIN_CMN_20030424_wpr/38305",1
"情况/Na/CNA_CMN_20010126_wpr/44292","情况/Na/CNA_CMN_20010126_wpr/44292",1
"情况/Na/ZBN_CMN_20001103_wpr/33393","情况/Na/ZBN_CMN_20001103_wpr/33393",1
"情况/Na/CNA_CMN_20001228_wpr/35345","情况/Na/CNA_CMN_20001228_wpr/35345",1
"情况/Na/CNA_CMN_20010117_wpr/68837","情况/Na/CNA_CMN_20010117_wpr/68837",1
"情况/Na/CNA_CMN_20001129_wpr/38327","情况/Na/CNA_CMN_20001129_wpr/38327",1
"情况/Na/ZBN_CMN_20001214_wpr/1737","情况/Na/ZBN_CMN_20001214_wpr/1737",1
"情况/Na/XIN_CMN_20030409_wpr/60585","情况/Na/XIN_CMN_20030409_wpr/60585",1
"情况/Na/CNA_CMN_20001121_wpr/99327","情况/Na/CNA_CMN_20001121_wpr/99327",1
"情况/Na/ZBN_CMN_20030801_wpr/47409","情况/Na/ZBN_CMN_20030801_wpr/47409",1
"情况/Na/CNA_CMN_20001102_wpr/19801","情况/Na/CNA_CMN_20001102_wpr/19801",1
"情况/Na/ZBN_CMN_20030414_wpr/71314","情况/Na/ZBN_CMN_20030414_wpr/71314",1
"情况/Na/ZBN_CMN_20001113_wpr/40118","情况/Na/ZBN_CMN_20001113_wpr/40118",1
"情况/Na/ZBN_CMN_20030704_wpr/80854","情况/Na/ZBN_CMN_20030704_wpr/80854",1
"情况/Na/ZBN_CMN_20030422_wpr/53709","情况/Na/ZBN_CMN_20030422_wpr/53709",1
"情况/Na/ZBN_CMN_20001124_wpr/17969","情况/Na/ZBN_CMN_20001124_wpr/17969",1
"情况/Na/CNA_CMN_20001227_wpr/47922","情况/Na/CNA_CMN_20001227_wpr/47922",1
"情况/Na/XIN_CMN_20001021_wpr/9372","情况/Na/XIN_CMN_20001021_wpr/9372",1
"情况/Na/XIN_CMN_20001118_wpr/32442","情况/Na/XIN_CMN_20001118_wpr/32442",1
"情况/Na/XIN_CMN_20010131_wpr/46655","情况/Na/XIN_CMN_20010131_wpr/46655",1
"情况/Na/ZBN_CMN_20001207_wpr/38988","情况/Na/ZBN_CMN_20001207_wpr/38988",1
"情况/Na/ZBN_CMN_20030505_wpr/13202","情况/Na/ZBN_CMN_20030505_wpr/13202",1
"情况/Na/CNA_CMN_20001120_wpr/148329","情况/Na/CNA_CMN_20001120_wpr/148329",1
"情况/Na/CNA_CMN_20001001_wpr/23027","情况/Na/CNA_CMN_20001001_wpr/23027",1
"情况/Na/ZBN_CMN_20001219_wpr/15173","情况/Na/ZBN_CMN_20001219_wpr/15173",1
"情况/Na/XIN_CMN_20030409_wpr/98014","情况/Na/XIN_CMN_20030409_wpr/98014",1
"情况/Na/CNA_CMN_20010106_wpr/85688","情况/Na/CNA_CMN_20010106_wpr/85688",1
"情况/Na/ZBN_CMN_20030816_wpr/38892","情况/Na/ZBN_CMN_20030816_wpr/38892",1
"情况/Na/CNA_CMN_20001002_wpr/79745","情况/Na/CNA_CMN_20001002_wpr/79745",1
"情况/Na/ZBN_CMN_20030613_wpr/16103","情况/Na/ZBN_CMN_20030613_wpr/16103",1
"情况/Na/ZBN_CMN_20030818_wpr/21958","情况/Na/ZBN_CMN_20030818_wpr/21958",1
"情况/Na/CNA_CMN_20001212_wpr/76348","情况/Na/CNA_CMN_20001212_wpr/76348",1
"情况/Na/ZBN_CMN_20030421_wpr/38226","情况/Na/ZBN_CMN_20030421_wpr/38226",1
"情况/Na/CNA_CMN_20001118_wpr/107702","情况/Na/CNA_CMN_20001118_wpr/107702",1
"情况/Na/XIN_CMN_20030722_wpr/59763","情况/Na/XIN_CMN_20030722_wpr/59763",1
"情况/Na/XIN_CMN_20001121_wpr/23883","情况/Na/XIN_CMN_20001121_wpr/23883",1
"情况/Na/ZBN_CMN_20030608_wpr/19636","情况/Na/ZBN_CMN_20030608_wpr/19636",1
"情况/Na/CNA_CMN_20030520_wpr/1682","情况/Na/CNA_CMN_20030520_wpr/1682",1
"情况/Na/CNA_CMN_20001003_wpr/30220","情况/Na/CNA_CMN_20001003_wpr/30220",1
"情况/Na/XIN_CMN_20030617_wpr/67655","情况/Na/XIN_CMN_20030617_wpr/67655",1
"情况/Na/CNA_CMN_20001218_wpr/28756","情况/Na/CNA_CMN_20001218_wpr/28756",1
"情况/Na/CNA_CMN_20001025_wpr/152059","情况/Na/CNA_CMN_20001025_wpr/152059",1
"情况/Na/ZBN_CMN_20030906_wpr/124153","情况/Na/ZBN_CMN_20030906_wpr/124153",1
"情况/Na/ZBN_CMN_20030903_wpr/41229","情况/Na/ZBN_CMN_20030903_wpr/41229",1
"情况/Na/ZBN_CMN_20030913_wpr/35227","情况/Na/ZBN_CMN_20030913_wpr/35227",1
"情形/Na/CNA_CMN_20001016_wpr/111385","情形/Na/CNA_CMN_20001016_wpr/111385",1
"状态/Na/XIN_CMN_20001130_wpr/79532","状态/Na/XIN_CMN_20001130_wpr/79532",2
"状态/Na/XIN_CMN_20030822_wpr/71093","状态/Na/XIN_CMN_20030822_wpr/71093",2
"状态/Na/ZBN_CMN_20030925_wpr/65746","状态/Na/ZBN_CMN_20030925_wpr/65746",2
"状态/Na/ZBN_CMN_20030805_wpr/32781","状态/Na/ZBN_CMN_20030805_wpr/32781",2
"状态/Na/CNA_CMN_20001214_wpr/122744","状态/Na/CNA_CMN_20001214_wpr/122744",2
"状态/Na/CNA_CMN_20001226_wpr/120433","状态/Na/CNA_CMN_20001226_wpr/120433",2
"状态/Na/ZBN_CMN_20030506_wpr/36067","状态/Na/ZBN_CMN_20030506_wpr/36067",2
"状态/Na/CNA_CMN_20010115_wpr/139066","状态/Na/CNA_CMN_20010115_wpr/139066",2
"状态/Na/XIN_CMN_20001115_wpr/57500","状态/Na/XIN_CMN_20001115_wpr/57500",2
"状态/Na/CNA_CMN_20010109_wpr/87703","状态/Na/CNA_CMN_20010109_wpr/87703",2
"状态/Na/XIN_CMN_20030619_wpr/54044","状态/Na/XIN_CMN_20030619_wpr/54044",2
"局势/Na/ZBN_CMN_20030510_wpr/37444","局势/Na/ZBN_CMN_20030510_wpr/37444",3
"形势/Na/XIN_CMN_20001101_wpr/60847","形势/Na/XIN_CMN_20001101_wpr/60847",3
"局势/Na/XIN_CMN_20030613_wpr/46848","局势/Na/XIN_CMN_20030613_wpr/46848",3
"局势/Na/CNA_CMN_20010109_wpr/82338","局势/Na/CNA_CMN_20010109_wpr/82338",3
"局势/Na/XIN_CMN_20001026_wpr/50449","局势/Na/XIN_CMN_20001026_wpr/50449",3
"局势/Na/XIN_CMN_20030626_wpr/51301","局势/Na/XIN_CMN_20030626_wpr/51301",3
"局势/Na/XIN_CMN_20030630_wpr/9616","局势/Na/XIN_CMN_20030630_wpr/9616",3
"局势/Na/XIN_CMN_20001010_wpr/44838","局势/Na/XIN_CMN_20001010_wpr/44838",3
"形势/Na/ZBN_CMN_20030415_wpr/39857","形势/Na/ZBN_CMN_20030415_wpr/39857",3
"局面/Na/CNA_CMN_20001103_wpr/18949","局面/Na/CNA_CMN_20001103_wpr/18949",3
"情势/Na/CNA_CMN_20001117_wpr/98318","情势/Na/CNA_CMN_20001117_wpr/98318",3
"局面/Na/CNA_CMN_20001215_wpr/2322","局面/Na/CNA_CMN_20001215_wpr/2322",3
"局势/Na/ZBN_CMN_20030515_wpr/45527","局势/Na/ZBN_CMN_20030515_wpr/45527",3
"局势/Na/XIN_CMN_20030421_wpr/50516","局势/Na/XIN_CMN_20030421_wpr/50516",3
"情势/Na/CNA_CMN_20001105_wpr/44487","情势/Na/CNA_CMN_20001105_wpr/44487",3
"局势/Na/XIN_CMN_20030913_wpr/2000","局势/Na/XIN_CMN_20030913_wpr/2000",3
"局势/Na/XIN_CMN_20001202_wpr/32724","局势/Na/XIN_CMN_20001202_wpr/32724",3
"局面/Na/XIN_CMN_20030725_wpr/55129","局面/Na/XIN_CMN_20030725_wpr/55129",3
"情况/Na/CNA_CMN_20001108_wpr/36780","情况/Na/CNA_CMN_20001108_wpr/36780",3
"态势/Na/ZBN_CMN_20030522_wpr/59963","态势/Na/ZBN_CMN_20030522_wpr/59963",3
"局面/Na/XIN_CMN_20030807_wpr/7336","局面/Na/XIN_CMN_20030807_wpr/7336",3
"情况/Na/ZBN_CMN_20030510_wpr/56534","情况/Na/ZBN_CMN_20030510_wpr/56534",3
"情况/Na/ZBN_CMN_20001201_wpr/29474","情况/Na/ZBN_CMN_20001201_wpr/29474",3
"局势/Na/ZBN_CMN_20010122_wpr/19389","局势/Na/ZBN_CMN_20010122_wpr/19389",3
"局势/Na/XIN_CMN_20030902_wpr/62232","局势/Na/XIN_CMN_20030902_wpr/62232",3
"情况/Na/ZBN_CMN_20001128_wpr/9190","情况/Na/ZBN_CMN_20001128_wpr/9190",3
