"cluster"	"sigcol"
"3"	"眷村"
"3"	"生活品质"
"3"	"国防部"
"1"	"以色列"
"1"	"犯下"
"1"	"战争"
"1"	"罪行"
"2"	"八二三"
"2"	"荣誉"
"2"	"徽"
"2"	"波城"
"2"	"华裔"
"2"	"退伍"
"2"	"荣誉"
"2"	"奖牌"
"2"	"空军"
"2"	"分会"
"1"	"洪哲政"
"1"	"洪哲政"
"1"	"具"
"1"	"身份"
"1"	"军事"
"1"	"军事"
"1"	"以色列"
"1"	"投掷"
"1"	"石块"
"1"	"崩溃"
"1"	"以色列"
"1"	"失踪"
"1"	"出动"
"1"	"五十"
"1"	"名"
"1"	"协助"
"1"	"救难"
"1"	"土"
"1"	"华裔"
"1"	"罗永合"
"1"	"打死"
"1"	"哈比比"
"1"	"法案"
"1"	"事件"
"1"	"造成"
"1"	"名"
"1"	"丧生"
"1"	"一九八九年"
"3"	"权"
"3"	"贩毒"
"3"	"特赦"
"3"	"法案"
"3"	"解散"
"3"	"资深"
"3"	"撤走"
"3"	"拘留"
"3"	"内战"
"3"	"捐躯"
"3"	"台籍"
"3"	"追悼会"
"3"	"土"
"3"	"义务"
"3"	"役"
"3"	"仅有"
"3"	"职"
"3"	"军人"
"3"	"自愿"
"3"	"军人"
"3"	"演练"
"3"	"穿"
"3"	"军服"
"3"	"误认为"
"3"	"军人"
"3"	"武装"
"3"	"部队"
"1"	"法国"
"1"	"名"
"1"	"参与"
"1"	"海湾战争"
"1"	"罹患"
"1"	"海湾战争症"
"1"	"死亡"
"1"	"法国"
"1"	"国防部"
"3"	"执政"
"3"	"公务员"
"3"	"单身"
"3"	"已故"
"3"	"退伍金"
"1"	"伏"
"1"	"身亡"
"1"	"以色列"
"1"	"加萨走廊"
"1"	"西岸"
"1"	"杀"
"1"	"名"
"1"	"部队"
"1"	"安家"
"1"	"军眷"
"1"	"安心"
"2"	"辅导"
"2"	"青壮"
"2"	"退伍"
"1"	"武装"
"1"	"严防"
"3"	"兵役"
"3"	"滞留"
"3"	"陆地区"
"3"	"台籍"
"3"	"政府"
"3"	"天职"
"3"	"讲求"
"3"	"纪律"
"3"	"埔"
"3"	"突然"
"3"	"变为"
"1"	"犯人"
"1"	"造成"
"1"	"名"
"1"	"名"
"1"	"囚犯"
"1"	"死亡"
"1"	"武"
"1"	"造成"
"1"	"名"
"1"	"当场"
"1"	"阵亡"
"1"	"伤亡"
"2"	"前"
