"","tokenlabel","cluster"
"士兵/Na/XIN_CMN_20030731_wpr/72473","士兵/Na/XIN_CMN_20030731_wpr/72473",1
"士兵/Na/XIN_CMN_20030722_wpr/50705","士兵/Na/XIN_CMN_20030722_wpr/50705",1
"士兵/Na/XIN_CMN_20030722_wpr/51526","士兵/Na/XIN_CMN_20030722_wpr/51526",1
"士兵/Na/XIN_CMN_20030929_wpr/68367","士兵/Na/XIN_CMN_20030929_wpr/68367",1
"士兵/Na/XIN_CMN_20030704_wpr/32553","士兵/Na/XIN_CMN_20030704_wpr/32553",1
"士兵/Na/ZBN_CMN_20030718_wpr/53912","士兵/Na/ZBN_CMN_20030718_wpr/53912",1
"士兵/Na/XIN_CMN_20030410_wpr/24619","士兵/Na/XIN_CMN_20030410_wpr/24619",1
"士兵/Na/ZBN_CMN_20030718_wpr/4918","士兵/Na/ZBN_CMN_20030718_wpr/4918",1
"士兵/Na/XIN_CMN_20030709_wpr/48964","士兵/Na/XIN_CMN_20030709_wpr/48964",1
"士兵/Na/XIN_CMN_20030402_wpr/78723","士兵/Na/XIN_CMN_20030402_wpr/78723",1
"士兵/Na/XIN_CMN_20030413_wpr/40444","士兵/Na/XIN_CMN_20030413_wpr/40444",1
"士兵/Na/XIN_CMN_20030716_wpr/51601","士兵/Na/XIN_CMN_20030716_wpr/51601",1
"士兵/Na/ZBN_CMN_20030729_wpr/36343","士兵/Na/ZBN_CMN_20030729_wpr/36343",1
"士兵/Na/XIN_CMN_20030508_wpr/75576","士兵/Na/XIN_CMN_20030508_wpr/75576",1
"士兵/Na/XIN_CMN_20030414_wpr/56352","士兵/Na/XIN_CMN_20030414_wpr/56352",1
"士兵/Na/XIN_CMN_20030618_wpr/51205","士兵/Na/XIN_CMN_20030618_wpr/51205",1
"士兵/Na/XIN_CMN_20030410_wpr/102912","士兵/Na/XIN_CMN_20030410_wpr/102912",1
"士兵/Na/XIN_CMN_20030423_wpr/95759","士兵/Na/XIN_CMN_20030423_wpr/95759",1
"士兵/Na/XIN_CMN_20030529_wpr/16924","士兵/Na/XIN_CMN_20030529_wpr/16924",1
"士兵/Na/XIN_CMN_20030415_wpr/28314","士兵/Na/XIN_CMN_20030415_wpr/28314",1
"士兵/Na/XIN_CMN_20030928_wpr/48755","士兵/Na/XIN_CMN_20030928_wpr/48755",1
"士兵/Na/XIN_CMN_20030718_wpr/80221","士兵/Na/XIN_CMN_20030718_wpr/80221",1
"士兵/Na/XIN_CMN_20030605_wpr/2294","士兵/Na/XIN_CMN_20030605_wpr/2294",1
"士兵/Na/ZBN_CMN_20030402_wpr/37022","士兵/Na/ZBN_CMN_20030402_wpr/37022",1
"士兵/Na/XIN_CMN_20030827_wpr/71142","士兵/Na/XIN_CMN_20030827_wpr/71142",1
"士兵/Na/XIN_CMN_20030710_wpr/64851","士兵/Na/XIN_CMN_20030710_wpr/64851",1
"士兵/Na/XIN_CMN_20030407_wpr/5021","士兵/Na/XIN_CMN_20030407_wpr/5021",1
"士兵/Na/ZBN_CMN_20030403_wpr/43866","士兵/Na/ZBN_CMN_20030403_wpr/43866",1
"士兵/Na/XIN_CMN_20030705_wpr/57808","士兵/Na/XIN_CMN_20030705_wpr/57808",1
"士兵/Na/XIN_CMN_20030702_wpr/5443","士兵/Na/XIN_CMN_20030702_wpr/5443",1
"士兵/Na/XIN_CMN_20030423_wpr/95847","士兵/Na/XIN_CMN_20030423_wpr/95847",1
"士兵/Na/XIN_CMN_20030701_wpr/74853","士兵/Na/XIN_CMN_20030701_wpr/74853",1
"士兵/Na/XIN_CMN_20030710_wpr/25016","士兵/Na/XIN_CMN_20030710_wpr/25016",1
"士兵/Na/CNA_CMN_20001024_wpr/123580","士兵/Na/CNA_CMN_20001024_wpr/123580",1
"士兵/Na/XIN_CMN_20030416_wpr/15649","士兵/Na/XIN_CMN_20030416_wpr/15649",1
"士兵/Na/XIN_CMN_20030404_wpr/65637","士兵/Na/XIN_CMN_20030404_wpr/65637",1
"士兵/Na/XIN_CMN_20030616_wpr/31925","士兵/Na/XIN_CMN_20030616_wpr/31925",1
"士兵/Na/XIN_CMN_20030430_wpr/28594","士兵/Na/XIN_CMN_20030430_wpr/28594",1
"士兵/Na/ZBN_CMN_20030406_wpr/14313","士兵/Na/ZBN_CMN_20030406_wpr/14313",1
"士兵/Na/ZBN_CMN_20030429_wpr/27628","士兵/Na/ZBN_CMN_20030429_wpr/27628",1
"士兵/Na/XIN_CMN_20030925_wpr/23571","士兵/Na/XIN_CMN_20030925_wpr/23571",1
"士兵/Na/XIN_CMN_20030727_wpr/13437","士兵/Na/XIN_CMN_20030727_wpr/13437",1
"士兵/Na/XIN_CMN_20030724_wpr/23921","士兵/Na/XIN_CMN_20030724_wpr/23921",1
