"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"exp_9"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"pbin_9"	"SumAbsDev"	"LargestDev"
"－"	0	0	0	0	0	1	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	-0.166	-0.016	-0.075	-0.011	1.052	-0.025	-0.009	-0.053	1.496	"6"
"!"	0	0	0	0	0	2	0	0	0	0.372	0.635	0.071	0.316	0.048	0.177	0.11	0.041	0.229	-0.179	-0.332	-0.031	-0.15	-0.021	2.105	-0.049	-0.018	-0.106	2.991	"6"
"……"	0	0	0	0	0	1	0	0	1	0.372	0.635	0.071	0.316	0.048	0.177	0.11	0.041	0.229	-0.179	-0.332	-0.031	-0.15	-0.021	0.771	-0.049	-0.018	0.666	2.217	"6"
"《"	0	0	0	0	0	7	0	0	0	1.303	2.223	0.248	1.107	0.168	0.62	0.386	0.144	0.801	-0.626	-1.161	-0.11	-0.523	-0.074	7.367	-0.172	-0.063	-0.37	10.466	"6"
"》"	0	0	0	0	0	7	0	0	0	1.303	2.223	0.248	1.107	0.168	0.62	0.386	0.144	0.801	-0.626	-1.161	-0.11	-0.523	-0.074	7.367	-0.172	-0.063	-0.37	10.466	"6"
"『"	0	0	0	0	0	0	0	0	2	0.372	0.635	0.071	0.316	0.048	0.177	0.11	0.041	0.229	-0.179	-0.332	-0.031	-0.15	-0.021	-0.081	-0.049	-0.018	1.883	2.744	"9"
"』"	0	0	0	0	0	0	0	0	2	0.372	0.635	0.071	0.316	0.048	0.177	0.11	0.041	0.229	-0.179	-0.332	-0.031	-0.15	-0.021	-0.081	-0.049	-0.018	1.883	2.744	"9"
"1"	11	5	0	2	0	0	0	0	0	3.351	5.716	0.637	2.847	0.432	1.595	0.991	0.371	2.06	4.095	-0.329	-0.282	-0.355	-0.19	-0.725	-0.443	-0.163	-0.95	7.532	"1"
"100"	1	2	0	1	0	0	0	0	0	0.745	1.27	0.142	0.633	0.096	0.354	0.22	0.082	0.458	0.251	0.421	-0.063	0.303	-0.042	-0.161	-0.098	-0.036	-0.211	1.586	"2"
"100多"	0	0	0	0	0	1	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	-0.166	-0.016	-0.075	-0.011	1.052	-0.025	-0.009	-0.053	1.496	"6"
"120"	0	1	0	0	0	0	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	0.498	-0.016	-0.075	-0.011	-0.04	-0.025	-0.009	-0.053	0.816	"2"
"1200"	0	2	0	0	0	0	0	0	0	0.372	0.635	0.071	0.316	0.048	0.177	0.11	0.041	0.229	-0.179	0.996	-0.031	-0.15	-0.021	-0.081	-0.049	-0.018	-0.106	1.631	"2"
"139"	1	0	0	0	0	0	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	0.73	-0.166	-0.016	-0.075	-0.011	-0.04	-0.025	-0.009	-0.053	1.125	"1"
"143"	0	0	0	0	0	0	1	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	-0.166	-0.016	-0.075	-0.011	-0.04	1.259	-0.009	-0.053	1.718	"7"
"14万8000"	0	1	0	0	0	0	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	0.498	-0.016	-0.075	-0.011	-0.04	-0.025	-0.009	-0.053	0.816	"2"
"150"	0	0	0	1	0	0	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	-0.166	-0.016	0.801	-0.011	-0.04	-0.025	-0.009	-0.053	1.21	"4"
"1500"	0	0	0	1	0	0	1	0	0	0.372	0.635	0.071	0.316	0.048	0.177	0.11	0.041	0.229	-0.179	-0.332	-0.031	0.536	-0.021	-0.081	0.97	-0.018	-0.106	2.274	"7"
"15万"	1	0	0	0	0	0	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	0.73	-0.166	-0.016	-0.075	-0.011	-0.04	-0.025	-0.009	-0.053	1.125	"1"
"1600"	0	0	0	1	0	0	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	-0.166	-0.016	0.801	-0.011	-0.04	-0.025	-0.009	-0.053	1.21	"4"
"16日"	0	0	1	0	0	0	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	-0.166	1.451	-0.075	-0.011	-0.04	-0.025	-0.009	-0.053	1.919	"3"
"1800"	0	0	0	1	0	0	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	-0.166	-0.016	0.801	-0.011	-0.04	-0.025	-0.009	-0.053	1.21	"4"
"1965年"	0	0	0	0	0	1	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	-0.166	-0.016	-0.075	-0.011	1.052	-0.025	-0.009	-0.053	1.496	"6"
"1976年"	0	0	0	0	1	0	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	-0.166	-0.016	-0.075	1.62	-0.04	-0.025	-0.009	-0.053	2.093	"5"
"1万2000"	0	0	0	1	0	0	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	-0.166	-0.016	0.801	-0.011	-0.04	-0.025	-0.009	-0.053	1.21	"4"
"2"	5	5	0	1	0	0	0	0	0	2.048	3.493	0.389	1.74	0.264	0.975	0.606	0.227	1.259	1.419	0.601	-0.172	-0.336	-0.116	-0.443	-0.271	-0.1	-0.581	4.039	"1"
"2000多"	0	2	0	0	0	0	0	0	0	0.372	0.635	0.071	0.316	0.048	0.177	0.11	0.041	0.229	-0.179	0.996	-0.031	-0.15	-0.021	-0.081	-0.049	-0.018	-0.106	1.631	"2"
"20世纪"	0	0	0	0	0	0	0	0	1	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	-0.166	-0.016	-0.075	-0.011	-0.04	-0.025	-0.009	0.941	1.372	"9"
"20余"	0	0	0	0	0	1	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	-0.166	-0.016	-0.075	-0.011	1.052	-0.025	-0.009	-0.053	1.496	"6"
"20多"	0	1	0	0	0	0	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	0.498	-0.016	-0.075	-0.011	-0.04	-0.025	-0.009	-0.053	0.816	"2"
"20年代"	0	0	0	0	0	0	0	0	1	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	-0.166	-0.016	-0.075	-0.011	-0.04	-0.025	-0.009	0.941	1.372	"9"
"23日"	0	0	2	0	0	0	0	0	1	0.558	0.953	0.106	0.474	0.072	0.266	0.165	0.062	0.343	-0.268	-0.498	2.436	-0.224	-0.032	-0.121	-0.074	-0.027	0.515	4.195	"3"
"27日"	2	1	0	0	0	0	0	0	1	0.745	1.27	0.142	0.633	0.096	0.354	0.22	0.082	0.458	0.796	-0.207	-0.063	-0.299	-0.042	-0.161	-0.098	-0.036	0.414	2.116	"1"
"2万"	0	1	0	1	0	0	1	0	0	0.558	0.953	0.106	0.474	0.072	0.266	0.165	0.062	0.343	-0.268	0.166	-0.047	0.394	-0.032	-0.121	0.806	-0.027	-0.158	2.019	"7"
"3"	5	11	0	0	0	1	0	0	0	3.165	5.398	0.602	2.689	0.408	1.506	0.936	0.35	1.946	0.707	2.276	-0.266	-1.271	-0.179	-0.261	-0.418	-0.154	-0.897	6.429	"2"
"300"	0	0	0	1	0	0	0	0	1	0.372	0.635	0.071	0.316	0.048	0.177	0.11	0.041	0.229	-0.179	-0.332	-0.031	0.536	-0.021	-0.081	-0.049	-0.018	0.666	1.913	"9"
"3000"	0	1	0	0	0	0	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	0.498	-0.016	-0.075	-0.011	-0.04	-0.025	-0.009	-0.053	0.816	"2"
"30日"	0	4	0	0	0	0	0	0	0	0.745	1.27	0.142	0.633	0.096	0.354	0.22	0.082	0.458	-0.358	1.993	-0.063	-0.299	-0.042	-0.161	-0.098	-0.036	-0.211	3.261	"2"
"350"	0	1	0	0	0	0	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	0.498	-0.016	-0.075	-0.011	-0.04	-0.025	-0.009	-0.053	0.816	"2"
"4"	4	7	0	0	0	0	0	0	0	2.048	3.493	0.389	1.74	0.264	0.975	0.606	0.227	1.259	0.88	1.528	-0.172	-0.822	-0.116	-0.443	-0.271	-0.1	-0.581	4.913	"2"
"400多"	0	1	0	0	0	0	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	0.498	-0.016	-0.075	-0.011	-0.04	-0.025	-0.009	-0.053	0.816	"2"
"43"	0	0	0	0	0	0	1	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	-0.166	-0.016	-0.075	-0.011	-0.04	1.259	-0.009	-0.053	1.718	"7"
"45"	0	0	0	0	0	0	1	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	-0.166	-0.016	-0.075	-0.011	-0.04	1.259	-0.009	-0.053	1.718	"7"
"450"	0	1	0	0	0	0	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	0.498	-0.016	-0.075	-0.011	-0.04	-0.025	-0.009	-0.053	0.816	"2"
"4600"	0	0	0	1	0	0	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	-0.166	-0.016	0.801	-0.011	-0.04	-0.025	-0.009	-0.053	1.21	"4"
"49"	0	1	0	0	0	0	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	0.498	-0.016	-0.075	-0.011	-0.04	-0.025	-0.009	-0.053	0.816	"2"
"4日"	1	0	0	1	0	0	0	0	0	0.372	0.635	0.071	0.316	0.048	0.177	0.11	0.041	0.229	0.472	-0.332	-0.031	0.536	-0.021	-0.081	-0.049	-0.018	-0.106	1.646	"4"
"5"	2	5	0	0	0	0	0	0	2	1.675	2.858	0.318	1.423	0.216	0.798	0.496	0.186	1.03	0.283	0.915	-0.141	-0.673	-0.095	-0.363	-0.221	-0.081	0.56	3.332	"2"
"50"	1	2	0	0	0	0	0	0	0	0.558	0.953	0.106	0.474	0.072	0.266	0.165	0.062	0.343	0.336	0.623	-0.047	-0.224	-0.032	-0.121	-0.074	-0.027	-0.158	1.642	"2"
"5000"	1	0	0	0	0	0	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	0.73	-0.166	-0.016	-0.075	-0.011	-0.04	-0.025	-0.009	-0.053	1.125	"1"
"50多"	0	0	0	1	0	0	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	-0.166	-0.016	0.801	-0.011	-0.04	-0.025	-0.009	-0.053	1.21	"4"
"52"	1	0	0	0	0	0	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	0.73	-0.166	-0.016	-0.075	-0.011	-0.04	-0.025	-0.009	-0.053	1.125	"1"
"56"	0	1	0	0	0	0	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	0.498	-0.016	-0.075	-0.011	-0.04	-0.025	-0.009	-0.053	0.816	"2"
"5万"	0	1	0	0	0	0	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	0.498	-0.016	-0.075	-0.011	-0.04	-0.025	-0.009	-0.053	0.816	"2"
"5日"	0	0	0	1	0	0	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	-0.166	-0.016	0.801	-0.011	-0.04	-0.025	-0.009	-0.053	1.21	"4"
"6"	0	2	0	2	0	0	0	0	1	0.931	1.588	0.177	0.791	0.12	0.443	0.275	0.103	0.572	-0.447	0.295	-0.078	0.745	-0.053	-0.201	-0.123	-0.045	0.342	2.329	"4"
"6000多"	0	1	0	0	0	0	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	0.498	-0.016	-0.075	-0.011	-0.04	-0.025	-0.009	-0.053	0.816	"2"
"62"	0	1	0	0	0	0	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	0.498	-0.016	-0.075	-0.011	-0.04	-0.025	-0.009	-0.053	0.816	"2"
"6日"	1	1	0	0	0	0	0	0	0	0.372	0.635	0.071	0.316	0.048	0.177	0.11	0.041	0.229	0.472	0.272	-0.031	-0.15	-0.021	-0.081	-0.049	-0.018	-0.106	1.2	"1"
"7"	0	1	0	1	0	0	0	0	0	0.372	0.635	0.071	0.316	0.048	0.177	0.11	0.041	0.229	-0.179	0.272	-0.031	0.536	-0.021	-0.081	-0.049	-0.018	-0.106	1.293	"4"
"75"	0	1	0	0	0	0	0	0	0	0.186	0.318	0.035	0.158	0.024	0.089	0.055	0.021	0.114	-0.089	0.498	-0.016	-0.075	-0.011	-0.04	-0.025	-0.009	-0.053	0.816	"2"
