"","tokenlabel","cluster"
"感觉/Na/XIN_CMN_20030719_wpr/18896","感觉/Na/XIN_CMN_20030719_wpr/18896",1
"感觉/Na/ZBN_CMN_20030609_wpr/21847","感觉/Na/ZBN_CMN_20030609_wpr/21847",1
"感觉/Na/XIN_CMN_20030718_wpr/60254","感觉/Na/XIN_CMN_20030718_wpr/60254",1
"感觉/Na/XIN_CMN_20001210_wpr/63307","感觉/Na/XIN_CMN_20001210_wpr/63307",1
"感觉/Na/ZBN_CMN_20030503_wpr/10435","感觉/Na/ZBN_CMN_20030503_wpr/10435",1
"感觉/Na/XIN_CMN_20010116_wpr/18672","感觉/Na/XIN_CMN_20010116_wpr/18672",1
"感觉/Na/XIN_CMN_20001022_wpr/5249","感觉/Na/XIN_CMN_20001022_wpr/5249",1
"感觉/Na/CNA_CMN_20010117_wpr/38678","感觉/Na/CNA_CMN_20010117_wpr/38678",1
"情绪/Na/CNA_CMN_20001028_wpr/13217","情绪/Na/CNA_CMN_20001028_wpr/13217",1
"感觉/Na/ZBN_CMN_20030511_wpr/69021","感觉/Na/ZBN_CMN_20030511_wpr/69021",1
"感觉/Na/ZBN_CMN_20030708_wpr/17168","感觉/Na/ZBN_CMN_20030708_wpr/17168",1
"感觉/Na/ZBN_CMN_20030415_wpr/50763","感觉/Na/ZBN_CMN_20030415_wpr/50763",1
"感觉/Na/ZBN_CMN_20030714_wpr/70921","感觉/Na/ZBN_CMN_20030714_wpr/70921",1
"感觉/Na/ZBN_CMN_20030405_wpr/62431","感觉/Na/ZBN_CMN_20030405_wpr/62431",1
"感觉/Na/ZBN_CMN_20030527_wpr/59624","感觉/Na/ZBN_CMN_20030527_wpr/59624",1
"感觉/Na/ZBN_CMN_20010127_wpr/18742","感觉/Na/ZBN_CMN_20010127_wpr/18742",1
"感觉/Na/ZBN_CMN_20030621_wpr/60869","感觉/Na/ZBN_CMN_20030621_wpr/60869",1
"感觉/Na/ZBN_CMN_20030513_wpr/60469","感觉/Na/ZBN_CMN_20030513_wpr/60469",1
"情绪/Na/ZBN_CMN_20030410_wpr/77642","情绪/Na/ZBN_CMN_20030410_wpr/77642",1
"情绪/Na/ZBN_CMN_20030817_wpr/27984","情绪/Na/ZBN_CMN_20030817_wpr/27984",1
"风气/Na/ZBN_CMN_20030615_wpr/80073","风气/Na/ZBN_CMN_20030615_wpr/80073",1
"情绪/Na/ZBN_CMN_20030714_wpr/67707","情绪/Na/ZBN_CMN_20030714_wpr/67707",1
"感觉/Na/ZBN_CMN_20030624_wpr/60899","感觉/Na/ZBN_CMN_20030624_wpr/60899",1
"感觉/Na/ZBN_CMN_20001229_wpr/43688","感觉/Na/ZBN_CMN_20001229_wpr/43688",1
"感觉/Na/CNA_CMN_20001112_wpr/4960","感觉/Na/CNA_CMN_20001112_wpr/4960",1
"感觉/Na/ZBN_CMN_20030718_wpr/83881","感觉/Na/ZBN_CMN_20030718_wpr/83881",1
"感觉/Na/ZBN_CMN_20001128_wpr/18039","感觉/Na/ZBN_CMN_20001128_wpr/18039",1
"感觉/Na/ZBN_CMN_20030415_wpr/13981","感觉/Na/ZBN_CMN_20030415_wpr/13981",1
"感觉/Na/ZBN_CMN_20030427_wpr/4751","感觉/Na/ZBN_CMN_20030427_wpr/4751",1
"感觉/Na/ZBN_CMN_20030427_wpr/4687","感觉/Na/ZBN_CMN_20030427_wpr/4687",1
"感觉/Na/CNA_CMN_20001002_wpr/120780","感觉/Na/CNA_CMN_20001002_wpr/120780",1
"感觉/Na/CNA_CMN_20001031_wpr/111058","感觉/Na/CNA_CMN_20001031_wpr/111058",1
"心情/Na/ZBN_CMN_20030711_wpr/35174","心情/Na/ZBN_CMN_20030711_wpr/35174",1
"感觉/Na/ZBN_CMN_20030715_wpr/54894","感觉/Na/ZBN_CMN_20030715_wpr/54894",1
"心情/Na/ZBN_CMN_20030608_wpr/71716","心情/Na/ZBN_CMN_20030608_wpr/71716",1
"感觉/Na/ZBN_CMN_20030607_wpr/568","感觉/Na/ZBN_CMN_20030607_wpr/568",1
"感觉/Na/XIN_CMN_20030714_wpr/66369","感觉/Na/XIN_CMN_20030714_wpr/66369",1
"心情/Na/XIN_CMN_20030425_wpr/29469","心情/Na/XIN_CMN_20030425_wpr/29469",1
"感觉/Na/ZBN_CMN_20030717_wpr/24594","感觉/Na/ZBN_CMN_20030717_wpr/24594",1
"感觉/Na/XIN_CMN_20030922_wpr/84525","感觉/Na/XIN_CMN_20030922_wpr/84525",1
"感觉/Na/XIN_CMN_20030417_wpr/3411","感觉/Na/XIN_CMN_20030417_wpr/3411",1
"感觉/Na/ZBN_CMN_20030927_wpr/8186","感觉/Na/ZBN_CMN_20030927_wpr/8186",1
"感觉/Na/ZBN_CMN_20030713_wpr/58443","感觉/Na/ZBN_CMN_20030713_wpr/58443",1
"感觉/Na/ZBN_CMN_20001112_wpr/19779","感觉/Na/ZBN_CMN_20001112_wpr/19779",1
"感觉/Na/ZBN_CMN_20010101_wpr/38734","感觉/Na/ZBN_CMN_20010101_wpr/38734",1
"感觉/Na/CNA_CMN_20001028_wpr/100469","感觉/Na/CNA_CMN_20001028_wpr/100469",1
"感觉/Na/CNA_CMN_20001017_wpr/54203","感觉/Na/CNA_CMN_20001017_wpr/54203",1
"感觉/Na/CNA_CMN_20030911_wpr/8666","感觉/Na/CNA_CMN_20030911_wpr/8666",1
"感觉/Na/CNA_CMN_20001119_wpr/42535","感觉/Na/CNA_CMN_20001119_wpr/42535",1
"感觉/Na/CNA_CMN_20001124_wpr/28695","感觉/Na/CNA_CMN_20001124_wpr/28695",1
"感觉/Na/ZBN_CMN_20001010_wpr/13210","感觉/Na/ZBN_CMN_20001010_wpr/13210",1
"感觉/Na/XIN_CMN_20030827_wpr/52164","感觉/Na/XIN_CMN_20030827_wpr/52164",1
"感觉/Na/ZBN_CMN_20030918_wpr/75584","感觉/Na/ZBN_CMN_20030918_wpr/75584",1
"情绪/Na/XIN_CMN_20001225_wpr/40652","情绪/Na/XIN_CMN_20001225_wpr/40652",1
"情绪/Na/ZBN_CMN_20030418_wpr/85332","情绪/Na/ZBN_CMN_20030418_wpr/85332",1
"情绪/Na/ZBN_CMN_20001116_wpr/20581","情绪/Na/ZBN_CMN_20001116_wpr/20581",1
"感觉/Na/XIN_CMN_20001129_wpr/48059","感觉/Na/XIN_CMN_20001129_wpr/48059",1
"感觉/Na/XIN_CMN_20030524_wpr/28460","感觉/Na/XIN_CMN_20030524_wpr/28460",1
"感觉/Na/ZBN_CMN_20010123_wpr/26672","感觉/Na/ZBN_CMN_20010123_wpr/26672",1
"情绪/Na/ZBN_CMN_20030421_wpr/26910","情绪/Na/ZBN_CMN_20030421_wpr/26910",1
"心情/Na/CNA_CMN_20001010_wpr/59032","心情/Na/CNA_CMN_20001010_wpr/59032",1
"情绪/Na/XIN_CMN_20030425_wpr/34966","情绪/Na/XIN_CMN_20030425_wpr/34966",1
"情绪/Na/CNA_CMN_20001021_wpr/119416","情绪/Na/CNA_CMN_20001021_wpr/119416",1
"情绪/Na/ZBN_CMN_20001001_wpr/33737","情绪/Na/ZBN_CMN_20001001_wpr/33737",1
"心情/Na/XIN_CMN_20030407_wpr/40720","心情/Na/XIN_CMN_20030407_wpr/40720",1
"心情/Na/XIN_CMN_20001107_wpr/73158","心情/Na/XIN_CMN_20001107_wpr/73158",1
"感觉/Na/ZBN_CMN_20001018_wpr/15979","感觉/Na/ZBN_CMN_20001018_wpr/15979",1
"感觉/Na/ZBN_CMN_20001215_wpr/30095","感觉/Na/ZBN_CMN_20001215_wpr/30095",1
"心情/Na/CNA_CMN_20001001_wpr/55262","心情/Na/CNA_CMN_20001001_wpr/55262",1
"感觉/Na/CNA_CMN_20001120_wpr/17680","感觉/Na/CNA_CMN_20001120_wpr/17680",1
"感觉/Na/ZBN_CMN_20030618_wpr/34435","感觉/Na/ZBN_CMN_20030618_wpr/34435",1
"心情/Na/ZBN_CMN_20030806_wpr/14297","心情/Na/ZBN_CMN_20030806_wpr/14297",1
"心情/Na/CNA_CMN_20010111_wpr/114413","心情/Na/CNA_CMN_20010111_wpr/114413",1
"心情/Na/ZBN_CMN_20030816_wpr/73592","心情/Na/ZBN_CMN_20030816_wpr/73592",1
"心情/Na/ZBN_CMN_20030516_wpr/33030","心情/Na/ZBN_CMN_20030516_wpr/33030",1
"感觉/Na/XIN_CMN_20030727_wpr/50475","感觉/Na/XIN_CMN_20030727_wpr/50475",1
"感觉/Na/ZBN_CMN_20030805_wpr/51373","感觉/Na/ZBN_CMN_20030805_wpr/51373",1
"感觉/Na/ZBN_CMN_20001222_wpr/39023","感觉/Na/ZBN_CMN_20001222_wpr/39023",1
"情绪/Na/CNA_CMN_20001205_wpr/87159","情绪/Na/CNA_CMN_20001205_wpr/87159",1
"心情/Na/ZBN_CMN_20030717_wpr/2142","心情/Na/ZBN_CMN_20030717_wpr/2142",1
"感觉/Na/ZBN_CMN_20030527_wpr/3601","感觉/Na/ZBN_CMN_20030527_wpr/3601",1
"感觉/Na/XIN_CMN_20030616_wpr/54425","感觉/Na/XIN_CMN_20030616_wpr/54425",1
"心情/Na/ZBN_CMN_20030414_wpr/73873","心情/Na/ZBN_CMN_20030414_wpr/73873",1
"感觉/Na/ZBN_CMN_20010111_wpr/22583","感觉/Na/ZBN_CMN_20010111_wpr/22583",1
"感觉/Na/XIN_CMN_20001224_wpr/44390","感觉/Na/XIN_CMN_20001224_wpr/44390",1
"心情/Na/CNA_CMN_20001003_wpr/121043","心情/Na/CNA_CMN_20001003_wpr/121043",1
"感觉/Na/ZBN_CMN_20030419_wpr/69406","感觉/Na/ZBN_CMN_20030419_wpr/69406",1
"感觉/Na/XIN_CMN_20030731_wpr/26151","感觉/Na/XIN_CMN_20030731_wpr/26151",1
"感觉/Na/ZBN_CMN_20030517_wpr/16070","感觉/Na/ZBN_CMN_20030517_wpr/16070",1
"感觉/Na/ZBN_CMN_20001112_wpr/17517","感觉/Na/ZBN_CMN_20001112_wpr/17517",1
"感觉/Na/ZBN_CMN_20030705_wpr/7566","感觉/Na/ZBN_CMN_20030705_wpr/7566",1
"气氛/Na/XIN_CMN_20030820_wpr/44615","气氛/Na/XIN_CMN_20030820_wpr/44615",1
"气氛/Na/XIN_CMN_20001026_wpr/40283","气氛/Na/XIN_CMN_20001026_wpr/40283",1
"感觉/Na/XIN_CMN_20030415_wpr/18821","感觉/Na/XIN_CMN_20030415_wpr/18821",1
"感觉/Na/ZBN_CMN_20030422_wpr/68741","感觉/Na/ZBN_CMN_20030422_wpr/68741",1
"心情/Na/ZBN_CMN_20030607_wpr/74197","心情/Na/ZBN_CMN_20030607_wpr/74197",1
"感觉/Na/ZBN_CMN_20030921_wpr/15062","感觉/Na/ZBN_CMN_20030921_wpr/15062",1
"感觉/Na/ZBN_CMN_20030917_wpr/73309","感觉/Na/ZBN_CMN_20030917_wpr/73309",1
"感觉/Na/ZBN_CMN_20030414_wpr/73922","感觉/Na/ZBN_CMN_20030414_wpr/73922",1
"感觉/Na/ZBN_CMN_20001020_wpr/23460","感觉/Na/ZBN_CMN_20001020_wpr/23460",1
"感觉/Na/XIN_CMN_20030517_wpr/57526","感觉/Na/XIN_CMN_20030517_wpr/57526",1
"感觉/Na/ZBN_CMN_20030902_wpr/3682","感觉/Na/ZBN_CMN_20030902_wpr/3682",1
"感觉/Na/ZBN_CMN_20030808_wpr/82206","感觉/Na/ZBN_CMN_20030808_wpr/82206",1
"感觉/Na/ZBN_CMN_20001031_wpr/27157","感觉/Na/ZBN_CMN_20001031_wpr/27157",1
"感觉/Na/CNA_CMN_20030630_wpr/6774","感觉/Na/CNA_CMN_20030630_wpr/6774",1
"感觉/Na/ZBN_CMN_20030507_wpr/77387","感觉/Na/ZBN_CMN_20030507_wpr/77387",1
"感觉/Na/ZBN_CMN_20030725_wpr/41194","感觉/Na/ZBN_CMN_20030725_wpr/41194",1
"感觉/Na/ZBN_CMN_20030828_wpr/75639","感觉/Na/ZBN_CMN_20030828_wpr/75639",1
"感觉/Na/CNA_CMN_20001119_wpr/64334","感觉/Na/CNA_CMN_20001119_wpr/64334",1
"心情/Na/ZBN_CMN_20030422_wpr/10631","心情/Na/ZBN_CMN_20030422_wpr/10631",1
"心情/Na/ZBN_CMN_20030811_wpr/8834","心情/Na/ZBN_CMN_20030811_wpr/8834",1
"心情/Na/ZBN_CMN_20030626_wpr/79389","心情/Na/ZBN_CMN_20030626_wpr/79389",1
"心情/Na/ZBN_CMN_20030902_wpr/21531","心情/Na/ZBN_CMN_20030902_wpr/21531",1
"感觉/Na/ZBN_CMN_20030531_wpr/23373","感觉/Na/ZBN_CMN_20030531_wpr/23373",1
"心情/Na/ZBN_CMN_20001217_wpr/26655","心情/Na/ZBN_CMN_20001217_wpr/26655",1
"心情/Na/ZBN_CMN_20030717_wpr/19956","心情/Na/ZBN_CMN_20030717_wpr/19956",1
"感觉/Na/CNA_CMN_20001104_wpr/128406","感觉/Na/CNA_CMN_20001104_wpr/128406",1
"心情/Na/CNA_CMN_20001114_wpr/47438","心情/Na/CNA_CMN_20001114_wpr/47438",1
"气氛/Na/ZBN_CMN_20030810_wpr/61248","气氛/Na/ZBN_CMN_20030810_wpr/61248",1
"心情/Na/ZBN_CMN_20030419_wpr/67626","心情/Na/ZBN_CMN_20030419_wpr/67626",1
"情绪/Na/XIN_CMN_20030414_wpr/48637","情绪/Na/XIN_CMN_20030414_wpr/48637",1
"气氛/Na/CNA_CMN_20001017_wpr/54507","气氛/Na/CNA_CMN_20001017_wpr/54507",1
"感觉/Na/CNA_CMN_20010117_wpr/132944","感觉/Na/CNA_CMN_20010117_wpr/132944",1
"感觉/Na/ZBN_CMN_20001001_wpr/36814","感觉/Na/ZBN_CMN_20001001_wpr/36814",1
"感觉/Na/ZBN_CMN_20030815_wpr/23769","感觉/Na/ZBN_CMN_20030815_wpr/23769",1
"情绪/Na/XIN_CMN_20010118_wpr/18298","情绪/Na/XIN_CMN_20010118_wpr/18298",1
"心情/Na/CNA_CMN_20001105_wpr/51592","心情/Na/CNA_CMN_20001105_wpr/51592",1
"情绪/Na/ZBN_CMN_20030619_wpr/62542","情绪/Na/ZBN_CMN_20030619_wpr/62542",1
"情绪/Na/ZBN_CMN_20030609_wpr/13774","情绪/Na/ZBN_CMN_20030609_wpr/13774",1
"心情/Na/ZBN_CMN_20030815_wpr/23315","心情/Na/ZBN_CMN_20030815_wpr/23315",1
"心情/Na/CNA_CMN_20001128_wpr/92688","心情/Na/CNA_CMN_20001128_wpr/92688",1
"感觉/Na/CNA_CMN_20001227_wpr/48748","感觉/Na/CNA_CMN_20001227_wpr/48748",1
"感觉/Na/XIN_CMN_20030730_wpr/29479","感觉/Na/XIN_CMN_20030730_wpr/29479",1
"情绪/Na/ZBN_CMN_20030829_wpr/4004","情绪/Na/ZBN_CMN_20030829_wpr/4004",1
"感觉/Na/ZBN_CMN_20030907_wpr/64032","感觉/Na/ZBN_CMN_20030907_wpr/64032",1
"感觉/Na/CNA_CMN_20001018_wpr/122985","感觉/Na/CNA_CMN_20001018_wpr/122985",1
"感觉/Na/ZBN_CMN_20030421_wpr/17109","感觉/Na/ZBN_CMN_20030421_wpr/17109",1
"心情/Na/CNA_CMN_20030520_wpr/16488","心情/Na/CNA_CMN_20030520_wpr/16488",1
"心情/Na/CNA_CMN_20001101_wpr/11539","心情/Na/CNA_CMN_20001101_wpr/11539",1
"心情/Na/CNA_CMN_20001015_wpr/16004","心情/Na/CNA_CMN_20001015_wpr/16004",1
"情绪/Na/ZBN_CMN_20030702_wpr/8941","情绪/Na/ZBN_CMN_20030702_wpr/8941",1
"心情/Na/CNA_CMN_20001102_wpr/121794","心情/Na/CNA_CMN_20001102_wpr/121794",1
"气氛/Na/XIN_CMN_20010117_wpr/22899","气氛/Na/XIN_CMN_20010117_wpr/22899",1
