"Coll_Word"	"1"	"2"	"3"	"exp_1"	"exp_2"	"exp_3"	"pbin_1"	"pbin_2"	"pbin_3"	"SumAbsDev"	"LargestDev"
"--"	0	0	7	2.121	0.826	4.053	-1.097	-0.382	1.661	3.14	"3"
":"	26	0	6	9.695	3.778	18.527	8.424	-1.746	-5.161	15.331	"1"
"!"	1	0	1	0.606	0.236	1.158	0.289	-0.109	-0.177	0.575	"1"
"("	127	0	10	41.506	16.176	79.319	52.755	-7.476	-35.399	95.63	"1"
")"	121	0	11	39.991	15.585	76.424	48.92	-7.203	-32.5	88.623	"1"
"["	2	0	0	0.606	0.236	1.158	1.037	-0.109	-0.751	1.897	"1"
"]"	2	0	0	0.606	0.236	1.158	1.037	-0.109	-0.751	1.897	"1"
"04"	1	0	0	0.303	0.118	0.579	0.519	-0.055	-0.376	0.95	"1"
"07月"	2	0	0	0.606	0.236	1.158	1.037	-0.109	-0.751	1.897	"1"
"1.3832"	1	0	0	0.303	0.118	0.579	0.519	-0.055	-0.376	0.95	"1"
"106.10"	1	0	0	0.303	0.118	0.579	0.519	-0.055	-0.376	0.95	"1"
"1402"	1	0	0	0.303	0.118	0.579	0.519	-0.055	-0.376	0.95	"1"
"140周年"	0	1	0	0.303	0.118	0.579	-0.157	0.928	-0.376	1.461	"2"
"1977－－世纪"	0	1	0	0.303	0.118	0.579	-0.157	0.928	-0.376	1.461	"2"
"1底"	1	0	0	0.303	0.118	0.579	0.519	-0.055	-0.376	0.95	"1"
"2000年度"	0	0	1	0.303	0.118	0.579	-0.157	-0.055	0.237	0.449	"3"
"2003年"	2	0	1	0.909	0.354	1.737	0.658	-0.164	-0.417	1.239	"1"
"2005年"	1	0	1	0.606	0.236	1.158	0.289	-0.109	-0.177	0.575	"1"
"2008年"	1	0	0	0.303	0.118	0.579	0.519	-0.055	-0.376	0.95	"1"
"2009年"	1	0	0	0.303	0.118	0.579	0.519	-0.055	-0.376	0.95	"1"
"2010年"	1	0	0	0.303	0.118	0.579	0.519	-0.055	-0.376	0.95	"1"
"3585"	1	0	0	0.303	0.118	0.579	0.519	-0.055	-0.376	0.95	"1"
"4年"	0	0	1	0.303	0.118	0.579	-0.157	-0.055	0.237	0.449	"3"
"4底"	1	0	0	0.303	0.118	0.579	0.519	-0.055	-0.376	0.95	"1"
"56"	0	0	1	0.303	0.118	0.579	-0.157	-0.055	0.237	0.449	"3"
"70年代"	0	0	1	0.303	0.118	0.579	-0.157	-0.055	0.237	0.449	"3"
"891203"	0	0	1	0.303	0.118	0.579	-0.157	-0.055	0.237	0.449	"3"
"AC"	1	0	0	0.303	0.118	0.579	0.519	-0.055	-0.376	0.95	"1"
"Atletico"	0	0	1	0.303	0.118	0.579	-0.157	-0.055	0.237	0.449	"3"
"DSF"	2	0	0	0.606	0.236	1.158	1.037	-0.109	-0.751	1.897	"1"
