"cluster"	"sigcol"
"4"	"人才"
"4"	"强国"
"4"	"群众"
"5"	"选手"
"5"	"经费"
"5"	"运动员"
"5"	"教练"
"1"	"奖励"
"1"	"("
"1"	")"
"1"	"行政院"
"1"	"委员会"
"1"	"绩优"
"1"	"运动选手"
"1"	"参加"
"1"	"国际"
"5"	"理事会"
"5"	"欧洲"
"5"	"明文"
"5"	"罗格"
"5"	":"
"5"	"庆功"
"5"	"赞助"
"5"	"一银"
"5"	"参与"
"5"	"项目"
"5"	"活动"
"5"	"("
"5"	")"
"5"	"完"
"5"	"四"
"5"	"文教"
"5"	":"
"5"	"--"
"5"	"十时"
"4"	"成绩"
"4"	"行政院"
"4"	"委员会"
"4"	"李斌"
"3"	"天地"
"3"	"缤纷"
"3"	"世界"
"4"	"健"
"4"	"领域"
"4"	"开展"
"7"	"体育"
"7"	"活动"
"7"	"推广"
"7"	"夺标"
"5"	"举办"
"5"	"龙腾虎跃"
"5"	"表演会"
"5"	"武术"
"7"	"民间"
"7"	"体育"
"7"	"活动"
"7"	"活动"
"7"	"郑志富"
"4"	"文化"
"4"	"委员会"
"3"	"颖"
"3"	"成衣厂"
"5"	"参加"
"5"	"永建"
"5"	"表演会"
"5"	"永建"
"5"	"三十分"
"5"	"四"
"5"	"文教"
"5"	":"
"5"	"--"
"5"	"九时"
"5"	"比赛"
"5"	"开幕式"
"3"	"县立"
"5"	"一楼"
"5"	"--"
"5"	"食益补"
"5"	"中华"
"5"	"残障"
"5"	"运动"
"5"	"总会"
"5"	"选手"
"5"	"赞助"
"5"	"体育"
"7"	"移师"
"7"	"总局"
"7"	"国家"
"7"	"馆"
"7"	"蒐整"
"7"	"体育"
"7"	"延续"
"7"	"文化"
"4"	"行政院"
"4"	"委员会"
"4"	"国际"
"4"	"奥会"
"5"	"国际"
"5"	"马拉松"
"5"	"赛"
"5"	"中华"
"5"	"代表队"
"5"	"授旗"
"5"	"大楼"
"5"	"一楼"
"5"	"--"
"5"	"十时"
"5"	"三十分"
"5"	"四"
"5"	"文教"
"5"	":"
"5"	"--"
"5"	"十时"
"5"	"比赛"
"4"	"文化"
"4"	"委员会"
"4"	"行政院"
"4"	"委员会"
"4"	"年度"
"5"	"参加"
"5"	"国际"
"5"	"学校"
"5"	"总会"
"5"	"锦标赛"
"5"	"("
"5"	"千零一"
"5"	"国际"
"5"	"学校"
"5"	"总会"
"5"	"篮球"
"5"	"锦标赛"
"1"	")"
"1"	"交流"
"1"	"中华"
"1"	"奥会"
"7"	"推展"
"7"	"交流"
"7"	"体育"
"7"	"体育"
"5"	"北市立"
"5"	"学院"
"5"	"体育馆"
"5"	"赞助"
"5"	"活动"
"5"	"("
"5"	"比赛"
"5"	"北市立"
"5"	"百龄"
"4"	"委员会"
"4"	"委员会"
"4"	"推广"
"5"	"三十分"
"5"	"四"
"5"	"文教"
"5"	":"
"5"	"--"
"5"	"八时"
"5"	"三十分"
"5"	"届"
"5"	"全国"
"5"	"甲组"
"5"	"联赛"
"5"	"北市立"
"5"	"学院"
"5"	"体育馆"
"4"	"运"
"4"	"动"
"7"	"国立"
"7"	"学院"
"7"	"文静"
"7"	"第六"
"7"	"国立"
"7"	"体育"
"7"	"学院"
"7"	"黄琼宇"
"5"	"返国"
"5"	"四"
"5"	"文教"
"5"	":"
"5"	"--"
"5"	"九时"
"5"	"三十分"
"5"	"赞助"
"5"	"赛事"
"4"	"经费"
"4"	"体"
"4"	"委会"
"4"	"研订"
"4"	"全国性"
"4"	"民间"
"4"	"活动"
"4"	"团体"
"4"	"经费"
"4"	"补助"
"4"	"明文规定"
"6"	"全国性"
"6"	"单项"
"6"	"运动"
"6"	"协会"
"6"	"属实者"
"6"	"国际"
"6"	"体"
"6"	"委会"
"6"	"体"
"5"	"学校"
"5"	"参加"
"5"	"比赛"
"5"	"教师"
"5"	"评分"
"4"	"水平"
"4"	"运动会"
"4"	"文化"
"5"	"赛事"
"5"	"我国"
"5"	"国际"
"5"	"推动"
"5"	"奥运会"
"5"	"成绩"
"5"	"健儿"
"5"	"献"
"5"	"厚礼"
"5"	"伴随"
"5"	"我国"
"5"	"健儿"
"5"	"奥运会"
"5"	"勇夺"
"5"	"金牌"
"6"	"参加"
"6"	"运动"
"6"	"锻炼"
"4"	"意大利"
"4"	"事业"
"4"	"("
"4"	")"
"5"	"中国"
"5"	"健儿"
"5"	"归来"
"5"	"中国"
"5"	"称号"
"5"	"中国"
"5"	"健儿"
"5"	"届"
"5"	"奥运会"
"7"	"国家"
"7"	"总局"
"7"	"局长"
"7"	"袁伟"
"7"	"民代表"
"7"	"国家"
"7"	"体育"
"7"	"总局"
"7"	"中华"
"5"	"金牌"
"5"	"第27"
"5"	"竞技"
"5"	"中国"
"4"	"社会主"
"4"	"中国"
"4"	"事业"
"4"	"重视"
"4"	"体育"
"4"	"发展"
"4"	"关心"
"4"	"青少年"
"4"	"文化"
"7"	"从事"
"7"	"体育"
"7"	"活动"
"7"	"酷爱"
"3"	"用品"
"3"	"博览会"
"3"	"金牌"
"3"	"评"
