"cluster"	"sigcol"
"1"	"行动"
"1"	"准则"
"1"	"」"
"1"	"发起"
"1"	"草拟"
"1"	"行动"
"1"	"缓和"
"1"	"南沙群岛"
"1"	"紧"
"1"	"南海"
"2"	"全球性"
"2"	"例如"
"2"	"活动"
"2"	"世界贸易组织"
"3"	"财务"
"3"	"会计"
"3"	"准则"
"3"	"第三十"
"3"	"公报"
"3"	"库藏"
"3"	"股票"
"3"	"会计"
"3"	"处理"
"3"	"规定"
"3"	"列示"
"3"	"项"
"3"	"有关"
"3"	"南海"
"3"	"行为"
"3"	"」"
"3"	"载"
"3"	"事项"
"3"	"依"
"3"	"营利"
"3"	"所得税"
"3"	"查核"
"3"	"条"
"3"	"规定"
"3"	"调整"
"2"	"固定"
"2"	"判断"
"2"	"趋势"
"1"	"坚决"
"1"	"要求"
"1"	"恪守"
"1"	"国际"
"1"	"关系"
"1"	"基本"
"1"	"停止"
"1"	"干涉"
"1"	"行径"
"1"	"尊重"
"1"	"国际法"
"1"	"典范"
"1"	"》"
"1"	"发表"
"2"	"毒"
"2"	"防治产"
"2"	"品评"
"2"	"测"
"2"	"》"
"2"	"唯一"
"2"	"计算机病毒"
"3"	"行为"
"3"	"基本"
"3"	"道德"
"3"	"完全"
"3"	"反"
"3"	"反"
"1"	"发动"
"1"	"违背"
"1"	"联合国"
"1"	"宪章"
"1"	"践踏"
"1"	"国际法"
"1"	"侵略"
"1"	"行径"
"1"	"要求"
"1"	"停止"
"2"	"隐私权"
"2"	"隐私权"
"2"	"项"
"2"	"独立"
"2"	"然而"
"2"	"推行"
"1"	"和平"
"1"	"共处"
"1"	"项"
"1"	"以及"
"1"	"公认"
"1"	"国际"
"1"	"关系"
"1"	"来处"
"1"	"理"
"1"	"促进"
"1"	"联合国"
"3"	"固定"
"3"	"道德"
"3"	"种族"
"1"	"信徒"
"1"	"宣读"
"1"	"宗教"
"1"	"和谐"
"1"	"工作"
"1"	"委员会"
"1"	"曾士生"
"1"	"内容"
"3"	"球员"
"3"	"违反"
"3"	"根据"
"3"	"球员"
"1"	"相关"
"1"	"按"
"1"	"教义"
"1"	"投资"
"1"	"避免"
"1"	"投资"
"1"	"烟酒"
"2"	"拟"
"2"	"建议"
"2"	"具体"
"2"	"委员会"
"2"	"教师"
"2"	"不切实际"
"2"	"教师"
"3"	"医药"
"3"	"陈祝全"
"3"	"检查"
"3"	"指导"
"3"	"推介"
"3"	"访"
"1"	"准则"
"1"	"以防"
"1"	"沙斯"
"1"	"袭"
"1"	"这些"
"1"	"并且"
"2"	"弱肉强食"
"1"	"「"
"1"	"一"
"1"	"反对"
"1"	"宪法"
"1"	"确定"
"1"	"基本"
"1"	"洩露"
"1"	"个"
"1"	"精神"
"3"	"营造业"
"3"	"分工"
"3"	"营造业"
"3"	"管理"
"1"	"善意"
"1"	"永久"
"1"	"和平"
"1"	"」"
"1"	"两岸"
"1"	"项"
"1"	"全面"
"1"	"评估"
"1"	"世贸组织"
"1"	"公平"
"1"	"竞争"
"1"	"世贸组织"
"1"	"「"
"1"	"设置"
"1"	"」"
"2"	"金马"
"2"	"就近"
"1"	"「"
"1"	"两岸"
"1"	"坚持"
"1"	"一"
"1"	"个"
"1"	"中国"
"1"	"谋求"
"1"	"一"
"2"	"项"
"2"	"一"
"2"	"一"
"2"	"项"
"2"	"同意"
"2"	"办理"
"2"	"拨用"
"2"	"同意"
"1"	"」"
"1"	"「"
"1"	"国统纲领"
"1"	"」"
"1"	"「"
"1"	"五"
"1"	"」"
"1"	"关于"
"1"	"承认"
"2"	"区域"
"2"	"兼顾"
"2"	"优先"
"1"	"一"
"1"	"一"
"1"	"」"
"1"	"自保"
"1"	"下"
"1"	"任令"
"1"	"自行"
"1"	"结合"
"1"	"个"
"1"	"下"
"1"	"百分之十二点五"
"1"	"一"
"1"	"会勘"
"1"	"同意"
"1"	"下"
"1"	"一"
"1"	"一"
"1"	"下"
"1"	"任令"
"1"	"自行"
"1"	"「"
"1"	"一"
"1"	"中"
"1"	"」"
"1"	"意涵"
"1"	"」"
"1"	"办理"
"1"	"项"
"1"	"草案"
"2"	"外食"
"2"	"新陈代谢率"
"2"	"五"
"2"	"尊重"
"1"	"坚持"
"1"	"温和"
"1"	"理性"
"1"	"激情"
"1"	"政策"
"1"	"废弹"
"1"	"处理"
"1"	"「"
"1"	"安全"
"1"	"」"
"1"	"「"
"1"	"」"
"1"	"「"
"1"	"下"
"1"	"至上"
"1"	"优厚"
"3"	"民意"
"3"	"民利"
"3"	"为最"
"3"	"指导"
"3"	"充分"
"3"	"尊重"
"3"	"在野"
"2"	"根据"
"2"	"组团"
"2"	"东亚运"
"1"	"「"
"1"	"一"
"1"	"个"
"1"	"中国"
"1"	"」"
"1"	"原则"
"1"	"大前提"
"1"	"解决"
"1"	"五"
"1"	"坚持"
"1"	"「"
"1"	"一"
"1"	"个"
"1"	"中国"
"1"	"」"
"1"	"动摇"
"1"	"关系"
"1"	"互动"
"1"	"一"
"1"	"一"
"1"	"问题"
"1"	"﹐"
"1"	"坚持"
"1"	"一"
"1"	"个"
"1"	"中国"
"1"	"﹐"
"1"	"一"
"1"	"﹐"
"1"	"回到"
"1"	"一九九二年"
"1"	"两岸"
"1"	"关于"
"1"	"一"
"1"	"个"
"1"	"中国"
"1"	"共识"
"1"	"两岸"
"1"	"关系"
"1"	"共识"
"1"	"回避"
"1"	"一中"
"1"	"陈皇寺"
"1"	"「"
"1"	"一"
"1"	"个"
"1"	"中国"
"1"	"」"
"1"	"改变"
"1"	"接受"
"3"	"』"
"3"	"指导"
"3"	"朝鲜半岛"
"1"	"相互"
"1"	"尊重"
"1"	"下"
"1"	"达成"
"1"	"党派"
"1"	"」"
"1"	"程序"
"1"	"一"
"1"	"项"
"1"	"世贸组织"
"1"	"相"
"1"	"牴触"
"1"	"政策"
"1"	"接受"
"1"	"一"
"1"	"个"
"1"	"中国"
"1"	"否定"
"1"	"歪曲"
"1"	"回避"
"1"	"一九九二年"
"1"	"达成"
"1"	"「"
"1"	"基地台"
"1"	"设置"
"1"	"处理"
"1"	"」"
"1"	"草案"
"1"	"纲要"
"1"	"过于"
"2"	"购藏"
"2"	"玉器"
"2"	"方针"
"2"	"鑑定"
"1"	"两岸"
"1"	"「"
"1"	"一"
"1"	"中"
"1"	"」"
"1"	"下"
"2"	"即"
"2"	"党派"
"2"	"一视同仁"
"2"	"本于"
"2"	"即"
"2"	"查办"
"2"	"侦查"
"2"	"追诉"
"1"	"基于"
"1"	"上述"
"1"	"坚持"
"1"	"WTO"
"1"	"规则"
"1"	"适用"
"2"	"可行性"
"2"	"评估"
"2"	"做为"
"2"	"核定"
"2"	"名额"
"1"	"「"
"1"	"一"
"1"	"个"
"1"	"中国"
"1"	"湾"
"1"	"问题"
"1"	"」"
"1"	"白皮书"
"1"	"善意"
"1"	"永久"
"1"	"和平"
"1"	"」"
"1"	"处理"
"1"	"台澳"
"1"	"事务"
"1"	"充分"
"1"	"尊重"
"1"	"办理"
"1"	"符合"
"1"	"公平"
"1"	"评估"
"1"	"一"
"1"	"遵循"
"1"	"一"
"1"	"採矿"
"1"	"安全"
"1"	"人权"
"1"	"原则"
"1"	"油矿"
"2"	"班距"
"2"	"上将"
"2"	"增加为"
"1"	"和平"
"1"	"统一"
"1"	"主张"
"1"	"「"
"1"	"一"
"1"	"个"
"1"	"中国"
"1"	"」"
"1"	"基础"
"1"	"上"
"1"	"对话"
"1"	"谈判"
"1"	"解决"
"1"	"两岸"
"3"	"关系"
"3"	"为最"
"3"	"指导"
"3"	"善意"
"1"	"两岸"
"1"	"大三"
"1"	"通"
"1"	"回到"
"1"	"「"
"1"	"一"
"1"	"个"
"1"	"中国"
"1"	"」"
"1"	"项"
"1"	"﹐"
"1"	"「"
"1"	"一"
"1"	"个"
"1"	"中国"
"1"	"」"
"1"	"立场"
"1"	"一"
"1"	"承认"
"1"	"一"
"1"	"个"
"1"	"中国"
"1"	"週刊"
"2"	"高纤"
"2"	"少盐"
"1"	"明确"
"1"	"承认"
"1"	"「"
"1"	"一"
"1"	"个"
"1"	"中国"
"1"	"」"
"1"	"依"
"1"	"「"
"1"	"「"
"1"	"」"
"1"	"一"
"1"	"个中"
"1"	"两岸"
"1"	"张五岳"
"1"	"调"
"1"	"一"
"1"	"个中"
"1"	"有利"
"1"	"」"
"1"	"做好"
"1"	"两岸"
"1"	"全面"
"1"	"三通"
"2"	"来处"
"2"	"理"
"1"	"两岸"
"1"	"「"
"1"	"」"
"1"	"基本"
"1"	"争议"
"1"	"一"
"1"	"循"
"1"	"「"
"1"	"分离"
"1"	"」"
"1"	"人道"
"1"	"问题"
"2"	"立法"
"2"	"立"
"2"	"方针"
"2"	"通过"
"2"	"上述"
"1"	"不可能"
"1"	"一"
"1"	"中"
"1"	"让步"
"1"	"两岸"
"1"	"中国"
"1"	"项"
"1"	"坚持"
"1"	"尊严"
"1"	"对等"
"1"	"安全"
"1"	"下"
"1"	"两岸"
"1"	"双赢"
"1"	"舒适"
"1"	"安全"
"1"	"尊重"
"1"	"礼遇"
"1"	"尽量"
"1"	"管理"
"1"	"透明化"
"1"	"」"
"1"	"下"
"1"	"「"
"1"	"公教"
"1"	"分离"
"1"	"」"
"2"	"个"
"2"	"问题"
"2"	"道义"
"2"	"优先"
"2"	"决不会"
"2"	"保密"
"1"	"主权"
"1"	"尊严"
"1"	"问题"
"1"	"立场"
"1"	"坚定"
"2"	"高效"
"2"	"便捷"
"1"	"关于"
"1"	"”"
"1"	"声明"
"1"	"声明"
"1"	"”"
"1"	"接受"
"1"	"一"
"1"	"项"
"1"	"基本"
"1"	"政治犯罪"
"1"	"”"
"1"	"中国"
"1"	"问题"
"1"	"立场"
"1"	"傅全"
"1"	"亏损"
"1"	"”"
"1"	"安排好"
"1"	"收购"
"1"	"做好"
"1"	"内政"
"1"	"平"
"1"	"互利"
"1"	"和平"
"1"	"共处"
"1"	"五"
"1"	"项"
"1"	"一"
"1"	"内部"
"1"	"事务"
"2"	"按照"
"2"	"一"
"2"	"多点"
"2"	"开放"
"2"	"核心区"
"2"	"个"
"2"	"核心区"
"1"	"遵循"
"1"	"指导"
"1"	"竞争"
"1"	"项"
"1"	"基本"
"1"	"参照"
"1"	"惯例"
"1"	"一"
"1"	"个"
"1"	"中国"
"1"	"基础"
"1"	"上"
"1"	"推动"
"1"	"两岸"
"1"	"谈判"
"1"	"平等"
"1"	"互利"
"1"	"共同"
"1"	"”"
"1"	"伊斯兰"
"2"	"本着"
"2"	"用药"
"2"	"有效"
"2"	"依据"
"2"	"常务"
"2"	"审议"
"2"	"通过"
"2"	"共和国"
"2"	"草案"
"1"	"承认"
"1"	"一"
"1"	"个"
"1"	"中国"
"1"	"互相"
"1"	"互"
"1"	"相"
"1"	"”"
"1"	"遵守"
"1"	"土地"
"1"	"换"
"1"	"和平"
"1"	"”"
"1"	"联合国安理会"
"1"	"关于"
"1"	"解决"
"1"	"问题"
"1"	"竞争"
"1"	"按照"
"1"	"相互"
"1"	"管理"
"1"	"中方"
"1"	"本着"
"1"	"互惠"
"1"	"互利"
"1"	"开展"
"1"	"共享"
"1"	"”"
"1"	"全人类"
"1"	"统一"
"1"	"主张"
"1"	"通过"
"1"	"一"
"1"	"个"
"1"	"中国"
"1"	"”"
"1"	"基础"
"1"	"上"
"1"	"对话"
"1"	"谈判"
"1"	"解决"
"1"	"台独"
"1"	"”"
"1"	"立场"
"1"	"接受"
"1"	"一"
"1"	"个"
"1"	"中国"
"1"	"两岸"
"1"	"关系"
"1"	"推动"
"1"	"两岸"
"2"	"区别"
"2"	"妥善"
"1"	"互相"
"1"	"互相"
"1"	"”"
"1"	"上述"
"1"	"原则"
"1"	"指导"
"1"	"下"
"1"	"关系"
"1"	"和平"
"1"	"共处"
"1"	"五"
"1"	"项"
"1"	"基础"
"1"	"上"
"1"	"一"
"1"	"个"
"1"	"两岸"
"1"	"关系"
"1"	"稳定"
"1"	"前提"
"1"	"两岸"
"1"	"”"
"1"	"老一辈"
"1"	"国情"
"1"	"坚持"
"1"	"一"
"1"	"个"
"1"	"中国"
"1"	"遵循"
"1"	"维护"
"1"	"领土"
"1"	"完整"
"1"	"必须"
"1"	"自治"
"1"	"坚持"
"1"	"诚信"
"1"	"项"
"1"	"基本"
"1"	"即"
"1"	"领土"
"1"	"完整"
"2"	"关系"
"2"	"验证"
"2"	"上述"
"1"	"相"
"1"	"一致"
"1"	"塞浦路斯"
"1"	"问题"
"1"	"承认"
