"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"SumAbsDev"	"LargestDev"
"』"	0	1	0	0	0	0.216	0.121	0.179	0.423	0.061	-0.106	0.919	-0.086	-0.239	-0.027	1.377	"2"
"1955年"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"1966年"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"1970年"	1	0	0	0	0	0.216	0.121	0.179	0.423	0.061	0.665	-0.056	-0.086	-0.239	-0.027	1.073	"1"
"2005年"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"63万"	0	0	1	0	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	0.747	-0.239	-0.027	1.175	"3"
"891010"	2	0	0	0	0	0.432	0.241	0.359	0.846	0.122	1.331	-0.112	-0.172	-0.478	-0.055	2.148	"1"
"891027"	0	0	1	0	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	0.747	-0.239	-0.027	1.175	"3"
"891111"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"891112"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"891203"	0	0	1	0	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	0.747	-0.239	-0.027	1.175	"3"
"891219"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"900106"	0	0	1	0	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	0.747	-0.239	-0.027	1.175	"3"
"930"	0	0	0	0	1	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	-0.239	1.214	1.701	"5"
"ABT"	1	0	0	0	0	0.216	0.121	0.179	0.423	0.061	0.665	-0.056	-0.086	-0.239	-0.027	1.073	"1"
"APEC"	2	0	0	0	0	0.432	0.241	0.359	0.846	0.122	1.331	-0.112	-0.172	-0.478	-0.055	2.148	"1"
"C"	1	0	0	0	0	0.216	0.121	0.179	0.423	0.061	0.665	-0.056	-0.086	-0.239	-0.027	1.073	"1"
"DNA"	0	0	2	0	0	0.432	0.241	0.359	0.846	0.122	-0.211	-0.112	1.493	-0.478	-0.055	2.349	"3"
"Lam"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"Schwarzenegger"	0	1	0	0	0	0.216	0.121	0.179	0.423	0.061	-0.106	0.919	-0.086	-0.239	-0.027	1.377	"2"
"SOFA"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"WHO"	1	0	0	0	0	0.216	0.121	0.179	0.423	0.061	0.665	-0.056	-0.086	-0.239	-0.027	1.073	"1"
"一哥"	0	1	0	0	0	0.216	0.121	0.179	0.423	0.061	-0.106	0.919	-0.086	-0.239	-0.027	1.377	"2"
"一定"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"一直"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"一超"	0	0	0	0	1	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	-0.239	1.214	1.701	"5"
"万淑彰"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"三代"	0	1	0	0	0	0.216	0.121	0.179	0.423	0.061	-0.106	0.919	-0.086	-0.239	-0.027	1.377	"2"
"上半时"	0	0	0	0	1	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	-0.239	1.214	1.701	"5"
"上班族"	1	0	0	0	0	0.216	0.121	0.179	0.423	0.061	0.665	-0.056	-0.086	-0.239	-0.027	1.073	"1"
"上达"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"上阵"	1	0	0	0	0	0.216	0.121	0.179	0.423	0.061	0.665	-0.056	-0.086	-0.239	-0.027	1.073	"1"
"下嫁给"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"下属"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
"不便"	0	0	1	0	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	0.747	-0.239	-0.027	1.175	"3"
"不保"	0	1	0	0	0	0.216	0.121	0.179	0.423	0.061	-0.106	0.919	-0.086	-0.239	-0.027	1.377	"2"
"不再"	0	0	0	1	0	0.216	0.121	0.179	0.423	0.061	-0.106	-0.056	-0.086	0.374	-0.027	0.649	"4"
