"","tokenlabel","cluster"
"地位/Na/ZBN_CMN_20030613_wpr/2702","地位/Na/ZBN_CMN_20030613_wpr/2702",1
"地位/Na/ZBN_CMN_20030920_wpr/49750","地位/Na/ZBN_CMN_20030920_wpr/49750",1
"地位/Na/ZBN_CMN_20030926_wpr/30256","地位/Na/ZBN_CMN_20030926_wpr/30256",1
"地位/Na/CNA_CMN_20001219_wpr/126601","地位/Na/CNA_CMN_20001219_wpr/126601",1
"地位/Na/ZBN_CMN_20030418_wpr/31440","地位/Na/ZBN_CMN_20030418_wpr/31440",1
"地位/Na/ZBN_CMN_20001124_wpr/126","地位/Na/ZBN_CMN_20001124_wpr/126",1
"地位/Na/CNA_CMN_20010109_wpr/15754","地位/Na/CNA_CMN_20010109_wpr/15754",1
"地位/Na/CNA_CMN_20010114_wpr/39848","地位/Na/CNA_CMN_20010114_wpr/39848",1
"地位/Na/CNA_CMN_20001022_wpr/9265","地位/Na/CNA_CMN_20001022_wpr/9265",1
"地位/Na/XIN_CMN_20030915_wpr/64148","地位/Na/XIN_CMN_20030915_wpr/64148",1
"地位/Na/XIN_CMN_20001106_wpr/56204","地位/Na/XIN_CMN_20001106_wpr/56204",1
"地位/Na/CNA_CMN_20001230_wpr/81495","地位/Na/CNA_CMN_20001230_wpr/81495",1
"职位/Na/XIN_CMN_20030730_wpr/1046","职位/Na/XIN_CMN_20030730_wpr/1046",1
"身份/Na/ZBN_CMN_20030919_wpr/5887","身份/Na/ZBN_CMN_20030919_wpr/5887",1
"身份/Na/XIN_CMN_20030710_wpr/83672","身份/Na/XIN_CMN_20030710_wpr/83672",1
"地位/Na/ZBN_CMN_20001230_wpr/30554","地位/Na/ZBN_CMN_20001230_wpr/30554",1
"地位/Na/CNA_CMN_20030531_wpr/2858","地位/Na/CNA_CMN_20030531_wpr/2858",1
"身份/Na/XIN_CMN_20030725_wpr/861","身份/Na/XIN_CMN_20030725_wpr/861",1
"地位/Na/ZBN_CMN_20030805_wpr/57763","地位/Na/ZBN_CMN_20030805_wpr/57763",1
"身份/Na/CNA_CMN_20001229_wpr/88026","身份/Na/CNA_CMN_20001229_wpr/88026",1
"身份/Na/ZBN_CMN_20001119_wpr/19690","身份/Na/ZBN_CMN_20001119_wpr/19690",1
"身份/Na/ZBN_CMN_20030816_wpr/35272","身份/Na/ZBN_CMN_20030816_wpr/35272",1
"地位/Na/CNA_CMN_20001123_wpr/67515","地位/Na/CNA_CMN_20001123_wpr/67515",1
"地位/Na/ZBN_CMN_20030802_wpr/2384","地位/Na/ZBN_CMN_20030802_wpr/2384",1
"地位/Na/XIN_CMN_20001027_wpr/18927","地位/Na/XIN_CMN_20001027_wpr/18927",1
"地位/Na/ZBN_CMN_20030817_wpr/28272","地位/Na/ZBN_CMN_20030817_wpr/28272",1
"地位/Na/XIN_CMN_20001227_wpr/37845","地位/Na/XIN_CMN_20001227_wpr/37845",1
"地位/Na/ZBN_CMN_20030917_wpr/49654","地位/Na/ZBN_CMN_20030917_wpr/49654",1
"地位/Na/ZBN_CMN_20010130_wpr/34136","地位/Na/ZBN_CMN_20010130_wpr/34136",1
"地位/Na/ZBN_CMN_20030925_wpr/12239","地位/Na/ZBN_CMN_20030925_wpr/12239",1
"地位/Na/ZBN_CMN_20030419_wpr/35380","地位/Na/ZBN_CMN_20030419_wpr/35380",1
"地位/Na/ZBN_CMN_20001209_wpr/36958","地位/Na/ZBN_CMN_20001209_wpr/36958",1
"职务/Na/ZBN_CMN_20030427_wpr/76609","职务/Na/ZBN_CMN_20030427_wpr/76609",1
"职务/Na/ZBN_CMN_20030430_wpr/49206","职务/Na/ZBN_CMN_20030430_wpr/49206",1
