"cluster"	"sigcol"
"1"	"发行"
"1"	"新股"
"1"	"五亿"
"1"	"配售"
"1"	"Vodafone"
"1"	"集团"
"1"	"引入"
"1"	"Vodafone"
"1"	"汇丰"
"1"	"银行"
"1"	"篇"
"1"	"麦肯"
"1"	"有限公司"
"1"	"泛亚"
"1"	"电信"
"1"	"福华"
"1"	"限"
"1"	"公司"
"1"	"长春店"
"1"	"设立"
"1"	"证期会"
"1"	"申报"
"1"	"买回"
"1"	"公司"
"1"	"九十二"
"1"	"上市公司"
"1"	"基金"
"1"	"葛兰素威康"
"1"	"有限公司"
"1"	"原先"
"1"	"信託"
"1"	"业"
"1"	"架构"
"1"	"拟"
"1"	"有限公司"
"1"	"架构"
"1"	"亦即"
"1"	"股份"
"1"	"有限公司"
"1"	"型态"
"1"	"湾"
"1"	"企业"
"1"	"大同"
"1"	"有限公司"
"1"	"总经理"
"1"	"林蔚山"
"1"	"申报"
"1"	"买回"
"1"	"公司"
"1"	"二百零八"
"1"	"上市公司"
"1"	"家"
"3"	"期指"
"3"	"期指"
"3"	"回软"
"3"	"拖累"
"3"	"大盘"
"3"	"下挫"
"1"	"发行"
"1"	"表决权"
"1"	"投资"
"1"	"公司"
"1"	"投资"
"1"	"控股"
"1"	"公司"
"1"	"所"
"1"	"百分之五十"
"1"	"发行"
"1"	"表决权"
"1"	"控股"
"1"	"公司"
"1"	"投资"
"1"	"油田"
"1"	"拥有"
"1"	"百分之二十五"
"1"	"开採出"
"1"	"的"
"1"	"石油"
"1"	"合併"
"1"	"雅虎"
"1"	"控股"
"1"	"公司"
"1"	"奇摩"
"1"	"有限公司"
"1"	"百分之九十九"
"1"	"以上"
"1"	"发行"
"1"	"股份"
"1"	"董事会"
"1"	"转投资"
"1"	"荣裕"
"1"	"印刷"
"1"	"装订"
"1"	"事业"
"1"	"有限公司"
"1"	"现"
"1"	"更名为"
"1"	"荣裕"
"1"	"实业"
"1"	"股份"
"1"	"有限公司"
"1"	"股票"
"1"	"经营"
"1"	"目的"
"1"	"交换"
"1"	"策略"
"1"	"办理"
"1"	"公开"
"1"	"发行"
"1"	"新股"
"1"	"天津"
"1"	"开发"
"1"	"公司"
"1"	"北京"
"1"	"天"
"1"	"鸿宝业"
"1"	"房地产"
"1"	"有限公司"
"1"	"等"
"1"	"批"
"1"	"上市"
"1"	"试点"
"1"	"企业"
"1"	"北京"
"1"	"股东"
"1"	"大东"
"1"	"电报"
"1"	"月会"
"1"	"减"
"1"	"持"
"1"	"该"
"1"	"大东"
"1"	"持"
"1"	"电盈"
"1"	"百分之十五"
"1"	"股份"
"1"	"贱价"
"1"	"出售"
"1"	"电盈"
"1"	"股份"
"1"	"触发"
"1"	"对沖基金"
"1"	"沽空"
"1"	"该"
"1"	"以期"
"1"	"低价"
"1"	"大东"
"1"	"购买"
"1"	"电盈"
"1"	"急于"
"1"	"贱价"
"1"	"出售"
"1"	"电盈"
"1"	"倘若"
"1"	"大东"
"1"	"对沖基金"
"1"	"出售"
"1"	"电盈"
"1"	"股份"
"1"	"资产"
"1"	"公司"
"1"	"开发"
"1"	"银行"
"1"	"持有"
"1"	"22.73"
"1"	"%"
"1"	"股东"
"1"	"合计"
"1"	"持有"
"1"	"21.21"
"1"	"%"
"1"	"股份"
"1"	"股东"
"1"	"合计"
"1"	"持有"
"1"	"21.21"
"1"	"%"
"1"	"股份"
"1"	"中国"
"1"	"石化"
"1"	"公司"
"1"	"由"
"1"	"中国"
"1"	"石化"
"1"	"集团"
"1"	"公司"
"1"	"购买"
"1"	"奇才队"
"1"	"部分"
"1"	"奇才队"
"1"	"行"
"1"	"日前"
"1"	"家"
"1"	"制"
"1"	"商业"
"1"	"银行"
"1"	"联营"
"1"	"外资"
"1"	"国有"
"1"	"投资"
"1"	"中国石"
"1"	"化"
"1"	"扬子"
"1"	"石化"
"1"	"有限公司"
"1"	"65万"
"1"	"乙烯"
"1"	"改造"
"1"	"深圳市"
"1"	"深圳"
"1"	"招商"
"1"	"银行"
"1"	"深圳"
"1"	"海鹰"
"1"	"实业"
"1"	"有限公司"
"1"	"筹资"
"1"	"日前"
"1"	"京"
"1"	"华夏"
"1"	"银行"
"1"	"制"
"1"	"商业"
"1"	"银行"
"1"	"集团"
"1"	"有限公司"
"1"	"股"
"1"	"企业"
"1"	"－－"
"1"	"烟大"
"1"	"汽"
"1"	"车轮"
"1"	"渡"
"1"	"有限公司"
"1"	"所属"
"1"	"客滚船"
"1"	"烟台"
"1"	"筹资"
"1"	"创办"
"1"	"耀龙"
"1"	"灯"
"1"	"有限公司"
"1"	"总经理"
"1"	"西门子"
"1"	"公司"
"1"	"洪都航"
"1"	"哈飞"
"1"	"主营"
"1"	"所得"
"1"	"占有"
"1"	"比重"
"1"	"科技"
"1"	"通辽"
"1"	"市兴望"
"1"	"乳品厂"
"1"	"企业"
"1"	"乐意"
"1"	"乳品厂"
"1"	"联合"
"1"	"出品"
"1"	"冠"
"1"	"国有"
"1"	"大中型企业"
"1"	"制"
"1"	"改造"
"1"	"现代企业制度"
"1"	"集团"
"1"	"湖北"
"1"	"电信"
"1"	"公司"
"1"	"出资"
"1"	"组建"
"1"	"公司"
"1"	"由"
"1"	"湖北"
"1"	"电信"
"1"	"公司"
"1"	"附属"
"1"	"转让"
"1"	"上市"
"1"	"融资"
"1"	"合作制"
"1"	"企业"
"1"	"家"
"1"	"医药"
"1"	"企业"
"1"	"制运营"
"1"	"家"
"1"	"集团"
"1"	"公司"
"1"	"企业"
"1"	"集团"
"1"	"制"
"1"	"改造"
"1"	"步伐"
"1"	"企业"
"1"	"上市"
"1"	"中型"
"1"	"企业"
"1"	"规范"
"1"	"公司制"
"1"	"制"
"1"	"改造"
"1"	"法人"
"1"	"萨"
"1"	"尔布吕"
"1"	"肯"
"1"	"俱乐部"
"1"	"转为"
"1"	"公司"
"1"	"柏林"
"1"	"批准"
"1"	"河南"
"1"	"中原"
"1"	"高速"
"1"	"公路"
"1"	"有限公司"
"1"	"挂牌"
"1"	"成立"
"1"	"总资产"
"1"	"哈尔"
"1"	"滨"
"1"	"动力"
"1"	"公司"
"1"	"总经理"
"1"	"赵克非"
"1"	"形式"
"1"	"改制为"
"1"	"有限"
"1"	"责任"
"1"	"公司"
"1"	"有限"
"1"	"公"
"1"	"司"
"1"	"国有企业"
"1"	"企业"
"1"	"集团"
"1"	"鸿海"
"1"	"工业"
"1"	"有限公司"
"1"	"投资"
"1"	"创办"
"1"	"产"
"1"	"化工"
"1"	"有限公司"
"1"	"吉林"
"1"	"化学"
"1"	"工业"
"1"	"有限公司"
"1"	"的"
"1"	"标"
"1"	"有限公司"
"1"	"中国"
"1"	"湖北省"
"1"	"武汉"
"1"	"制"
"1"	"商业"
"1"	"银行"
"1"	"抢滩"
"1"	"天津"
"1"	"浦发"
"1"	"银行"
"1"	"中国"
"1"	"银行"
"1"	"批准"
"1"	"设立"
"1"	"制"
"1"	"商业"
"1"	"银行"
"1"	"港元"
"1"	"丘某"
"1"	"原"
"1"	"转让"
"1"	"协议"
"1"	"责任"
"1"	"恒指"
"1"	"恒指"
"1"	"资本"
"1"	"中国"
"1"	"乐山"
"1"	"无线电"
"1"	"有限"
"1"	"公司"
"1"	"草药"
"1"	"太极"
"1"	"实业"
"1"	"集团"
"1"	"有限公司"
"1"	"副总经理"
"1"	"王小军"
"1"	"企业"
"1"	"浙江"
"1"	"个体"
"1"	"私营企业"
"1"	"乡镇企业"
"1"	"制"
"1"	"企业"
"1"	"企业"
"1"	"公司"
"1"	"持有"
"1"	"沪市"
"1"	"盘江"
"1"	"精煤"
"1"	"股份"
"1"	"公司"
"1"	"65"
"1"	"%"
"1"	"注册"
"1"	"资本"
"1"	"27亿"
"1"	"中国"
"1"	"国有"
"1"	"保险"
"1"	"制"
"1"	"改造"
"1"	"中国"
"1"	"南方"
"1"	"航空"
"1"	"公司"
"1"	"前身"
"1"	"上海"
"1"	"永乐"
"1"	"有限公司"
"1"	"开张"
"1"	"上海"
"1"	"永乐"
"1"	"投资"
"1"	"持有"
"1"	"上市公司"
"1"	"行使"
"1"	"资产"
"1"	"所有者"
"1"	"股份"
"1"	"公司"
"1"	"成立"
"1"	"负责"
"1"	"经营"
"1"	"家"
"1"	"罗恩"
"1"	"公司"
"1"	"国有"
"1"	"独资"
"1"	"商业"
"1"	"银行"
"1"	"政策性"
"1"	"银"
"1"	"行"
"1"	"制"
"1"	"商业"
"1"	"银行"
"1"	"负责"
"1"	"经营"
"1"	"三峡"
"1"	"电力"
"1"	"中国"
"1"	"长江"
"1"	"电力"
"1"	"有限公司"
"1"	"已"
"1"	"售"
"1"	"隧道"
"1"	"由"
"1"	"上海"
"1"	"城建"
"1"	"集团"
"1"	"隧道"
"1"	"有限公司"
"1"	"掘进"
"1"	"公司"
"1"	"%"
"1"	"国有"
"1"	"远东"
"1"	"石油"
"1"	"公司"
"1"	"家"
"1"	"银行"
"1"	"获准"
"1"	"收购"
"1"	"银行"
"1"	"全部"
"1"	"银行"
"1"	"获准"
"1"	"收购"
"1"	"公司"
"1"	"部分"
"1"	"改制"
"1"	"设立"
"1"	"成立"
"1"	"有限"
"1"	"公司"
"1"	"公司"
"1"	"成立"
"1"	"满"
"1"	"上市"
"1"	"台资"
"1"	"企业"
"1"	"国祥制冷"
"1"	"有限公司"
"1"	"获准"
"1"	"发行"
"1"	"股股"
"1"	"融资"
"1"	"板块"
"1"	"旅"
"1"	"制药"
"1"	"网络"
"1"	"华晨"
"1"	"控股"
"1"	"有限公司"
"1"	"百分之百"
"1"	"所有人"
"1"	"股份"
"1"	"总额"
"1"	"不得"
"1"	"超过"
"1"	"该"
"1"	"公司"
"1"	"发行"
"1"	"总额"
"1"	"75"
"1"	"%"
"1"	"比率"
"1"	"限制"
"1"	"太平"
"1"	"股份"
"1"	"2220亿"
"1"	"盾"
"1"	"佳福"
"1"	"1520亿"
"1"	"盾"
"1"	"油脂"
"1"	"化工"
"1"	"集团"
"1"	"控股"
"1"	"董"
"1"	"腾飞"
"1"	"购"
"1"	"房地产"
"1"	"基金"
"1"	"腾飞"
"1"	"Ascendas"
"1"	"买下"
"1"	"协议"
"1"	"中方"
"1"	"收购"
"1"	"拉萨达"
"1"	"公司"
"1"	"全部"
"1"	"脱售"
"1"	"资产"
"1"	"持有"
"1"	"43％"
"1"	"酒店"
"1"	"上市公司"
"1"	"－－"
"1"	"酒店"
"1"	"上市"
"1"	"陕西"
"1"	"制成"
"1"	"公司"
"1"	"320多"
"1"	"家"
"1"	"企业"
"1"	"属于"
"1"	"国有"
"1"	"控股"
"1"	"公司"
"1"	"55.4"
"1"	"%"
"1"	"股"
"1"	"由"
"1"	"首创"
"1"	"集团"
"1"	"旗下"
"1"	"首创"
"1"	"置业"
"1"	"阳光"
"1"	"全部"
"1"	"国丰"
"1"	"华国"
"1"	"种"
"1"	"股票"
"1"	"担保品"
"1"	"股市"
"1"	"重挫"
"1"	"市值"
"1"	"低于"
"1"	"净值"
"1"	"股票"
"1"	"质押"
"1"	"担保品"
"1"	"股票"
"1"	"数目"
"1"	"上市公司"
"1"	"买超"
"1"	"上市"
"1"	"股票"
"1"	"新台币"
"1"	"九百二"
"1"	"十九亿"
"1"	"买超"
"1"	"上柜"
"1"	"一百九十三亿"
"1"	"合计"
"1"	"买超"
"1"	"股"
"3"	"股市"
"3"	"缩"
"3"	"跌幅"
"3"	"限制"
"1"	"市场"
"1"	"买进"
"1"	"外资"
"1"	"投"
"1"	"资"
"1"	"单一"
"1"	"上柜"
"1"	"公司"
"1"	"比例"
"1"	"上限"
"1"	"吴当杰"
"3"	"自"
"3"	"止"
"3"	"跌幅"
"3"	"百分之三点五"
"3"	"颜庆章"
"1"	"投资人"
"1"	"银"
"1"	"质押"
"1"	"市场"
"1"	"动机"
"1"	"拚命"
"1"	"国安"
"1"	"基金"
"1"	"承接"
"3"	"指数"
"3"	"大跌"
"3"	"点"
"3"	"进场"
"3"	"买"
"3"	"股民"
"3"	"散户"
"3"	"赔"
"1"	"柜台"
"1"	"买卖"
"1"	"柜台"
"1"	"买卖"
"1"	"第二"
"1"	"类"
"1"	"初次"
"1"	"上柜"
"1"	"提拨"
"1"	"股份"
"1"	"公开"
"1"	"承销"
"1"	"证券商"
"1"	"未"
"1"	"上市"
"1"	"未"
"1"	"上柜"
"1"	"盘商"
"1"	"业务"
"1"	"研议"
"1"	"购"
"1"	"买"
"1"	"流通性"
"1"	"上市公司"
"1"	"台苯"
"1"	"公司"
"1"	"投资"
"1"	"者"
"1"	"买"
"1"	"卖"
"1"	"惊讶"
"3"	"值"
"3"	"南非币"
"3"	"价格"
"3"	"下跌"
"1"	"从事"
"1"	"未"
"1"	"上市"
"1"	"仲介"
"1"	"买卖"
"1"	"股"
"1"	"新台"
"1"	"股票"
"1"	"换"
"1"	"一点一"
"1"	"股"
"1"	"光罩"
"1"	"证券"
"1"	"业"
"1"	"细则"
"3"	"行"
"3"	"891027"
"3"	"华电信"
"3"	"跳空"
"3"	"跌停"
"1"	"库藏股"
"1"	"制度"
"1"	"买回"
"1"	"自家"
"1"	"公司"
"1"	"证券"
"1"	"交易法"
"1"	"第二十八"
"1"	"上市"
"1"	"上柜"
"3"	"华尔街"
"3"	"共有"
"3"	"一千五百六十一"
"3"	"支"
"3"	"跌幅"
"3"	"超过"
"3"	"百分之五十"
"3"	"股价"
"3"	"跌到"
"3"	"留意"
"3"	"代工"
"3"	"闪"
"3"	"记忆体"
"3"	"DRAM"
"3"	"类股"
"3"	"观望"
"1"	"公司"
"1"	"初次"
"1"	"上市"
"1"	"公司"
"1"	"董监事"
"1"	"大股东"
"1"	"投资人"
"1"	"自有"
"1"	"资金"
"1"	"投资"
"1"	"额度"
"1"	"支付"
"1"	"交割"
"1"	"未"
"1"	"上市"
"1"	"未"
"1"	"上柜"
"1"	"盘商"
"1"	"交易"
"1"	"法制化"
"1"	"处分"
"1"	"其"
"1"	"质押"
"1"	"银行"
"1"	"借款"
"1"	"百分之三点五"
"1"	"外资"
"1"	"投"
"1"	"资"
"1"	"任一"
"1"	"公司"
"1"	"限制"
"1"	"单一"
"1"	"外资"
"1"	"投资"
"1"	"证券"
"1"	"放宽"
"1"	"银"
"1"	"投资"
"1"	"公开"
"1"	"上市"
"1"	"上柜"
"1"	"公司"
"1"	"放宽"
"1"	"外资"
"1"	"投资"
"1"	"金额"
"1"	"比"
"1"	"撤签"
"1"	"买卖"
"1"	"股市"
"1"	"客户"
"1"	"买卖"
"1"	"异动"
"1"	"操纵"
"1"	"市场"
"1"	"交易所"
"3"	"交易日"
"3"	"金融时报"
"3"	"百"
"3"	"种"
"3"	"指数"
"3"	"下跌"
"3"	"点"
"3"	"跌幅"
"1"	"董事"
"1"	"投"
"1"	"资"
"1"	"公司"
"1"	"持有"
"1"	"大信"
"1"	"证券"
"1"	"千一百十七点三"
"1"	"八四"
"1"	"张"
"1"	"申报转"
"1"	"张"
"1"	"投资人"
"1"	"买卖"
"1"	"第二"
"1"	"类"
"1"	"当面"
"1"	"委託"
"1"	"证券"
"1"	"经纪商"
"1"	"受託"
"1"	"买进"
"1"	"柜台"
"1"	"买卖"
"1"	"第二"
"1"	"类"
"1"	"炎洲"
"1"	"公司"
"1"	"申请"
"1"	"转"
"1"	"一般"
"1"	"类股"
"1"	"获准"
"1"	"柜台"
"1"	"买卖"
"1"	"上柜"
"1"	"家数"
"1"	"二百"
"1"	"家"
"1"	"证券"
"1"	"卖"
"1"	"岁入"
"1"	"执行率"
"1"	"买"
"1"	"碰"
"1"	"银行"
"1"	"旗下"
"1"	"基金"
"1"	"投资"
"1"	"其"
"1"	"利害"
"1"	"公司"
"1"	"处分"
"1"	"申请"
"1"	"操作"
"1"	"张"
"1"	"银行"
"1"	"断头"
"1"	"名义"
"1"	"申报"
"1"	"转让"
"1"	"五百三十三点七五七"
"1"	"张"
"1"	"券商"
"1"	"办理"
"1"	"交易"
"1"	"证交所"
"1"	"管委会"
"1"	"基金"
"1"	"买卖"
"1"	"基金"
"1"	"管委会"
"1"	"证券"
"1"	"公司"
"1"	"营业员"
"1"	"名义"
"1"	"客户"
"1"	"买卖"
"1"	"客户"
"1"	"款项"
"1"	"换言之"
"1"	"外资企业"
"1"	"股东"
"1"	"买卖"
"1"	"分拆"
"1"	"上市公司"
"1"	"公司"
"1"	"股东"
"1"	"本身"
"1"	"891219"
"1"	"台达电"
"1"	"董事"
"1"	"郑崇"
"1"	"赠与"
"1"	"上亿"
"1"	"陈永昌"
"1"	"转让"
"1"	"光罩"
"1"	"董事"
"1"	"持有"
"1"	"光罩"
"1"	"六千八百"
"1"	"八十一点七六五"
"1"	"张"
"1"	"名义"
"1"	"申报"
"1"	"转让"
"1"	"司"
"1"	"持有"
"1"	"樱花"
"1"	"三万余"
"1"	"张"
"1"	"提列"
"1"	"跌价"
"1"	"损失"
"3"	"上升"
"3"	"阿扁"
"1"	"融券"
"1"	"保证金"
"1"	"成数"
"1"	"百分之一百二十"
"1"	"不得"
"1"	"融券"
"1"	"卖出"
"1"	"上市"
"1"	"上柜"
"1"	"公"
"1"	"司"
"1"	"浮滥"
"1"	"配发"
"1"	"股利"
"1"	"膨胀"
"1"	"股市"
"1"	"导致"
"1"	"公司"
"1"	"指数盘"
"1"	"股"
"1"	"本益比"
"1"	"估"
"3"	"下降"
"3"	"调整"
"3"	"价格"
"3"	"投资"
"3"	"者"
"3"	"不切"
"1"	"报酬率"
"1"	"低"
"1"	"民兴"
"1"	"证期"
"1"	"交办"
"1"	"未"
"1"	"上市柜"
"1"	"交易"
"1"	"制度"
"1"	"建置"
"1"	"规划案"
"3"	"集中"
"3"	"过度"
"3"	"抛售"
"3"	"股价"
"1"	"上市公司"
"1"	"债券"
"1"	"未"
"1"	"偿还"
"1"	"其"
"1"	"恐"
"1"	"全额"
"1"	"交割"
"1"	"陈永昌"
"1"	"债务"
