"","tokenlabel","cluster"
"战略/Na/XIN_CMN_20001012_wpr/85100","战略/Na/XIN_CMN_20001012_wpr/85100",1
"战略/Na/XIN_CMN_20001016_wpr/11394","战略/Na/XIN_CMN_20001016_wpr/11394",1
"战略/Na/XIN_CMN_20001018_wpr/17015","战略/Na/XIN_CMN_20001018_wpr/17015",1
"战略/Na/XIN_CMN_20001103_wpr/37800","战略/Na/XIN_CMN_20001103_wpr/37800",1
"战略/Na/XIN_CMN_20001231_wpr/66362","战略/Na/XIN_CMN_20001231_wpr/66362",1
"战略/Na/XIN_CMN_20001230_wpr/43973","战略/Na/XIN_CMN_20001230_wpr/43973",1
"战略/Na/XIN_CMN_20001028_wpr/29658","战略/Na/XIN_CMN_20001028_wpr/29658",1
"战略/Na/XIN_CMN_20001115_wpr/70608","战略/Na/XIN_CMN_20001115_wpr/70608",1
"战略/Na/XIN_CMN_20010116_wpr/31515","战略/Na/XIN_CMN_20010116_wpr/31515",1
"战略/Na/XIN_CMN_20030918_wpr/80446","战略/Na/XIN_CMN_20030918_wpr/80446",1
"战略/Na/CNA_CMN_20001220_wpr/75399","战略/Na/CNA_CMN_20001220_wpr/75399",1
"战略/Na/XIN_CMN_20001107_wpr/50546","战略/Na/XIN_CMN_20001107_wpr/50546",1
"战略/Na/XIN_CMN_20010129_wpr/17925","战略/Na/XIN_CMN_20010129_wpr/17925",1
"战略/Na/XIN_CMN_20001217_wpr/63502","战略/Na/XIN_CMN_20001217_wpr/63502",1
"战略/Na/XIN_CMN_20001123_wpr/14848","战略/Na/XIN_CMN_20001123_wpr/14848",1
"战略/Na/XIN_CMN_20030610_wpr/31808","战略/Na/XIN_CMN_20030610_wpr/31808",1
"战略/Na/XIN_CMN_20001021_wpr/52995","战略/Na/XIN_CMN_20001021_wpr/52995",1
"战略/Na/XIN_CMN_20001115_wpr/28562","战略/Na/XIN_CMN_20001115_wpr/28562",1
"战略/Na/XIN_CMN_20001024_wpr/38980","战略/Na/XIN_CMN_20001024_wpr/38980",1
"战略/Na/XIN_CMN_20001124_wpr/58746","战略/Na/XIN_CMN_20001124_wpr/58746",1
"战略/Na/XIN_CMN_20001214_wpr/34700","战略/Na/XIN_CMN_20001214_wpr/34700",1
"战略/Na/XIN_CMN_20030415_wpr/49009","战略/Na/XIN_CMN_20030415_wpr/49009",1
"战略/Na/XIN_CMN_20030429_wpr/31061","战略/Na/XIN_CMN_20030429_wpr/31061",1
"战略/Na/CNA_CMN_20001020_wpr/63340","战略/Na/CNA_CMN_20001020_wpr/63340",1
"战略/Na/XIN_CMN_20001220_wpr/37055","战略/Na/XIN_CMN_20001220_wpr/37055",1
"战略/Na/XIN_CMN_20030403_wpr/10058","战略/Na/XIN_CMN_20030403_wpr/10058",1
"战略/Na/XIN_CMN_20010117_wpr/74905","战略/Na/XIN_CMN_20010117_wpr/74905",1
"战略/Na/XIN_CMN_20030827_wpr/26210","战略/Na/XIN_CMN_20030827_wpr/26210",1
"战略/Na/XIN_CMN_20010122_wpr/8665","战略/Na/XIN_CMN_20010122_wpr/8665",1
"战略/Na/XIN_CMN_20030606_wpr/47432","战略/Na/XIN_CMN_20030606_wpr/47432",1
"战略/Na/XIN_CMN_20001016_wpr/47932","战略/Na/XIN_CMN_20001016_wpr/47932",1
"战略/Na/ZBN_CMN_20001216_wpr/33877","战略/Na/ZBN_CMN_20001216_wpr/33877",1
"战略/Na/XIN_CMN_20001215_wpr/69144","战略/Na/XIN_CMN_20001215_wpr/69144",1
"战略/Na/XIN_CMN_20010120_wpr/63747","战略/Na/XIN_CMN_20010120_wpr/63747",1
"战略/Na/XIN_CMN_20001025_wpr/69164","战略/Na/XIN_CMN_20001025_wpr/69164",1
"战略/Na/XIN_CMN_20001011_wpr/28827","战略/Na/XIN_CMN_20001011_wpr/28827",1
"战略/Na/XIN_CMN_20001221_wpr/51374","战略/Na/XIN_CMN_20001221_wpr/51374",1
"战略/Na/XIN_CMN_20001122_wpr/86293","战略/Na/XIN_CMN_20001122_wpr/86293",1
"战略/Na/XIN_CMN_20010117_wpr/76659","战略/Na/XIN_CMN_20010117_wpr/76659",1
"战略/Na/XIN_CMN_20030925_wpr/73371","战略/Na/XIN_CMN_20030925_wpr/73371",1
