"Coll_Word"	"1"	"2"	"3"	"4"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"SumAbsDev"	"LargestDev"
"－"	0	1	0	0	0.103	0.307	0.312	0.279	-0.047	0.513	-0.162	-0.142	0.864	"2"
"」"	0	2	2	2	0.617	1.84	1.87	1.673	-0.283	0.226	0.218	0.273	1	"1"
"+"	0	2	0	0	0.206	0.613	0.623	0.558	-0.094	1.027	-0.324	-0.284	1.729	"2"
"1700"	0	0	0	1	0.103	0.307	0.312	0.279	-0.047	-0.159	-0.162	0.555	0.923	"4"
"21世纪"	0	1	0	0	0.103	0.307	0.312	0.279	-0.047	0.513	-0.162	-0.142	0.864	"2"
"６"	0	0	1	0	0.103	0.307	0.312	0.279	-0.047	-0.159	0.506	-0.142	0.854	"3"
"891127"	0	0	0	1	0.103	0.307	0.312	0.279	-0.047	-0.159	-0.162	0.555	0.923	"4"
"891130"	0	0	1	0	0.103	0.307	0.312	0.279	-0.047	-0.159	0.506	-0.142	0.854	"3"
"BestBuy"	0	0	1	0	0.103	0.307	0.312	0.279	-0.047	-0.159	0.506	-0.142	0.854	"3"
"D"	0	0	1	0	0.103	0.307	0.312	0.279	-0.047	-0.159	0.506	-0.142	0.854	"3"
"DD"	0	0	1	0	0.103	0.307	0.312	0.279	-0.047	-0.159	0.506	-0.142	0.854	"3"
"ECR"	0	1	0	0	0.103	0.307	0.312	0.279	-0.047	0.513	-0.162	-0.142	0.864	"2"
"Force"	0	1	0	0	0.103	0.307	0.312	0.279	-0.047	0.513	-0.162	-0.142	0.864	"2"
"Marvell"	0	0	0	1	0.103	0.307	0.312	0.279	-0.047	-0.159	-0.162	0.555	0.923	"4"
"Net"	0	1	0	0	0.103	0.307	0.312	0.279	-0.047	0.513	-0.162	-0.142	0.864	"2"
"OrientSemiconductor"	0	0	0	1	0.103	0.307	0.312	0.279	-0.047	-0.159	-0.162	0.555	0.923	"4"
"一二.二"	0	1	0	0	0.103	0.307	0.312	0.279	-0.047	0.513	-0.162	-0.142	0.864	"2"
"一亿"	0	0	0	1	0.103	0.307	0.312	0.279	-0.047	-0.159	-0.162	0.555	0.923	"4"
"一体"	1	0	0	0	0.103	0.307	0.312	0.279	0.988	-0.159	-0.162	-0.142	1.451	"1"
"一体化"	0	0	1	0	0.103	0.307	0.312	0.279	-0.047	-0.159	0.506	-0.142	0.854	"3"
"一定"	0	1	0	0	0.103	0.307	0.312	0.279	-0.047	0.513	-0.162	-0.142	0.864	"2"
"三重"	0	0	2	0	0.206	0.613	0.623	0.558	-0.094	-0.318	1.012	-0.284	1.708	"3"
"上到"	0	0	1	0	0.103	0.307	0.312	0.279	-0.047	-0.159	0.506	-0.142	0.854	"3"
"上半叶"	0	1	0	0	0.103	0.307	0.312	0.279	-0.047	0.513	-0.162	-0.142	0.864	"2"
"不变"	0	0	0	1	0.103	0.307	0.312	0.279	-0.047	-0.159	-0.162	0.555	0.923	"4"
"不同"	0	2	1	0	0.309	0.92	0.935	0.836	-0.141	0.649	0.171	-0.426	1.387	"2"
"不和"	0	1	0	1	0.206	0.613	0.623	0.558	-0.094	0.285	-0.324	0.319	1.022	"3"
"不移"	1	0	0	0	0.103	0.307	0.312	0.279	0.988	-0.159	-0.162	-0.142	1.451	"1"
"不算"	0	0	1	0	0.103	0.307	0.312	0.279	-0.047	-0.159	0.506	-0.142	0.854	"3"
"不能够"	0	0	1	0	0.103	0.307	0.312	0.279	-0.047	-0.159	0.506	-0.142	0.854	"3"
"不过"	0	0	1	0	0.103	0.307	0.312	0.279	-0.047	-0.159	0.506	-0.142	0.854	"3"
