"","tokenlabel","cluster"
"老师/Na/ZBN_CMN_20030622_wpr/40249","老师/Na/ZBN_CMN_20030622_wpr/40249",1
"老师/Na/ZBN_CMN_20001227_wpr/18024","老师/Na/ZBN_CMN_20001227_wpr/18024",1
"老师/Na/ZBN_CMN_20030515_wpr/20101","老师/Na/ZBN_CMN_20030515_wpr/20101",1
"老师/Na/CNA_CMN_20001007_wpr/25562","老师/Na/CNA_CMN_20001007_wpr/25562",1
"老师/Na/CNA_CMN_20001229_wpr/67363","老师/Na/CNA_CMN_20001229_wpr/67363",1
"老师/Na/CNA_CMN_20001116_wpr/96229","老师/Na/CNA_CMN_20001116_wpr/96229",1
"老师/Na/CNA_CMN_20001220_wpr/126557","老师/Na/CNA_CMN_20001220_wpr/126557",1
"老师/Na/ZBN_CMN_20030508_wpr/59821","老师/Na/ZBN_CMN_20030508_wpr/59821",1
"老师/Na/CNA_CMN_20001121_wpr/34444","老师/Na/CNA_CMN_20001121_wpr/34444",1
"老师/Na/ZBN_CMN_20030902_wpr/77292","老师/Na/ZBN_CMN_20030902_wpr/77292",1
"老师/Na/CNA_CMN_20001129_wpr/141342","老师/Na/CNA_CMN_20001129_wpr/141342",1
"老师/Na/ZBN_CMN_20010131_wpr/22623","老师/Na/ZBN_CMN_20010131_wpr/22623",1
"老师/Na/ZBN_CMN_20030615_wpr/67140","老师/Na/ZBN_CMN_20030615_wpr/67140",1
"老师/Na/ZBN_CMN_20030509_wpr/87778","老师/Na/ZBN_CMN_20030509_wpr/87778",1
"老师/Na/ZBN_CMN_20030601_wpr/8683","老师/Na/ZBN_CMN_20030601_wpr/8683",1
"老师/Na/ZBN_CMN_20030909_wpr/7056","老师/Na/ZBN_CMN_20030909_wpr/7056",1
"老师/Na/ZBN_CMN_20030827_wpr/68697","老师/Na/ZBN_CMN_20030827_wpr/68697",1
"老师/Na/ZBN_CMN_20030514_wpr/61544","老师/Na/ZBN_CMN_20030514_wpr/61544",1
"老师/Na/ZBN_CMN_20030919_wpr/66970","老师/Na/ZBN_CMN_20030919_wpr/66970",1
"老师/Na/ZBN_CMN_20030427_wpr/65999","老师/Na/ZBN_CMN_20030427_wpr/65999",1
