"","clusterID","老师lǎo_shī","教师jiāo_shī","TW","SG","ML","variant_I","lect_I","TotalFreq"
"1",1,36,0,6,30,0,1,0.722222222222222,36
"2",2,72,6,11,57,10,0.857988165680474,0.570348454963839,78
"3",3,5,4,0,9,0,0.506172839506173,1,9
"4",4,17,23,8,25,7,0.51125,0.46125,40
"5",5,29,22,14,25,12,0.509419454056132,0.371011149557862,51
"6",6,12,17,6,15,8,0.514863258026159,0.386444708680143,29
"7",7,3,28,16,12,3,0.825182101977107,0.425598335067638,31
"8",8,29,21,4,35,11,0.5128,0.5448,50
"9",9,5,62,19,36,12,0.861884606816663,0.401202940521274,67
"10",10,17,92,40,28,41,0.73672249810622,0.342142917262857,109
