"cluster"	"sigcol"
"2"	"邀请"
"2"	"研究院"
"2"	"院士"
"2"	"宗先"
"2"	"台大"
"2"	"企业系"
"2"	"裕渊"
"2"	"研究院"
"2"	"研究所"
"2"	"研究员"
"2"	"钟经樊"
"3"	"位"
"3"	"唿吁陈"
"1"	"建议"
"1"	"台湾"
"1"	"大学"
"1"	"财税"
"1"	"金融系"
"1"	"李存修"
"1"	"认为"
"1"	"台湾"
"3"	"召集人"
"3"	"师大"
"3"	"体育系"
"3"	"林德嘉"
"3"	"表示"
"1"	"实验"
"1"	"白川"
"1"	"提到"
"1"	"大学"
"1"	"研究"
"2"	"台大"
"2"	"研究室"
"2"	"召集人"
"2"	"毕恆"
"2"	"教"
"2"	"育"
"1"	"教学"
"1"	"技术人"
"1"	"员得"
"1"	"比照"
"1"	"大学"
"1"	"则"
"1"	"专家"
"1"	"教师"
"2"	"大学"
"2"	"社会学系"
"2"	"研究"
"2"	"中心"
"2"	"阿拉特"
"2"	"指出"
"2"	"指称"
"2"	"医院"
"2"	"院长"
"2"	"博士"
"2"	"林惠瑛"
"2"	"担任"
"2"	"师院"
"2"	"系主任"
"2"	"曾"
"2"	"兴平"
"2"	"台东市"
"2"	"长赖"
"2"	"坤"
"2"	"学生"
"2"	"东吴"
"2"	"大学"
"2"	"心理系"
"2"	"刘惠琴"
"2"	"评论"
"2"	"大学"
"1"	"政治"
"1"	"大学"
"1"	"中山"
"1"	"人文"
"1"	"社会科"
"1"	"学"
"1"	"研究所"
"1"	"赵建民"
"1"	"则"
"1"	"政治"
"1"	"大学"
"1"	"何赖杰"
"1"	"表示"
"2"	"淡江"
"2"	"大学"
"2"	"研究所"
"2"	"张维邦"
"2"	"建议"
"2"	"专科"
"2"	"副教授"
"2"	"小组"
"3"	"位"
"3"	"麻省"
"3"	"工学院"
"3"	"渊博"
"3"	"批评"
"1"	"国立"
"1"	"安卡拉"
"1"	"大学"
"1"	"关系学系"
"1"	"欧鲁杜兰"
"2"	"国立"
"2"	"清华大学"
"2"	"系统科"
"2"	"学系"
"2"	"蔡春鸿"
"2"	"指出"
"2"	"二氧化碳"
"1"	"专科"
"1"	"复旦"
"1"	"大学"
"1"	"副教授"
"2"	"研究"
"2"	"孙立人"
"2"	"研究院"
"2"	"近代史"
"2"	"研"
"2"	"究"
"2"	"朱浤源"
"2"	"专题"
"2"	"演讲"
"2"	"主讲"
"2"	"台湾"
"2"	"暨"
"2"	"工研院"
"2"	"杨日昌"
"2"	"副院长"
"2"	"台大"
"2"	"管理学院"
"2"	"前院长"
"2"	"许士军"
"2"	"应邀"
"2"	"台湾"
"1"	"中文"
"1"	"大学"
"1"	"管"
"1"	"理学院"
"1"	"财务"
"1"	"学"
"1"	"讲座"
"1"	"郎咸平"
"1"	"表示"
"1"	"研究"
"1"	"暨"
"1"	"南"
"1"	"大学"
"1"	"土木"
"1"	"学系"
"1"	"助理"
"1"	"叶欣诚"
"1"	"针对"
"1"	"台湾"
"1"	"研究"
"1"	"国立"
"1"	"台湾"
"1"	"大学"
"1"	"李兰"
"2"	"北市立"
"2"	"师范"
"2"	"学院"
"2"	"纪俊臣"
"2"	"指出"
"2"	"北市立"
"2"	"师范"
"2"	"学院"
"2"	"纪俊臣"
"2"	"表示"
"2"	"华视"
"2"	"则"
"2"	"台大"
"2"	"社会系"
"3"	"若果"
"3"	"罗毓明"
"3"	"说"
"3"	"美语"
"3"	"郑文铜"
"3"	"指出"
"2"	"清大"
"2"	"科学院"
"2"	"引用"
"2"	"核能"
"2"	"三民主义"
"2"	"研究所"
"2"	"长黄"
"2"	"人杰"
"2"	"陈"
"2"	"辉"
"2"	"解释"
"2"	"研究生"
"4"	"偷"
"4"	"教学"
"4"	"钟点"
"4"	"授课"
"4"	"时数"
"4"	"学期"
"4"	"校方"
"4"	"政治"
"4"	"表示"
"2"	"校长"
"2"	"台湾"
"2"	"大学"
"2"	"张进福"
"2"	"接任"
"2"	"任"
"2"	"校长"
"2"	"反驳"
"2"	"清大"
"2"	"原科院"
"2"	"江丙坤"
"1"	"南洋"
"1"	"关东"
"1"	"学院"
"1"	"大学"
"1"	"林博史"
"1"	"则"
"1"	"一九四一年"
"1"	"指出"
"2"	"国立"
"2"	"大学"
"2"	"公共"
"2"	"行政系"
"2"	"暨"
"2"	"学系"
"2"	"周"
"2"	"育仁"
"3"	"一九九零年"
"3"	"台湾"
"3"	"协会"
"1"	"研究"
"1"	"南加州"
"1"	"大学"
"1"	"巴克力"
"1"	"小组"
"1"	"研究"
"1"	"小组"
"1"	"创伤"
"1"	"莱登"
"1"	"大学"
"1"	"名誉"
"1"	"卡尔斯"
"1"	"针对"
"2"	"瑞典"
"2"	"学术院"
"2"	"院士"
"2"	"马悦然"
"2"	"中文"
"2"	"介绍"
"1"	"大学"
"1"	"李赫特曼"
"1"	"说"
"1"	"高丽"
"1"	"大学"
"1"	"政治学"
"1"	"指出"
"2"	"与会"
"2"	"台大"
"2"	"财金系"
"2"	"黄达业"
"2"	"指出"
"1"	"美慧"
"1"	"中原"
"1"	"大学"
"1"	"胡宝林"
"2"	"夏威夷"
"2"	"大学"
"2"	"教授"
"2"	"谢信"
"2"	"大学"
"2"	"李行"
"2"	"德"
"2"	"台大"
"2"	"教授"
"2"	"黄宣范"
"2"	"中正"
"2"	"大学"
"2"	"教授"
"2"	"教授"
"2"	"李行"
"2"	"德"
"2"	"台大"
"2"	"教授"
"2"	"黄宣范"
"2"	"中正"
"2"	"大学"
"2"	"戴浩"
"2"	"位"
"2"	"学者"
"2"	"担"
"2"	"任"
"2"	"律师"
"2"	"李念祖"
"2"	"台大"
"2"	"汤德宗"
"1"	"昆士兰"
"1"	"大学"
"1"	"波黛"
"1"	"博士"
"1"	"说"
"3"	"李鸿禧"
"2"	"刘铭龙"
"2"	"委託"
"2"	"实验"
"2"	"国立"
"2"	"清华大学"
"2"	"凌永健"
"2"	"委託"
"2"	"医"
"2"	"李俊璋"
"1"	"哥伦比亚"
"1"	"大学"
"1"	"尤列"
"1"	"同事"
"3"	"陈"
"3"	"玉峰"
"3"	"介绍"
"3"	"理事长"
"3"	"林惠官"
"3"	"辅大"
"3"	"张万"
"3"	"同等"
"3"	"东亚"
"2"	"东海"
"2"	"大学"
"2"	"政治系"
"2"	"暨"
"2"	"政治"
"2"	"研究所"
"2"	"东海"
"2"	"大学"
"2"	"学务"
"2"	"麻省"
"2"	"大学"
"2"	"客座"
"2"	"中兴"
"2"	"台大"
"2"	"城乡所"
"2"	"夏"
"2"	"铸"
"2"	"副会长"
"2"	"徐光蓉"
"2"	"加州"
"1"	"终究"
"1"	"多伦多"
"1"	"大学"
"1"	"药物学"
"1"	"精神病"
"1"	"学"
"1"	"塞乐斯"
"1"	"领导"
"1"	"研"
"1"	"究"
"1"	"小组"
"1"	"国立"
"1"	"大学"
"1"	"担任"
"1"	"访问"
"1"	"经济学家"
"1"	"古柏"
"1"	"教授"
"1"	"日前"
"1"	"说"
"1"	"科学"
"1"	"台湾"
"1"	"大学"
"1"	"黄秉钧"
"1"	"指出"
"2"	"中原"
"2"	"大学"
"2"	"财经"
"2"	"法学系"
"2"	"教授"
"2"	"陈樱琴"
"2"	"台大"
"2"	"系"
"2"	"陈志龙"
"2"	"研究院"
"2"	"财经"
"2"	"策略"
"2"	"研究"
"2"	"中心"
"2"	"主任"
"2"	"位"
"2"	"中原"
"2"	"大学"
"2"	"财经"
"2"	"法学系"
"2"	"陈樱琴"
"2"	"台大"
"2"	"系"
"2"	"教授"
"2"	"陈志龙"
"3"	"位"
"3"	"西班"
"3"	"牙"
"3"	"头衔"
"3"	"中国人"
"2"	"所长"
"2"	"法学"
"2"	"理事长"
"2"	"台湾"
"2"	"学会"
"2"	"会长"
"2"	"职"
"2"	"900127"
"2"	"中研院"
"2"	"研究员"
"2"	"中正"
"2"	"大学法律"
"2"	"系"
"2"	"李震山"
"2"	"大学"
"2"	"法学院"
"2"	"教授"
"2"	"陈慈阳"
"2"	"台大"
"2"	"义诊"
"2"	"北医"
"2"	"钟文政"
"2"	"牙医师"
"2"	"黄淳丰"
"2"	"外科"
"2"	"医师"
"3"	"台湾"
"3"	"叶"
"3"	"协会"
"3"	"湾绿党"
"3"	"台湾"
"3"	"协会"
"3"	"团体组"
"1"	"大学"
"1"	"位"
"1"	"经济学"
"1"	"瑞斯"
"1"	"说"
"3"	"医学会"
"3"	"曾光"
"3"	"表示"
"1"	"大学"
"1"	"研究"
"1"	"中心"
"1"	"宋国青"
"1"	"认为"
"2"	"中大"
"2"	"微生物学系"
"2"	"谈"
"2"	"兆麟"
"2"	"表示"
"1"	"生化"
"1"	"哈佛"
"1"	"大学"
"1"	"致函"
"3"	"台湾"
"3"	"陈"
"1"	"组长"
"1"	"东吴"
"1"	"大学"
"1"	"助理"
"1"	"吴志"
"1"	"中等人"
"1"	"地主"
"2"	"研究"
"2"	"研究"
"2"	"说"
"2"	"位"
"2"	"国立"
"2"	"研究所"
"2"	"担任"
"2"	"学者"
"2"	"则"
"2"	"位"
"2"	"担任"
"2"	"音乐"
"2"	"学院"
"2"	"声乐"
"2"	"胡明健"
"2"	"应邀"
"2"	"担任"
"2"	"评委"
"2"	"发誓"
"2"	"专家"
"2"	"1983年"
"2"	"著名"
"2"	"汉学家"
"2"	"佛罗伦萨"
"2"	"大学"
"2"	"宗教系"
"2"	"卡尔佐拉尼"
"2"	"开幕词"
"2"	"说"
"2"	"机器人"
"2"	"主席"
"2"	"机器人"
"2"	"专家"
"2"	"蔡自"
"2"	"兴"
"2"	"认为"
"2"	"机器人"
"2"	"专家"
"2"	"卡尔"
"2"	"彼得"
"2"	"."
"2"	"日前"
"3"	"阿勒尔"
"3"	"特"
"3"	"位"
"2"	"与会"
"2"	"著名"
"2"	"专家"
"2"	"科室"
"2"	"理工"
"2"	"大学"
"2"	"聘书"
"2"	"出任"
"2"	"校"
"2"	"名誉"
"2"	"主持"
"2"	"讲座"
"2"	"讲座"
"2"	"博士"
"2"	"实验室"
"2"	"说"
"2"	"武汉"
"2"	"大学"
"2"	"法学院"
"2"	"黄进"
"2"	"高校"
"2"	"教师"
"2"	"教师"
"2"	"肝病"
"2"	"研究"
"2"	"刘银坤"
"2"	"肝癌"
"2"	"鉴定"
"2"	"院士"
"2"	"专家"
"2"	"评委"
"2"	"认为"
"2"	"科"
"2"	"大学"
"2"	"授予"
"2"	"李岚清"
"2"	"名誉"
"2"	"职衔"
"2"	"表彰"
"2"	"华西"
"2"	"大学"
"2"	"四川"
"2"	"大学"
"2"	"美籍"
"2"	"葛维"
"2"	"汉"
"2"	"带领"
"2"	"考古队"
"2"	"日前"
"2"	"南开"
"2"	"大学"
"2"	"朱坦"
"2"	"主持"
"2"	"课题"
"2"	"教学"
"2"	"华东"
"2"	"师范"
"2"	"大学"
"2"	"左焕琪"
"2"	"课堂教"
"2"	"学"
"2"	"策略"
"2"	"研究"
"2"	"院士"
"2"	"大师"
"2"	"建筑师"
"2"	"师范"
"2"	"大学"
"2"	"历史系"
"2"	"课题"
"2"	"小组"
"2"	"张"
"2"	"水军"
"2"	"介绍"
"2"	"胰肾"
"2"	"联合"
"2"	"专家"
"2"	"西北"
"2"	"农林"
"2"	"大学"
"2"	"博士"
"2"	"导师"
"2"	"张涌"
"2"	"退休"
"2"	"教授"
"2"	"联手"
"2"	"创办"
"2"	"看望"
"2"	"师范"
"2"	"大学"
"2"	"位"
"2"	"老"
"2"	"启功"
"2"	"黄祖洽"
"2"	"大学"
"2"	"位"
"4"	"校"
"4"	"提醒"
"4"	"窗户"
"4"	"课"
"2"	"著名"
"2"	"科学家"
"2"	"李国豪"
"2"	"华诞"
"2"	"王燕萍"
"2"	"大学"
"2"	"权威"
"2"	"."
"2"	"学院"
"2"	"钢琴"
"2"	"."
"2"	"弗朗索瓦"
"2"	"."
"2"	"瑞典"
"2"	"音乐"
"2"	"医学"
"2"	"学位"
"2"	"现任"
"2"	"大学"
"2"	"公共"
"2"	"卫生学院"
"2"	"任"
"2"	"传染病"
"2"	"教授"
"2"	"肖春飞"
"2"	"刘涛"
"2"	"巫善明"
"2"	"面色"
"2"	"红润"
"2"	"步履"
"3"	"巫"
"3"	"说"
"3"	"旋即"
"2"	"专家"
"2"	"工程院"
"2"	"院士"
"2"	"钟南山"
"2"	"协和"
"2"	"医院"
"2"	"王爱霞"
"2"	"知名"
"2"	"专家"
"2"	"东京"
"2"	"东京"
"2"	"慈惠会"
"2"	"医科"
"2"	"大学"
"2"	"清水"
"2"	"英佑"
"2"	"领导"
"2"	"研究"
"2"	"小组"
"2"	"日前"
"2"	"医生"
"2"	"大学"
"2"	"研究所"
"2"	"吕秋云"
"2"	"说"
"2"	"同济"
"2"	"医院"
"2"	"陈忠华"
"2"	"介绍"
"2"	"同济"
"2"	"医院"
"2"	"南"
"2"	"大学"
"2"	"冠状"
"2"	"专家"
"2"	"赖明诏"
"2"	"大学"
"2"	"医学院"
