"Coll_Word"	"1"	"2"	"3"	"4"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"SumAbsDev"	"LargestDev"
"、"	0	1	0	5	0.644	2.008	0.559	2.789	-0.296	-0.458	-0.255	1.098	2.107	"4"
"."	1	6	0	0	0.751	2.343	0.652	3.254	0.261	2.154	-0.297	-1.9	4.612	"2"
"「"	0	0	0	2	0.215	0.669	0.186	0.93	-0.099	-0.354	-0.085	0.665	1.203	"4"
"」"	0	0	0	1	0.107	0.335	0.093	0.465	-0.049	-0.177	-0.042	0.333	0.601	"4"
"｜"	0	0	0	1	0.107	0.335	0.093	0.465	-0.049	-0.177	-0.042	0.333	0.601	"4"
"1983年"	0	1	0	0	0.107	0.335	0.093	0.465	-0.049	0.475	-0.042	-0.271	0.837	"2"
"1986年"	1	0	0	0	0.107	0.335	0.093	0.465	0.97	-0.177	-0.042	-0.271	1.46	"1"
"2003年度"	0	0	0	1	0.107	0.335	0.093	0.465	-0.049	-0.177	-0.042	0.333	0.601	"4"
"348"	0	0	1	0	0.107	0.335	0.093	0.465	-0.049	-0.177	1.031	-0.271	1.528	"3"
"36"	1	0	0	0	0.107	0.335	0.093	0.465	0.97	-0.177	-0.042	-0.271	1.46	"1"
"450"	0	0	1	0	0.107	0.335	0.093	0.465	-0.049	-0.177	1.031	-0.271	1.528	"3"
"6月份"	0	0	1	0	0.107	0.335	0.093	0.465	-0.049	-0.177	1.031	-0.271	1.528	"3"
"891204"	0	0	0	1	0.107	0.335	0.093	0.465	-0.049	-0.177	-0.042	0.333	0.601	"4"
"891210"	0	0	0	1	0.107	0.335	0.093	0.465	-0.049	-0.177	-0.042	0.333	0.601	"4"
"900127"	0	1	0	0	0.107	0.335	0.093	0.465	-0.049	0.475	-0.042	-0.271	0.837	"2"
"CarolMartin"	0	1	0	0	0.107	0.335	0.093	0.465	-0.049	0.475	-0.042	-0.271	0.837	"2"
"F"	0	1	0	0	0.107	0.335	0.093	0.465	-0.049	0.475	-0.042	-0.271	0.837	"2"
"HOPE"	0	0	0	1	0.107	0.335	0.093	0.465	-0.049	-0.177	-0.042	0.333	0.601	"4"
"omeOwnership"	0	0	0	1	0.107	0.335	0.093	0.465	-0.049	-0.177	-0.042	0.333	0.601	"4"
"VincentOstrom"	0	1	0	0	0.107	0.335	0.093	0.465	-0.049	0.475	-0.042	-0.271	0.837	"2"
"一九九零年"	0	0	1	0	0.107	0.335	0.093	0.465	-0.049	-0.177	1.031	-0.271	1.528	"3"
"一九四一年"	1	0	0	0	0.107	0.335	0.093	0.465	0.97	-0.177	-0.042	-0.271	1.46	"1"
"一方面"	0	0	1	0	0.107	0.335	0.093	0.465	-0.049	-0.177	1.031	-0.271	1.528	"3"
"一生"	0	0	1	1	0.215	0.669	0.186	0.93	-0.099	-0.354	0.75	0.147	1.35	"3"
"一般"	0	1	0	0	0.107	0.335	0.093	0.465	-0.049	0.475	-0.042	-0.271	0.837	"2"
"一贯"	0	0	0	3	0.322	1.004	0.28	1.394	-0.148	-0.531	-0.127	0.998	1.804	"4"
"七十亿"	0	0	1	0	0.107	0.335	0.093	0.465	-0.049	-0.177	1.031	-0.271	1.528	"3"
"万辅彬"	0	0	1	0	0.107	0.335	0.093	0.465	-0.049	-0.177	1.031	-0.271	1.528	"3"
"三日电"	0	0	0	1	0.107	0.335	0.093	0.465	-0.049	-0.177	-0.042	0.333	0.601	"4"
"三民主义"	0	1	0	0	0.107	0.335	0.093	0.465	-0.049	0.475	-0.042	-0.271	0.837	"2"
"下一代"	0	0	0	3	0.322	1.004	0.28	1.394	-0.148	-0.531	-0.127	0.998	1.804	"4"
"不忘"	0	0	0	2	0.215	0.669	0.186	0.93	-0.099	-0.354	-0.085	0.665	1.203	"4"
"与"	1	1	0	26	3.003	9.372	2.609	13.015	-0.74	-3.777	-1.19	6.588	12.295	"4"
"与会"	0	2	0	0	0.215	0.669	0.186	0.93	-0.099	0.951	-0.085	-0.543	1.678	"2"
"专业"	3	0	0	2	0.536	1.674	0.466	2.324	1.981	-0.885	-0.212	-0.247	3.325	"1"
"专家"	1	16	0	0	1.824	5.69	1.584	7.902	-0.354	6.539	-0.722	-4.615	12.23	"2"
"专款"	0	0	0	1	0.107	0.335	0.093	0.465	-0.049	-0.177	-0.042	0.333	0.601	"4"
"专科"	1	1	0	2	0.429	1.339	0.373	1.859	0.438	-0.229	-0.17	0.199	1.036	"1"
"专论"	0	1	0	0	0.107	0.335	0.093	0.465	-0.049	0.475	-0.042	-0.271	0.837	"2"
"专题"	0	2	0	0	0.215	0.669	0.186	0.93	-0.099	0.951	-0.085	-0.543	1.678	"2"
"世界级"	0	0	0	1	0.107	0.335	0.093	0.465	-0.049	-0.177	-0.042	0.333	0.601	"4"
"丘才良"	0	0	1	0	0.107	0.335	0.093	0.465	-0.049	-0.177	1.031	-0.271	1.528	"3"
"丙中"	1	0	0	0	0.107	0.335	0.093	0.465	0.97	-0.177	-0.042	-0.271	1.46	"1"
"东亚"	0	1	1	0	0.215	0.669	0.186	0.93	-0.099	0.254	0.75	-0.543	1.646	"3"
"东京"	0	2	0	0	0.215	0.669	0.186	0.93	-0.099	0.951	-0.085	-0.543	1.678	"2"
"东吴"	1	1	0	0	0.215	0.669	0.186	0.93	0.692	0.254	-0.085	-0.543	1.574	"1"
"东海"	0	2	0	0	0.215	0.669	0.186	0.93	-0.099	0.951	-0.085	-0.543	1.678	"2"
"两性"	0	0	0	3	0.322	1.004	0.28	1.394	-0.148	-0.531	-0.127	0.998	1.804	"4"
"中兴"	0	1	0	0	0.107	0.335	0.093	0.465	-0.049	0.475	-0.042	-0.271	0.837	"2"
"中医"	1	1	0	0	0.215	0.669	0.186	0.93	0.692	0.254	-0.085	-0.543	1.574	"1"
"中医学院"	0	1	0	0	0.107	0.335	0.093	0.465	-0.049	0.475	-0.042	-0.271	0.837	"2"
"中医药"	0	1	0	0	0.107	0.335	0.093	0.465	-0.049	0.475	-0.042	-0.271	0.837	"2"
"中华"	0	0	0	4	0.429	1.339	0.373	1.859	-0.197	-0.708	-0.17	1.331	2.406	"4"
"中原"	1	2	0	0	0.322	1.004	0.28	1.394	0.54	0.583	-0.127	-0.814	2.064	"4"
"中国"	0	0	1	0	0.107	0.335	0.093	0.465	-0.049	-0.177	1.031	-0.271	1.528	"3"
"中国人"	0	0	1	0	0.107	0.335	0.093	0.465	-0.049	-0.177	1.031	-0.271	1.528	"3"
"中国社"	0	1	0	0	0.107	0.335	0.093	0.465	-0.049	0.475	-0.042	-0.271	0.837	"2"
"中大"	0	1	0	0	0.107	0.335	0.093	0.465	-0.049	0.475	-0.042	-0.271	0.837	"2"
"中学"	0	0	0	9	0.965	3.013	0.839	4.183	-0.443	-1.593	-0.382	2.994	5.412	"4"
"中小学"	0	0	0	3	0.322	1.004	0.28	1.394	-0.148	-0.531	-0.127	0.998	1.804	"4"
"中山"	1	0	0	0	0.107	0.335	0.093	0.465	0.97	-0.177	-0.042	-0.271	1.46	"1"
"中心"	1	10	0	3	1.502	4.686	1.305	6.507	-0.261	2.379	-0.595	-1.295	4.53	"2"
"中文"	2	1	0	2	0.536	1.674	0.466	2.324	1.035	-0.339	-0.212	-0.247	1.833	"1"
"中文系"	0	1	0	0	0.107	0.335	0.093	0.465	-0.049	0.475	-0.042	-0.271	0.837	"2"
"中正"	0	3	0	0	0.322	1.004	0.28	1.394	-0.148	1.426	-0.127	-0.814	2.515	"2"
"中法"	0	0	0	1	0.107	0.335	0.093	0.465	-0.049	-0.177	-0.042	0.333	0.601	"4"
"中研院"	0	1	0	0	0.107	0.335	0.093	0.465	-0.049	0.475	-0.042	-0.271	0.837	"2"
"中等"	0	0	0	3	0.322	1.004	0.28	1.394	-0.148	-0.531	-0.127	0.998	1.804	"4"
"中等人"	1	0	0	0	0.107	0.335	0.093	0.465	0.97	-0.177	-0.042	-0.271	1.46	"1"
"临床"	0	2	0	0	0.215	0.669	0.186	0.93	-0.099	0.951	-0.085	-0.543	1.678	"2"
"丹麦语"	0	0	1	0	0.107	0.335	0.093	0.465	-0.049	-0.177	1.031	-0.271	1.528	"3"
