"cluster"	"sigcol"
"6"	"政大"
"6"	"教授"
"6"	"许士军"
"6"	"赖"
"6"	"士葆"
"6"	"台大"
"6"	"林"
"6"	"黄达业"
"7"	"指出"
"7"	"国立"
"7"	"法医"
"7"	"研究所"
"7"	"亚维兹"
"7"	"位"
"6"	"学生台"
"6"	"湾"
"6"	"大学"
"6"	"李鸿禧"
"6"	"形容"
"6"	"台大"
"6"	"政治系"
"6"	"主任"
"6"	"彭明"
"7"	"劳委会"
"7"	"委託"
"7"	"政治"
"7"	"学"
"7"	"社会法"
"7"	"研究"
"7"	"中心"
"7"	"郭明政"
"7"	"劳保"
"7"	"指出"
"5"	"委託"
"5"	"台湾"
"5"	"大学"
"5"	"宋文薰"
"5"	"考古"
"5"	"出土"
"7"	"崔琦"
"7"	"美国籍"
"7"	"林"
"7"	"德"
"7"	"国籍"
"7"	"史特默"
"7"	"诺贝尔"
"7"	"物理学奖"
"7"	"表彰"
"7"	"CHP"
"7"	"0246"
"7"	"北大"
"7"	"认为"
"7"	"金大"
"7"	"启发"
"7"	"CHP"
"6"	"淡江"
"6"	"大学"
"6"	"研究所"
"6"	"林郁方"
"6"	"则"
"6"	"研讨会"
"6"	"邀请"
"6"	"奥勒冈"
"6"	"大学"
"6"	"体育系"
"6"	"筑波"
"6"	"大学"
"6"	"教授"
"5"	"宜"
"5"	"政治"
"5"	"大学"
"5"	"吴琼恩"
"7"	"聘请"
"7"	"学"
"5"	"大学"
"5"	"欧豪年"
"5"	"主持"
"5"	"书画家"
"6"	"大学"
"6"	"经济学"
"6"	"经济学家"
"6"	"撰写"
"5"	"国立"
"5"	"台湾"
"5"	"大学"
"5"	"经济系"
"5"	"吴荣杰"
"5"	"说"
"8"	"邀"
"8"	"请到"
"8"	"MASAYOSHI"
"8"	"ESASHI"
"8"	"WOLFGANG"
"8"	"WOLFGANG"
"6"	"台大"
"6"	"经济系"
"6"	"教授"
"6"	"刘锦添"
"6"	"大学"
"6"	"研"
"6"	"黄书礼"
"6"	"台大"
"6"	"地理系"
"6"	"教授"
"6"	"孙志鸿"
"5"	"霍普司金"
"5"	"大学"
"5"	"白瑞尔"
"5"	"世银"
"5"	"专家"
"5"	"撰写"
"1"	"指导"
"5"	"中正"
"5"	"大学"
"5"	"黄富顺"
"5"	"担任"
"5"	"召集人"
"6"	"东吴"
"6"	"大学"
"6"	"政治系"
"6"	"郭正亮"
"6"	"则"
"6"	"雄"
"5"	"中文"
"5"	"大学"
"5"	"运动科"
"5"	"学系"
"5"	"助理"
"5"	"王香生"
"5"	"表示"
"5"	"中原"
"5"	"大学"
"5"	"高孔廉"
"5"	"哈佛"
"5"	"大学"
"5"	"机械系"
"5"	"央"
"5"	"研究院"
"5"	"院士"
"5"	"博士"
"5"	"担任"
"5"	"主席"
"6"	"教授"
"6"	"杨重信"
"6"	"理事长"
"6"	"卢友义"
"6"	"交大"
"6"	"冯正民"
"6"	"台大"
"6"	"教授"
"6"	"张学孔"
"6"	"台大"
"6"	"教授"
"6"	"华昌宜"
"7"	"891121"
"7"	"交大"
"7"	"刘尚志"
"7"	"智财"
"7"	"台湾"
"5"	"私立"
"5"	"大学"
"5"	"林明芳"
"5"	"系主任"
"5"	"研讨会"
"6"	"财经"
"6"	"梁国树"
"6"	"纪念"
"6"	"暨"
"6"	"当代"
"6"	"研讨会"
"6"	"台大"
"7"	"教育城"
"7"	"总监"
"7"	"黄宝财"
"7"	"表示"
"7"	"教育城"
"5"	"研究"
"5"	"阳明"
"5"	"大学"
"5"	"研究"
"5"	"卓丹"
"5"	"生物学"
"5"	"权威"
"7"	"学会"
"7"	"学生"
"7"	"与会"
"7"	"系所"
"7"	"三民主义"
"7"	"研究所"
"5"	"大学"
"5"	"政治学"
"5"	"籐"
"5"	"说"
"7"	"研究"
"7"	"科大"
"7"	"电机"
"7"	"学系"
"7"	"郭海"
"7"	"表示"
"6"	"女高音"
"6"	"陈允"
"6"	"宜"
"6"	"男高音"
"6"	"张瑞铭"
"6"	"教授"
"6"	"拉威"
"6"	"尔"
"6"	"女高音"
"6"	"陈允"
"6"	"宜"
"6"	"教授"
"6"	"男高音"
"6"	"张瑞铭"
"6"	"拉威"
"6"	"尔"
"6"	"小提琴"
"6"	"独奏"
"6"	"国立"
"6"	"大学"
"6"	"公共"
"6"	"行政系"
"6"	"暨"
"6"	"学系"
"6"	"周"
"6"	"育仁"
"7"	"科学院"
"7"	"院长"
"7"	"知名"
"7"	"化学"
"7"	"权威"
"7"	"C.N.R.RA"
"7"	"O"
"7"	"颁发"
"7"	"证书"
"7"	"表彰"
"7"	"胡纪如"
"7"	"有机硅"
"7"	"化学"
"7"	"国防"
"7"	"医学院"
"7"	"公共"
"7"	"卫生系"
"7"	"白璐"
"7"	"门诺"
"7"	"医院"
"7"	"院长"
"5"	"大学"
"5"	"政治"
"5"	"史"
"5"	"哲学"
"5"	"论文"
"5"	"中正"
"5"	"大学"
"5"	"研究所"
"5"	"古政元"
"5"	"指导"
"5"	"学生"
"5"	"研发"
"5"	"大学"
"5"	"研发"
"5"	"新药"
"5"	"中山大"
"5"	"学"
"5"	"沈雅敬"
"5"	"领导"
"5"	"研究"
"6"	"大学"
"6"	"航太"
"6"	"研究"
"8"	"位"
"8"	"指出"
"5"	"主任秘书"
"5"	"兼任"
"5"	"大学"
"5"	"中原"
"5"	"大学"
"5"	"副"
"5"	"曾"
"5"	"着有"
"5"	"匈奴"
"6"	"达利"
"6"	"艺术"
"6"	"学院"
"6"	"林惺岳"
"6"	"达利"
"6"	"位"
"6"	"达利"
"5"	"基金"
"5"	"政治"
"5"	"大学"
"5"	"金融系"
"5"	"李桐豪"
"5"	"表示"
"5"	"融"
"5"	"基金"
"6"	"芝加哥"
"6"	"大学"
"6"	"经济学"
"6"	"卡希亚普"
"6"	"说"
"6"	"认为"
"5"	"台湾"
"5"	"大学"
"5"	"财务"
"5"	"金融系"
"5"	"刘忆如"
"5"	"说"
"5"	"提振"
"5"	"政治"
"5"	"大学"
"5"	"金融系"
"5"	"李桐豪"
"5"	"认为"
"5"	"基金"
"5"	"课程"
"5"	"淡江"
"5"	"大学"
"5"	"黄炳煌"
"5"	"中兴"
"5"	"大学"
"5"	"校长"
"5"	"曾"
"5"	"校"
"5"	"彭作奎"
"7"	"管理学"
"7"	"博士"
"7"	"学位"
"7"	"曾"
"7"	"任"
"7"	"成大"
"7"	"管理系"
"7"	"现任"
"7"	"成大"
"7"	"管理学"
"5"	"张自强"
"5"	"台湾"
"5"	"大学"
"5"	"教授"
"5"	"许宗力"
"5"	"淡江"
"5"	"学"
"5"	"许志雄"
"6"	"位"
"6"	"中原"
"6"	"大学"
"6"	"财经"
"6"	"法学系"
"6"	"陈樱琴"
"6"	"台大"
"6"	"系"
"6"	"教授"
"6"	"陈志龙"
"8"	"洪兰"
"8"	"娘家"
"8"	"年夜饭"
"7"	"医学会"
"7"	"曾光"
"7"	"表示"
"5"	"威尔斯"
"5"	"亲王"
"5"	"医院"
"5"	"医生"
"5"	"兼"
"5"	"中文"
"5"	"大学"
"5"	"医"
"5"	"学院"
"5"	"助理"
"5"	"许树昌"
"5"	"译音"
"5"	"话说"
"5"	"许志雄"
"5"	"主持"
"5"	"湾"
"5"	"大学"
"5"	"林"
"5"	"引言"
"5"	"发言"
"5"	"学术"
"5"	"世新"
"5"	"大学"
"5"	"魏镛"
"5"	"表示"
"5"	"曾"
"7"	"基金"
"7"	"基金"
"7"	"李明亮"
"7"	"担任"
"7"	"学术界"
"6"	"华中"
"6"	"大学"
"6"	"学院"
"6"	"长生"
"6"	"为首"
"7"	"演讲"
"7"	"丁肇中"
"7"	"探求"
"7"	"自然界"
"8"	"著名"
"8"	"陈省身"
"7"	"美籍"
"7"	"华裔"
"7"	"科院"
"7"	"外籍"
"7"	"院士"
"7"	"陈省身"
"7"	"主持"
"7"	"耶拿大"
"7"	"学"
"7"	"医学"
