"","tokenlabel","cluster"
"团队/Na/XIN_CMN_20030418_wpr/30744","团队/Na/XIN_CMN_20030418_wpr/30744",1
"团队/Na/XIN_CMN_20030505_wpr/20083","团队/Na/XIN_CMN_20030505_wpr/20083",1
"团队/Na/XIN_CMN_20030524_wpr/58876","团队/Na/XIN_CMN_20030524_wpr/58876",1
"团队/Na/XIN_CMN_20030508_wpr/37389","团队/Na/XIN_CMN_20030508_wpr/37389",1
"团队/Na/XIN_CMN_20030924_wpr/70944","团队/Na/XIN_CMN_20030924_wpr/70944",1
"团队/Na/XIN_CMN_20001212_wpr/93968","团队/Na/XIN_CMN_20001212_wpr/93968",1
"团队/Na/CNA_CMN_20010108_wpr/103391","团队/Na/CNA_CMN_20010108_wpr/103391",1
"团队/Na/CNA_CMN_20010105_wpr/101973","团队/Na/CNA_CMN_20010105_wpr/101973",1
"团队/Na/CNA_CMN_20001225_wpr/29576","团队/Na/CNA_CMN_20001225_wpr/29576",1
"团队/Na/CNA_CMN_20010120_wpr/94029","团队/Na/CNA_CMN_20010120_wpr/94029",1
"团队/Na/CNA_CMN_20010120_wpr/94011","团队/Na/CNA_CMN_20010120_wpr/94011",1
"团队/Na/XIN_CMN_20030604_wpr/42459","团队/Na/XIN_CMN_20030604_wpr/42459",1
"团队/Na/ZBN_CMN_20030607_wpr/44260","团队/Na/ZBN_CMN_20030607_wpr/44260",1
"团队/Na/XIN_CMN_20030530_wpr/17924","团队/Na/XIN_CMN_20030530_wpr/17924",1
"团队/Na/XIN_CMN_20030922_wpr/471","团队/Na/XIN_CMN_20030922_wpr/471",1
"团队/Na/XIN_CMN_20030501_wpr/10283","团队/Na/XIN_CMN_20030501_wpr/10283",1
"团队/Na/XIN_CMN_20030601_wpr/42059","团队/Na/XIN_CMN_20030601_wpr/42059",1
"团队/Na/XIN_CMN_20010111_wpr/70537","团队/Na/XIN_CMN_20010111_wpr/70537",1
"团队/Na/CNA_CMN_20001016_wpr/136795","团队/Na/CNA_CMN_20001016_wpr/136795",1
"团队/Na/CNA_CMN_20001016_wpr/143237","团队/Na/CNA_CMN_20001016_wpr/143237",1
"团队/Na/CNA_CMN_20010129_wpr/16124","团队/Na/CNA_CMN_20010129_wpr/16124",1
"团队/Na/CNA_CMN_20010102_wpr/85617","团队/Na/CNA_CMN_20010102_wpr/85617",1
"团队/Na/CNA_CMN_20010130_wpr/131054","团队/Na/CNA_CMN_20010130_wpr/131054",1
"团队/Na/CNA_CMN_20010106_wpr/60240","团队/Na/CNA_CMN_20010106_wpr/60240",1
"团队/Na/CNA_CMN_20010102_wpr/85713","团队/Na/CNA_CMN_20010102_wpr/85713",1
"团队/Na/CNA_CMN_20001005_wpr/117627","团队/Na/CNA_CMN_20001005_wpr/117627",1
"团队/Na/CNA_CMN_20001216_wpr/44723","团队/Na/CNA_CMN_20001216_wpr/44723",1
"团队/Na/CNA_CMN_20030620_wpr/10367","团队/Na/CNA_CMN_20030620_wpr/10367",1
"团队/Na/CNA_CMN_20001106_wpr/63190","团队/Na/CNA_CMN_20001106_wpr/63190",1
"团队/Na/CNA_CMN_20001105_wpr/83797","团队/Na/CNA_CMN_20001105_wpr/83797",1
"团队/Na/CNA_CMN_20030630_wpr/3536","团队/Na/CNA_CMN_20030630_wpr/3536",1
"团队/Na/CNA_CMN_20030515_wpr/11743","团队/Na/CNA_CMN_20030515_wpr/11743",1
"团队/Na/XIN_CMN_20030424_wpr/50821","团队/Na/XIN_CMN_20030424_wpr/50821",1
"团队/Na/CNA_CMN_20030425_wpr/357","团队/Na/CNA_CMN_20030425_wpr/357",1
"团队/Na/CNA_CMN_20001212_wpr/13849","团队/Na/CNA_CMN_20001212_wpr/13849",1
"团队/Na/CNA_CMN_20001005_wpr/64277","团队/Na/CNA_CMN_20001005_wpr/64277",1
"团队/Na/CNA_CMN_20001116_wpr/131538","团队/Na/CNA_CMN_20001116_wpr/131538",1
"团队/Na/CNA_CMN_20030802_wpr/9747","团队/Na/CNA_CMN_20030802_wpr/9747",1
"团队/Na/CNA_CMN_20010122_wpr/35473","团队/Na/CNA_CMN_20010122_wpr/35473",1
"团队/Na/CNA_CMN_20001017_wpr/70742","团队/Na/CNA_CMN_20001017_wpr/70742",1
"团队/Na/XIN_CMN_20010128_wpr/48230","团队/Na/XIN_CMN_20010128_wpr/48230",1
"团队/Na/CNA_CMN_20001006_wpr/109809","团队/Na/CNA_CMN_20001006_wpr/109809",1
"团队/Na/CNA_CMN_20001116_wpr/131731","团队/Na/CNA_CMN_20001116_wpr/131731",1
