"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"5\""	"6"	"7"	"8"	"9"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_5\""	"exp_6"	"exp_7"	"exp_8"	"exp_9"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_5\""	"pbin_6"	"pbin_7"	"pbin_8"	"pbin_9"	"SumAbsDev"	"LargestDev"
"……"	0	0	0	0	0	0	0	0	0	1	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	0.846	1.255	"9"
"\"
"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"《"	0	1	0	0	0	0	0	0	20	1	3.024	1.6	1.574	3.413	6.57	0.009	1.061	0.663	0.946	3.139	-1.413	-0.286	-0.709	-1.611	-3.389	-0.004	-0.472	-0.292	25.002	-0.802	33.98	"8"
"》"	1	1	0	0	0	0	0	0	21	1	3.299	1.746	1.717	3.723	7.167	0.01	1.158	0.723	1.032	3.424	-0.858	-0.327	-0.774	-1.757	-3.697	-0.004	-0.515	-0.319	25.444	-0.906	34.601	"8"
"─"	0	2	0	0	0	0	0	0	0	0	0.275	0.145	0.143	0.31	0.597	0.001	0.096	0.06	0.086	0.285	-0.128	2.276	-0.064	-0.146	-0.308	0	-0.043	-0.027	-0.038	-0.134	3.164	"2"
"■"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"００"	1	0	0	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	0.862	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.274	"1"
"１"	0	0	0	0	1	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	-0.073	0.525	0	-0.021	-0.013	-0.019	-0.067	0.847	"5"
"10000"	0	0	0	1	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	0.809	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.212	"4"
"12"	0	0	2	1	1	0	0	0	0	0	0.55	0.291	0.286	0.621	1.195	0.002	0.193	0.121	0.172	0.571	-0.257	-0.131	1.555	0.309	-0.184	-0.001	-0.086	-0.053	-0.076	-0.267	2.919	"3"
"12时"	1	0	0	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	0.862	-0.033	-0.032	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.274	"1"
"13"	0	0	1	0	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	1.145	-0.073	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.589	"3"
"14"	0	0	1	1	0	0	0	0	0	0	0.275	0.145	0.143	0.31	0.597	0.001	0.096	0.06	0.086	0.285	-0.128	-0.066	0.86	0.543	-0.308	0	-0.043	-0.027	-0.038	-0.134	2.147	"3"
"1442"	0	0	0	1	0	0	0	0	0	0	0.137	0.073	0.072	0.155	0.299	0	0.048	0.03	0.043	0.143	-0.064	-0.033	-0.032	0.809	-0.154	0	-0.021	-0.013	-0.019	-0.067	1.212	"4"
