"top20dca_collo","cluster","concept"
"罹难者 家属 新航 空难 慰问 表示 赔偿 哀悼 协助 罹难 提供 遗体 并 善后 处理 人员 死难者 援助 办理 给予",1,"family_07970721-n"
"其 离散 「 」 萨达姆 《 》 犯人 及其 囚犯 受害人 由 本人 成员 方氏 扶养 经营 抗议 历史 社会",2,"family_07970721-n"
"死者 爱好 不好 事故 翁安德鲁 殡仪馆 拒绝 器官 警方 没 不治 採集 车主 抽血 出事 出外 刺青 大表 典型肺 二十万",3,"family_07970721-n"
"她 我 朋友 都 他 与 他们 病毒 隔离 病人 和 担心 自己 一起 家人 感到 令 团聚 不幸 身边",4,"family_07970721-n"
"比赛 队 队员 们 场 中国队 发挥 训练 都 参加 3 进攻 前 主力 5 老 赛 上场 国家队 打",1,"fellow_member_10307234-n"
"组织 名 回教 回祈团 祈祷 团 伊拉克 哈马斯 激进 该 萨达姆 基地 扬言 15 批 14 变动 捕 部队 登山",2,"fellow_member_10307234-n"
"会员 元 家庭 公积金 户头 储蓄 皇室 家族 普通 信件 租用 旅 投资 20 厂商 创业 动用 读书会 家 监察院",3,"fellow_member_10307234-n"
"会议 小组 委员会 代表团 会 内阁 全体 集团 所有 台湾 其他 协会 成为 代表 大会 出席 世贸组织 主要 谈判 成员",4,"fellow_member_10307234-n"
"“ ” 是 为 」 会议 「 演讲 今年 报告 次 讨论 活动 研讨会 这 》 发表 公园 和平 举办",1,"field_05996646-n"
"合作 加强 在 两国 各 双方 国 与 关系 友好 进一步 经贸 发展 交流 推动 特别 成效 互利 中方 高科技",2,"field_05996646-n"
"等 、 技术 多 科学 研究 经济 取得 教育 应用 金融 个 信息 学 科技 投资 电子 服务 开发 科研",3,"field_05996646-n"
"、 计划 工业 石油 % 换 等 经营 饮料 卫生 新华 吨 包装 和 类 联合国 食品安全 医药 涨 制造",1,"food_nutrient_00021265-n"
"食品 药品 基因 管理局 药物 改造 标示 美国 监督 大众 暨 规定 收回 和 负责人 检测 商品 FDA 安全性 成份",2,"food_nutrient_00021265-n"
"中毒 事件 发生 集体 武汉 青海 玉树 原因 学生 传染病 起 群体性 出炉 孩子 450多 变得 查明 车臣 出院 动乱",3,"food_nutrient_00021265-n"
"吃 食物 营养 及 高 给 喜欢 把 多 或 天然 维他命 水 饮食 食用 不要 高脂 患者 免费 蔬菜",4,"food_nutrient_00021265-n"
"合作 中非 亚太 会议 经合 区域 地区 亚细安 部长级 拉美 曼谷 首脑 外长 议会 经济 成员 非洲 CHP 成功 峰会",1,"forum_08309754-n"
"举行 纪念 北京 28日 京 今日 50周年 桂林 会谈 嘉义市 侨界 特奥 汪辜 医药 国际 10周年 讨论 经验 政协 会",2,"forum_08309754-n"
