top20dca_collo	cluster	concept	variant_I	lect_I	manual_culling	notes	meaning
只有 公正 和平 消除 更多 解决 这样 中台 主义 做到 做好 共同 分晓 利益 因地制宜 国家面 平静 康复 懂得 成长	1	ability_05200169-n	1	0.495	rerun	POS_error	then and only then
何时 平昌 工作 削弱 抑郁症 投票 操控 梅儿碧 罢免 唯有 NA NA NA NA NA NA NA NA NA NA	2	ability_05200169-n	0.4144106622	0.3785922532	rerun		
有 完全 个人 微处理器 野蛮 袭击 实力 Solskjaer 一流 买屋 债务 偿还 办好 办成 夸耀 研制 经济体 范尼 适 水平	3	ability_05200169-n	0.9002770083	0.3850415512	rerun		
要 必须 后 才能 需要 这样 得到 靠 更 信任 批准 时间 绝对 获得 使 须 出示 符合 继续 领取	4	ability_05200169-n	0.6442521483	0.3586923863	rerun		
强 较 比赛 强大 弱 差 选手 双方 看 凭借 击败 对手 球队 还是 金牌 队 主场 切 刘邦 劲旅	5	ability_05200169-n	0.5629552549	0.4302809573	rerun		
生产 吨 综合 淘汰 粮食 达到 加工 年 提高到 污水 生产线 船闸 过剩 落后 钢 处理 水平 NA NA NA	6	ability_05200169-n	0.931122449	0.8035714286	rerun	fixed_expression	生产能力
和 提高 增强 加强 学生 竞争 培养 提升 经济 拥有 管理 领导 能力 无 经验 整体 且 风险 抗 NA	7	ability_05200169-n	0.5332492147	0.3387741953	rerun		
却 这 地 令 不会 感到 带来 惊喜 让 出 大感 或者 收获 纯属 非典 时 因为 出现 如 遭遇	1	accident_07301336-n	0.4864068681	0.374463429	rerun		
调查 原因 正在 哥伦比亚 宇航局 人员 号 目前 东莞市 之中 报告 此次 组成 附近 飞机 警方 分析 初步 不当 伤者	2	accident_07301336-n	1	0.53834916	rerun	fixed_expression	事故原因
保险 工作 调查组 现场 善后 人身 抢救 入院 处理 目前 应付 核能 负责 车诺比 引起 责任 伤员 有关 结案 认定	3	accident_07301336-n	0.7344674556	0.4593195266	rerun		
煤矿 特大 水 透 . 矿工 瓦斯 井 爆炸 抢险 河南 矿 重 查处 安全 山西省 恶性 登封市 隐患 火灾	4	accident_07301336-n	1	0.8356401384	rerun	fixed_expression	特大事故
交通 交通安全 死亡 人 居高不下 严重 水上 道路 减少 南非 发生率 罗马尼亚 事故 14 巴西 死亡率 车 造 起 人数	5	accident_07301336-n	0.830078125	0.5234375	rerun		
停电 新航 酿成 沉船 火车 路段 列车 长江 重庆 出轨 坍塌 潼南 死 意外 伤亡 相撞 SQ 中正机场 水域 跑道	6	accident_07301336-n	0.5220719117	0.3465646137	rerun		
发生 后 翻船 船员 无 6人 公交 台铁 海事局 海难 船只 高原病 立即 船 NA NA NA NA NA NA	7	accident_07301336-n	0.5705555556	0.4538888889	rerun		
起 发生 事件 不治 劳检 导致 地点 女佣 罕见 时 前天 事发 类 轻伤 NA NA NA NA NA NA	8	accident_07301336-n	0.4730612245	0.3404081633	rerun		
《 》 暂行 共和国 人民 中华 保险费 关税 奖励 征 病虫害 购置 2003年 依法 发布 国有资产 拨款 车辆 出台 立法会	1	act_enactment_06532095-n	0.9429065744	0.7387543253	out	fixed_expression	《xx条例》
草案 修正 立法 条 部分 条文 条例 「 」 安全 修正案 国安 立法院 九二一 增订 审议 电信 修 审判 有限公司	2	act_enactment_06532095-n	0.4638012498	0.4442920287	in		
触犯 节 贪污 罪名 罪嫌 马总 刀械 一旦 惩治 毒品 防制 依 治罪 移民 交通 b 传票 危害 控状 提起公诉	3	act_enactment_06532095-n	0.3477508651	0.5432525952	in		
修改 放宽 宪法 法令 违反 中 下 被 令 增修 产业 加入 合同 州 援引 隔离 上市 内安 合约 知识产权	4	act_enactment_06532095-n	0.2118008898	0.3556093045	in		
定 “ ) 其中 第十六 传播 报道 传 播报 马其顿 标准 宪 SOLAS 倘若 划分法 名称 归入 找出 收支 有待	5	act_enactment_06532095-n	0.6449704142	0.4556213018	in		
