"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"SumAbsDev"	"LargestDev"
"＿"	0	0	0	0	0	0	9	0	0.882	0.326	1.08	2.214	0.897	0.392	0.827	2.383	-0.403	-0.144	-0.5	-1.104	-0.41	-0.174	9.33	-1.202	13.267	"7"
"－－"	0	0	0	0	0	0	0	1	0.098	0.036	0.12	0.246	0.1	0.044	0.092	0.265	-0.045	-0.016	-0.056	-0.123	-0.046	-0.019	-0.042	0.577	0.924	"8"
"105"	0	0	0	0	0	0	0	1	0.098	0.036	0.12	0.246	0.1	0.044	0.092	0.265	-0.045	-0.016	-0.056	-0.123	-0.046	-0.019	-0.042	0.577	0.924	"8"
"1071"	0	0	0	0	0	0	0	1	0.098	0.036	0.12	0.246	0.1	0.044	0.092	0.265	-0.045	-0.016	-0.056	-0.123	-0.046	-0.019	-0.042	0.577	0.924	"8"
"10多"	0	0	0	0	0	0	0	1	0.098	0.036	0.12	0.246	0.1	0.044	0.092	0.265	-0.045	-0.016	-0.056	-0.123	-0.046	-0.019	-0.042	0.577	0.924	"8"
"1100"	0	0	0	0	0	0	0	1	0.098	0.036	0.12	0.246	0.1	0.044	0.092	0.265	-0.045	-0.016	-0.056	-0.123	-0.046	-0.019	-0.042	0.577	0.924	"8"
"111"	0	0	0	0	0	0	1	0	0.098	0.036	0.12	0.246	0.1	0.044	0.092	0.265	-0.045	-0.016	-0.056	-0.123	-0.046	-0.019	1.037	-0.134	1.476	"7"
"119"	0	0	0	0	0	0	0	1	0.098	0.036	0.12	0.246	0.1	0.044	0.092	0.265	-0.045	-0.016	-0.056	-0.123	-0.046	-0.019	-0.042	0.577	0.924	"8"
"136"	0	0	0	0	0	0	1	0	0.098	0.036	0.12	0.246	0.1	0.044	0.092	0.265	-0.045	-0.016	-0.056	-0.123	-0.046	-0.019	1.037	-0.134	1.476	"7"
"141"	0	0	0	0	0	0	0	1	0.098	0.036	0.12	0.246	0.1	0.044	0.092	0.265	-0.045	-0.016	-0.056	-0.123	-0.046	-0.019	-0.042	0.577	0.924	"8"
"150多万"	0	0	0	1	0	0	0	0	0.098	0.036	0.12	0.246	0.1	0.044	0.092	0.265	-0.045	-0.016	-0.056	0.609	-0.046	-0.019	-0.042	-0.134	0.967	"4"
"1980年"	0	0	1	0	0	0	0	0	0.098	0.036	0.12	0.246	0.1	0.044	0.092	0.265	-0.045	-0.016	0.921	-0.123	-0.046	-0.019	-0.042	-0.134	1.346	"3"
"1万"	0	0	0	0	1	0	0	0	0.098	0.036	0.12	0.246	0.1	0.044	0.092	0.265	-0.045	-0.016	-0.056	-0.123	1.002	-0.019	-0.042	-0.134	1.437	"5"
