"","tokenlabel","cluster"
"特色/Na/CNA_CMN_20001010_wpr/79952","特色/Na/CNA_CMN_20001010_wpr/79952",1
"个性/Na/ZBN_CMN_20030516_wpr/64303","个性/Na/ZBN_CMN_20030516_wpr/64303",1
"特色/Na/ZBN_CMN_20030523_wpr/93436","特色/Na/ZBN_CMN_20030523_wpr/93436",1
"品质/Na/CNA_CMN_20010104_wpr/105905","品质/Na/CNA_CMN_20010104_wpr/105905",1
"特点/Na/XIN_CMN_20030504_wpr/27134","特点/Na/XIN_CMN_20030504_wpr/27134",1
"特点/Na/XIN_CMN_20001015_wpr/15827","特点/Na/XIN_CMN_20001015_wpr/15827",1
"特色/Na/CNA_CMN_20001214_wpr/72099","特色/Na/CNA_CMN_20001214_wpr/72099",1
"特色/Na/XIN_CMN_20030708_wpr/44428","特色/Na/XIN_CMN_20030708_wpr/44428",1
"特色/Na/ZBN_CMN_20030829_wpr/92510","特色/Na/ZBN_CMN_20030829_wpr/92510",1
"特质/Na/ZBN_CMN_20030915_wpr/9072","特质/Na/ZBN_CMN_20030915_wpr/9072",1
"特征/Na/ZBN_CMN_20030720_wpr/16988","特征/Na/ZBN_CMN_20030720_wpr/16988",1
"特色/Na/ZBN_CMN_20030714_wpr/66600","特色/Na/ZBN_CMN_20030714_wpr/66600",1
"特征/Na/CNA_CMN_20001227_wpr/48125","特征/Na/CNA_CMN_20001227_wpr/48125",1
"特征/Na/ZBN_CMN_20030405_wpr/65888","特征/Na/ZBN_CMN_20030405_wpr/65888",1
"特点/Na/ZBN_CMN_20030810_wpr/894","特点/Na/ZBN_CMN_20030810_wpr/894",1
"特色/Na/ZBN_CMN_20030829_wpr/82431","特色/Na/ZBN_CMN_20030829_wpr/82431",1
"品质/Na/ZBN_CMN_20030430_wpr/51353","品质/Na/ZBN_CMN_20030430_wpr/51353",1
"特色/Na/CNA_CMN_20001215_wpr/41924","特色/Na/CNA_CMN_20001215_wpr/41924",1
"特色/Na/CNA_CMN_20010129_wpr/95813","特色/Na/CNA_CMN_20010129_wpr/95813",1
"风格/Na/ZBN_CMN_20030623_wpr/53123","风格/Na/ZBN_CMN_20030623_wpr/53123",1
"风格/Na/ZBN_CMN_20030623_wpr/53365","风格/Na/ZBN_CMN_20030623_wpr/53365",1
"风格/Na/CNA_CMN_20030706_wpr/8256","风格/Na/CNA_CMN_20030706_wpr/8256",1
"特色/Na/ZBN_CMN_20030530_wpr/69176","特色/Na/ZBN_CMN_20030530_wpr/69176",1
"风格/Na/ZBN_CMN_20001126_wpr/33712","风格/Na/ZBN_CMN_20001126_wpr/33712",1
"风格/Na/CNA_CMN_20001203_wpr/30126","风格/Na/CNA_CMN_20001203_wpr/30126",1
"风格/Na/ZBN_CMN_20001107_wpr/24182","风格/Na/ZBN_CMN_20001107_wpr/24182",1
"特色/Na/ZBN_CMN_20030805_wpr/46729","特色/Na/ZBN_CMN_20030805_wpr/46729",1
"特色/Na/CNA_CMN_20001123_wpr/123443","特色/Na/CNA_CMN_20001123_wpr/123443",1
"特色/Na/ZBN_CMN_20030905_wpr/85332","特色/Na/ZBN_CMN_20030905_wpr/85332",1
"风格/Na/XIN_CMN_20030924_wpr/41039","风格/Na/XIN_CMN_20030924_wpr/41039",1
"风格/Na/ZBN_CMN_20030629_wpr/10546","风格/Na/ZBN_CMN_20030629_wpr/10546",1
"风格/Na/ZBN_CMN_20030802_wpr/59057","风格/Na/ZBN_CMN_20030802_wpr/59057",1
"特征/Na/XIN_CMN_20001114_wpr/7895","特征/Na/XIN_CMN_20001114_wpr/7895",1
"特征/Na/ZBN_CMN_20010101_wpr/8663","特征/Na/ZBN_CMN_20010101_wpr/8663",1
"风格/Na/ZBN_CMN_20030504_wpr/92214","风格/Na/ZBN_CMN_20030504_wpr/92214",1
"特色/Na/CNA_CMN_20001103_wpr/141937","特色/Na/CNA_CMN_20001103_wpr/141937",1
"特色/Na/ZBN_CMN_20030824_wpr/27078","特色/Na/ZBN_CMN_20030824_wpr/27078",1
"特质/Na/ZBN_CMN_20030420_wpr/33411","特质/Na/ZBN_CMN_20030420_wpr/33411",1
"风格/Na/ZBN_CMN_20030921_wpr/67038","风格/Na/ZBN_CMN_20030921_wpr/67038",1
"风格/Na/CNA_CMN_20001204_wpr/86830","风格/Na/CNA_CMN_20001204_wpr/86830",1
"个性/Na/ZBN_CMN_20030517_wpr/46636","个性/Na/ZBN_CMN_20030517_wpr/46636",1
"风格/Na/ZBN_CMN_20030917_wpr/68182","风格/Na/ZBN_CMN_20030917_wpr/68182",1
"风格/Na/CNA_CMN_20001030_wpr/122194","风格/Na/CNA_CMN_20001030_wpr/122194",1
"风格/Na/ZBN_CMN_20030927_wpr/75335","风格/Na/ZBN_CMN_20030927_wpr/75335",1
"特色/Na/CNA_CMN_20001203_wpr/67941","特色/Na/CNA_CMN_20001203_wpr/67941",1
"特色/Na/CNA_CMN_20001128_wpr/118979","特色/Na/CNA_CMN_20001128_wpr/118979",1
"特点/Na/ZBN_CMN_20030623_wpr/26209","特点/Na/ZBN_CMN_20030623_wpr/26209",1
"特点/Na/ZBN_CMN_20001010_wpr/23781","特点/Na/ZBN_CMN_20001010_wpr/23781",1
"特色/Na/CNA_CMN_20001222_wpr/74659","特色/Na/CNA_CMN_20001222_wpr/74659",1
"特色/Na/CNA_CMN_20001204_wpr/48924","特色/Na/CNA_CMN_20001204_wpr/48924",1
"风格/Na/ZBN_CMN_20001107_wpr/366","风格/Na/ZBN_CMN_20001107_wpr/366",1
"风格/Na/CNA_CMN_20001114_wpr/23481","风格/Na/CNA_CMN_20001114_wpr/23481",1
"品质/Na/CNA_CMN_20010119_wpr/153787","品质/Na/CNA_CMN_20010119_wpr/153787",1
"个性/Na/ZBN_CMN_20001018_wpr/11321","个性/Na/ZBN_CMN_20001018_wpr/11321",1
"风格/Na/CNA_CMN_20001201_wpr/95807","风格/Na/CNA_CMN_20001201_wpr/95807",1
"个性/Na/ZBN_CMN_20010131_wpr/24522","个性/Na/ZBN_CMN_20010131_wpr/24522",1
"特点/Na/ZBN_CMN_20001218_wpr/33216","特点/Na/ZBN_CMN_20001218_wpr/33216",1
"个性/Na/ZBN_CMN_20030902_wpr/10026","个性/Na/ZBN_CMN_20030902_wpr/10026",1
"个性/Na/ZBN_CMN_20030526_wpr/12105","个性/Na/ZBN_CMN_20030526_wpr/12105",1
