"cluster"	"sigcol"
"2"	"充分"
"2"	"扁"
"2"	"过河拆桥"
"2"	"反覆"
"2"	"至于"
"2"	"总预算案"
"3"	"她"
"3"	"感觉"
"3"	"就是"
"3"	"舒适"
"3"	"又"
"3"	"有"
"3"	"891003"
"3"	"在于"
"3"	"极"
"3"	"好强"
"3"	"又"
"1"	"风格"
"1"	"民族"
"1"	"情感"
"1"	"阳刚"
"1"	"就是"
"1"	"独特"
"1"	"音乐"
"1"	"美"
"3"	"大而化之"
"3"	"看出"
"3"	"金贝辛格"
"3"	"过度"
"3"	"神经质"
"3"	"牛毛"
"3"	"加上"
"3"	"个性"
"3"	"李安"
"3"	"喜欢"
"3"	"李安"
"3"	"认"
"3"	"老婆"
"3"	"兼具片"
"3"	"俞秀莲"
"3"	"刚毅"
"3"	"相当"
"3"	"温和"
"3"	"朋友"
"3"	"金正日"
"3"	"鹰派"
"3"	"人物"
"3"	"难以"
"3"	"测"
"3"	"创新"
"3"	"家具"
"3"	"内涵"
"3"	"丹麦"
"3"	"家具"
"3"	"人物"
"3"	"充满"
"3"	"张扬"
"3"	"澎湃"
"3"	"诗情"
"3"	"现"
"3"	"形式"
"1"	"杨"
"1"	"具有"
"1"	"特定"
"1"	"人群"
"1"	"健康"
"1"	"魅力"
"1"	"采访"
"1"	"札记"
"1"	"民族"
"1"	"鲜明"
"1"	"才能"
"1"	"艺术"
"1"	"魅力"
"3"	"展现"
"3"	"另"
"3"	"克拉"
"3"	"夫特"
"3"	"十足"
"3"	"漂亮女"
"3"	"铁人"
"3"	"个人"
"3"	"既"
"3"	"温馨"
"3"	"又"
"3"	"充满"
"1"	"族"
"1"	"鲜明"
"3"	"戈尔"
"3"	"一样"
"3"	"即"
"3"	"拘谨"
"3"	"灵活"
"3"	"有"
"3"	"烦恼"
"3"	"山羊"
"3"	"妈妈"
"3"	"观念"
"3"	"保守"
"3"	"山羊"
"3"	"妈妈"
"3"	"保守"
"3"	"认真"
"3"	"这样"
