"Coll_Word"	"1"	"2"	"3"	"exp_1"	"exp_2"	"exp_3"	"pbin_1"	"pbin_2"	"pbin_3"	"SumAbsDev"	"LargestDev"
"﹐"	0	1	0	0.283	0.414	0.303	-0.144	0.383	-0.157	0.684	"2"
":"	0	1	5	1.697	2.484	1.819	-0.866	-0.673	1.94	3.479	"3"
"："	0	2	3	1.414	2.07	1.516	-0.722	-0.182	0.776	1.68	"3"
"？"	0	0	1	0.283	0.414	0.303	-0.144	-0.232	0.518	0.894	"3"
"□"	0	0	1	0.283	0.414	0.303	-0.144	-0.232	0.518	0.894	"3"
"1280多"	0	0	1	0.283	0.414	0.303	-0.144	-0.232	0.518	0.894	"3"
"156"	0	1	0	0.283	0.414	0.303	-0.144	0.383	-0.157	0.684	"2"
"303"	0	0	1	0.283	0.414	0.303	-0.144	-0.232	0.518	0.894	"3"
"640"	0	0	1	0.283	0.414	0.303	-0.144	-0.232	0.518	0.894	"3"
"7大"	0	0	2	0.566	0.828	0.606	-0.289	-0.464	1.037	1.79	"3"
"840"	0	0	1	0.283	0.414	0.303	-0.144	-0.232	0.518	0.894	"3"
"891003"	0	0	1	0.283	0.414	0.303	-0.144	-0.232	0.518	0.894	"3"
"891005"	1	0	0	0.283	0.414	0.303	0.548	-0.232	-0.157	0.937	"1"
"891203"	0	0	1	0.283	0.414	0.303	-0.144	-0.232	0.518	0.894	"3"
"891219"	0	1	0	0.283	0.414	0.303	-0.144	0.383	-0.157	0.684	"2"
"900110"	1	0	0	0.283	0.414	0.303	0.548	-0.232	-0.157	0.937	"1"
"annesWeinstein"	0	0	1	0.283	0.414	0.303	-0.144	-0.232	0.518	0.894	"3"
"Chef"	0	1	0	0.283	0.414	0.303	-0.144	0.383	-0.157	0.684	"2"
"Coffee"	0	0	1	0.283	0.414	0.303	-0.144	-0.232	0.518	0.894	"3"
"con"	0	1	0	0.283	0.414	0.303	-0.144	0.383	-0.157	0.684	"2"
"DELIGHTS"	0	0	1	0.283	0.414	0.303	-0.144	-0.232	0.518	0.894	"3"
"Energy"	0	0	1	0.283	0.414	0.303	-0.144	-0.232	0.518	0.894	"3"
"F"	0	1	0	0.283	0.414	0.303	-0.144	0.383	-0.157	0.684	"2"
"Frappuccino"	0	0	1	0.283	0.414	0.303	-0.144	-0.232	0.518	0.894	"3"
"Hop"	1	0	0	0.283	0.414	0.303	0.548	-0.232	-0.157	0.937	"1"
"Jelly"	0	0	2	0.566	0.828	0.606	-0.289	-0.464	1.037	1.79	"3"
"Lindy"	1	0	0	0.283	0.414	0.303	0.548	-0.232	-0.157	0.937	"1"
"oro"	0	0	1	0.283	0.414	0.303	-0.144	-0.232	0.518	0.894	"3"
"Savoy"	1	0	0	0.283	0.414	0.303	0.548	-0.232	-0.157	0.937	"1"
"Star"	0	1	0	0.283	0.414	0.303	-0.144	0.383	-0.157	0.684	"2"
