"cluster"	"sigcol"
"4"	"工业局"
"4"	"施颜"
"4"	"祥"
"4"	"柜台"
"4"	"中心"
"4"	"颁赠"
"4"	"奖状"
"4"	"肯定柜"
"4"	"台"
"4"	"买卖"
"4"	"中心"
"4"	"暨"
"4"	"期货"
"4"	"指示"
"4"	"证券"
"4"	"交易所"
"4"	"参考"
"4"	"柜台"
"4"	"中心"
"4"	"增订"
"4"	"生技"
"4"	"鑑于"
"4"	"市场"
"4"	"买进"
"4"	"额度"
"4"	"五万多"
"4"	"柜台"
"4"	"中心"
"4"	"指出"
"4"	"外资"
"4"	"股东"
"4"	"指出"
"4"	"网路"
"4"	"供"
"3"	"陈肇隆"
"3"	"指出"
"3"	"印"
"3"	"容许"
"3"	"器官"
"3"	"规定"
"3"	"禁止"
"3"	"至于"
"3"	"活体"
"3"	"器官"
"3"	"蒙骗"
"3"	"进行"
"3"	"器官"
"4"	"股票"
"4"	"外资"
"4"	"资"
"4"	"额度"
"4"	"柜台"
"4"	"中心"
"4"	"数量"
"2"	"券商"
"2"	"开放"
"2"	"外资"
"2"	"直接"
"2"	"股票"
"2"	"未知"
"3"	"容许"
"3"	"从事"
"3"	"及"
"3"	"式"
"3"	"武器"
"3"	"买卖"
"3"	"尤"
"4"	"证券"
"4"	"交易所"
"4"	"期货"
"4"	"交易所"
"4"	"证券"
"4"	"柜台"
"4"	"中心"
"4"	"分别"
"4"	"简报"
"4"	"业"
"3"	"特定人"
"3"	"个别股票"
"3"	"进行"
"3"	"推介"
"3"	"或"
"3"	"个别股票"
"4"	"登记"
"4"	"从事"
"4"	"证券"
"4"	"纪"
"4"	"业务"
"4"	"招揽"
"4"	"违反"
"4"	"法令"
"4"	"公司"
"4"	"处以"
"4"	"净额"
"4"	"受託"
"4"	"额度"
"4"	"证券商"
"4"	"分别"
"2"	"禁止"
"2"	"股票"
"2"	"晤谈"
"2"	"证交所"
"2"	"营业"
"2"	"细则"
"2"	"自营商"
"2"	"股票"
"2"	"价格"
