"Coll_Word"	"1"	"2"	"3"	"4"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"SumAbsDev"	"LargestDev"
"，"	147	0	2	0	34.461	26.47	33.296	54.772	89.655	-12.657	-13.385	-29.652	145.349	"1"
"﹑"	0	0	0	3	0.694	0.533	0.67	1.103	-0.343	-0.255	-0.33	1.304	2.232	"4"
"‘"	2	0	0	0	0.463	0.355	0.447	0.735	1.272	-0.17	-0.22	-0.398	2.06	"1"
"’"	2	0	0	0	0.463	0.355	0.447	0.735	1.272	-0.17	-0.22	-0.398	2.06	"1"
"︶"	0	0	0	1	0.231	0.178	0.223	0.368	-0.114	-0.085	-0.11	0.435	0.744	"4"
"104.81"	0	1	0	0	0.231	0.178	0.223	0.368	-0.114	0.75	-0.11	-0.199	1.173	"2"
"1054.56"	0	1	0	0	0.231	0.178	0.223	0.368	-0.114	0.75	-0.11	-0.199	1.173	"2"
"10万"	0	0	1	0	0.231	0.178	0.223	0.368	-0.114	-0.085	0.651	-0.199	1.049	"3"
"112.24"	0	1	0	0	0.231	0.178	0.223	0.368	-0.114	0.75	-0.11	-0.199	1.173	"2"
"16.9"	0	0	1	0	0.231	0.178	0.223	0.368	-0.114	-0.085	0.651	-0.199	1.049	"3"
"2.57"	0	1	0	0	0.231	0.178	0.223	0.368	-0.114	0.75	-0.11	-0.199	1.173	"2"
"2亿2000万"	0	1	0	0	0.231	0.178	0.223	0.368	-0.114	0.75	-0.11	-0.199	1.173	"2"
"39"	1	0	0	0	0.231	0.178	0.223	0.368	0.636	-0.085	-0.11	-0.199	1.03	"1"
"390万"	0	0	1	0	0.231	0.178	0.223	0.368	-0.114	-0.085	0.651	-0.199	1.049	"3"
"3亿"	0	1	0	0	0.231	0.178	0.223	0.368	-0.114	0.75	-0.11	-0.199	1.173	"2"
"3亿6600万"	0	1	0	0	0.231	0.178	0.223	0.368	-0.114	0.75	-0.11	-0.199	1.173	"2"
"40％"	1	0	0	0	0.231	0.178	0.223	0.368	0.636	-0.085	-0.11	-0.199	1.03	"1"
"40亿"	0	0	1	0	0.231	0.178	0.223	0.368	-0.114	-0.085	0.651	-0.199	1.049	"3"
"478亿"	0	0	0	1	0.231	0.178	0.223	0.368	-0.114	-0.085	-0.11	0.435	0.744	"4"
"4成"	0	0	1	0	0.231	0.178	0.223	0.368	-0.114	-0.085	0.651	-0.199	1.049	"3"
"5000万"	0	1	0	0	0.231	0.178	0.223	0.368	-0.114	0.75	-0.11	-0.199	1.173	"2"
