"Coll_Word"	"1"	"2"	"3"	"4"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"SumAbsDev"	"LargestDev"
"0.4"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"1640年"	0	1	0	0	0.142	0.046	0.14	0.673	-0.066	1.338	-0.065	-0.485	1.954	"2"
"1949年"	2	0	0	0	0.283	0.092	0.279	1.345	1.698	-0.041	-0.131	-0.97	2.84	"1"
"1955年"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"1966年"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"1979年"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"1984年"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"1997年"	0	1	0	0	0.142	0.046	0.14	0.673	-0.066	1.338	-0.065	-0.485	1.954	"2"
"19世纪"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"20世纪"	1	1	0	0	0.283	0.092	0.279	1.345	0.58	1.047	-0.131	-0.97	2.728	"2"
"80年代"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"891028"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"891217"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"891230"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"900120"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"actforchange.com"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"CA"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"Gwyneth"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"NBA"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"Shirin"	0	0	0	2	0.283	0.092	0.279	1.345	-0.133	-0.041	-0.131	0.344	0.649	"4"
