"Coll_Word"	"1"	"2"	"3"	"exp_1"	"exp_2"	"exp_3"	"pbin_1"	"pbin_2"	"pbin_3"	"SumAbsDev"	"LargestDev"
"1.25"	1	0	0	0.37	0.439	0.191	0.432	-0.251	-0.092	0.775	"1"
"1.5"	0	1	0	0.37	0.439	0.191	-0.201	0.357	-0.092	0.65	"2"
"1.6"	0	0	1	0.37	0.439	0.191	-0.201	-0.251	0.72	1.172	"3"
"1%"	0	1	0	0.37	0.439	0.191	-0.201	0.357	-0.092	0.65	"2"
"1000万"	0	2	0	0.74	0.879	0.382	-0.401	0.714	-0.184	1.299	"2"
"100万"	0	1	0	0.37	0.439	0.191	-0.201	0.357	-0.092	0.65	"2"
"100多亿"	0	0	1	0.37	0.439	0.191	-0.201	-0.251	0.72	1.172	"3"
"104亿"	0	0	1	0.37	0.439	0.191	-0.201	-0.251	0.72	1.172	"3"
"105亿"	0	0	1	0.37	0.439	0.191	-0.201	-0.251	0.72	1.172	"3"
"10万"	1	0	0	0.37	0.439	0.191	0.432	-0.251	-0.092	0.775	"1"
"10亿"	0	0	1	0.37	0.439	0.191	-0.201	-0.251	0.72	1.172	"3"
"126万"	0	0	1	0.37	0.439	0.191	-0.201	-0.251	0.72	1.172	"3"
"13亿"	0	1	0	0.37	0.439	0.191	-0.201	0.357	-0.092	0.65	"2"
"1460亿"	0	0	1	0.37	0.439	0.191	-0.201	-0.251	0.72	1.172	"3"
"1500万"	0	0	2	0.74	0.879	0.382	-0.401	-0.503	1.439	2.343	"3"
"150万"	0	0	1	0.37	0.439	0.191	-0.201	-0.251	0.72	1.172	"3"
"17亿"	0	0	1	0.37	0.439	0.191	-0.201	-0.251	0.72	1.172	"3"
"1880万"	0	0	1	0.37	0.439	0.191	-0.201	-0.251	0.72	1.172	"3"
"1999年"	0	1	1	0.74	0.879	0.382	-0.401	0.164	0.462	1.027	"3"
"1亿1千7百95万"	0	0	1	0.37	0.439	0.191	-0.201	-0.251	0.72	1.172	"3"
"2.8"	0	0	2	0.74	0.879	0.382	-0.401	-0.503	1.439	2.343	"3"
"2％"	1	0	0	0.37	0.439	0.191	0.432	-0.251	-0.092	0.775	"1"
"20％"	1	0	0	0.37	0.439	0.191	0.432	-0.251	-0.092	0.775	"1"
"2000万"	0	0	2	0.74	0.879	0.382	-0.401	-0.503	1.439	2.343	"3"
"21亿多"	0	0	1	0.37	0.439	0.191	-0.201	-0.251	0.72	1.172	"3"
