"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"SumAbsDev"	"LargestDev"
"%签"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"）"	0	0	0	0	3	0.425	0.426	0.462	0.19	1.497	-0.199	-0.199	-0.218	-0.085	0.906	1.607	"5"
"＊"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"《"	0	0	43	1	0	6.227	6.244	6.782	2.788	21.959	-2.916	-2.924	33.348	-0.651	-13.21	53.049	"3"
"》"	1	4	48	1	9	8.917	8.94	9.71	3.991	31.442	-3.119	-1.348	25.96	-1.07	-8.479	39.976	"3"
"1000万"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"126"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"18日"	1	0	0	0	0	0.142	0.142	0.154	0.063	0.499	0.849	-0.066	-0.073	-0.028	-0.3	1.316	"1"
"1953年"	1	0	0	0	0	0.142	0.142	0.154	0.063	0.499	0.849	-0.066	-0.073	-0.028	-0.3	1.316	"1"
"1961年"	0	1	0	0	0	0.142	0.142	0.154	0.063	0.499	-0.066	0.848	-0.073	-0.028	-0.3	1.315	"2"
"1962年"	0	1	0	0	0	0.142	0.142	0.154	0.063	0.499	-0.066	0.848	-0.073	-0.028	-0.3	1.315	"2"
"1972年"	0	0	1	0	0	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	0.812	-0.028	-0.3	1.272	"3"
"1993年"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"1994年"	0	0	0	1	2	0.425	0.426	0.462	0.19	1.497	-0.199	-0.199	-0.218	0.749	0.302	1.667	"4"
"1995年"	0	2	0	0	1	0.425	0.426	0.462	0.19	1.497	-0.199	1.262	-0.218	-0.085	-0.3	2.064	"2"
"1997年"	0	0	1	0	0	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	0.812	-0.028	-0.3	1.272	"3"
"2.55"	0	1	0	0	0	0.142	0.142	0.154	0.063	0.499	-0.066	0.848	-0.073	-0.028	-0.3	1.315	"2"
"2004年"	0	0	0	0	2	0.283	0.284	0.308	0.127	0.998	-0.133	-0.133	-0.145	-0.057	0.604	1.072	"5"
"2005年"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"2007年"	0	0	1	0	0	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	0.812	-0.028	-0.3	1.272	"3"
"25周年"	0	0	1	0	1	0.283	0.284	0.308	0.127	0.998	-0.133	-0.133	0.546	-0.057	0.125	0.994	"3"
"2亿"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"3%"	0	0	1	0	0	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	0.812	-0.028	-0.3	1.272	"3"
"31日"	1	0	0	0	0	0.142	0.142	0.154	0.063	0.499	0.849	-0.066	-0.073	-0.028	-0.3	1.316	"1"
"34"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"44"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"4国"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"4座"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"55.9"	0	1	0	0	0	0.142	0.142	0.154	0.063	0.499	-0.066	0.848	-0.073	-0.028	-0.3	1.315	"2"
"6国"	0	0	0	0	1	0.142	0.142	0.154	0.063	0.499	-0.066	-0.066	-0.073	-0.028	0.302	0.535	"5"
"6月"	4	0	0	0	1	0.708	0.71	0.771	0.317	2.495	2.75	-0.332	-0.363	-0.142	-0.724	4.311	"1"
