"cluster"	"sigcol"
"2"	"採纳"
"2"	"国际"
"2"	"第"
"2"	"二十一"
"2"	"条"
"2"	"容许"
"2"	"限制"
"2"	"国家"
"2"	"谈判"
"2"	"反菸"
"2"	"日内瓦"
"2"	"项"
"2"	"公约"
"2"	"族人"
"2"	"准则"
"2"	"制定"
"2"	"长老"
"2"	"通过"
"2"	"禁止"
"2"	"化学"
"2"	"武器"
"2"	"公约"
"2"	"禁止"
"2"	"生物"
"2"	"武器"
"2"	"缔约国"
"2"	"严格"
"2"	"履行"
"2"	"条约"
"2"	"及"
"2"	"全球"
"2"	"气候"
"2"	"变化"
"2"	"纲要"
"2"	"能源"
"2"	"跨国"
"2"	"犯罪"
"2"	"项"
"2"	"国"
"2"	"跨国"
"2"	"犯罪"
"2"	"国际"
"2"	"公约"
"2"	"引用"
"2"	"相关"
"2"	"国际"
"2"	"要求"
"2"	"条文"
"2"	"落实"
"2"	"执行"
"2"	"享有"
"2"	"宪法"
"2"	"联合国"
"2"	"有关"
"2"	"宣言"
"2"	"明确"
"2"	"规"
"2"	"定"
"2"	"人权"
"2"	"公开信"
"2"	"政治"
"2"	"公民权"
"2"	"公约"
"2"	"以及"
"2"	"文化权"
"2"	"人权"
"2"	"国际"
"2"	"反"
"2"	"签字"
"2"	"公民"
"2"	"授权"
"2"	"开导"
"2"	"公民"
"2"	"红十字"
"2"	"内瓦"
"2"	"授权"
"2"	"保护"
"2"	"消除"
"2"	"妇女"
"2"	"歧视"
"2"	"公约"
"2"	"区域性"
"2"	"人权"
"2"	"欧洲人权"
"2"	"公约"
"2"	"欧洲"
"2"	"宪章"
"2"	"里海"
"2"	"关于"
"2"	"里海"
"2"	"法律"
"2"	"地位"
"2"	"草案"
"2"	"提交"
"2"	"审议"
"2"	"国家"
"2"	"联合国"
"2"	"《"
"2"	"气候"
"2"	"变化"
"2"	"框架"
"2"	"》"
"2"	"第六"
"2"	"缔约"
"2"	"方"
"2"	"大会"
"2"	"本次"
"2"	"大会"
"2"	"》"
"2"	"保护"
"2"	"妇女"
"2"	"权利"
"2"	"有关"
"2"	"国际"
"2"	"安理会"
"2"	"妇女"
"2"	"联合国"
"2"	"宪章"
"2"	"国际法"
"2"	"准则"
"2"	"以及"
"2"	"维也纳"
"2"	"外交"
"2"	"符合"
"2"	"《"
"2"	"濒危"
"2"	"野生"
"2"	"动植物"
"2"	"种"
"2"	"国际"
"2"	"贸易"
"2"	"》"
"2"	"要求"
"2"	"修订"
"2"	"《"
"2"	"难民"
"2"	"地位"
"2"	"》"
"2"	"缔约国"
"2"	"难民"
"2"	"执行"
"2"	"圆桌"
"2"	"机制"
"2"	"保证"
"2"	"执行"
"2"	"际"
"2"	"欧盟"
"2"	"《"
"2"	"稳定"
"2"	"增长"
"2"	"》"
"2"	"规定"
"2"	"3%"
"4"	"海牙"
"4"	"签订"
"4"	"宣言"
"2"	"第四"
"2"	"《"
"2"	"稳定"
"2"	"增长"
"2"	"》"
"2"	"国家"
"2"	"交战"
"2"	"遵守"
"2"	"《"
"2"	"内瓦"
"2"	"》"
"2"	"规定"
"2"	"条款"
"2"	"保护"
"2"	"侵犯"
"2"	"军事"
"2"	"有关"
"2"	"国际"
"2"	"规定"
"2"	"国际法"
"2"	"有效"
"2"	"执行"
"2"	"讨论"
"2"	"《"
"2"	"禁止"
"2"	"化学"
"2"	"武器"
"2"	"公约"
"2"	"》"
"2"	"草案"
"2"	"卫生"
"2"	"大会"
"2"	"通过"
"2"	"《"
"2"	"》"
"2"	"有关"
"2"	"内容"
"2"	"联合国"
"2"	"提交"
"2"	"《"
"2"	"及"
"2"	"文化"
"2"	"权利"
"2"	"国际"
"2"	"》"
"2"	"首"
"2"	"履约"
"2"	"国际"
"2"	"1999年"
"2"	"签署"
"2"	"《"
"2"	"东"
"2"	"南欧"
"2"	"稳定"
"2"	"》"
"2"	"框架"
"2"	"项"
"2"	"自然"
"2"	"国"
"2"	"林业局"
"2"	"《"
"2"	"湿地"
"2"	"》"
"2"	"履约"
"2"	"欧盟"
"2"	"《"
"2"	"稳定"
"2"	"增长"
"2"	"》"
"2"	"所"
"2"	"规定"
"2"	"3%"
"2"	"制定"
"2"	"国际"
"2"	"残疾人"
"2"	"权利"
"2"	"安南"
"2"	"残疾人"
"2"	"武器"
"2"	"公约"
"2"	"》"
"2"	"1997年"
"2"	"签约"
"2"	"仪式"
"2"	"渥太华"
"2"	"有失"
"2"	"大方"
"2"	"华沙"
"2"	"国际"
"2"	"航"
"2"	"协协"
"2"	"议"
"2"	"国际"
"2"	"惯例"
"2"	"国际"
"2"	"言论"
"2"	"表达"
"2"	"同"
"2"	"签约国"
"2"	"遵守"
"2"	"规定"
"2"	"公约"
"2"	"》"
"2"	"首"
"2"	"有关"
"2"	"健康"
"2"	"国际"
"2"	"卫生"
"2"	"实施"
"2"	"北大西洋"
"2"	"加入"
"2"	"该"
"2"	"项"
"2"	"《"
"2"	"》"
"2"	"及"
"2"	"条约"
"3"	"签署"
"3"	"航空"
"3"	"航空"
"3"	"航空"
"3"	"签署"
"3"	"项"
"3"	"暴"
"3"	"正式"
"3"	"夏姆钖克"
"3"	"尽管"
"2"	"通讯"
"2"	"马拉威"
"2"	"通讯社"
"2"	"订有"
"2"	"交流"
"2"	"马拉威"
"2"	"订有"
"2"	"项"
"2"	"内容"
"2"	"规范"
"2"	"美国"
"2"	"农业部"
"2"	"圣文森"
"2"	"农业"
"2"	"技术合作"
"2"	"续延"
"2"	"效期"
"2"	"年"
"2"	"函请"
"5"	"北韩"
"5"	"停战"
"5"	"转换为"
"5"	"和平"
"2"	"索罗"
"2"	"群岛"
"2"	"入渔"
"2"	"供"
"2"	"美式"
"2"	"格"
"2"	"交流"
"2"	"二十五日电"
"2"	"系列"
"2"	"平"
"2"	"和平区"
"5"	"贸易"
"5"	"伙伴"
"5"	"推动"
"5"	"自由"
"5"	"贸易"
"5"	"FTA"
"5"	"经济部长"
"5"	"林信义"
"5"	"新加坡"
"5"	"新加坡"
"5"	"达成"
"5"	"项"
"5"	"自由"
"5"	"贸易"
"5"	"有关"
"5"	"举"
"5"	"破坏"
"5"	"订定"
"5"	"项"
"5"	"区域"
"5"	"贸易"
"5"	"阻碍"
"5"	"世贸组"
"5"	"谈判"
"5"	"双边"
"5"	"自由"
"5"	"贸易"
