"Coll_Word"	"1"	"2"	"3"	"exp_1"	"exp_2"	"exp_3"	"pbin_1"	"pbin_2"	"pbin_3"	"SumAbsDev"	"LargestDev"
"﹐"	0	2	3	1.541	0.677	2.782	-0.8	0.858	0.218	1.876	"2"
"、"	0	8	78	26.501	11.646	47.853	-13.759	-0.795	11.9	26.454	"1"
";"	10	1	9	6.163	2.708	11.128	1.245	-0.648	-0.636	2.529	"1"
"1.3"	0	1	0	0.308	0.135	0.556	-0.16	0.868	-0.353	1.381	"2"
"1.4"	0	1	0	0.308	0.135	0.556	-0.16	0.868	-0.353	1.381	"2"
"1000多"	0	0	2	0.616	0.271	1.113	-0.32	-0.126	0.509	0.955	"3"
"100余"	0	1	0	0.308	0.135	0.556	-0.16	0.868	-0.353	1.381	"2"
"102"	0	1	0	0.308	0.135	0.556	-0.16	0.868	-0.353	1.381	"2"
"10378"	0	1	0	0.308	0.135	0.556	-0.16	0.868	-0.353	1.381	"2"
"109"	0	1	0	0.308	0.135	0.556	-0.16	0.868	-0.353	1.381	"2"
"10万"	0	0	2	0.616	0.271	1.113	-0.32	-0.126	0.509	0.955	"3"
"120"	0	0	1	0.308	0.135	0.556	-0.16	-0.063	0.255	0.478	"3"
"122"	0	1	0	0.308	0.135	0.556	-0.16	0.868	-0.353	1.381	"2"
"1300"	0	0	1	0.308	0.135	0.556	-0.16	-0.063	0.255	0.478	"3"
"135"	0	0	1	0.308	0.135	0.556	-0.16	-0.063	0.255	0.478	"3"
"154万"	0	0	1	0.308	0.135	0.556	-0.16	-0.063	0.255	0.478	"3"
"18万多"	0	1	0	0.308	0.135	0.556	-0.16	0.868	-0.353	1.381	"2"
"2"	26	0	0	8.012	3.521	14.467	13.292	-1.643	-9.179	24.114	"1"
"2000多"	0	1	0	0.308	0.135	0.556	-0.16	0.868	-0.353	1.381	"2"
"2003年"	0	0	1	0.308	0.135	0.556	-0.16	-0.063	0.255	0.478	"3"
"20753"	0	1	0	0.308	0.135	0.556	-0.16	0.868	-0.353	1.381	"2"
"246"	0	2	0	0.616	0.271	1.113	-0.32	1.737	-0.706	2.763	"2"
"250"	0	2	0	0.616	0.271	1.113	-0.32	1.737	-0.706	2.763	"2"
"2万多"	0	3	0	0.924	0.406	1.669	-0.48	2.605	-1.059	4.144	"2"
"3"	25	1	0	8.012	3.521	14.467	11.518	-0.938	-9.179	21.635	"1"
"300"	0	0	1	0.308	0.135	0.556	-0.16	-0.063	0.255	0.478	"3"
"3019"	0	1	0	0.308	0.135	0.556	-0.16	0.868	-0.353	1.381	"2"
"33.6"	0	1	0	0.308	0.135	0.556	-0.16	0.868	-0.353	1.381	"2"
"35"	0	1	1	0.616	0.271	1.113	-0.32	0.598	-0.161	1.079	"2"
"47657"	0	1	0	0.308	0.135	0.556	-0.16	0.868	-0.353	1.381	"2"
"4845"	0	1	0	0.308	0.135	0.556	-0.16	0.868	-0.353	1.381	"2"
"5.9"	0	1	0	0.308	0.135	0.556	-0.16	0.868	-0.353	1.381	"2"
"50"	0	0	2	0.616	0.271	1.113	-0.32	-0.126	0.509	0.955	"3"
"506"	0	1	0	0.308	0.135	0.556	-0.16	0.868	-0.353	1.381	"2"
"60"	0	2	1	0.924	0.406	1.669	-0.48	1.301	-0.381	2.162	"2"
"600"	0	1	0	0.308	0.135	0.556	-0.16	0.868	-0.353	1.381	"2"
"6765"	0	1	0	0.308	0.135	0.556	-0.16	0.868	-0.353	1.381	"2"
"680"	0	1	0	0.308	0.135	0.556	-0.16	0.868	-0.353	1.381	"2"
"708"	0	0	1	0.308	0.135	0.556	-0.16	-0.063	0.255	0.478	"3"
"7146"	0	1	0	0.308	0.135	0.556	-0.16	0.868	-0.353	1.381	"2"
"8000多"	0	0	1	0.308	0.135	0.556	-0.16	-0.063	0.255	0.478	"3"
"80余"	0	1	0	0.308	0.135	0.556	-0.16	0.868	-0.353	1.381	"2"
"891121"	0	0	1	0.308	0.135	0.556	-0.16	-0.063	0.255	0.478	"3"
"891213"	0	0	1	0.308	0.135	0.556	-0.16	-0.063	0.255	0.478	"3"
"900128"	1	0	1	0.616	0.271	1.113	0.283	-0.126	-0.161	0.57	"1"
"Eagle"	0	0	1	0.308	0.135	0.556	-0.16	-0.063	0.255	0.478	"3"
"Ezra"	0	0	1	0.308	0.135	0.556	-0.16	-0.063	0.255	0.478	"3"
"VDR"	0	0	1	0.308	0.135	0.556	-0.16	-0.063	0.255	0.478	"3"
"一万"	0	0	1	0.308	0.135	0.556	-0.16	-0.063	0.255	0.478	"3"
"一百二十"	0	0	1	0.308	0.135	0.556	-0.16	-0.063	0.255	0.478	"3"
"一等"	0	0	1	0.308	0.135	0.556	-0.16	-0.063	0.255	0.478	"3"
