"cluster"	"sigcol"
"6"	"掠过"
"6"	"消防处"
"6"	"正对面"
"6"	"海面"
"1"	"大"
"1"	"阵风"
"1"	"八"
"1"	"级"
"1"	"请"
"1"	"注"
"1"	"意"
"1"	"2"
"1"	"附近"
"1"	"海面"
"1"	"大"
"1"	"阵风"
"1"	"八"
"1"	"级"
"1"	"请"
"1"	"注意"
"1"	"2"
"1"	"大"
"1"	"阵风"
"1"	"八"
"1"	"级"
"1"	"请"
"1"	"注意"
"1"	"审核"
"1"	"大"
"1"	"阵风"
"1"	"八"
"1"	"级"
"1"	"请"
"1"	"注意"
"1"	"审核"
"1"	"级"
"1"	"大"
"1"	"阵风"
"1"	"九级"
"1"	"请"
"1"	"注意"
"1"	"附近"
"1"	"其他"
"1"	"海面"
"1"	"大"
"1"	"阵风"
"1"	"八"
"1"	"级"
"1"	"请注"
"1"	"意"
"1"	"2"
"10"	"其他"
"10"	"船舶"
"10"	"码头"
"10"	";"
"1"	"大"
"1"	"阵风"
"1"	"八"
"1"	"级"
"1"	"请"
"1"	"注意"
"1"	"附近"
"1"	"其他"
"1"	"海面"
"1"	"级"
"1"	"大"
"1"	"阵风"
"1"	"八"
"1"	"级"
"1"	"请"
"1"	"注意"
"1"	"2"
"1"	"海面"
"8"	"十"
"8"	"到"
"8"	"十一"
"1"	"级"
"1"	"大"
"1"	"阵风"
"1"	"九级"
"1"	"请"
"1"	"注意"
"1"	"审核"
"1"	"级"
"1"	"大"
"1"	"阵风"
"1"	"八"
"1"	"级"
"1"	"请注"
"1"	"意"
"1"	"3"
"1"	"海面"
"10"	"其他"
"10"	"码头"
"10"	"停靠"
"10"	"码头"
"10"	"后线"
"10"	"仓库"
"10"	"作业"
"6"	"安全"
"6"	"船"
"6"	"通知"
"6"	"所有"
"6"	"附近"
"6"	"救援"
"1"	"大"
"1"	"阵风"
"1"	"九级"
"1"	"请"
"1"	"注意"
"1"	"审核"
"1"	"大"
"1"	"阵风"
"1"	"九级"
"1"	"请"
"1"	"特别"
"1"	"注意"
"1"	"2"
"1"	"大"
"1"	"阵风"
"1"	"九级"
"1"	"请"
"1"	"注意"
"1"	"审核"
"1"	"大"
"1"	"阵风"
"1"	"九级"
"1"	"请"
"1"	"特别"
"1"	"注意"
"1"	"2"
"1"	"级"
"1"	"大"
"1"	"阵风"
"1"	"八"
"1"	"级"
"1"	"请"
"1"	"注意"
"1"	"2"
"1"	"级"
"1"	"大"
"1"	"阵风"
"1"	"八"
"1"	"级"
"1"	"请"
"1"	"注意"
"1"	";"
"1"	"明"
"1"	"级"
"1"	"大"
"1"	"阵风"
"1"	"九级"
"1"	"请"
"1"	"注意"
"1"	";"
"1"	"明"
"6"	"船东"
"6"	"叶门"
"6"	"港埠"
"6"	"使用费"
"6"	"船"
"6"	"十三"
"6"	"船员"
"6"	"叶门"
"1"	"大"
"1"	"阵风"
"1"	"九"
"1"	"级"
"1"	"请"
"1"	"注意"
"1"	"审核"
"2"	"租用"
"2"	"艘"
"2"	"石块"
"2"	"运到"
"2"	"大稻埕"
"2"	"码头"
"6"	";"
"6"	"海巡队"
"6"	"涉案"
"6"	"船长"
"6"	"船员"
"6"	"带回"
"2"	"织"
"2"	"艘"
"2"	"接着"
"2"	"船只"
"2"	"装满"
"1"	"九"
"1"	"到"
"1"	"十级"
"1"	"大"
"1"	"阵风"
"1"	"级"
"1"	"请"
"1"	"严加"
"1"	"戒备"
"1"	"3"
"1"	"明"
"6"	"北部"
"6"	"海面"
"6"	"宜兰"
"6"	"基隆"
"1"	"八"
"1"	"级"
"1"	"大"
"1"	"阵风"
"1"	"十"
"1"	"级"
"1"	"请"
"1"	"特别"
"1"	"注意"
"1"	"2"
"5"	"北部"
"5"	"海面"
"5"	"台湾海崃"
"5"	"北部"
"5"	"航行"
"5"	"作业"
"5"	"应"
"5"	"戒备"
"5"	"宜兰"
"5"	"基隆"
"1"	"到"
"1"	"大"
"1"	"阵风"
"1"	"九级"
"1"	"请"
"1"	"注意"
"1"	"审核"
"6"	"飞机"
"6"	"火车"
"6"	"罹患"
"1"	"级"
"1"	"大"
"1"	"阵风"
"1"	"八"
"1"	"级"
"1"	"请"
"1"	"特别"
"1"	"注意"
"1"	"今"
"1"	"十"
"1"	"到"
"1"	"十一级"
"1"	"大"
"1"	"阵风"
"1"	"十三"
"1"	"级"
"1"	"请"
"1"	"严加"
"1"	"戒备"
