"cluster"	"sigcol"
"6"	"学者"
"6"	"专家"
"6"	"表达"
"6"	"行政院"
"6"	"交"
"6"	"换"
"6"	"换"
"6"	"阁揆"
"6"	"个人"
"6"	"汇整"
"6"	"各界"
"6"	"相关"
"6"	"颇"
"6"	"领袖"
"6"	"国是"
"6"	"供"
"6"	"各界"
"6"	"发表"
"6"	"国是"
"6"	"各"
"6"	"相左"
"6"	"持"
"6"	"反对"
"6"	"与否"
"6"	"表示"
"6"	"赖士葆"
"6"	"立委"
"6"	"尊重"
"6"	"待"
"6"	"讨"
"6"	"议题"
"5"	"徐旭东"
"5"	"强调"
"5"	"不同"
"6"	"颜庆章"
"6"	"表示"
"6"	"提"
"6"	"书面"
"6"	"表示"
"6"	"拟议"
"6"	"愿"
"6"	"表示"
"6"	"891012"
"1"	"实施"
"1"	"西部大开发"
"1"	"问题"
"1"	"交换"
"1"	"达成"
"1"	"共识"
"6"	"马英九"
"6"	"询问"
"6"	"欧晋德"
"6"	"专业"
"6"	"指示"
"1"	"听取"
"1"	"大家"
"1"	"时局"
"1"	"看法"
"1"	"并"
"1"	"交换"
"1"	"至于"
"1"	"待"
"1"	"路沙卡"
"1"	"交换"
"6"	"问题"
"6"	"公开"
"6"	"谘"
"6"	"询"
"6"	"公众"
"6"	"林焕光"
"6"	"表示"
"6"	"立法"
"1"	"议题"
"1"	"宋楚瑜"
"1"	"交换"
"6"	"认为"
"6"	"表示"
"6"	"认为"
"6"	"多"
"6"	"听"
"6"	"在野党"
"6"	"认为"
"6"	"征求"
"6"	"回覆"
"6"	"各"
"1"	"问题"
"1"	"悬案"
"1"	"问"
"1"	"题"
"1"	"广泛"
"1"	"交换"
"1"	"金正日"
"1"	"倾听"
"6"	"表示"
"6"	"派"
"6"	"认为"
"6"	"SNG"
"6"	"必须"
"6"	"尊重"
"6"	"党"
"6"	"参考"
"6"	"国民党"
"6"	"立院"
"6"	"党团"
"6"	"宝贵"
"6"	"更何况"
"6"	"市民"
"6"	"市民"
"6"	"受访者"
"6"	"提出"
"6"	"各自"
"6"	"发抒"
"6"	"议员"
"6"	"国民党"
"6"	"高层"
"6"	"研商"
"6"	"相关"
"6"	"党团"
"6"	"讨论"
"5"	"各界"
"5"	"不同"
"6"	"增订"
"6"	"不予"
"6"	"陈述"
"1"	"双方"
"1"	"认真"
"1"	"交换"
"1"	"了"
"1"	"美方"
"1"	"寻求"
"1"	"领袖"
"6"	"对于"
"6"	"主计室"
"6"	"财政局"
"6"	"衡量"
"6"	"轻重缓急"
"6"	"编制"
"6"	"预算"
"6"	"走出来"
"6"	"表达"
"6"	"大家"
"6"	"许添财"
"6"	"施明德"
"2"	"亲民党"
"2"	"钟荣吉"
"2"	"听取"
"2"	"立委"
"2"	"根据"
"2"	"立委"
"2"	"党籍"
"2"	"立委"
"2"	"多"
"6"	"会面"
"6"	"提出"
"6"	"国民党"
"6"	"尊重"
"6"	"党团"
"6"	"胡志强"
"6"	"强调"
"6"	"表达"
"6"	"意见"
"6"	"党团"
"6"	"表达"
"6"	"反对"
"6"	"许添财"
"6"	"强调"
"6"	"草案"
"6"	"立委"
"6"	"意见"
"6"	"党团"
"6"	"对于"
"6"	"游钖"
"6"	"方方"
"5"	"行政院"
"5"	"法定"
"5"	"立法委员"
"5"	"不同"
"5"	"立法院"
"5"	"民党"
"5"	"党团"
"5"	"提案"
"3"	"发表"
"6"	"在野党"
"6"	"没有"
"6"	"陈述"
"6"	"了"
"6"	"汇整"
"6"	"座谈"
"6"	"做为"
"6"	"研拟"
"6"	"参考"
"6"	"侨社"
"6"	"达福地区"
"6"	"了"
"6"	"座谈"
"6"	"针对"
"6"	"民进党"
"6"	"吴乃仁"
"6"	"表示"
"6"	"双首长制"
"6"	"没有"
"6"	"以期"
"6"	"对岸"
"6"	"看法"
"6"	"并"
"6"	"谘询"
"6"	"没有"
"1"	"各"
"1"	"充分"
"1"	"交换"
"1"	"各"
"1"	"方面"
"1"	"各"
"6"	"多数"
"6"	"陈师孟"
"6"	"公众"
"6"	"申诉"
"6"	"修正"
"6"	"第二十五"
"6"	"关心"
"6"	"问题"
"6"	"相交"
"6"	"换"
"6"	"对于"
"6"	"各自"
"6"	"陈述"
"6"	"律师"
"6"	"征"
"6"	"询"
"6"	"891117"
"6"	"蔡英文"
"6"	"实地"
"6"	"小三通"
"6"	"张俊雄"
"6"	"吕传胜"
"6"	"转述"
"6"	"吕秀莲"
"6"	"棒球队"
"6"	"吴伯雄"
"1"	"访宾"
"1"	"问题"
"1"	"广泛"
"1"	"交换"
"1"	"总统表"
"6"	"协商"
"6"	"愿"
"6"	"多"
"6"	"表示"
"6"	"表示"
"6"	"尊重"
"6"	"意见"
"6"	"愿"
"6"	"表示"
"6"	"强调"
"1"	"企业界"
"1"	"领袖"
"1"	"就"
"1"	"情势"
"1"	"交换"
"1"	"提出"
"1"	"建言"
"1"	"就"
"1"	"政经"
"1"	"情势"
"1"	"交换"
"1"	"并"
"1"	"当面"
"1"	"提出"
"1"	"国是"
"1"	"研商"
"1"	"交换"
"5"	"强调"
"5"	"跨党派小组"
"5"	"不同"
"5"	"领袖"
"5"	"发言"
"5"	"反映"
"5"	"内部"
"5"	"问题"
"5"	"在野党"
"5"	"哪"
"5"	"不同"
"5"	"表示"
"5"	"执政党"
"5"	"共识"
"6"	"林佩乐"
"6"	"认为"
"6"	"主管"
"6"	"表示"
"6"	"没"
"6"	"代表"
"6"	"市府"
"6"	"愿"
"6"	"发表"
"6"	"弄错"
"6"	"市府"
"6"	"获致"
"6"	"各界"
"6"	"反映"
"6"	"採行"
"6"	"了"
"6"	"就"
"6"	"问题"
"6"	"征询"
"6"	"经济局"
"6"	"清大"
"6"	"核四"
"6"	"原能会"
"6"	"不便"
"6"	"表示"
"6"	"尊重"
"6"	"各界"
"6"	"人士"
"6"	"表达"
"6"	"颁授"
"6"	"共识"
"6"	"建议"
"6"	"征询"
"6"	"各界"
"6"	"侨"
"6"	"征询"
"6"	"侨委会"
"6"	"审议"
"6"	"人选"
"6"	"行政院"
"6"	"强调"
"6"	"尊重"
"6"	"立法院"
"6"	"立法院"
"6"	"并"
"6"	"提"
"6"	"双方"
"6"	"议题"
"5"	"不同"
"5"	"不同"
"5"	"想法"
"4"	"最高法院"
"4"	"分歧"
"6"	"问卷"
"6"	"问"
"6"	"暂缓"
"6"	"调薪案"
"6"	"双方"
"6"	"两极"
"6"	"表"
"6"	"书面"
"6"	"反映"
"6"	"了"
"6"	"主张"
"6"	"必须"
"6"	"公听会"
"6"	"汇整"
"6"	"各界"
"6"	"评"
"6"	"就"
"6"	"提供"
"6"	"政党"
"6"	"愿"
"6"	"表达"
"6"	"大溪"
"5"	"尊重"
"5"	"业者"
"5"	"会计师"
"5"	"不同"
"5"	"意见"
"1"	"交换"
"1"	"李大维"
"1"	"愿"
"1"	"美方"
"6"	"慨然"
"6"	"提"
"6"	"供"
"6"	"谨记"
"6"	"问"
"6"	"个别"
"6"	"团体"
"1"	"广泛"
"1"	"交换"
"1"	"连战"
"1"	"幕僚"
"1"	"了"
"1"	"转述"
"1"	"立法院长"
"1"	"王金平"
"1"	"会"
"1"	"交换"
"2"	"座谈会"
"2"	"心声"
"2"	"铨叙部"
"2"	"听取"
"2"	"研商"
"2"	"铨叙部"
"5"	"最高法院"
"5"	"最后"
"5"	"不同"
"5"	"接受法"
"6"	"会面"
"6"	"提供"
"6"	"宝贵"
"1"	"陆委会"
"1"	"交换"
"1"	"适时"
"1"	"传达"
"1"	"就"
"1"	"交换"
"1"	"编制"
"1"	"表"
"1"	"草案"
"1"	"问题"
"1"	"交换"
"1"	"议员"
"4"	"讨论"
"4"	"分歧"
"4"	"主张"
"6"	"人士"
"6"	"不一"
"6"	"中小企业"
"6"	"认为"
"2"	"马英九"
"2"	"听取"
"2"	"实验班"
"2"	"实验班"
"2"	"续办"
"2"	"强调"
"4"	"改革"
"4"	"分歧"
"4"	"李鹏"
"6"	"请教"
"6"	"反对"
"6"	"京王"
"6"	"电铁"
"6"	"反对"
"6"	"问题"
"6"	"多数"
"6"	"闪烁"
"6"	"提出"
"6"	"有关"
"6"	"核四"
"6"	"与否"
"6"	"野"
"6"	"不一"
"6"	"行政院"
"6"	"立法院"
"6"	"行政院"
"6"	"审计部"
"6"	"经济部"
"6"	"主管"
"6"	"行政院"
"6"	"释宪"
"6"	"夫家"
"6"	"育儿"
"6"	"合"
"6"	"有关"
"2"	"听取"
"2"	"分析家"
"6"	"王金平"
"6"	"在野"
"6"	"会客室"
"6"	"民进党"
"6"	"协商"
"6"	"民进党团"
"6"	"认为"
"6"	"在野党"
"5"	"全盘"
"5"	"检讨"
"5"	"提出"
"5"	"了"
"5"	"不同"
"5"	"表示"
"6"	"个人"
"6"	"愿意"
"6"	"唿应"
"6"	"立法院"
"6"	"院长"
"6"	"依据"
"6"	"宪法"
"6"	"赋予"
"1"	"国民党"
"1"	"党团"
"1"	"交换"
"1"	"立法院"
"2"	"听取"
"2"	"党团"
"2"	"吴乃"
"2"	"表示"
"2"	"党团"
"2"	"任何"
"6"	"问题"
"6"	"领袖"
"6"	"议员"
"6"	"见面"
"3"	"自由"
"3"	"发表"
"3"	"了"
"3"	"各"
"3"	"侨领"
"3"	"建议"
"6"	"数日"
"6"	"分歧"
"6"	"宪"
"6"	"草案"
"6"	"寻求"
"6"	"与会"
"6"	"同党"
"6"	"议员"
"6"	"党"
"6"	"领袖"
"6"	"表示"
"6"	"征询"
"6"	"学者"
"6"	"专家"
"6"	"相关"
"6"	"团体"
"6"	"拟定"
"6"	"参考"
"6"	"至于"
"1"	"专家"
"1"	"相互"
"1"	"交换"
"1"	"交流"
"6"	"适切"
"6"	"立法"
"6"	"没有"
"6"	"广泛"
"6"	"谘询"
"6"	"各界"
"6"	"董建华"
"6"	"强调"
"6"	"相左"
"6"	"宣告"
"1"	"关切"
"1"	"议题"
"1"	"深入"
"1"	"交换"
"1"	"林义夫"
"1"	"表达"
"1"	"了"
"6"	"萨马兰奇"
"6"	"表达"
"6"	"了"
"6"	"个人"
"6"	"有关"
"6"	"提出"
"6"	"主张"
"6"	"根据"
"6"	"人大"
"6"	"有关"
"6"	"征求"
"6"	"专家"
"6"	"论证"
"6"	"宝贵"
"6"	"》"
"6"	"要求"
"6"	"各"
"6"	"人事部门"
"6"	"》"
"6"	"征求"
"6"	"易其稿"
"6"	"各"
"6"	"方面"
"6"	"持"
"6"	"悲观"
"6"	"人士"
"6"	"认为"
"4"	"广泛"
"4"	"交换"
"4"	"了"
"1"	"局势"
"1"	"关心"
"1"	"问题"
"1"	"交换"
"1"	"明录"
"6"	"改革"
"6"	"实施"
"6"	"》"
"6"	"指导"
"1"	"巴"
"1"	"局势"
"1"	"交换"
"1"	"对外"
"1"	"董建华"
"1"	"施政"
"1"	"各界"
"1"	"交换"
"6"	"联社"
"6"	"揣"
"6"	"提出"
"6"	"了"
"6"	"建议"
"6"	"叶选平"
"1"	"双方"
"1"	"问题"
"1"	"深入"
"1"	"交换"
"1"	"增进"
"1"	"并"
"6"	"献计"
"6"	"献策"
"6"	"》"
"6"	"反映"
"6"	"建议"
"6"	"有关"
"6"	"法律"
"6"	"专家"
"6"	"进一步"
"6"	"究"
"6"	"修改"
"6"	"提出"
"6"	"了"
"6"	"婚姻法"
"6"	"了"
"6"	"各"
"6"	"方面"
"6"	"认真"
"6"	"了"
"6"	"婚姻法"
"6"	"实施"
"6"	"王维澄"
"6"	"法律"
"6"	"常委会"
"6"	"审议"
"6"	"法律"
"6"	"草案"
"6"	"了"
"6"	"修改"
"6"	"专家"
"6"	"业内"
"6"	"人士"
"6"	"相关"
"6"	"法律"
"6"	"》"
"1"	"和谈"
"1"	"交换"
"1"	"根据"
"6"	"多"
"6"	"提"
"6"	"宝贵"
"6"	"建议"
"6"	"澳门特"
"6"	"人大"
"2"	"了"
"2"	"具体"
"2"	"修改"
"2"	"听取"
"2"	"大家"
"2"	"李鹏"
"2"	"充分"
"2"	"听取"
"2"	"市民"
"2"	"业主"
"2"	"人士"
"2"	"意见"
"2"	"反覆"
"2"	"听取"
"2"	"修改"
"2"	"议政"
"6"	"提出"
"6"	"了"
"6"	"方面"
"6"	"意见"
"6"	"》"
"6"	"要求"
"6"	"各"
"1"	"候选国"
"1"	"提供"
"1"	"了"
"1"	"交换"
"1"	"与会"
"1"	"候选国"
"6"	"市地"
"6"	"制定"
"6"	"了"
"6"	"具体"
"6"	"市地"
"6"	"制定"
"6"	"了"
"6"	"问题"
"6"	"了"
"6"	"没有"
"6"	"一致"
"6"	"台盟"
"6"	"若干"
"6"	"》"
"6"	"盟"
"1"	"具体"
"1"	"问题"
"1"	"深入"
"1"	"交换"
"1"	"了"
"1"	"副团长"
"6"	"提出"
"6"	"建议"
"6"	"各界"
"6"	"人士"
"6"	"梳理"
"6"	"归纳"
"6"	"提出"
"6"	"各"
"6"	"2008"
"6"	"针对"
"6"	"摆出"
"6"	"问题"
"6"	"意见"
"2"	"座谈会"
"2"	"听取"
"2"	"群众"
"2"	"方"
"6"	"主管"
"6"	"切身"
"6"	"提供"
"6"	"》"
"6"	"强调"
"1"	"有关"
"1"	"问"
"1"	"题"
"1"	"交换"
"1"	"并"
"1"	"提出"
"1"	"建议"
"6"	"方面"
"6"	"建议"
"6"	"提出"
"6"	"了"
"6"	"许多"
"6"	"保留"
"6"	"群众"
"6"	"提出"
"6"	"批评"
"4"	"叙"
"4"	"执政党"
"4"	"交流"
"4"	"深入"
"4"	"交换"
"4"	"了"
"4"	"胡锦涛"
"4"	"强调"
"4"	"德美"
"4"	"分歧"
"6"	"》"
"6"	"党"
"1"	"各"
"1"	"人士"
"1"	"增进"
"1"	"交换"
"6"	"建议"
"6"	"各界"
"6"	"人士"
"6"	"反映"
"6"	"方面"
"6"	"了"
"6"	"任前"
"6"	"公示制"
"6"	"意见"
"6"	"》"
"6"	"各"
"6"	"各界"
"6"	"人士"
"6"	"提出"
"6"	"很多"
"6"	"大家"
"6"	"就"
"6"	"相关"
"6"	"问题"
"6"	"达成"
"6"	"一致"
"4"	"双方"
"4"	"问题"
"4"	"交换"
"4"	"了"
"4"	"杨文昌"
"2"	"党派"
"2"	"人士"
"2"	"虚心"
"2"	"听取"
"2"	"批评"
"2"	"进一步"
"6"	"专家"
"6"	"牌照费"
"6"	"咨询"
"6"	"公众"
"6"	"深港"
"6"	"关心"
"6"	"提出"
"6"	"建议"
"6"	"并"
"6"	"重视"
"2"	"听取"
"2"	"党委"
"2"	"问题"
"6"	"制定"
"6"	"征集"
"6"	"进一步"
"6"	"建议"
"6"	"贾庆林"
"6"	"代表"
"6"	"有关"
"6"	"立法"
"6"	"问题"
"6"	"广泛"
"6"	"听取"
"6"	"各界"
"6"	"就"
"6"	"草案"
"2"	"认真"
"2"	"听取"
"2"	"了"
"2"	"并"
"2"	"了"
"6"	"跑进来"
"6"	"马原"
"6"	"老鲁"
"1"	"局势"
"1"	"问题"
"1"	"交换"
"4"	"草案"
"4"	"交换"
"4"	"了"
"4"	"问题"
"4"	"分歧"
"4"	"交换"
"4"	"了"
"4"	"吕福源"
"4"	"表示"
"6"	"妄加"
"4"	"问题"
"4"	"交换"
"4"	"了"
"6"	"了"
"6"	"探讨"
"6"	"统一"
"6"	"中国海军"
"6"	"361"
"2"	"听取"
"2"	"了"
"2"	"阿盟"
"2"	"改革"
"2"	"并"
"2"	"了"
"6"	"并"
"6"	"提出"
"6"	"了"
"6"	"修改"
"6"	"提案国"
"6"	"双方"
"6"	"不同"
"6"	"充分"
"6"	"方"
"6"	"提出"
"6"	"保留"
"6"	"决定"
"6"	"提交"
"6"	"保留"
"1"	"就"
"1"	"问题"
"1"	"交换"
"1"	"实施"
"1"	"问题"
"1"	"交换"
"1"	"重视"
"4"	"充分"
"4"	"交换"
"4"	"了"
"6"	"征求"
"6"	"》"
"1"	"关心"
"1"	"问题"
"1"	"深入"
"1"	"交换"
"1"	"并"
"1"	"达成"
"1"	"广泛"
"1"	"共识"
"1"	"胡锦涛"
"1"	"评价"
"6"	"就"
"6"	"问题"
