"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"SumAbsDev"	"LargestDev"
"："	0	7	0	0	1	1	0.461	2.803	0.438	4.526	0.412	0.36	-0.205	2.266	-0.195	-2.732	0.463	0.513	6.374	"4"
"?"	0	8	0	1	0	0	0.461	2.803	0.438	4.526	0.412	0.36	-0.205	3.24	-0.195	-1.728	-0.183	-0.159	5.71	"2"
"？"	0	9	0	0	0	0	0.461	2.803	0.438	4.526	0.412	0.36	-0.205	4.56	-0.195	-2.732	-0.183	-0.159	8.034	"2"
"◆"	0	1	0	0	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	0.507	-0.022	-0.304	-0.02	-0.018	0.894	"2"
"0.13"	0	0	2	0	0	0	0.102	0.623	0.097	1.006	0.092	0.08	-0.046	-0.324	2.625	-0.607	-0.041	-0.035	3.678	"3"
"１"	0	1	0	0	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	0.507	-0.022	-0.304	-0.02	-0.018	0.894	"2"
"⒊"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"891026"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"891120"	0	1	0	0	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	0.507	-0.022	-0.304	-0.02	-0.018	0.894	"2"
"891209"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"891211"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"92"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"A：CRISP"	0	1	0	0	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	0.507	-0.022	-0.304	-0.02	-0.018	0.894	"2"
"NMD"	1	0	1	0	0	0	0.102	0.623	0.097	1.006	0.092	0.08	1.001	-0.324	1.022	-0.607	-0.041	-0.035	3.03	"3"
"OPEC"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"T&amp;T"	0	1	0	0	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	0.507	-0.022	-0.304	-0.02	-0.018	0.894	"2"
"WHO"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"WTO"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"一中"	0	0	0	3	0	0	0.154	0.934	0.146	1.509	0.137	0.12	-0.068	-0.486	-0.065	0.896	-0.061	-0.053	1.629	"4"
"一九七七年"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"一些"	2	4	0	1	0	2	0.461	2.803	0.438	4.526	0.412	0.36	1.129	0.527	-0.195	-1.728	-0.183	1.322	5.084	"4"
"一再"	0	0	0	3	0	0	0.154	0.934	0.146	1.509	0.137	0.12	-0.068	-0.486	-0.065	0.896	-0.061	-0.053	1.629	"4"
"一向"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"一方面"	0	1	0	0	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	0.507	-0.022	-0.304	-0.02	-0.018	0.894	"2"
"一样"	0	2	0	0	0	0	0.102	0.623	0.097	1.006	0.092	0.08	-0.046	1.013	-0.043	-0.607	-0.041	-0.035	1.785	"2"
"一清二楚"	0	0	0	0	1	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	-0.304	1.339	-0.018	1.868	"5"
"一点"	0	1	0	0	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	0.507	-0.022	-0.304	-0.02	-0.018	0.894	"2"
"一致"	1	0	0	16	1	1	0.973	5.917	0.925	9.555	0.87	0.759	0.2	-3.079	-0.412	2.621	0.229	0.268	6.809	"2"
"一般"	0	2	0	0	0	0	0.102	0.623	0.097	1.006	0.092	0.08	-0.046	1.013	-0.043	-0.607	-0.041	-0.035	1.785	"2"
"一贯"	0	0	0	5	0	0	0.256	1.557	0.244	2.515	0.229	0.2	-0.114	-0.81	-0.108	1.493	-0.102	-0.089	2.716	"4"
"三党"	0	0	0	3	0	0	0.154	0.934	0.146	1.509	0.137	0.12	-0.068	-0.486	-0.065	0.896	-0.061	-0.053	1.629	"4"
"三通"	0	1	0	0	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	0.507	-0.022	-0.304	-0.02	-0.018	0.894	"2"
"上"	0	5	1	16	0	0	1.127	6.851	1.072	11.064	1.007	0.879	-0.502	-0.563	-0.149	1.554	-0.448	-0.39	3.606	"4"
"上下"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"上议院"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"上身"	0	0	1	0	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	1.312	-0.304	-0.02	-0.018	1.839	"3"
"上述"	0	1	0	1	1	0	0.154	0.934	0.146	1.509	0.137	0.12	-0.068	0.172	-0.065	-0.305	0.882	-0.053	1.545	"5"
"不一"	0	3	0	1	0	0	0.205	1.246	0.195	2.012	0.183	0.16	-0.091	1.033	-0.087	-0.511	-0.081	-0.071	1.874	"2"
"不以为然"	0	1	0	0	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	0.507	-0.022	-0.304	-0.02	-0.018	0.894	"2"
"不会"	0	0	0	1	2	0	0.154	0.934	0.146	1.509	0.137	0.12	-0.068	-0.486	-0.065	-0.305	2.215	-0.053	3.192	"5"
"不公"	0	0	0	1	1	0	0.102	0.623	0.097	1.006	0.092	0.08	-0.046	-0.324	-0.043	-0.127	1.048	-0.035	1.623	"5"
"不变"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"不同"	24	6	0	0	1	0	1.587	9.654	1.51	15.59	1.42	1.239	24.709	-0.968	-0.672	-9.411	-0.235	-0.549	36.544	"1"
"不宜"	0	2	0	0	0	0	0.102	0.623	0.097	1.006	0.092	0.08	-0.046	1.013	-0.043	-0.607	-0.041	-0.035	1.785	"2"
"不应该"	0	0	0	1	1	0	0.102	0.623	0.097	1.006	0.092	0.08	-0.046	-0.324	-0.043	-0.127	1.048	-0.035	1.623	"5"
"不建"	0	0	0	1	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	-0.162	-0.022	0.299	-0.02	-0.018	0.544	"4"
"不得要领"	0	1	0	0	0	0	0.051	0.311	0.049	0.503	0.046	0.04	-0.023	0.507	-0.022	-0.304	-0.02	-0.018	0.894	"2"
