"cluster"	"sigcol"
"4"	"念"
"4"	"停止"
"4"	"焦点"
"4"	"误导"
"4"	"解决"
"4"	"核四"
"4"	"以"
"4"	"陷于"
"4"	"政治"
"4"	"恩怨"
"4"	"漩涡"
"4"	"解"
"4"	"决"
"4"	"国"
"4"	"一九五二年"
"4"	"两岸"
"4"	"和平"
"4"	"解决"
"4"	"彼此"
"4"	"任何"
"4"	"方"
"4"	"应"
"4"	"解决"
"4"	"克什"
"4"	"米尔"
"4"	"外部"
"4"	"势力"
"4"	"停止"
"4"	"干涉"
"4"	"克什"
"4"	"米尔"
"4"	"问题"
"4"	"在内"
"4"	"双边"
"4"	"多边"
"4"	"贸易"
"4"	"解决"
"4"	"机制"
"4"	"抓紧"
"4"	"介入"
"4"	"总统"
"4"	"候选人"
"4"	"佛州"
"4"	"选票"
"4"	"统计"
"4"	"哈里斯"
"4"	"佛州"
"4"	"计票"
"4"	"最高法院"
"4"	"总统"
"4"	"选"
"4"	"计票"
"4"	"作出"
"4"	"裁决"
"4"	"才能"
"4"	"佛州"
"4"	"做出"
"4"	"裁决"
"4"	"裁决"
"4"	"最终"
"4"	"解决"
"4"	"机构"
"4"	"通过"
"4"	"争端"
"4"	"双方"
"4"	"必须"
"4"	"服从"
"2"	"巴"
"2"	"以"
"2"	"肇启"
"4"	"问题"
"4"	"存在"
"4"	"海合会"
"4"	"阿联"
"4"	"酋"
"4"	"提出"
"4"	"解决"
"4"	"制订"
"4"	"时间表"
"4"	"时间表"
"4"	"应该"
"4"	"存在"
"4"	"矛盾"
"4"	"双方"
"4"	"巴基斯坦"
"4"	"解决"
"4"	"印巴"
"4"	"发挥"
"4"	"卡苏"
"4"	"阿"
"4"	"以"
"4"	"公正"
"4"	"永久"
"4"	"解决"
"4"	"实现"
"4"	"涉及"
"4"	"以及"
"4"	"通过"
"4"	"上述"
"4"	"程序"
"4"	"解"
"4"	"决"
"4"	"适用"
"4"	"冲突"
"4"	"不断"
"4"	"扩大"
"4"	"恐怖"
"4"	"不断"
"4"	"国际局"
"4"	"织"
"4"	"调解"
"4"	"成员"
"4"	"世贸组织"
"4"	"成员"
"4"	"埋下"
"4"	"面"
"4"	"非"
"2"	"巴勒斯"
"2"	"坦"
"2"	"双方"
"2"	"地区"
"2"	"巴勒斯坦"
"2"	"警"
"2"	"以色列"
"2"	"引爆"
"2"	"以色列"
"2"	"巴勒斯坦"
"2"	"再度"
"2"	"爆发"
"2"	"耶路撒冷"
"2"	"以色列"
"2"	"巴瑞克"
"2"	"波"
"2"	"致命"
"2"	"归咎于"
"2"	"巴勒斯"
"2"	"坦"
"2"	"阿拉法特"
"4"	"饭菜"
"4"	"引发"
"4"	"杀机"
"4"	"双方"
"4"	"原因"
"2"	"高峰会"
"2"	"以"
"2"	"终止"
"2"	"中东"
"2"	"升高"
"2"	"暴力"
"2"	"中"
"2"	"暴力"
"2"	"不断"
"2"	"升高"
"2"	"益"
"2"	"关切"
"2"	"际"
"2"	"新闻报"
"2"	"中东"
"2"	"各造"
"2"	"高峰会"
"2"	"谋求"
"4"	"结束"
"4"	"瓜达卡纳岛"
"4"	"政治"
"4"	"双方"
"4"	"僵持"
"4"	"问题"
"4"	"和平"
"4"	"解决"
"4"	"两岸"
"2"	"实弹"
"2"	"还击"
"2"	"严重"
"2"	"暴力"
"2"	"发生"
"2"	"巴勒斯坦人"
"4"	"战争"
"4"	"和平"
"4"	"光荣"
"4"	"891021"
"3"	"避免"
"3"	"发生"
"3"	"正面"
"2"	"巴勒斯坦"
"2"	"连续不断"
"2"	"流血"
"2"	"以色列"
"2"	"巴瑞克"
"2"	"紧急"
"2"	"暴力"
"2"	"停止"
"2"	"和平"
"2"	"谈判"
"4"	"政治"
"4"	"有所"
"2"	"部队"
"2"	"巴勒斯坦人"
"2"	"约旦河"
"2"	"西岸"
"2"	"加萨走廊"
"2"	"日趋"
"2"	"严重"
"3"	"地区"
"3"	"发生"
"3"	"象牙海岸"
"3"	"回教"
"3"	"阿"
"4"	"两岸"
"4"	"问题"
"4"	"马大"
"4"	"巴波"
"4"	"后援"
"4"	"基督"
"4"	"教"
"4"	"大打出手"
"4"	"共和报"
"4"	"解决"
"4"	"行政权"
"4"	"平行"
"4"	"造成"
"2"	"使得"
"2"	"暴力"
"2"	"九月"
"2"	"二十八日"
"2"	"爆发"
"2"	"以来"
"2"	"死亡人"
"3"	"发生"
"3"	"介入"
"2"	"以色列"
"2"	"以"
"2"	"巴"
"3"	"迭起"
"3"	"冲突"
"3"	"双方"
"3"	"至今"
"3"	"两万五千"
"3"	"中"
"3"	"丧生"
"3"	"亚美尼亚人"
"2"	"以"
"2"	"如何"
"2"	"化解"
"2"	"中东"
"2"	"暴力"
"2"	"巴勒斯坦"
"2"	"地区"
"2"	"暴力"
"2"	"持续"
"2"	"巴勒"
"2"	"斯坦"
"2"	"耶路撒冷"
"4"	"利害"
"3"	"造成"
"3"	"警"
"3"	"方"
"3"	"发生"
"2"	"中"
"2"	"阿拉法特"
"2"	"企图"
"2"	"以"
