"cluster"	"sigcol"
"1"	"吸菸"
"1"	"饮食"
"5"	"培养"
"5"	"阅"
"5"	"读"
"5"	"提昇"
"5"	"胆固醇"
"5"	"一旦"
"5"	"运动"
"5"	"只消"
"5"	"日本人"
"5"	"消费"
"5"	"近年"
"5"	"改变"
"5"	"用"
"5"	"随着"
"5"	"规律"
"5"	"运动"
"5"	"减少"
"1"	"语言"
"1"	"文化"
"1"	"饮食"
"1"	"相近"
"1"	"喜爱"
"5"	"保持"
"5"	"规律"
"5"	"生活"
"5"	"运动"
"5"	"夫婿"
"4"	"吸菸"
"4"	"吃"
"4"	"健康"
"4"	"食"
"4"	"坏"
"4"	"一般"
"4"	"油烟"
"4"	"冒出"
"4"	"炒"
"4"	"饮用"
"5"	"卖场"
"5"	"消费"
"5"	"日常"
"5"	"购物"
"5"	"卖场"
"5"	"条码式"
"5"	"方式"
"5"	"吸烟"
"5"	"不良"
"5"	"生活"
"5"	"环境"
"5"	"污染"
"4"	"观念"
"4"	"迷信"
"4"	"就医"
"5"	"自己"
"5"	"些"
"5"	"比较"
"5"	"以前"
"5"	"小朋友"
"5"	"养成"
"5"	"凡事"
"5"	"好奇"
"5"	"改"
"5"	"顾及"
"5"	"民众"
"5"	"使用"
"5"	"用"
"5"	"种"
"5"	"走"
"5"	"天下"
"5"	"正常人"
"5"	"用"
"5"	"口语"
"4"	"吸毒"
"5"	"年轻人"
"5"	"运动"
"4"	"大多"
"4"	"吃"
"4"	"槟榔"
"4"	"抽烟"
"4"	"杨光明"
"4"	"红唇族"
"4"	"槟榔"
"5"	"使用"
"5"	"养成网"
"5"	"路"
"5"	"使用"
"5"	"富乐网"
"5"	"帐单"
"4"	"九成"
"4"	"有"
"4"	"吸菸"
"4"	"罹患"
"4"	"癌症"
"5"	"养成"
"5"	"市民"
"5"	"垃圾分类"
"5"	"小朋友"
"5"	"看"
"5"	"所以"
"5"	"小朋友"
"5"	"若"
"5"	"种"
"5"	"家长"
"4"	"反而"
"4"	"常"
"4"	"瞇眼"
"4"	"歪头"
"4"	"中度"
"4"	"槟榔"
"4"	"抽菸"
"4"	"喝"
"4"	"酒"
"4"	"种"
"5"	"生活"
"5"	"不只"
"5"	"日常"
"5"	"生活"
"5"	"改变"
"4"	"容易"
"4"	"尊重"
"4"	"891211"
"1"	"改变"
"1"	"饮食"
"1"	"习惯"
"1"	"改变"
"1"	"饮食"
"1"	"受访者"
"1"	"食用"
"4"	"硬"
"4"	"公"
"5"	"改变"
"5"	"心态"
"5"	"活"
"5"	"好"
"5"	"平时"
"5"	"养成"
"5"	"良好"
"5"	"生活"
"5"	"注意"
"5"	"健康"
"4"	"维持"
"4"	"妇"
"4"	"气候"
"5"	"养成"
"5"	"市民"
"5"	"守法"
"5"	"900105"
"5"	"自己"
"5"	"民众"
"5"	"养成"
"5"	"喝"
"5"	"茶"
"5"	"适量"
"1"	"吃"
"1"	"槟榔"
"1"	"抽烟"
"1"	"饮"
"1"	"酒"
"1"	"有关"
"1"	"唿吁"
"1"	"养成"
"1"	"良好"
"1"	"饮食"
"1"	"习惯"
"5"	"养成"
"5"	"吃饭"
"5"	"吃"
"5"	"菜"
"5"	"些"
"5"	"有助于"
"5"	"喜爱"
"5"	"运动"
"5"	"看"
"1"	"900115"
"1"	"掌握"
"1"	"饮食"
"1"	"生理"
"1"	"时钟"
"1"	"冬天"
"1"	"减肥"
"1"	"好"
"5"	"基本"
"5"	"使用"
"5"	"养成"
"5"	"加上"
"5"	"尤其"
"5"	"女性"
"5"	"养成"
"5"	"憋尿"
"5"	"女性"
"5"	"生理"
"5"	"国人"
"5"	"换新"
"5"	"加上"
"4"	"握手"
"4"	"民众"
"4"	"平常"
"4"	"握手"
"4"	"交叉"
"4"	"传染病"
"4"	"个人"
"5"	"养成"
"5"	"随时"
"5"	"洗手"
"5"	"良好"
"5"	"暂不"
"5"	"日本社"
"5"	"讲求"
"5"	"卫生"
"5"	"好"
"5"	"无疑"
"5"	"防止"
"5"	"生活"
"5"	"婚丧喜庆"
"5"	"食衣住行"
"5"	"改善"
"5"	"市民"
"5"	"保持"
"5"	"良好"
"5"	"个人"
"5"	"卫生"
"5"	"环境"
"5"	"清洁"
"5"	"留意"
"1"	"女性"
"1"	"运动"
"1"	"饮食"
"1"	"如"
"1"	"摄取"
"1"	"蔬菜"
"1"	"水果"
"1"	"健康"
"1"	"改变"
"1"	"饮食"
"1"	"生活"
"1"	"环境"
"1"	"癌症"
"1"	"常见"
"1"	"慢性"
"1"	"如"
"1"	"维他命"
"1"	"三组"
"1"	"不同"
"1"	"饮食"
"1"	"人士"
"1"	"人士"
"1"	"适当"
"1"	"饮食"
"5"	"消费"
"5"	"符合"
"5"	"消费"
"5"	"前台"
"5"	"电子商务"
"4"	"爱护"
"4"	"尊重"
"4"	"风俗"
"4"	"爱护"
"4"	"感知"
"4"	"驾驶者"
"4"	"驾驶"
"4"	"驾驶"
"4"	"模式"
"4"	"高棉"
"4"	"们"
"4"	"称为"
"4"	"高棉"
"4"	"气候"
"5"	"养成"
"5"	"喝"
"5"	"奶"
"5"	"好"
"5"	"培"
"5"	"养"
"5"	"消费"
"5"	"如今"
"5"	"养成"
"5"	"早起"
"5"	"感"
"5"	"晨"
"5"	"练"
"4"	"居民"
"4"	"生活"
"4"	"风俗"
"5"	"改变"
"5"	"生活"
"5"	"以前"
"4"	"新年"
"4"	"许多"
"4"	"泰国人"
"4"	"驾车"
"4"	"探亲"
"4"	"友"
"4"	"按照"
"4"	"维族"
"4"	"悼念"
"4"	"亲人"
"4"	"男人"
"4"	"女人"
"5"	"嬉戏"
"5"	"良好"
"5"	"培养"
"5"	"增生"
"5"	"生活"
"5"	"475"
"5"	"患上"
"5"	"种"
"2"	"农民"
"2"	"打"
"2"	"传统"
"2"	"春节"
"2"	"自己"
"4"	"们"
"4"	"之"
"4"	"京杭"
"4"	"尊重"
"4"	"华人"
"4"	"感情"
"4"	"寄托"
"1"	"口腔癌"
"1"	"男性"
"1"	"嚼食"
"1"	"槟榔"
"1"	"吸烟"
"1"	"有关"
"1"	"乳"
"1"	"癌"
"1"	"饮食"
"1"	"西化"
"5"	"改变"
"5"	"飞行"
"5"	"傍晚"
"5"	"5点"
"2"	"信奉"
"2"	"天主教"
"2"	"按照"
"2"	"天主教"
"2"	"传统"
"2"	"圣"
"5"	"锻炼"
"5"	"培养"
"5"	"健康"
"5"	"文明"
"5"	"生活"
"5"	"预防"
"5"	"良好"
"5"	"卫生"
"5"	"健康"
"5"	"生活"
"5"	"方式"
"5"	"提倡"
"4"	"往常"
"4"	"晨炼"
"4"	"老者"
"4"	"一早"
"5"	"人们"
"5"	"自己"
"5"	"生活"
"5"	"家门"
"5"	"用"
"5"	"不同"
"5"	"人们"
"5"	"养成"
"5"	"良好"
"5"	"卫生"
"4"	"国家公务员"
"4"	"称作"
"5"	"从业"
"5"	"养成"
"5"	"按"
"5"	"卫生"
"5"	"规范"
"5"	"黄孟复"
"5"	"大大"
"5"	"市民"
"5"	"养成"
"5"	"刷卡"
"5"	"消费"
"5"	"瑞典沃"
"5"	"尔沃"
"4"	"文化"
"4"	"风俗"
"5"	"爆"
"5"	"看"
"5"	"改变"
"5"	"生活"
"5"	"人们"
"5"	"锻炼"
"5"	"运动"
"4"	"尊重"
"4"	"居民"
"4"	"风俗"
"5"	"自己"
"5"	"建立起"
"5"	"来"
"5"	"应用"
"5"	"电子商务"
"4"	"染上"
"4"	"不良"
"4"	"习惯"
"4"	"摈弃"
"5"	"语言"
"5"	"种"
"5"	"宗教"
"5"	"信仰"
"5"	"和风"
"5"	"俗"
"5"	"并存"
"5"	"生活"
"5"	"相当"
"5"	"种"
"5"	"种"
"5"	"广东人"
"5"	"长期"
"5"	"食用"
"5"	"野生"
"5"	"动物"
"5"	"环境"
