"","tokenlabel","cluster"
"道路/Na/XIN_CMN_20010110_wpr/24657","道路/Na/XIN_CMN_20010110_wpr/24657",1
"道路/Na/XIN_CMN_20001218_wpr/28700","道路/Na/XIN_CMN_20001218_wpr/28700",1
"道路/Na/XIN_CMN_20030715_wpr/27244","道路/Na/XIN_CMN_20030715_wpr/27244",1
"道路/Na/XIN_CMN_20001224_wpr/50718","道路/Na/XIN_CMN_20001224_wpr/50718",1
"道路/Na/XIN_CMN_20030413_wpr/12715","道路/Na/XIN_CMN_20030413_wpr/12715",1
"道路/Na/CNA_CMN_20010104_wpr/138855","道路/Na/CNA_CMN_20010104_wpr/138855",1
"道路/Na/CNA_CMN_20001206_wpr/75906","道路/Na/CNA_CMN_20001206_wpr/75906",1
"道路/Na/CNA_CMN_20001024_wpr/44208","道路/Na/CNA_CMN_20001024_wpr/44208",1
"道路/Na/CNA_CMN_20001204_wpr/127717","道路/Na/CNA_CMN_20001204_wpr/127717",1
"道路/Na/CNA_CMN_20001011_wpr/52877","道路/Na/CNA_CMN_20001011_wpr/52877",1
"轨道/Na/XIN_CMN_20030917_wpr/40157","轨道/Na/XIN_CMN_20030917_wpr/40157",1
"轨道/Na/XIN_CMN_20001023_wpr/70589","轨道/Na/XIN_CMN_20001023_wpr/70589",1
"轨道/Na/ZBN_CMN_20001227_wpr/35515","轨道/Na/ZBN_CMN_20001227_wpr/35515",1
"道路/Na/XIN_CMN_20030905_wpr/34787","道路/Na/XIN_CMN_20030905_wpr/34787",1
"道路/Na/XIN_CMN_20030921_wpr/23011","道路/Na/XIN_CMN_20030921_wpr/23011",1
"道路/Na/XIN_CMN_20030725_wpr/3178","道路/Na/XIN_CMN_20030725_wpr/3178",1
"道路/Na/XIN_CMN_20030921_wpr/22959","道路/Na/XIN_CMN_20030921_wpr/22959",1
"轨道/Na/XIN_CMN_20030413_wpr/56770","轨道/Na/XIN_CMN_20030413_wpr/56770",1
"道路/Na/CNA_CMN_20001011_wpr/135390","道路/Na/CNA_CMN_20001011_wpr/135390",1
"道路/Na/XIN_CMN_20001204_wpr/6120","道路/Na/XIN_CMN_20001204_wpr/6120",1
"道路/Na/ZBN_CMN_20030528_wpr/58744","道路/Na/ZBN_CMN_20030528_wpr/58744",1
"道路/Na/XIN_CMN_20010117_wpr/80753","道路/Na/XIN_CMN_20010117_wpr/80753",1
"道路/Na/CNA_CMN_20001218_wpr/143776","道路/Na/CNA_CMN_20001218_wpr/143776",1
"路线/Na/ZBN_CMN_20030828_wpr/67341","路线/Na/ZBN_CMN_20030828_wpr/67341",1
"道路/Na/XIN_CMN_20030716_wpr/30354","道路/Na/XIN_CMN_20030716_wpr/30354",1
"轨道/Na/XIN_CMN_20030709_wpr/9901","轨道/Na/XIN_CMN_20030709_wpr/9901",1
"道路/Na/XIN_CMN_20030902_wpr/20114","道路/Na/XIN_CMN_20030902_wpr/20114",1
"途径/Na/CNA_CMN_20010131_wpr/74402","途径/Na/CNA_CMN_20010131_wpr/74402",2
"道路/Na/ZBN_CMN_20030705_wpr/3604","道路/Na/ZBN_CMN_20030705_wpr/3604",2
"道路/Na/XIN_CMN_20030528_wpr/68743","道路/Na/XIN_CMN_20030528_wpr/68743",2
"路线/Na/ZBN_CMN_20030526_wpr/75794","路线/Na/ZBN_CMN_20030526_wpr/75794",2
"路线/Na/ZBN_CMN_20030522_wpr/3113","路线/Na/ZBN_CMN_20030522_wpr/3113",2
"路线/Na/ZBN_CMN_20001007_wpr/12716","路线/Na/ZBN_CMN_20001007_wpr/12716",2
"道路/Na/XIN_CMN_20010128_wpr/37664","道路/Na/XIN_CMN_20010128_wpr/37664",2
"道路/Na/CNA_CMN_20001215_wpr/96482","道路/Na/CNA_CMN_20001215_wpr/96482",2
"道路/Na/XIN_CMN_20001130_wpr/71229","道路/Na/XIN_CMN_20001130_wpr/71229",2
"路线/Na/ZBN_CMN_20030901_wpr/66464","路线/Na/ZBN_CMN_20030901_wpr/66464",2
"路线/Na/ZBN_CMN_20001111_wpr/5269","路线/Na/ZBN_CMN_20001111_wpr/5269",2
"道路/Na/XIN_CMN_20030714_wpr/53193","道路/Na/XIN_CMN_20030714_wpr/53193",2
"道路/Na/CNA_CMN_20001013_wpr/55979","道路/Na/CNA_CMN_20001013_wpr/55979",2
"道路/Na/ZBN_CMN_20030420_wpr/66268","道路/Na/ZBN_CMN_20030420_wpr/66268",2
"道路/Na/ZBN_CMN_20030730_wpr/70164","道路/Na/ZBN_CMN_20030730_wpr/70164",2
"路线/Na/XIN_CMN_20001113_wpr/30204","路线/Na/XIN_CMN_20001113_wpr/30204",2
"道路/Na/ZBN_CMN_20030923_wpr/60333","道路/Na/ZBN_CMN_20030923_wpr/60333",2
