"cluster"	"sigcol"
"5"	"牵涉到"
"5"	"新"
"5"	"路线"
"5"	"全民"
"5"	"调整为"
"5"	"政党"
"3"	"号"
"3"	"门"
"3"	"残障"
"3"	"专用"
"3"	"入馆"
"3"	"搭乘"
"3"	"二楼"
"3"	"参观"
"5"	"积水"
"5"	"北回"
"5"	"宜兰"
"5"	"恢"
"5"	"通车"
"5"	"视"
"9"	"新"
"9"	"唿叫"
"8"	"运"
"8"	"同样"
"8"	"中东"
"11"	"规划"
"11"	"大桥"
"11"	"分大"
"11"	"金门湖"
"11"	"北"
"11"	"路廊"
"11"	"陈毓钧"
"11"	"视"
"5"	"游行"
"5"	"游行"
"11"	"政党"
"11"	"裂缝"
"5"	"捷运局"
"5"	"信义线"
"5"	"方案"
"5"	"计划"
"5"	"停驶"
"5"	"客车"
"5"	"交通"
"11"	"乡"
"11"	"道"
"11"	"视"
"11"	"特性"
"11"	"改编为"
"5"	"捷运"
"5"	"安坑线"
"5"	"方案"
"5"	"公听会"
"5"	"邱国强"
"5"	"条"
"5"	"通往"
"5"	"捷运"
"5"	"昆阳"
"5"	"站"
"5"	"接驳"
"5"	"公车"
"5"	"昆阳"
"5"	"段"
"11"	"差些"
"11"	"调幅"
"11"	"不大"
"11"	"选择"
"11"	"王亢沛"
"11"	"替代"
"11"	"台中"
"11"	"台中"
"11"	"党主席"
"11"	"不同"
"5"	"许"
"5"	"捷运"
"5"	"地下"
"5"	"规划"
"5"	"开辟"
"5"	"公车"
"5"	"线"
"5"	"一般"
"5"	"区间车"
"5"	"做为"
"5"	"转乘"
"5"	"路线"
"5"	"新"
"5"	"通车"
"5"	"昆阳"
"5"	"段"
"5"	"站"
"5"	"沿"
"5"	"通航"
"5"	"预演"
"11"	"住户"
"11"	"求"
"11"	"核定"
"11"	"替代"
"5"	"通车"
"5"	"线"
"5"	"通车"
"5"	"南二高"
"5"	"内陆"
"5"	"增开"
"5"	"班车"
"5"	"仁友"
"5"	"客运"
"5"	"行驶"
"5"	"登山"
"5"	"二十三"
"5"	"行驶"
"9"	"理论"
"9"	"确"
"9"	"接班"
"9"	"着眼"
"11"	"曼利"
"11"	"外交"
"11"	"前任"
"11"	"艾伍钖"
"11"	"北"
"6"	"政策"
"6"	"倾向"
"6"	"走"
"6"	"务实"
"6"	"外交"
"6"	"政策"
"6"	"走向"
"6"	"走"
"6"	"中国化"
"6"	"不再"
"9"	"坚持"
"9"	"党"
"9"	"基本"
"9"	"一百"
"9"	"动摇"
"5"	"波及"
"5"	"其它"
"5"	"运输"
"5"	"车"
"5"	"票价"
"2"	"分成"
"2"	"条"
"2"	"条"
"2"	"条"
"9"	"思想"
"9"	"实事求是"
"9"	"出发"
"9"	"思想"
"9"	"紧跟"
"11"	"奉行"
"11"	"独立"
"11"	"自主"
"11"	"多样化"
"11"	"外交"
"11"	"尊"
"11"	"重"
"11"	"选择"
"5"	"全长"
"5"	"公里"
"5"	"计划"
"5"	"建成"
"5"	"通车"
"5"	"石"
"5"	"公路"
"5"	"终点"
"5"	"延伸"
"11"	"兰青"
"11"	"包兰铁"
"11"	"陈旭"
"9"	"服务"
"9"	"教育"
"9"	"实事求是"
"9"	"思想"
"9"	"教育"
"9"	"严"
"9"	"法制"
"9"	"教育"
"6"	"坚持"
"6"	"走"
"6"	"群众"
"6"	"开门"
"9"	"教育"
"9"	"群众"
"9"	"群众"
"9"	"观点"
"9"	"教育"
"9"	"党"
"9"	"基本"
"9"	"理论"
"9"	"基本"
"9"	"基本"
"9"	"纲领"
"6"	"发扬"
"6"	"传统"
"6"	"坚持"
"6"	"走"
"6"	"群众"
"6"	"群众"
"6"	"完成"
"5"	"所有"
"5"	"景区"
"5"	"高山"
"5"	"条"
"5"	"高山"
"5"	"营地"
"5"	"登山"
"5"	"比赛"
"5"	"长"
"5"	"公路"
"8"	"中东"
"8"	"和平"
"8"	"’"
"8"	"图"
"8"	"’"
"8"	"执行"
"5"	"号"
"5"	"营地"
"5"	"登山"
"5"	"前方"
"6"	"坚持"
"6"	"走"
"6"	"群众"
"5"	"南康"
"5"	"客运"
"5"	"设计"
"5"	"旅游"
"5"	"旅"
"5"	"游"
"5"	"北"
"5"	"南通市"
"5"	"全长"
"5"	"32.4"
"5"	"公里"
"5"	"大桥"
"9"	"群众"
"9"	"协力"
"9"	"长跑"
"9"	"起点"
"9"	"终点"
"9"	"选择"
"5"	"日程"
"5"	"更改"
"8"	"中东"
"8"	"和平"
"8"	"图"
"8"	"计划"
"8"	"叙利亚"
"5"	"空中"
"5"	"客车"
"5"	"示范"
"5"	"落户"
"5"	"威海刘公"
"5"	"岛"
"9"	"马克思"
"9"	"主义"
"9"	"坚持"
"9"	"马克思"
"9"	"主义"
"9"	"思想"
"9"	"解放"
"9"	"思想"
"9"	"实事求是"
"5"	"避开"
"5"	"飓风"
"5"	"行进"
"5"	"盟军"
"9"	"争"
"9"	"围绕"
"9"	"小泉"
"9"	"改革"
"9"	"政策"
"9"	"基本"
"9"	"坚持"
"9"	"改革"
"9"	"开放"
