"","tokenlabel","cluster"
"老婆/Na/ZBN_CMN_20030609_wpr/23038","老婆/Na/ZBN_CMN_20030609_wpr/23038",1
"妻子/Na/CNA_CMN_20001020_wpr/63596","妻子/Na/CNA_CMN_20001020_wpr/63596",1
"妻子/Na/ZBN_CMN_20030523_wpr/90644","妻子/Na/ZBN_CMN_20030523_wpr/90644",1
"妻子/Na/XIN_CMN_20001108_wpr/71507","妻子/Na/XIN_CMN_20001108_wpr/71507",1
"妻子/Na/ZBN_CMN_20030615_wpr/9529","妻子/Na/ZBN_CMN_20030615_wpr/9529",1
"妻子/Na/ZBN_CMN_20030718_wpr/17840","妻子/Na/ZBN_CMN_20030718_wpr/17840",1
"妻子/Na/XIN_CMN_20010127_wpr/13874","妻子/Na/XIN_CMN_20010127_wpr/13874",1
"妻子/Na/ZBN_CMN_20001207_wpr/38786","妻子/Na/ZBN_CMN_20001207_wpr/38786",1
"太太/Na/ZBN_CMN_20030519_wpr/16853","太太/Na/ZBN_CMN_20030519_wpr/16853",1
"妻子/Na/ZBN_CMN_20030814_wpr/26345","妻子/Na/ZBN_CMN_20030814_wpr/26345",1
"妻子/Na/ZBN_CMN_20010111_wpr/7978","妻子/Na/ZBN_CMN_20010111_wpr/7978",1
"妻子/Na/XIN_CMN_20030704_wpr/57085","妻子/Na/XIN_CMN_20030704_wpr/57085",1
"妻子/Na/CNA_CMN_20010116_wpr/152710","妻子/Na/CNA_CMN_20010116_wpr/152710",1
"老婆/Na/CNA_CMN_20001116_wpr/17485","老婆/Na/CNA_CMN_20001116_wpr/17485",1
"太太/Na/CNA_CMN_20001103_wpr/10017","太太/Na/CNA_CMN_20001103_wpr/10017",1
"妻子/Na/ZBN_CMN_20030506_wpr/22291","妻子/Na/ZBN_CMN_20030506_wpr/22291",1
"妻子/Na/ZBN_CMN_20030621_wpr/22414","妻子/Na/ZBN_CMN_20030621_wpr/22414",1
"太太/Na/CNA_CMN_20001020_wpr/49620","太太/Na/CNA_CMN_20001020_wpr/49620",1
"妻子/Na/ZBN_CMN_20030928_wpr/68458","妻子/Na/ZBN_CMN_20030928_wpr/68458",1
"妻子/Na/ZBN_CMN_20030928_wpr/68677","妻子/Na/ZBN_CMN_20030928_wpr/68677",1
"太太/Na/ZBN_CMN_20030516_wpr/40396","太太/Na/ZBN_CMN_20030516_wpr/40396",1
"太太/Na/ZBN_CMN_20030510_wpr/17020","太太/Na/ZBN_CMN_20030510_wpr/17020",1
"太太/Na/ZBN_CMN_20030904_wpr/25063","太太/Na/ZBN_CMN_20030904_wpr/25063",1
"太太/Na/ZBN_CMN_20030510_wpr/16925","太太/Na/ZBN_CMN_20030510_wpr/16925",1
"太太/Na/ZBN_CMN_20030420_wpr/20942","太太/Na/ZBN_CMN_20030420_wpr/20942",1
"太太/Na/ZBN_CMN_20030818_wpr/85593","太太/Na/ZBN_CMN_20030818_wpr/85593",1
"太太/Na/ZBN_CMN_20030606_wpr/30795","太太/Na/ZBN_CMN_20030606_wpr/30795",1
"太太/Na/ZBN_CMN_20030606_wpr/31423","太太/Na/ZBN_CMN_20030606_wpr/31423",1
"老婆/Na/CNA_CMN_20010122_wpr/76822","老婆/Na/CNA_CMN_20010122_wpr/76822",1
"妻子/Na/ZBN_CMN_20030816_wpr/23113","妻子/Na/ZBN_CMN_20030816_wpr/23113",1
"妻子/Na/ZBN_CMN_20030816_wpr/23266","妻子/Na/ZBN_CMN_20030816_wpr/23266",1
"太太/Na/ZBN_CMN_20030401_wpr/9272","太太/Na/ZBN_CMN_20030401_wpr/9272",1
"太太/Na/ZBN_CMN_20030401_wpr/9239","太太/Na/ZBN_CMN_20030401_wpr/9239",1
"太太/Na/CNA_CMN_20010109_wpr/27556","太太/Na/CNA_CMN_20010109_wpr/27556",1
"太太/Na/ZBN_CMN_20030623_wpr/25330","太太/Na/ZBN_CMN_20030623_wpr/25330",1
"太太/Na/CNA_CMN_20030628_wpr/2605","太太/Na/CNA_CMN_20030628_wpr/2605",1
"太太/Na/CNA_CMN_20001204_wpr/73928","太太/Na/CNA_CMN_20001204_wpr/73928",1
"太太/Na/ZBN_CMN_20001121_wpr/13654","太太/Na/ZBN_CMN_20001121_wpr/13654",1
"妻子/Na/XIN_CMN_20030401_wpr/81502","妻子/Na/XIN_CMN_20030401_wpr/81502",1
"妻子/Na/XIN_CMN_20030801_wpr/43278","妻子/Na/XIN_CMN_20030801_wpr/43278",1
"妻子/Na/ZBN_CMN_20030830_wpr/6905","妻子/Na/ZBN_CMN_20030830_wpr/6905",1
"妻子/Na/ZBN_CMN_20030713_wpr/23923","妻子/Na/ZBN_CMN_20030713_wpr/23923",1
"妻子/Na/XIN_CMN_20030603_wpr/80912","妻子/Na/XIN_CMN_20030603_wpr/80912",1
"妻子/Na/ZBN_CMN_20030804_wpr/8215","妻子/Na/ZBN_CMN_20030804_wpr/8215",1
"妻子/Na/ZBN_CMN_20001216_wpr/22112","妻子/Na/ZBN_CMN_20001216_wpr/22112",1
"爱人/Na/XIN_CMN_20001202_wpr/40766","爱人/Na/XIN_CMN_20001202_wpr/40766",1
"妻子/Na/CNA_CMN_20001020_wpr/66094","妻子/Na/CNA_CMN_20001020_wpr/66094",1
"老婆/Na/ZBN_CMN_20030510_wpr/23485","老婆/Na/ZBN_CMN_20030510_wpr/23485",1
"老婆/Na/ZBN_CMN_20030510_wpr/24234","老婆/Na/ZBN_CMN_20030510_wpr/24234",1
"太太/Na/ZBN_CMN_20030805_wpr/25620","太太/Na/ZBN_CMN_20030805_wpr/25620",1
"妻子/Na/ZBN_CMN_20030601_wpr/64481","妻子/Na/ZBN_CMN_20030601_wpr/64481",1
"太太/Na/CNA_CMN_20001201_wpr/95833","太太/Na/CNA_CMN_20001201_wpr/95833",1
"太太/Na/CNA_CMN_20001129_wpr/10781","太太/Na/CNA_CMN_20001129_wpr/10781",1
"妻子/Na/CNA_CMN_20001017_wpr/8660","妻子/Na/CNA_CMN_20001017_wpr/8660",1
"妻子/Na/CNA_CMN_20001121_wpr/118596","妻子/Na/CNA_CMN_20001121_wpr/118596",1
"妻子/Na/CNA_CMN_20001025_wpr/141436","妻子/Na/CNA_CMN_20001025_wpr/141436",1
"妻子/Na/XIN_CMN_20001124_wpr/38669","妻子/Na/XIN_CMN_20001124_wpr/38669",1
"太太/Na/ZBN_CMN_20030428_wpr/7786","太太/Na/ZBN_CMN_20030428_wpr/7786",1
"太太/Na/ZBN_CMN_20030428_wpr/7675","太太/Na/ZBN_CMN_20030428_wpr/7675",1
"太太/Na/CNA_CMN_20001217_wpr/21462","太太/Na/CNA_CMN_20001217_wpr/21462",1
"太太/Na/CNA_CMN_20030606_wpr/4576","太太/Na/CNA_CMN_20030606_wpr/4576",1
"太太/Na/ZBN_CMN_20001225_wpr/1711","太太/Na/ZBN_CMN_20001225_wpr/1711",1
"太太/Na/ZBN_CMN_20030710_wpr/9548","太太/Na/ZBN_CMN_20030710_wpr/9548",1
"太太/Na/ZBN_CMN_20001124_wpr/16497","太太/Na/ZBN_CMN_20001124_wpr/16497",1
"太太/Na/ZBN_CMN_20030428_wpr/10345","太太/Na/ZBN_CMN_20030428_wpr/10345",1
"妻子/Na/ZBN_CMN_20030506_wpr/72816","妻子/Na/ZBN_CMN_20030506_wpr/72816",1
"妻子/Na/CNA_CMN_20030530_wpr/6548","妻子/Na/CNA_CMN_20030530_wpr/6548",1
"太太/Na/ZBN_CMN_20030519_wpr/17035","太太/Na/ZBN_CMN_20030519_wpr/17035",1
"妻子/Na/CNA_CMN_20001109_wpr/8978","妻子/Na/CNA_CMN_20001109_wpr/8978",1
"太太/Na/ZBN_CMN_20001202_wpr/7446","太太/Na/ZBN_CMN_20001202_wpr/7446",1
"老婆/Na/ZBN_CMN_20030817_wpr/14392","老婆/Na/ZBN_CMN_20030817_wpr/14392",1
"太太/Na/ZBN_CMN_20030415_wpr/90890","太太/Na/ZBN_CMN_20030415_wpr/90890",1
"妻子/Na/XIN_CMN_20001010_wpr/69483","妻子/Na/XIN_CMN_20001010_wpr/69483",1
"太太/Na/ZBN_CMN_20030717_wpr/62098","太太/Na/ZBN_CMN_20030717_wpr/62098",1
"太太/Na/ZBN_CMN_20001103_wpr/17958","太太/Na/ZBN_CMN_20001103_wpr/17958",1
"妻子/Na/XIN_CMN_20001222_wpr/146","妻子/Na/XIN_CMN_20001222_wpr/146",1
"太太/Na/ZBN_CMN_20030710_wpr/5274","太太/Na/ZBN_CMN_20030710_wpr/5274",1
"妻子/Na/ZBN_CMN_20030923_wpr/25260","妻子/Na/ZBN_CMN_20030923_wpr/25260",1
"老婆/Na/ZBN_CMN_20030922_wpr/587","老婆/Na/ZBN_CMN_20030922_wpr/587",1
"太太/Na/ZBN_CMN_20030826_wpr/27972","太太/Na/ZBN_CMN_20030826_wpr/27972",1
"妻子/Na/ZBN_CMN_20030718_wpr/91947","妻子/Na/ZBN_CMN_20030718_wpr/91947",1
"爱人/Na/ZBN_CMN_20030801_wpr/27856","爱人/Na/ZBN_CMN_20030801_wpr/27856",1
"妻子/Na/CNA_CMN_20001216_wpr/118362","妻子/Na/CNA_CMN_20001216_wpr/118362",1
"太太/Na/ZBN_CMN_20030503_wpr/19962","太太/Na/ZBN_CMN_20030503_wpr/19962",1
