"cluster"	"sigcol"
"6"	"他"
"6"	"菲律"
"6"	"宾"
"6"	"籍"
"6"	"乌沙妮"
"6"	"原是"
"6"	"叛军"
"6"	"饶颖奇"
"6"	"公款"
"6"	"购"
"6"	"车"
"6"	"他"
"6"	"饶颖奇"
"6"	"质疑"
"6"	"财政部长"
"6"	"常"
"6"	"跑到"
"6"	"官邸"
"6"	"夫人"
"6"	"自杀"
"6"	"泽"
"6"	"温子"
"6"	"她"
"3"	"自己"
"3"	"背后"
"3"	"算是"
"3"	"尽到"
"4"	"波普"
"4"	"波普"
"4"	"外交官"
"3"	"笑"
"3"	"则"
"3"	"他"
"3"	"问"
"3"	"句"
"3"	"你"
"3"	"怀孕"
"3"	"吗"
"6"	"接着"
"6"	"张"
"6"	"说清楚"
"6"	"有没有"
"6"	"签"
"6"	"常"
"6"	"交代"
"6"	"他"
"6"	"签"
"3"	"导演"
"3"	"导演"
"3"	"洪智育"
"3"	"刘淑铃"
"3"	"曾"
"3"	"她"
"3"	"说"
"3"	"做"
"3"	"杨"
"3"	"先生"
"3"	"杨"
"3"	"带"
"3"	"着"
"3"	"杨慧婷"
"3"	"感谢"
"3"	"谈话"
"3"	"林"
"3"	"抑制"
"3"	"着"
"3"	"极度"
"3"	"林"
"3"	"太太"
"6"	"脚"
"6"	"后"
"6"	"相反"
"6"	"姿势"
"6"	"双手"
"3"	"傍晚"
"3"	"他"
"3"	"一起"
"6"	"她"
"6"	"当初"
"6"	"傅"
"6"	"签字"
"6"	"具结"
"6"	"不追"
"6"	"究"
"6"	"他"
"6"	"愿意"
"6"	"张家宝"
"6"	"张"
"3"	"李某"
"3"	"介寿"
"3"	"派出所"
"3"	"先生"
"4"	"李庆华"
"4"	"访谈"
"4"	"刘和谦"
"4"	"他"
"4"	"李庆华"
"4"	"市党部"
"4"	"主委"
"4"	"许木元"
"4"	"午"
"4"	"肿"
"4"	"吴"
"4"	"小脑"
"4"	"发炎"
"4"	"听到"
"4"	"郭玺"
"4"	"李庆华"
"4"	"转述"
"4"	"涂"
"4"	"回忆"
"4"	"郭玺"
"4"	"当年"
"4"	"李庆华"
"4"	"涂"
"4"	"愿意"
"4"	"尹案"
"4"	"特调"
"4"	"保证人"
"4"	"往年"
"4"	"与"
"4"	"北市立"
"4"	"师院"
"3"	"觉得"
"3"	"克雷蒙斯"
"3"	"养"
"3"	"小狗"
"3"	"根本"
"3"	"去"
"3"	"取自"
"3"	"勤姓"
"3"	"台商"
"3"	"太太"
"3"	"儿子"
"3"	"照顾"
"3"	"勤"
