"cluster"	"sigcol"
"5"	"女性"
"5"	"脚"
"5"	"踩"
"5"	"男人"
"5"	"「"
"5"	"回"
"5"	"娘家"
"5"	"」"
"5"	"白天"
"5"	"做"
"5"	"间"
"5"	"喝"
"5"	"花酒"
"5"	"嫖"
"5"	"」"
"5"	"竟"
"5"	"保养"
"5"	"她"
"5"	"丽质天生"
"5"	"规律"
"5"	"让"
"5"	"十四时"
"5"	"「"
"5"	"故事"
"5"	"」"
"5"	"林熙蕾"
"5"	"十四时"
"5"	"「"
"5"	"十分"
"5"	"时氛"
"5"	"」"
"5"	"远企"
"7"	"「"
"7"	"恋爱"
"7"	"美丽"
"7"	"」"
"7"	"似乎"
"7"	"王菲"
"7"	"县市政府"
"7"	"县市政府"
"7"	"妇"
"7"	"身"
"5"	"曹启"
"5"	"泰"
"5"	"「"
"5"	"聚"
"5"	"在一起"
"5"	"很"
"5"	"」"
"5"	"带"
"5"	"才能"
"5"	"她"
"5"	"服饰"
"5"	"891212"
"5"	"新片"
"5"	"「"
"5"	"心愿"
"5"	"」"
"5"	"展露"
"5"	"平凡"
"5"	"男人"
"5"	"猎物"
"5"	"平凡"
"5"	"性"
"5"	"幻想"
"5"	"还是"
"7"	"节目"
"7"	"对谈"
"5"	"衣服"
"5"	"女人"
"5"	"喔"
"5"	"我"
"5"	"那么"
"5"	"耶"
"5"	"」"
"5"	"万芳"
"5"	"她"
"5"	"喜欢"
"5"	"男人"
"5"	"背后"
"5"	"贫寒"
"7"	"黄梅戏"
"7"	"刻画"
"7"	"个"
"7"	"嫁"
"7"	"－－"
"7"	"－－"
"7"	"－－"
"5"	"题材"
"5"	"电视剧"
"5"	"《"
"5"	"不再"
"5"	"沉默"
"5"	"》"
"7"	"男性"
"7"	"恋爱"
"7"	"结婚"
"7"	"读"
"5"	"个"
"5"	"男人"
"5"	"个"
"5"	"爱恨"
"5"	"交缠"
"5"	"遇上"
"5"	"伤口"
"5"	"找"
"5"	"着"
"5"	"凶手"
"5"	"："
"5"	"小"
"5"	"年纪"
"5"	"如何"
"5"	"承受"
"5"	"个"
"5"	"行走"
"5"	"我"
"5"	"心"
"7"	"竟然"
"7"	"储"
