"","tokenlabel","cluster"
"劳工/Na/CNA_CMN_20001128_wpr/98845","劳工/Na/CNA_CMN_20001128_wpr/98845",1
"劳工/Na/CNA_CMN_20001222_wpr/127133","劳工/Na/CNA_CMN_20001222_wpr/127133",1
"劳工/Na/CNA_CMN_20001210_wpr/76802","劳工/Na/CNA_CMN_20001210_wpr/76802",1
"劳工/Na/CNA_CMN_20001123_wpr/22877","劳工/Na/CNA_CMN_20001123_wpr/22877",1
"劳工/Na/CNA_CMN_20001128_wpr/149536","劳工/Na/CNA_CMN_20001128_wpr/149536",1
"劳工/Na/CNA_CMN_20001226_wpr/133093","劳工/Na/CNA_CMN_20001226_wpr/133093",1
"劳工/Na/CNA_CMN_20001126_wpr/29582","劳工/Na/CNA_CMN_20001126_wpr/29582",1
"劳工/Na/CNA_CMN_20001215_wpr/30132","劳工/Na/CNA_CMN_20001215_wpr/30132",1
"劳工/Na/CNA_CMN_20001212_wpr/76310","劳工/Na/CNA_CMN_20001212_wpr/76310",1
"劳工/Na/CNA_CMN_20001024_wpr/40537","劳工/Na/CNA_CMN_20001024_wpr/40537",1
"劳工/Na/CNA_CMN_20001215_wpr/55569","劳工/Na/CNA_CMN_20001215_wpr/55569",1
"员工/Na/CNA_CMN_20010119_wpr/138237","员工/Na/CNA_CMN_20010119_wpr/138237",1
"员工/Na/CNA_CMN_20001027_wpr/170915","员工/Na/CNA_CMN_20001027_wpr/170915",1
"员工/Na/CNA_CMN_20010131_wpr/140604","员工/Na/CNA_CMN_20010131_wpr/140604",1
"员工/Na/CNA_CMN_20001215_wpr/24527","员工/Na/CNA_CMN_20001215_wpr/24527",1
"员工/Na/CNA_CMN_20001207_wpr/112578","员工/Na/CNA_CMN_20001207_wpr/112578",1
"员工/Na/CNA_CMN_20001203_wpr/32199","员工/Na/CNA_CMN_20001203_wpr/32199",1
"工人/Na/CNA_CMN_20001217_wpr/69351","工人/Na/CNA_CMN_20001217_wpr/69351",1
"劳工/Na/CNA_CMN_20001010_wpr/78737","劳工/Na/CNA_CMN_20001010_wpr/78737",1
"员工/Na/ZBN_CMN_20030421_wpr/62854","员工/Na/ZBN_CMN_20030421_wpr/62854",1
"员工/Na/CNA_CMN_20001216_wpr/92591","员工/Na/CNA_CMN_20001216_wpr/92591",1
"员工/Na/CNA_CMN_20001101_wpr/58404","员工/Na/CNA_CMN_20001101_wpr/58404",1
"员工/Na/CNA_CMN_20001226_wpr/20684","员工/Na/CNA_CMN_20001226_wpr/20684",1
"职工/Na/XIN_CMN_20001212_wpr/28023","职工/Na/XIN_CMN_20001212_wpr/28023",1
"职工/Na/XIN_CMN_20030430_wpr/26989","职工/Na/XIN_CMN_20030430_wpr/26989",1
"劳工/Na/XIN_CMN_20001024_wpr/40740","劳工/Na/XIN_CMN_20001024_wpr/40740",1
"员工/Na/CNA_CMN_20001202_wpr/100497","员工/Na/CNA_CMN_20001202_wpr/100497",1
"劳工/Na/CNA_CMN_20010109_wpr/73826","劳工/Na/CNA_CMN_20010109_wpr/73826",1
"职工/Na/XIN_CMN_20010109_wpr/32609","职工/Na/XIN_CMN_20010109_wpr/32609",1
"劳工/Na/CNA_CMN_20001122_wpr/174731","劳工/Na/CNA_CMN_20001122_wpr/174731",1
"职工/Na/ZBN_CMN_20030418_wpr/62655","职工/Na/ZBN_CMN_20030418_wpr/62655",1
"劳工/Na/CNA_CMN_20001123_wpr/71302","劳工/Na/CNA_CMN_20001123_wpr/71302",1
"员工/Na/ZBN_CMN_20030918_wpr/38845","员工/Na/ZBN_CMN_20030918_wpr/38845",1
"员工/Na/CNA_CMN_20001222_wpr/70847","员工/Na/CNA_CMN_20001222_wpr/70847",1
"员工/Na/CNA_CMN_20010110_wpr/153008","员工/Na/CNA_CMN_20010110_wpr/153008",1
"员工/Na/CNA_CMN_20001114_wpr/27060","员工/Na/CNA_CMN_20001114_wpr/27060",1
"劳工/Na/CNA_CMN_20001026_wpr/106572","劳工/Na/CNA_CMN_20001026_wpr/106572",1
"劳工/Na/CNA_CMN_20001123_wpr/110035","劳工/Na/CNA_CMN_20001123_wpr/110035",1
"劳工/Na/CNA_CMN_20010110_wpr/26578","劳工/Na/CNA_CMN_20010110_wpr/26578",1
"劳工/Na/CNA_CMN_20001226_wpr/64929","劳工/Na/CNA_CMN_20001226_wpr/64929",1
"员工/Na/CNA_CMN_20001031_wpr/84539","员工/Na/CNA_CMN_20001031_wpr/84539",1
"劳工/Na/ZBN_CMN_20030905_wpr/88278","劳工/Na/ZBN_CMN_20030905_wpr/88278",1
