"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"SumAbsDev"	"LargestDev"
"－－"	0	0	0	0	1	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	0.689	-0.019	-0.105	1.073	"5"
"︶"	4	0	0	0	0	0	0	0.976	0.241	0.833	0.096	0.819	0.174	0.861	2.451	-0.108	-0.405	-0.042	-0.398	-0.077	-0.421	3.902	"1"
"《"	0	0	0	4	2	0	0	1.464	0.362	1.249	0.145	1.228	0.261	1.291	-0.729	-0.162	-0.608	5.311	0.448	-0.116	-0.631	8.005	"4"
"》"	0	0	0	4	2	0	0	1.464	0.362	1.249	0.145	1.228	0.261	1.291	-0.729	-0.162	-0.608	5.311	0.448	-0.116	-0.631	8.005	"4"
"「"	12	0	0	0	0	0	0	2.928	0.724	2.498	0.289	2.456	0.523	2.582	7.352	-0.324	-1.216	-0.127	-1.193	-0.232	-1.263	11.707	"1"
"〔"	0	0	0	0	0	0	1	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	-0.099	-0.019	0.667	1.045	"7"
"%"	0	0	3	0	0	0	0	0.732	0.181	0.625	0.072	0.614	0.131	0.646	-0.364	-0.081	2.045	-0.032	-0.298	-0.058	-0.316	3.194	"3"
"$"	0	0	4	0	0	0	0	0.976	0.241	0.833	0.096	0.819	0.174	0.861	-0.486	-0.108	2.726	-0.042	-0.398	-0.077	-0.421	4.258	"3"
"02／03"	0	0	1	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	0.682	-0.011	-0.099	-0.019	-0.105	1.064	"3"
"1.5"	0	0	1	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	0.682	-0.011	-0.099	-0.019	-0.105	1.064	"3"
"100多万"	0	0	0	0	1	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	0.689	-0.019	-0.105	1.073	"5"
"1024万"	0	0	0	0	1	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	0.689	-0.019	-0.105	1.073	"5"
"10多"	0	0	0	0	0	0	1	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	-0.099	-0.019	0.667	1.045	"7"
"1100"	0	0	1	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	0.682	-0.011	-0.099	-0.019	-0.105	1.064	"3"
"1400多"	0	0	0	0	0	1	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	-0.099	1.361	-0.105	1.825	"6"
"1492万"	0	0	0	0	1	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	0.689	-0.019	-0.105	1.073	"5"
"14万"	0	0	0	0	1	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	0.689	-0.019	-0.105	1.073	"5"
"150"	0	0	0	0	0	1	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	-0.099	1.361	-0.105	1.825	"6"
"180"	0	1	0	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	1.22	-0.101	-0.011	-0.099	-0.019	-0.105	1.676	"2"
"190余万"	0	0	0	0	1	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	0.689	-0.019	-0.105	1.073	"5"
"1999年"	0	0	1	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	0.682	-0.011	-0.099	-0.019	-0.105	1.064	"3"
"1万"	0	0	1	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	0.682	-0.011	-0.099	-0.019	-0.105	1.064	"3"
"20"	0	0	1	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	0.682	-0.011	-0.099	-0.019	-0.105	1.064	"3"
"200"	0	1	1	0	0	0	1	0.732	0.181	0.625	0.072	0.614	0.131	0.646	-0.364	0.769	0.298	-0.032	-0.298	-0.058	0.287	2.106	"2"
"2000"	0	0	1	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	0.682	-0.011	-0.099	-0.019	-0.105	1.064	"3"
"200余"	0	0	0	0	1	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	0.689	-0.019	-0.105	1.073	"5"
"200多"	0	0	0	0	1	1	0	0.488	0.121	0.416	0.048	0.409	0.087	0.43	-0.243	-0.054	-0.203	-0.021	0.435	1.069	-0.21	2.235	"6"
"20多"	0	0	0	0	0	1	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	-0.099	1.361	-0.105	1.825	"6"
"21.98"	0	0	1	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	0.682	-0.011	-0.099	-0.019	-0.105	1.064	"3"
"21万"	0	0	1	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	0.682	-0.011	-0.099	-0.019	-0.105	1.064	"3"
"2500万"	0	0	1	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	0.682	-0.011	-0.099	-0.019	-0.105	1.064	"3"
"2900"	0	0	1	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	0.682	-0.011	-0.099	-0.019	-0.105	1.064	"3"
"2万"	0	0	0	0	0	0	1	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	-0.099	-0.019	0.667	1.045	"7"
"300"	0	0	1	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	0.682	-0.011	-0.099	-0.019	-0.105	1.064	"3"
"300多"	0	0	0	0	0	1	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	-0.099	1.361	-0.105	1.825	"6"
"30多"	0	1	0	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	1.22	-0.101	-0.011	-0.099	-0.019	-0.105	1.676	"2"
"350"	0	0	0	0	0	0	1	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	-0.099	-0.019	0.667	1.045	"7"
"3万8500"	0	0	1	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	0.682	-0.011	-0.099	-0.019	-0.105	1.064	"3"
"4.6"	0	0	1	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	0.682	-0.011	-0.099	-0.019	-0.105	1.064	"3"
"40"	0	0	1	0	0	1	0	0.488	0.121	0.416	0.048	0.409	0.087	0.43	-0.243	-0.054	0.428	-0.021	-0.199	1.069	-0.21	2.224	"6"
"400"	0	0	1	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	0.682	-0.011	-0.099	-0.019	-0.105	1.064	"3"
"4000"	0	0	1	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	0.682	-0.011	-0.099	-0.019	-0.105	1.064	"3"
"4000多"	0	0	0	0	0	1	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	-0.099	1.361	-0.105	1.825	"6"
"49亿"	0	0	1	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	0.682	-0.011	-0.099	-0.019	-0.105	1.064	"3"
"5.4"	0	0	0	1	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	1.618	-0.099	-0.019	-0.105	2.09	"4"
"50"	0	0	2	0	0	0	0	0.488	0.121	0.416	0.048	0.409	0.087	0.43	-0.243	-0.054	1.363	-0.021	-0.199	-0.039	-0.21	2.129	"3"
"5000"	1	0	1	0	0	0	0	0.488	0.121	0.416	0.048	0.409	0.087	0.43	0.368	-0.054	0.428	-0.021	-0.199	-0.039	-0.21	1.319	"3"
"500多"	0	0	0	0	1	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	0.689	-0.019	-0.105	1.073	"5"
"50分"	0	0	0	0	0	1	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	-0.099	1.361	-0.105	1.825	"6"
"5300"	0	0	1	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	0.682	-0.011	-0.099	-0.019	-0.105	1.064	"3"
"6000多"	0	0	1	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	0.682	-0.011	-0.099	-0.019	-0.105	1.064	"3"
"600万"	0	0	0	0	1	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	0.689	-0.019	-0.105	1.073	"5"
"6600多"	0	0	0	0	0	1	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	-0.099	1.361	-0.105	1.825	"6"
"71"	0	0	0	0	0	1	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	-0.099	1.361	-0.105	1.825	"6"
"73％"	0	0	1	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	0.682	-0.011	-0.099	-0.019	-0.105	1.064	"3"
"7812"	0	0	0	0	0	1	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	-0.099	1.361	-0.105	1.825	"6"
"8.3"	0	0	1	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	0.682	-0.011	-0.099	-0.019	-0.105	1.064	"3"
"80"	0	1	0	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	1.22	-0.101	-0.011	-0.099	-0.019	-0.105	1.676	"2"
"800"	0	0	1	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	0.682	-0.011	-0.099	-0.019	-0.105	1.064	"3"
"8000"	0	0	0	0	0	1	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	-0.099	1.361	-0.105	1.825	"6"
"8000余"	0	0	0	0	1	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	0.689	-0.019	-0.105	1.073	"5"
"891215"	1	0	0	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	0.613	-0.027	-0.101	-0.011	-0.099	-0.019	-0.105	0.975	"1"
"891222"	1	0	0	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	0.613	-0.027	-0.101	-0.011	-0.099	-0.019	-0.105	0.975	"1"
"8亿"	0	0	0	0	1	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	0.689	-0.019	-0.105	1.073	"5"
"9000"	0	1	0	0	0	0	2	0.732	0.181	0.625	0.072	0.614	0.131	0.646	-0.364	0.769	-0.304	-0.032	-0.298	-0.058	0.925	2.75	"7"
"900110"	1	0	0	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	0.613	-0.027	-0.101	-0.011	-0.099	-0.019	-0.105	0.975	"1"
"900116"	1	0	0	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	0.613	-0.027	-0.101	-0.011	-0.099	-0.019	-0.105	0.975	"1"
"900120"	1	0	0	0	0	0	1	0.488	0.121	0.416	0.048	0.409	0.087	0.43	0.368	-0.054	-0.203	-0.021	-0.199	-0.039	0.416	1.3	"7"
"928万"	0	0	0	0	1	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	0.689	-0.019	-0.105	1.073	"5"
"9日"	0	0	0	1	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	1.618	-0.099	-0.019	-0.105	2.09	"4"
"CNN"	0	0	0	0	0	1	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	-0.099	1.361	-0.105	1.825	"6"
"Morris"	0	0	0	0	0	0	1	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	-0.099	-0.019	0.667	1.045	"7"
"Y"	0	0	0	0	0	0	1	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	-0.099	-0.019	0.667	1.045	"7"
"一万"	1	0	0	0	0	0	0	0.244	0.06	0.208	0.024	0.205	0.044	0.215	0.613	-0.027	-0.101	-0.011	-0.099	-0.019	-0.105	0.975	"1"
"一万八千余"	0	0	0	0	0	0	1	0.244	0.06	0.208	0.024	0.205	0.044	0.215	-0.121	-0.027	-0.101	-0.011	-0.099	-0.019	0.667	1.045	"7"
